source,target,type,subtype
SRF,fu:839c82c3,gene_to_fu,
ELK4,fu:839c82c3,gene_to_fu,
ELK1,fu:839c82c3,gene_to_fu,
fu:c3d880e8,fu:7d8d1672,protein_protein_interaction,activation
fu:cbc27d79,fu:cb603216,protein_protein_interaction,activation
fu:ea3af571,fu:cb603216,protein_protein_interaction,activation
fu:a6602c7f,fu:cb603216,protein_protein_interaction,activation
fu:5264ac6f,fu:7cec7b64,protein_protein_interaction,activation
fu:93677f06,fu:cb1c88d1,protein_protein_interaction,activation
fu:5b3ce1d9,fu:9274968e,protein_protein_interaction,activation
fu:d4ebbf2b,fu:12950895,protein_protein_interaction,activation
fu:619d8916,fu:e1dd59a5,protein_protein_interaction,activation
fu:12950895,fu:02465256,protein_protein_interaction,activation
fu:e1dd59a5,fu:02465256,protein_protein_interaction,activation
fu:0d65318d,fu:727cb396,protein_protein_interaction,binding/association
fu:9bd0df30,fu:0d65318d,protein_protein_interaction,binding/association
fu:545ebf7d,fu:4d346bcc,protein_protein_interaction,binding/association
fu:3285e573,fu:4d346bcc,protein_protein_interaction,binding/association
fu:dc542d4d,fu:7b593a5c,protein_protein_interaction,binding/association
fu:dc542d4d,fu:f449b983,protein_protein_interaction,binding/association
fu:93eeec94,fu:ee804b17,protein_protein_interaction,binding/association
fu:93eeec94,fu:4781eb07,protein_protein_interaction,binding/association
fu:7c6d4d4a,fu:93eeec94,protein_protein_interaction,binding/association
fu:92589075,fu:fefb3eac,protein_protein_interaction,binding/association
fu:92589075,fu:66672553,protein_protein_interaction,binding/association
fu:92589075,fu:28d07664,protein_protein_interaction,binding/association
fu:92589075,fu:c7fdd986,protein_protein_interaction,binding/association
fu:fefb3eac,fu:be5424aa,protein_protein_interaction,binding/association
fu:d7921de4,fu:be5424aa,protein_protein_interaction,binding/association
fu:66672553,fu:be5424aa,protein_protein_interaction,binding/association
fu:be5424aa,fu:210acb65,protein_protein_interaction,binding/association
fu:28d07664,fu:be5424aa,protein_protein_interaction,binding/association
fu:fefb3eac,fu:5d3f8d6d,protein_protein_interaction,binding/association
fu:d7921de4,fu:5d3f8d6d,protein_protein_interaction,binding/association
fu:d7921de4,fu:d00c086a,protein_protein_interaction,binding/association
fu:d7921de4,fu:05519816,protein_protein_interaction,binding/association
fu:0ddd2c17,fu:5264ac6f,protein_protein_interaction,phosphorylation
fu:6fc31f40,fu:cb603216,protein_protein_interaction,phosphorylation
fu:6fc31f40,fu:5324c493,protein_protein_interaction,phosphorylation
fu:9bd0df30,fu:cb603216,protein_protein_interaction,activation
fu:cb603216,fu:7cec7b64,protein_protein_interaction,activation
fu:cb603216,fu:5324c493,protein_protein_interaction,activation
fu:7cec7b64,fu:ee804b17,protein_protein_interaction,phosphorylation
fu:7cec7b64,fu:4781eb07,protein_protein_interaction,phosphorylation
fu:5324c493,fu:ee804b17,protein_protein_interaction,phosphorylation
fu:5324c493,fu:4781eb07,protein_protein_interaction,phosphorylation
fu:ee804b17,fu:7c6d4d4a,protein_protein_interaction,phosphorylation
fu:4781eb07,fu:7c6d4d4a,protein_protein_interaction,phosphorylation
fu:7c6d4d4a,fu:7e702847,protein_protein_interaction,phosphorylation
fu:7c6d4d4a,fu:e661480b,protein_protein_interaction,phosphorylation
fu:7c6d4d4a,fu:0c2b138c,protein_protein_interaction,phosphorylation
fu:7c6d4d4a,fu:642e62d6,protein_protein_interaction,phosphorylation
fu:7c6d4d4a,fu:99084968,protein_protein_interaction,phosphorylation
fu:7c6d4d4a,fu:7b593a5c,protein_protein_interaction,phosphorylation
fu:7c6d4d4a,fu:f449b983,protein_protein_interaction,phosphorylation
fu:642e62d6,fu:f64183b7,protein_protein_interaction,phosphorylation
fu:99084968,fu:f64183b7,protein_protein_interaction,phosphorylation
fu:7c6d4d4a,fu:8f8c2fbf,protein_protein_interaction,phosphorylation
fu:e2794b69,fu:210acb65,protein_protein_interaction,activation
fu:e2794b69,fu:9a263ecd,protein_protein_interaction,activation
fu:eda4acea,fu:b9db94ef,protein_protein_interaction,activation
fu:af1b2d2f,fu:b8f9f795,protein_protein_interaction,activation
fu:af1b2d2f,fu:aacf07bb,protein_protein_interaction,activation
fu:af1b2d2f,fu:210acb65,protein_protein_interaction,activation
fu:02465256,fu:aacf07bb,protein_protein_interaction,activation
fu:41822415,fu:8cf03d63,protein_protein_interaction,activation
fu:9a263ecd,fu:6dc0c7f6,protein_protein_interaction,phosphorylation
fu:c7fdd986,fu:28d07664,protein_protein_interaction,phosphorylation
fu:f0d46f11,fu:210acb65,protein_protein_interaction,phosphorylation
fu:d0d79cd1,fu:210acb65,protein_protein_interaction,phosphorylation
fu:1ee1c600,fu:66672553,protein_protein_interaction,phosphorylation
fu:e7b77b07,fu:66672553,protein_protein_interaction,phosphorylation
fu:8ce177b4,fu:66672553,protein_protein_interaction,phosphorylation
fu:aacf07bb,fu:416a5afd,protein_protein_interaction,phosphorylation
fu:aacf07bb,fu:5e60e9dc,protein_protein_interaction,phosphorylation
fu:cabad419,fu:b9ec221f,protein_protein_interaction,phosphorylation
fu:cabad419,fu:523a744b,protein_protein_interaction,phosphorylation
fu:cabad419,fu:416a5afd,protein_protein_interaction,phosphorylation
fu:cabad419,fu:5e60e9dc,protein_protein_interaction,phosphorylation
fu:cabad419,fu:db8a4a8a,protein_protein_interaction,phosphorylation
fu:e9c5128e,fu:416a5afd,protein_protein_interaction,phosphorylation
fu:e9c5128e,fu:5e60e9dc,protein_protein_interaction,phosphorylation
