Entrez ID,Gene Symbol,Oncogene Score,p-value,LogFC
10771,ZMYND11,0.0316728,4.93e-12,3.11972
32,ACACB,0.0545847,4.93e-12,-3.96602
10411,RAPGEF3,0.0844925,4.94e-12,-3.69281
1829,DSG2,0.0871488,5e-12,4.48346
60592,SCOC,0.00301906,5.05e-12,3.16873
3679,ITGA7,0.104601,5.15e-12,-3.52533
10564,ARFGEF2,0.00461975,5.38e-12,3.59066
57446,NDRG3,0.0225351,5.42e-12,3.06317
81611,ANP32E,0.0977295,5.71e-12,4.79766
3092,HIP1,0.554744,5.81e-12,3.16297
55500,ETNK1,0.509671,6.24e-12,3.65501
100302143,MIR1248,,6.54e-12,4.67561
5329,PLAUR,0.306146,6.62e-12,3.88927
51322,WAC,0.00501766,6.9e-12,4.22214
155465,AGR3,0.11076,6.9e-12,5.06376
148741,ANKRD35,0.174495,7.01e-12,-3.1584
54897,CASZ1,0.292929,7.25e-12,3.25858
23405,DICER1,0.449453,7.29e-12,4.08905
23016,EXOSC7,0.0255889,7.65e-12,-4.2309
79682,CENPU,0.107074,7.65e-12,3.28481
5591,PRKDC,0.106507,8.16e-12,3.41254
7503,XIST,0.115293,8.54e-12,4.07467
6649,SOD3,0.0743965,8.68e-12,-3.64567
5861,RAB1A,0.060481,9.7e-12,3.90841
1495,CTNNA1,0.415202,1.04e-11,3.5357
57035,RSRP1,0.0767289,1.09e-11,3.65967
1675,CFD,0.0869816,1.16e-11,-4.77415
63924,CIDEC,0.021905,1.26e-11,-5.28256
22902,RUFY3,0.0137695,1.28e-11,3.46566
83543,AIF1L,0.0683243,1.33e-11,-4.75487
5152,PDE9A,0.103153,1.33e-11,-3.29306
55083,KIF26B,0.101129,1.4e-11,4.47824
51330,TNFRSF12A,0.104898,1.4e-11,3.35427
7227,TRPS1,0.528977,1.4e-11,4.51942
8545,CGGBP1,0.00243215,1.46e-11,3.2465
84326,METTL26,,1.49e-11,3.63435
3952,LEP,0.126757,1.49e-11,-6.77803
5950,RBP4,0.122224,1.5e-11,-6.73479
22996,TTC39A,0.0114613,1.51e-11,3.26598
23731,TMEM245,0.014044,1.51e-11,3.78071
9317,PTER,0.00515359,1.65e-11,3.92075
203328,SUSD3,0.0594193,1.73e-11,4.79931
10678,B3GNT2,0.0122246,1.86e-11,3.18495
2782,GNB1,0.0145348,1.87e-11,3.11438
100652856,LINC00408,,1.88e-11,-4.07433
56882,CDC42SE1,0.0073916,1.88e-11,3.30216
1072,CFL1,0.111958,2e-11,3.57418
9261,MAPKAPK2,0.0729898,2e-11,3.08475
2521,FUS,0.40266,2.17e-11,5.41562
79647,AKIRIN1,,2.18e-11,3.65574
7531,YWHAE,0.415962,2.29e-11,3.90734
5611,DNAJC3,0.0514781,2.29e-11,3.34467
1410,CRYAB,0.0606844,2.36e-11,-4.34323
8204,NRIP1,0.479621,2.45e-11,3.41322
7533,YWHAH,0.0286014,2.45e-11,3.21348
3326,HSP90AB1,0.310776,2.63e-11,5.81338
51397,COMMD10,,2.64e-11,3.18104
2752,GLUL,0.0381131,2.73e-11,3.77401
85476,GFM1,0.00469161,2.77e-11,3.24198
54763,ROPN1,0.0813575,2.81e-11,-4.13475
59352,LGR6,0.438763,2.97e-11,-3.27088
10276,NET1,0.10266,3.08e-11,3.52446
25804,LSM4,0.0565789,3.08e-11,3.65031
9768,KIAA0101,,3.11e-11,4.7031
81555,YIPF5,0.0036958,3.23e-11,3.92316
6885,MAP3K7,0.0830098,3.24e-11,3.01095
10611,PDLIM5,0.0251541,3.31e-11,3.34352
729359,PLIN4,0.0234375,3.44e-11,-5.65204
7171,TPM4,0.282905,3.5e-11,3.02929
7148,TNXB,0.012176,3.54e-11,-5.92341
7852,CXCR4,0.439164,3.55e-11,4.56938
1200,TPP1,0.0087847,3.85e-11,3.60419
9,NAT1,0.113395,3.97e-11,6.84971
51714,SELT,,3.99e-11,3.10979
