#node1,node2,node1_string_id,node2_string_id,combined_score
AP2B1,PICALM,9606.ENSP00000483185,9606.ENSP00000377015,0.908
AP2B1,NCALD,9606.ENSP00000483185,9606.ENSP00000379256,0.92
AP2B1,TF,9606.ENSP00000483185,9606.ENSP00000385834,0.512
AP2B1,TFAP2A,9606.ENSP00000483185,9606.ENSP00000501092,0.67
APPL1,RAB5A,9606.ENSP00000288266,9606.ENSP00000273047,0.999
APPL1,TRAPPC11,9606.ENSP00000288266,9606.ENSP00000335371,0.441
APPL1,RAB5C,9606.ENSP00000288266,9606.ENSP00000447053,0.462
APPL1,APPL2,9606.ENSP00000288266,9606.ENSP00000446917,0.989
APPL2,RAB5A,9606.ENSP00000446917,9606.ENSP00000273047,0.788
APPL2,RAB5C,9606.ENSP00000446917,9606.ENSP00000447053,0.68
AR,FKBP4,9606.ENSP00000363822,9606.ENSP00000001008,0.928
AR,RANBP9,9606.ENSP00000363822,9606.ENSP00000011619,0.588
AR,KRT14,9606.ENSP00000363822,9606.ENSP00000167586,0.488
AR,MAPK1,9606.ENSP00000363822,9606.ENSP00000215832,0.527
AR,FOXA1,9606.ENSP00000363822,9606.ENSP00000250448,0.996
AR,KRT5,9606.ENSP00000363822,9606.ENSP00000252242,0.631
AR,FUS,9606.ENSP00000363822,9606.ENSP00000254108,0.681
AR,DNAJB1,9606.ENSP00000363822,9606.ENSP00000254322,0.735
AR,SMARCC1,9606.ENSP00000363822,9606.ENSP00000254480,0.569
AR,LYVE1,9606.ENSP00000363822,9606.ENSP00000256178,0.621
AR,H2BC5,9606.ENSP00000363822,9606.ENSP00000289316,0.543
AR,REL,9606.ENSP00000363822,9606.ENSP00000295025,0.445
AR,HSPB2,9606.ENSP00000363822,9606.ENSP00000302476,0.738
AR,FOS,9606.ENSP00000363822,9606.ENSP00000306245,0.542
AR,ELF5,9606.ENSP00000363822,9606.ENSP00000311010,0.497
AR,PRKDC,9606.ENSP00000363822,9606.ENSP00000313420,0.672
AR,H2BC4,9606.ENSP00000363822,9606.ENSP00000321744,0.549
AR,SIAH2,9606.ENSP00000363822,9606.ENSP00000322457,0.726
