col1,col2
fu:0c600b4235779b9f9c30de21a04c10e095f77fc56130c77b772caf9243264887,PRKACG
fu:d5b71c7bbe761a5dc9aef7833be6cf84ab5d828dab2bb72fd435ac02ae2d9c0b,RAPGEF2
fu:12daed41dad55bedb1042290de043ff6e78af2c932556a26fc3e480cdb394009,RASA2
fu:fb0a68698cc1e904d870f5ef3981057e333907efd29bebd8b2a9fab9774a724a,RRAS2
fu:fb0a68698cc1e904d870f5ef3981057e333907efd29bebd8b2a9fab9774a724a,MRAS
fu:fb0a68698cc1e904d870f5ef3981057e333907efd29bebd8b2a9fab9774a724a,HRAS
fu:fb0a68698cc1e904d870f5ef3981057e333907efd29bebd8b2a9fab9774a724a,KRAS
fu:fb0a68698cc1e904d870f5ef3981057e333907efd29bebd8b2a9fab9774a724a,NRAS
fu:fb0a68698cc1e904d870f5ef3981057e333907efd29bebd8b2a9fab9774a724a,RRAS
fu:f8b5a6dccbd91312a28c9d47294c38427d8763525fcaf8172cca03e37d79d260,RASGRP1
fu:f8b5a6dccbd91312a28c9d47294c38427d8763525fcaf8172cca03e37d79d260,RASGRP2
fu:f8b5a6dccbd91312a28c9d47294c38427d8763525fcaf8172cca03e37d79d260,RASGRP4
fu:f8b5a6dccbd91312a28c9d47294c38427d8763525fcaf8172cca03e37d79d260,RASGRP3
fu:a4db95ef208ce958a72df0d50c1bac730763d86c9ea131c0377afcec7f8a1630,SOS1
fu:a4db95ef208ce958a72df0d50c1bac730763d86c9ea131c0377afcec7f8a1630,SOS2
fu:3caf9b5f87d63a70dcce3412b65339de9f6db6b4b8d56a08e8f080aff1a80317,GNA12
fu:3caf9b5f87d63a70dcce3412b65339de9f6db6b4b8d56a08e8f080aff1a80317,GNG12
fu:a7d43ed04225d75593d792806ecf4a7fdcdfabd65b78644a89e5d02dab1ab986,GRB2
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,CSF1R
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,EGFR
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,EPHA2
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,ERBB2
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,ERBB3
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,ERBB4
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,FGFR1
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,FGFR3
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,FGFR2
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,FGFR4
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,FLT1
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,FLT3
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,FLT4
