col1,col2
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF7
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF8
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF9
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF10
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,VEGFD
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FLT3LG
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF20
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF21
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,GDNF
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF22
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,ANGPT1
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,ANGPT2
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,HGF
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,IGF1
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,IGF2
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,INS
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,AREG
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,KITLG
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,NGF
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,NRTN
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,NTF3
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,NTF4
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,ANGPT4
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,PDGFA
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,PDGFB
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,PGF
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,PDGFC
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,PSPN
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,BDNF
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,TGFA
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,VEGFA
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,VEGFB
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,VEGFC
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,PDGFD
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF23
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF18
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF17
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF16
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,ARTN
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF19
fu:e0c5c39903ec776bd435971db9105b1318f9e061b0379d3026c0565f13091456,TRADD
fu:9f4809138a800ea38b00483325afcc23f9df85066bdafd0394186142781b312b,MYD88
fu:198e05b949c4888a5ff3b09f9f893d3b98d70ab34defa0436e0a3f30f0fb11f1,IRAK1
fu:198e05b949c4888a5ff3b09f9f893d3b98d70ab34defa0436e0a3f30f0fb11f1,IRAK4
fu:5d98fc210da7e2e1c74ce5cc25faed3242559c521d65c334990558f5842cff4b,ARAF
fu:f88cbaa674b264c130f58bfe224fa3b91eb284cef051b2c90b90249863426945,MAX
fu:6738a5cb3d1acef83359ebd1f24a746c53764177a20a976b4f4c11ff24a3a794,MYC
fu:6738a5cb3d1acef83359ebd1f24a746c53764177a20a976b4f4c11ff24a3a794,MAX
fu:5c1da86a671666064947fab8dc2c8783e502175cefa547a79fe0fafcad53550d,SRF
fu:5c1da86a671666064947fab8dc2c8783e502175cefa547a79fe0fafcad53550d,ELK4
fu:5c1da86a671666064947fab8dc2c8783e502175cefa547a79fe0fafcad53550d,ELK1
