mRNA,miR
LCLAT1,MIMAT0000257
TFRC,MIMAT0000257
TBL1XR1,MIMAT0000257
ZNF268,MIMAT0000257
C2orf69,MIMAT0000257
ZNF616,MIMAT0000257
NCOA3,MIMAT0000257
RLIM,MIMAT0000257
GANAB,MIMAT0000257
SCN8A,MIMAT0000257
CYLD,MIMAT0000257
MRPS23,MIMAT0000257
NLK,MIMAT0000257
CHMP2B,MIMAT0000257
ZBTB4,MIMAT0000257
ASB13,MIMAT0000257
PHC3,MIMAT0000257
CHD9,MIMAT0000257
KLHL15,MIMAT0000257
OTUD1,MIMAT0000257
NFIA,MIMAT0000257
ZBTB33,MIMAT0000257
NMT2,MIMAT0000257
SCD,MIMAT0000257
FOXL1,MIMAT0000257
MAN1A2,MIMAT0000257
KPNA4,MIMAT0000257
PEBP1,MIMAT0000257
CCL22,MIMAT0000257
MYO1C,MIMAT0000257
HEPHL1,MIMAT0000257
C17orf100,MIMAT0000257
ESR1,MIMAT0000257
PURB,MIMAT0000257
ZC3HAV1L,MIMAT0000257
ZNF440,MIMAT0000257
PTEN,MIMAT0000257
CPEB4,MIMAT0000257
SLC10A7,MIMAT0000257
CHCHD7,MIMAT0000257
OSBPL8,MIMAT0000257
ZNF121,MIMAT0000257
RORA,MIMAT0000072
RNF157,MIMAT0000072
PDE4D,MIMAT0000072
STK4,MIMAT0000072
VMA21,MIMAT0000072
NR3C1,MIMAT0000072
TCEA2,MIMAT0000072
WAC,MIMAT0000072
PDIK1L,MIMAT0000072
DCUN1D3,MIMAT0000072
PTCHD1,MIMAT0000072
STX12,MIMAT0000072
TMUB2,MIMAT0000072
NCOA3,MIMAT0000072
RLIM,MIMAT0000072
RBM38,MIMAT0000072
RAP1A,MIMAT0000072
GIGYF1,MIMAT0000072
NBEA,MIMAT0000072
WWTR1,MIMAT0000072
MRPL35,MIMAT0000072
POGK,MIMAT0000072
GATAD2A,MIMAT0000072
MATR3,MIMAT0000072
BCL2L11,MIMAT0000072
TP53,MIMAT0000072
IFNAR2,MIMAT0000072
FAM104A,MIMAT0000072
UTP14C,MIMAT0000072
ACAP3,MIMAT0000072
EXPH5,MIMAT0000072
ACIN1,MIMAT0000072
RNF4,MIMAT0000072
THRA,MIMAT0000072
AP3S2,MIMAT0000072
SMAD2,MIMAT0000072
CIZ1,MIMAT0000072
ARF6,MIMAT0000072
HMGCS1,MIMAT0000072
PPP1CB,MIMAT0000072
RPS6KA5,MIMAT0000072
TSC22D3,MIMAT0000072
MEF2D,MIMAT0000072
SERTAD3,MIMAT0000072
CDCA5,MIMAT0000072
SPPL3,MIMAT0000072
UBTD2,MIMAT0000072
ORAI3,MIMAT0000072
JMY,MIMAT0000072
SON,MIMAT0000072
GNAS,MIMAT0000072
CREBL2,MIMAT0000072
GCH1,MIMAT0000072
TNRC6B,MIMAT0000072
IRF1,MIMAT0002819
SUN1,MIMAT0002819
SURF4,MIMAT0002819
BLM,MIMAT0002819
VAMP8,MIMAT0002819
KREMEN1,MIMAT0002819
TMPPE,MIMAT0002819
LMCD1,MIMAT0002819
KIT,MIMAT0002819
RASSF5,MIMAT0002819
HDGF,MIMAT0002819
AMACR,MIMAT0002819
AHDC1,MIMAT0002819
EIF4B,MIMAT0002819
TRMT2A,MIMAT0002819
NEIL2,MIMAT0002819
NAGA,MIMAT0002819
MEPCE,MIMAT0002819
ASXL1,MIMAT0002819
KIF1B,MIMAT0002819
TET3,MIMAT0002819
TSC1,MIMAT0002819
RSF1,MIMAT0002819
SPTBN2,MIMAT0002819
GOSR1,MIMAT0002819
ENAH,MIMAT0002819
MND1,MIMAT0002819
CNOT6,MIMAT0002819
MTR,MIMAT0002819
WNK1,MIMAT0002819
ACBD6,MIMAT0002819
MYO5A,MIMAT0002819
PRKCA,MIMAT0002819
PSMC5,MIMAT0002819
PIP5K1C,MIMAT0002819
TMEM164,MIMAT0002819
EEFSEC,MIMAT0002819
CLSTN1,MIMAT0002819
PARP15,MIMAT0002819
PTK7,MIMAT0002819
UBR1,MIMAT0002819
TXLNA,MIMAT0002819
TUBB,MIMAT0002819
HM13,MIMAT0002819
MCL1,MIMAT0002819
G3BP1,MIMAT0002819
MRRF,MIMAT0002819
ZNF71,MIMAT0002819
ABI2,MIMAT0002819
PMAIP1,MIMAT0002819
ARNTL2,MIMAT0002819
SLC25A15,MIMAT0002819
TNFRSF21,MIMAT0002819
ZBTB5,MIMAT0002819
ENDOD1,MIMAT0002819
ASB3,MIMAT0002819
LEF1,MIMAT0002819
HP1BP3,MIMAT0002819
PSMC3IP,MIMAT0002819
ZC3H7B,MIMAT0002819
ALKBH5,MIMAT0002819
INO80D,MIMAT0002819
ELP3,MIMAT0002819
ARMC1,MIMAT0002819
HHAT,MIMAT0002819
DNAJC11,MIMAT0002819
IPO8,MIMAT0002819
TGFBR3,MIMAT0002819
DCTN5,MIMAT0002819
ARHGAP19,MIMAT0002819
STX16,MIMAT0002819
TWF1,MIMAT0002819
BTRC,MIMAT0002819
CLPB,MIMAT0002819
CDK6,MIMAT0002819
RPS3,MIMAT0002819
SENP1,MIMAT0002819
MAZ,MIMAT0002819
CUL4A,MIMAT0002819
MAPK8,MIMAT0002819
HADHB,MIMAT0002819
PLS3,MIMAT0002819
DBNL,MIMAT0002819
STARD7,MIMAT0002819
ZNF512B,MIMAT0002819
HEATR6,MIMAT0002819
WDR82,MIMAT0002819
HHLA1,MIMAT0002819
SMAD3,MIMAT0002819
ATP1A1,MIMAT0002819
SYNRG,MIMAT0002819
PPARGC1B,MIMAT0002819
ZFYVE27,MIMAT0002819
PHF8,MIMAT0002819
CIAO1,MIMAT0002819
SYMPK,MIMAT0002819
SH3BP5,MIMAT0002819
PFN1,MIMAT0002819
RBM8A,MIMAT0002819
GDF11,MIMAT0002819
SIX1,MIMAT0002819
LASP1,MIMAT0002819
AGPAT1,MIMAT0002819
TCFL5,MIMAT0002819
ABCF2,MIMAT0002819
AHSA1,MIMAT0002819
CDC42EP4,MIMAT0002819
GCA,MIMAT0002819
SF3B3,MIMAT0002819
