pathway_id,pathway_position_id,pathway_position_type,functional_unit_id,functional_unit_logic,gene_id,entry_id,evidence,notes
path:hsa05224,226,node,FU_4412b94f,OR,hsa:2250,226,KGML,isozyme group
path:hsa05224,226,node,FU_4412b94f,OR,hsa:2251,226,KGML,isozyme group
path:hsa05224,226,node,FU_4412b94f,OR,hsa:2252,226,KGML,isozyme group
path:hsa05224,226,node,FU_4412b94f,OR,hsa:2253,226,KGML,isozyme group
path:hsa05224,226,node,FU_4412b94f,OR,hsa:2254,226,KGML,isozyme group
path:hsa05224,226,node,FU_4412b94f,OR,hsa:2255,226,KGML,isozyme group
path:hsa05224,226,node,FU_4412b94f,OR,hsa:26281,226,KGML,isozyme group
path:hsa05224,226,node,FU_4412b94f,OR,hsa:26291,226,KGML,isozyme group
path:hsa05224,226,node,FU_4412b94f,OR,hsa:27006,226,KGML,isozyme group
path:hsa05224,226,node,FU_4412b94f,OR,hsa:8074,226,KGML,isozyme group
path:hsa05224,226,node,FU_4412b94f,OR,hsa:8817,226,KGML,isozyme group
path:hsa05224,226,node,FU_4412b94f,OR,hsa:8822,226,KGML,isozyme group
path:hsa05224,226,node,FU_4412b94f,OR,hsa:8823,226,KGML,isozyme group
path:hsa05224,226,node,FU_4412b94f,OR,hsa:9965,226,KGML,isozyme group
path:hsa05224,228,node,FU_b34e0962,SINGLE,hsa:2064,228,KGML,
path:hsa05224,229,node,FU_61290df4,OR,hsa:3280,229,KGML,isozyme group
path:hsa05224,229,node,FU_61290df4,OR,hsa:388585,229,KGML,isozyme group
path:hsa05224,230,node,FU_5dc71e0b,OR,hsa:23462,230,KGML,isozyme group
path:hsa05224,230,node,FU_5dc71e0b,OR,hsa:23493,230,KGML,isozyme group
path:hsa05224,230,node,FU_5dc71e0b,OR,hsa:26508,230,KGML,isozyme group
path:hsa05224,231,node,FU_e1948a48,SINGLE,hsa:2324,231,KGML,
path:hsa05224,236,node,FU_2694ec10,SINGLE,hsa:2064,236,KGML,
path:hsa05224,242,node,FU_74f3b2f0,SINGLE,hsa:7157,242,KGML,
path:hsa05224,248,node,FU_c54b6f77,SINGLE,hsa:1026,248,KGML,
path:hsa05224,249,node,FU_ea7e930f,OR,hsa:10912,249,KGML,isozyme group
path:hsa05224,249,node,FU_ea7e930f,OR,hsa:1647,249,KGML,isozyme group
path:hsa05224,249,node,FU_ea7e930f,OR,hsa:4616,249,KGML,isozyme group
path:hsa05224,250,node,FU_423be9c7,SINGLE,hsa:581,250,KGML,
path:hsa05224,251,node,FU_e0402909,SINGLE,hsa:578,251,KGML,
path:hsa05224,252,node,FU_f90eab14,SINGLE,hsa:1643,252,KGML,
path:hsa05224,253,node,FU_85147b1b,SINGLE,hsa:51426,253,KGML,
