node_id,node_type,label,extra
FU_f8c9a85a,functional_unit,FU_f8c9a85a,logic=SINGLE
hsa:675,gene,hsa:675,
FU_2a653a39,functional_unit,FU_2a653a39,logic=OR
hsa:2246,gene,hsa:2246,
hsa:2247,gene,hsa:2247,
hsa:2248,gene,hsa:2248,
hsa:2249,gene,hsa:2249,
hsa:2250,gene,hsa:2250,
hsa:2251,gene,hsa:2251,
hsa:2252,gene,hsa:2252,
hsa:2253,gene,hsa:2253,
hsa:2254,gene,hsa:2254,
hsa:2255,gene,hsa:2255,
hsa:26281,gene,hsa:26281,
hsa:26291,gene,hsa:26291,
hsa:27006,gene,hsa:27006,
hsa:8074,gene,hsa:8074,
hsa:8817,gene,hsa:8817,
hsa:8822,gene,hsa:8822,
hsa:8823,gene,hsa:8823,
hsa:9965,gene,hsa:9965,
FU_9fa74e60,functional_unit,FU_9fa74e60,logic=SINGLE
FU_253a8153,functional_unit,FU_253a8153,logic=OR
hsa:3280,gene,hsa:3280,
hsa:388585,gene,hsa:388585,
FU_a1f42796,functional_unit,FU_a1f42796,logic=OR
hsa:23462,gene,hsa:23462,
hsa:23493,gene,hsa:23493,
hsa:26508,gene,hsa:26508,
FU_9e397415,functional_unit,FU_9e397415,logic=SINGLE
hsa:2324,gene,hsa:2324,
FU_fb6878b9,functional_unit,FU_fb6878b9,logic=SINGLE
FU_f38485c3,functional_unit,FU_f38485c3,logic=SINGLE
hsa:7157,gene,hsa:7157,
FU_46bbc60a,functional_unit,FU_46bbc60a,logic=SINGLE
FU_03cab526,functional_unit,FU_03cab526,logic=OR
hsa:10912,gene,hsa:10912,
hsa:1647,gene,hsa:1647,
hsa:4616,gene,hsa:4616,
FU_71be3dd9,functional_unit,FU_71be3dd9,logic=SINGLE
hsa:581,gene,hsa:581,
FU_6650df52,functional_unit,FU_6650df52,logic=SINGLE
hsa:578,gene,hsa:578,
FU_4955e13c,functional_unit,FU_4955e13c,logic=SINGLE
hsa:1643,gene,hsa:1643,
FU_ef7d760f,functional_unit,FU_ef7d760f,logic=SINGLE
hsa:51426,gene,hsa:51426,
