ID,Gene.symbol,Gene.title,Gene.ID,adj.P.Val,P.Value,t,B,logFC
1558254_s_at,SRPK2,SRSF protein kinase 2,6733,1.37e-20,1.37e-24,22.6,45.6103,3.88955
205597_at,SLC44A4,solute carrier family 44 member 4,80736,6.64e-20,8.89e-24,21.5,43.8294,5.85068
222699_s_at,PLEKHF2,pleckstrin homology and FYVE domain containing 2,79666,1.72e-18,4.48e-22,19.3,40.0589,4.9842
215646_s_at,VCAN,versican,1462,1.72e-18,4.61e-22,19.3,40.0303,7.45133
219121_s_at,ESRP1,epithelial splicing regulatory protein 1,54845,4.98e-18,2e-21,18.6,38.6093,4.71584
202543_s_at,GMFB,glia maturation factor beta,2764,5.09e-18,2.22e-21,18.5,38.5094,3.92518
205941_s_at,COL10A1,collagen type X alpha 1 chain,1300,1.54e-17,8.23e-21,17.8,37.2337,8.64166
231766_s_at,COL12A1,collagen type XII alpha 1 chain,1303,1.99e-17,1.13e-20,17.7,36.9241,7.2005
208622_s_at,EZR,ezrin,7430,2.18e-17,1.39e-20,17.6,36.7255,5.38798
212344_at,SULF1,sulfatase 1,23213,3.49e-17,2.34e-20,17.3,36.215,5.94413
201971_s_at,ATP6V1A,ATPase H+ transporting V1 subunit A,523,3.67e-17,2.62e-20,17.3,36.1055,4.86917
217777_s_at,HACD3,3-hydroxyacyl-CoA dehydratase 3,51495,3.67e-17,2.83e-20,17.2,36.0296,5.47022
201663_s_at,SMC4,structural maintenance of chromosomes 4,10051,4.55e-17,3.66e-20,17.1,35.7789,4.75038
211612_s_at,IL13RA1,interleukin 13 receptor subunit alpha 1,3597,6.24e-17,5.43e-20,16.9,35.3919,4.21972
201688_s_at,TPD52,tumor protein D52,7163,1.07e-16,1.04e-19,16.6,34.756,6.28158
1568954_s_at,C16orf72,chromosome 16 open reading frame 72,29035,1.86e-16,2.03e-19,16.3,34.1039,3.3554
204667_at,FOXA1,forkhead box A1,3169,1.86e-16,2.07e-19,16.3,34.081,3.82225
1556006_s_at,CSNK1A1,casein kinase 1 alpha 1,1452,2.69e-16,3.52e-19,16.1,33.5629,4.3834
207265_s_at,KDELR3,KDEL endoplasmic reticulum protein retention receptor 3,11015,5.41e-16,8.69e-19,15.6,32.6753,3.98919
210735_s_at,CA12,carbonic anhydrase 12,771,5.57e-16,9.13e-19,15.6,32.627,6.13946
201523_x_at,UBE2N,ubiquitin conjugating enzyme E2 N,7334,5.58e-16,9.53e-19,15.6,32.5847,4.27918
210495_x_at,FN1,fibronectin 1,2335,6.37e-16,1.11e-18,15.5,32.4367,3.62455
201504_s_at,TSN,translin,7247,8.69e-16,1.63e-18,15.4,32.0574,3.63724
1554482_a_at,SAR1B,secretion associated Ras related GTPase 1B,51128,1.11e-15,2.3e-18,15.2,31.7173,3.16507
232078_at,NECTIN2,nectin cell adhesion molecule 2,5819,1.13e-15,2.38e-18,15.2,31.6835,4.82155
205895_s_at,NOLC1,nucleolar and coiled-body phosphoprotein 1,9221,1.21e-15,2.58e-18,15.2,31.6044,3.51722
222507_s_at,TMEM9B,TMEM9 domain family member B,56674,1.85e-15,4.35e-18,14.9,31.0923,4.79424
1554747_a_at,SEPT2,septin 2,4735,1.96e-15,4.65e-18,14.9,31.026,4.80115
201309_x_at,NREP,neuronal regeneration related protein,9315,2.02e-15,4.86e-18,14.9,30.9824,4.73584
212008_at,UBXN4,UBX domain protein 4,23190,2.04e-15,4.98e-18,14.9,30.9577,5.05378
1555948_s_at,FAM120A,family with sequence similarity 120A,23196,2.05e-15,5.08e-18,14.9,30.9386,3.46084
226524_at,C3orf38,chromosome 3 open reading frame 38,285237,2.11e-15,5.36e-18,14.8,30.8854,3.16563
217799_x_at,UBE2H,ubiquitin conjugating enzyme E2 H,7328,2.14e-15,5.52e-18,14.8,30.8569,4.15536
212472_at,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2",9645,2.47e-15,6.53e-18,14.8,30.6908,4.38373
233878_s_at,XRN2,5'-3' exoribonuclease 2,22803,3.22e-15,8.83e-18,14.6,30.3934,3.74323
202311_s_at,COL1A1,collagen type I alpha 1 chain,1277,3.33e-15,9.37e-18,14.6,30.3353,5.45264
202955_s_at,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1,10565,3.99e-15,1.15e-17,14.5,30.1348,3.45626
210511_s_at,INHBA,inhibin beta A subunit,3624,4.31e-15,1.25e-17,14.5,30.0474,6.12171
214845_s_at,CALU,calumenin,813,4.38e-15,1.29e-17,14.5,30.0192,4.30004
1569106_s_at,SETD5,SET domain containing 5,55209,4.83e-15,1.45e-17,14.4,29.9014,4.07638
208952_s_at,LARP4B,La ribonucleoprotein domain family member 4B,23185,5.43e-15,1.67e-17,14.4,29.764,3.5556
217791_s_at,ALDH18A1,aldehyde dehydrogenase 18 family member A1,5832,6.34e-15,2.06e-17,14.3,29.5591,3.2864
212960_at,TBC1D9,TBC1 domain family member 9,23158,8.41e-15,2.76e-17,14.2,29.2704,4.38515
212623_at,TMEM41B,transmembrane protein 41B,440026,8.59e-15,2.88e-17,14.1,29.229,4.0356
219015_s_at,ALG13,"ALG13, UDP-N-acetylglucosaminyltransferase subunit",79868,9.26e-15,3.19e-17,14.1,29.126,3.36644
230906_at,GALNT10,polypeptide N-acetylgalactosaminyltransferase 10,55568,1.08e-14,3.9e-17,14,28.9293,4.30092
225400_at,TSEN15,tRNA splicing endonuclease subunit 15,116461,1.1e-14,4.07e-17,14,28.8849,3.38426
200776_s_at,BZW1,basic leucine zipper and W2 domains 1,9689,1.15e-14,4.39e-17,14,28.8108,3.024
200900_s_at,M6PR,"mannose-6-phosphate receptor, cation dependent",4074,1.17e-14,4.55e-17,13.9,28.7756,4.03524
217919_s_at,MRPL42,mitochondrial ribosomal protein L42,28977,1.3e-14,5.15e-17,13.9,28.653,3.80953
212595_s_at,DAZAP2,DAZ associated protein 2,9802,1.33e-14,5.3e-17,13.9,28.625,4.77417
218302_at,PSENEN,presenilin enhancer gamma-secretase subunit,55851,1.37e-14,5.55e-17,13.9,28.579,4.50705
229802_at,WISP1,WNT1 inducible signaling pathway protein 1,8840,1.73e-14,7.32e-17,13.8,28.3067,6.24812
214007_s_at,TWF1,twinfilin actin binding protein 1,5756,1.89e-14,8.16e-17,13.7,28.199,3.7329
201912_s_at,GSPT1,G1 to S phase transition 1,2935,2.13e-14,9.33e-17,13.7,28.0664,3.25153
218866_s_at,POLR3K,RNA polymerase III subunit K,51728,2.13e-14,9.41e-17,13.6,28.0581,4.00956
201169_s_at,BHLHE40,basic helix-loop-helix family member e40,8553,2.21e-14,9.86e-17,13.6,28.0117,5.58404
1554441_a_at,WAPL,WAPL cohesin release factor,23063,2.47e-14,1.13e-16,13.6,27.8803,3.32816
209526_s_at,HDGFRP3,"hepatoma-derived growth factor, related protein 3",50810,2.5e-14,1.15e-16,13.6,27.8623,3.5867
211559_s_at,CCNG2,cyclin G2,901,2.68e-14,1.24e-16,13.5,27.7874,5.52905
217188_s_at,C14orf1,chromosome 14 open reading frame 1,11161,2.7e-14,1.26e-16,13.5,27.771,3.87928
207549_x_at,CD46,CD46 molecule,4179,3.09e-14,1.46e-16,13.5,27.6249,4.95172
203878_s_at,MMP11,matrix metallopeptidase 11,4320,3.35e-14,1.59e-16,13.4,27.5379,6.22327
207172_s_at,CDH11,cadherin 11,1009,3.37e-14,1.61e-16,13.4,27.5249,5.57914
224642_at,FYTTD1,forty-two-three domain containing 1,84248,3.5e-14,1.71e-16,13.4,27.4678,3.73548
222587_s_at,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7,51809,3.88e-14,1.92e-16,13.4,27.351,5.14328
222496_s_at,RBM47,RNA binding motif protein 47,54502,4.48e-14,2.31e-16,13.3,27.1697,3.72244
218342_s_at,ERMP1,endoplasmic reticulum metallopeptidase 1,79956,4.92e-14,2.59e-16,13.2,27.0578,3.67619
200751_s_at,HNRNPC,heterogeneous nuclear ribonucleoprotein C (C1/C2),3183,4.96e-14,2.62e-16,13.2,27.0438,3.33372
210337_s_at,ACLY,ATP citrate lyase,47,5.39e-14,2.92e-16,13.2,26.936,4.12335
206075_s_at,CSNK2A1,casein kinase 2 alpha 1,1457,5.68e-14,3.14e-16,13.2,26.866,3.76121
203417_at,MFAP2,microfibrillar associated protein 2,4237,5.68e-14,3.15e-16,13.2,26.8614,4.80916
201879_at,ARIH1,ariadne RBR E3 ubiquitin protein ligase 1,25820,5.68e-14,3.15e-16,13.2,26.8612,3.58495
202143_s_at,COPS8,COP9 signalosome subunit 8,10920,5.78e-14,3.24e-16,13.1,26.8337,4.20772
224829_at,CPEB4,cytoplasmic polyadenylation element binding protein 4,80315,6.08e-14,3.49e-16,13.1,26.7612,4.47758
216591_s_at,SDHC,succinate dehydrogenase complex subunit C,6391,6.08e-14,3.5e-16,13.1,26.7573,4.11557
1554433_a_at,ZNF146,zinc finger protein 146,7705,6.32e-14,3.66e-16,13.1,26.7133,3.883
1555736_a_at,AGTRAP,angiotensin II receptor associated protein,57085,6.47e-14,3.79e-16,13.1,26.6788,3.79947
203108_at,GPRC5A,G protein-coupled receptor class C group 5 member A,9052,6.99e-14,4.17e-16,13,26.5855,5.17479
235103_at,MAN2A1,mannosidase alpha class 2A member 1,4124,7.58e-14,4.57e-16,13,26.4938,3.9818
201096_s_at,ARF4,ADP ribosylation factor 4,378,8.41e-14,5.1e-16,13,26.3858,3.71406
217763_s_at,RAB31,"RAB31, member RAS oncogene family",11031,8.71e-14,5.36e-16,12.9,26.3355,3.60303
211090_s_at,PRPF4B,pre-mRNA processing factor 4B,8899,9.23e-14,5.72e-16,12.9,26.2722,4.56624
224917_at,MIR21,microRNA 21///vacuole membrane protein 1,406991,9.55e-14,6.08e-16,12.9,26.2117,4.86464
203553_s_at,MAP4K5,mitogen-activated protein kinase kinase kinase kinase 5,11183,9.74e-14,6.23e-16,12.9,26.1876,3.31039
225237_s_at,MSI2,musashi RNA binding protein 2,124540,9.92e-14,6.37e-16,12.9,26.1643,4.48067
228851_s_at,ENSA,endosulfine alpha,2029,1e-13,6.47e-16,12.9,26.1498,3.53597
207782_s_at,PSEN1,presenilin 1,5663,1.03e-13,6.7e-16,12.9,26.1153,3.89377
201742_x_at,SRSF1,serine and arginine rich splicing factor 1,6426,1.06e-13,7.01e-16,12.8,26.0695,5.04574
218209_s_at,RPRD1A,regulation of nuclear pre-mRNA domain containing 1A,55197,1.08e-13,7.21e-16,12.8,26.0427,3.28348
202654_x_at,MARCH7,membrane associated ring-CH-type finger 7,64844,1.11e-13,7.46e-16,12.8,26.0084,3.35501
1554260_a_at,FRYL,FRY like transcription coactivator,285527,1.19e-13,8e-16,12.8,25.9396,3.167
1564494_s_at,P4HB,prolyl 4-hydroxylase subunit beta,5034,1.2e-13,8.13e-16,12.8,25.9226,5.5041
204427_s_at,TMED2,transmembrane p24 trafficking protein 2,10959,1.25e-13,8.59e-16,12.8,25.8685,5.19734
201476_s_at,RRM1,ribonucleotide reductase catalytic subunit M1,6240,1.31e-13,9.07e-16,12.7,25.8145,3.20243
227801_at,TRIM59,tripartite motif containing 59,286827,1.35e-13,9.51e-16,12.7,25.7682,3.45644
208750_s_at,MIR3620,microRNA 3620///ADP ribosylation factor 1,100500810,1.35e-13,9.52e-16,12.7,25.7663,5.60166
222399_s_at,TM9SF3,transmembrane 9 superfamily member 3,56889,1.42e-13,1.04e-15,12.7,25.6837,3.23411
218013_x_at,DCTN4,dynactin subunit 4,51164,1.42e-13,1.04e-15,12.7,25.6828,3.77945
206113_s_at,RAB5A,"RAB5A, member RAS oncogene family",5868,1.43e-13,1.06e-15,12.7,25.6595,4.11012
224492_s_at,ZNF627,zinc finger protein 627,199692,1.61e-13,1.22e-15,12.6,25.5204,3.26424
233555_s_at,SULF2,sulfatase 2,55959,1.66e-13,1.27e-15,12.6,25.4811,4.74312
200729_s_at,ACTR2,ARP2 actin related protein 2 homolog,10097,1.67e-13,1.28e-15,12.6,25.4711,3.35685
203630_s_at,COG5,component of oligomeric golgi complex 5,10466,1.67e-13,1.29e-15,12.6,25.4652,3.10758
1555778_a_at,POSTN,periostin,10631,1.7e-13,1.33e-15,12.6,25.4356,5.76817
224396_s_at,ASPN,asporin,54829,1.7e-13,1.33e-15,12.6,25.4335,7.47693
1563111_a_at,PIGX,phosphatidylinositol glycan anchor biosynthesis class X,54965,1.81e-13,1.44e-15,12.6,25.3589,3.45976
215921_at,NPIPA5,nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B6///nuclear pore complex interacting protein family member B8///nuclear pore complex interacting protein family member B3,100288332,1.81e-13,1.44e-15,12.6,25.3575,3.61688
1554627_a_at,ASCC1,activating signal cointegrator 1 complex subunit 1,51008,2.02e-13,1.65e-15,12.5,25.2194,3.52596
216593_s_at,PIGC,phosphatidylinositol glycan anchor biosynthesis class C,5279,2.1e-13,1.73e-15,12.5,25.1755,3.50421
224909_s_at,PREX1,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1",57580,2.14e-13,1.77e-15,12.5,25.1505,3.48757
1555618_s_at,SAE1,SUMO1 activating enzyme subunit 1,10055,2.21e-13,1.88e-15,12.5,25.0942,3.64481
225681_at,CTHRC1,collagen triple helix repeat containing 1,115908,2.21e-13,1.88e-15,12.5,25.0903,4.93034
223423_at,GPR160,G protein-coupled receptor 160,26996,2.41e-13,2.06e-15,12.4,24.9993,4.98041
209955_s_at,FAP,fibroblast activation protein alpha,2191,2.54e-13,2.18e-15,12.4,24.9437,4.94137
218806_s_at,VAV3,vav guanine nucleotide exchange factor 3,10451,2.61e-13,2.26e-15,12.4,24.9091,4.97179
233558_s_at,TRAPPC11,trafficking protein particle complex 11,60684,2.62e-13,2.28e-15,12.4,24.9013,3.23818
1555460_a_at,SLC39A6,solute carrier family 39 member 6,25800,2.69e-13,2.35e-15,12.4,24.8692,6.28328
207108_s_at,NIPBL,"NIPBL, cohesin loading factor",25836,2.77e-13,2.46e-15,12.4,24.8258,3.12404
201399_s_at,TRAM1,translocation associated membrane protein 1,23471,2.78e-13,2.47e-15,12.4,24.8204,4.15737
202583_s_at,RANBP9,RAN binding protein 9,10048,2.95e-13,2.67e-15,12.3,24.7433,4.01746
218782_s_at,ATAD2,"ATPase family, AAA domain containing 2",29028,3.11e-13,2.85e-15,12.3,24.6809,4.10523
41660_at,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1,9620,3.21e-13,2.95e-15,12.3,24.6435,4.06412
223289_s_at,USP38,ubiquitin specific peptidase 38,84640,3.55e-13,3.35e-15,12.2,24.519,3.22955
226961_at,PRR15,proline rich 15,222171,3.65e-13,3.46e-15,12.2,24.4876,3.80473
210108_at,CACNA1D,calcium voltage-gated channel subunit alpha1 D,776,3.82e-13,3.73e-15,12.2,24.411,4.9632
205588_s_at,FGFR1OP,FGFR1 oncogene partner,11116,3.89e-13,3.81e-15,12.2,24.3902,3.08247
210178_x_at,SRSF10,serine and arginine rich splicing factor 10,10772,3.99e-13,3.98e-15,12.2,24.348,3.51991
212271_at,MAPK1,mitogen-activated protein kinase 1,5594,4.23e-13,4.31e-15,12.1,24.2696,3.07731
37892_at,COL11A1,collagen type XI alpha 1 chain,1301,4.29e-13,4.43e-15,12.1,24.2423,7.94893
226319_s_at,ALYREF,Aly/REF export factor,10189,4.52e-13,4.78e-15,12.1,24.1665,4.41989
226094_at,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,5286,4.68e-13,4.98e-15,12.1,24.1255,4.02415
212016_s_at,MIR4745,microRNA 4745///polypyrimidine tract binding protein 1,100616459,4.91e-13,5.28e-15,12.1,24.0682,3.32019
214500_at,H2AFY,H2A histone family member Y,9555,4.97e-13,5.35e-15,12.1,24.0537,3.82774
242706_s_at,MED23,mediator complex subunit 23,9439,5.07e-13,5.48e-15,12.1,24.0296,3.36698
1554365_a_at,PPP2R5C,protein phosphatase 2 regulatory subunit B'gamma,5527,5.28e-13,5.78e-15,12,23.9774,3.19383
215936_s_at,KIAA1033,KIAA1033,23325,5.28e-13,5.78e-15,12,23.9772,3.36016
201262_s_at,BGN,biglycan,633,5.38e-13,5.92e-15,12,23.9532,4.75435
1552610_a_at,JAK1,Janus kinase 1,3716,5.47e-13,6.04e-15,12,23.934,4.8515
202593_s_at,GDE1,glycerophosphodiester phosphodiesterase 1,51573,5.67e-13,6.32e-15,12,23.8891,5.0615
209162_s_at,PRPF4,pre-mRNA processing factor 4,9128,5.67e-13,6.34e-15,12,23.8857,4.3737
226930_at,FNDC1,fibronectin type III domain containing 1,84624,5.84e-13,6.61e-15,12,23.8447,5.11715
200712_s_at,MAPRE1,microtubule associated protein RP/EB family member 1,22919,5.84e-13,6.62e-15,12,23.8431,3.60727
201695_s_at,PNP,purine nucleoside phosphorylase,4860,6.3e-13,7.26e-15,11.9,23.7517,3.63276
1555831_s_at,LRRC41,leucine rich repeat containing 41,10489,6.62e-13,7.64e-15,11.9,23.7001,3.14811
218260_at,DDA1,DET1 and DDB1 associated 1,79016,7.95e-13,9.37e-15,11.9,23.4981,3.24693
202404_s_at,COL1A2,collagen type I alpha 2 chain,1278,8.6e-13,1.03e-14,11.8,23.4086,3.30705
201109_s_at,THBS1,thrombospondin 1,7057,8.67e-13,1.04e-14,11.8,23.3981,3.9229
232392_at,SRSF3,serine and arginine rich splicing factor 3,6428,8.73e-13,1.05e-14,11.8,23.3882,3.41693
208664_s_at,TTC3P1,tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3,286495,9.58e-13,1.17e-14,11.8,23.2791,4.22377
209339_at,SIAH2,siah E3 ubiquitin protein ligase 2,6478,9.89e-13,1.21e-14,11.8,23.2425,4.18658
228582_x_at,MALAT1,metastasis associated lung adenocarcinoma transcript 1 (non-protein coding),378938,1e-12,1.24e-14,11.7,23.2197,5.98235
211450_s_at,MSH6,mutS homolog 6,2956,1.02e-12,1.28e-14,11.7,23.1888,3.7224
210480_s_at,MYO6,myosin VI,4646,1.06e-12,1.33e-14,11.7,23.1532,4.50532
200641_s_at,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,7534,1.09e-12,1.37e-14,11.7,23.1178,4.63123
1569003_at,VMP1,vacuole membrane protein 1,81671,1.15e-12,1.47e-14,11.7,23.0487,5.6982
220235_s_at,LRIF1,ligand dependent nuclear receptor interacting factor 1,55791,1.16e-12,1.48e-14,11.7,23.0412,3.08875
205713_s_at,COMP,cartilage oligomeric matrix protein,1311,1.19e-12,1.54e-14,11.7,23.0043,6.77976
221729_at,COL5A2,collagen type V alpha 2 chain,1290,1.2e-12,1.55e-14,11.7,22.9999,3.76364
202166_s_at,PPP1R2,protein phosphatase 1 regulatory inhibitor subunit 2,5504,1.22e-12,1.59e-14,11.7,22.9756,3.33742
222385_x_at,SEC61A1,Sec61 translocon alpha 1 subunit,29927,1.23e-12,1.61e-14,11.7,22.9607,4.45553
218401_s_at,ZNF281,zinc finger protein 281,23528,1.43e-12,1.91e-14,11.6,22.7918,3.26925
208852_s_at,CANX,calnexin,821,1.58e-12,2.14e-14,11.5,22.6794,3.03921
210284_s_at,TAB2,TGF-beta activated kinase 1/MAP3K7 binding protein 2,23118,1.59e-12,2.17e-14,11.5,22.6624,3.25003
223278_at,GJB2,gap junction protein beta 2,2706,1.6e-12,2.19e-14,11.5,22.6535,6.17255
222393_s_at,NAA50,"N(alpha)-acetyltransferase 50, NatE catalytic subunit",80218,1.63e-12,2.24e-14,11.5,22.6324,3.29174
214119_s_at,LOC101929368,uncharacterized LOC101929368///FK506 binding protein 1A,101929368,1.63e-12,2.24e-14,11.5,22.6318,3.4917
229713_at,PIP4K2A,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha,5305,1.72e-12,2.39e-14,11.5,22.5668,4.72695
210756_s_at,NOTCH2,notch 2,4853,1.73e-12,2.43e-14,11.5,22.5492,3.33187
210639_s_at,ATG5,autophagy related 5,9474,1.76e-12,2.49e-14,11.5,22.5252,3.53477
202129_s_at,RIOK3,RIO kinase 3,8780,1.96e-12,2.83e-14,11.4,22.3983,3.08153
208744_x_at,HSPH1,heat shock protein family H (Hsp110) member 1,10808,2.24e-12,3.27e-14,11.4,22.2567,3.2765
225468_at,PATL1,"PAT1 homolog 1, processing body mRNA decay factor",219988,2.47e-12,3.66e-14,11.3,22.1434,3.32376
211672_s_at,ARPC4-TTLL3,ARPC4-TTLL3 readthrough///actin related protein 2/3 complex subunit 4,100526693,2.48e-12,3.68e-14,11.3,22.139,3.96046
222538_s_at,APPL1,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1",26060,2.67e-12,4e-14,11.3,22.0567,3.51966
201383_s_at,NBR1,"NBR1, autophagy cargo receptor",4077,2.77e-12,4.18e-14,11.3,22.0119,3.06204
200798_x_at,MCL1,BCL2 family apoptosis regulator,4170,2.93e-12,4.46e-14,11.3,21.9479,3.23065
1558093_s_at,SNHG4,small nucleolar RNA host gene 4///matrin 3,724102,2.96e-12,4.56e-14,11.3,21.9253,4.0659
201376_s_at,HNRNPF,heterogeneous nuclear ribonucleoprotein F,3185,3.02e-12,4.68e-14,11.3,21.8986,3.07812
203007_x_at,LYPLA1,lysophospholipase I,10434,3.17e-12,4.98e-14,11.2,21.8377,3.63057
206036_s_at,REL,"REL proto-oncogene, NF-kB subunit",5966,3.33e-12,5.3e-14,11.2,21.7764,3.36626
222804_x_at,DCAF10,DDB1 and CUL4 associated factor 10,79269,3.34e-12,5.32e-14,11.2,21.7714,3.82578
201946_s_at,CCT2,chaperonin containing TCP1 subunit 2,10576,3.35e-12,5.36e-14,11.2,21.7643,3.99507
200730_s_at,PTP4A1,"protein tyrosine phosphatase type IVA, member 1",7803,3.37e-12,5.41e-14,11.2,21.7554,4.20807
209305_s_at,GADD45B,growth arrest and DNA damage inducible beta,4616,3.48e-12,5.62e-14,11.2,21.7176,4.38652
213274_s_at,CTSB,cathepsin B,1508,3.5e-12,5.69e-14,11.2,21.7048,3.56704
200922_at,KDELR1,KDEL endoplasmic reticulum protein retention receptor 1,10945,3.51e-12,5.72e-14,11.2,21.7006,4.06271
201490_s_at,PPIF,peptidylprolyl isomerase F,10105,4.16e-12,6.91e-14,11.1,21.5114,4.14382
229905_at,RAP1GDS1,Rap1 GTPase-GDP dissociation stimulator 1,5910,4.24e-12,7.1e-14,11.1,21.4851,3.67342
212322_at,SGPL1,sphingosine-1-phosphate lyase 1,8879,4.28e-12,7.17e-14,11.1,21.4751,3.09834
201444_s_at,ATP6AP2,ATPase H+ transporting accessory protein 2,10159,4.33e-12,7.3e-14,11.1,21.458,3.6433
201295_s_at,WSB1,WD repeat and SOCS box containing 1,26118,4.43e-12,7.49e-14,11.1,21.4314,3.57705
203357_s_at,CAPN7,calpain 7,23473,4.51e-12,7.66e-14,11.1,21.4096,3.27598
209218_at,SQLE,squalene epoxidase,6713,4.74e-12,8.12e-14,11.1,21.3517,3.43629
207847_s_at,MUC1,"mucin 1, cell surface associated",4582,4.93e-12,8.53e-14,11,21.3026,4.17222
202137_s_at,ZMYND11,zinc finger MYND-type containing 11,10771,4.93e-12,8.54e-14,11,21.3013,3.11972
1553105_s_at,DSG2,desmoglein 2,1829,5e-12,8.75e-14,11,21.2767,4.48346
223341_s_at,SCOC,short coiled-coil protein,60592,5.05e-12,8.88e-14,11,21.2629,3.16873
222518_at,ARFGEF2,ADP ribosylation factor guanine nucleotide exchange factor 2,10564,5.38e-12,9.59e-14,11,21.186,3.59066
224368_s_at,NDRG3,NDRG family member 3,57446,5.42e-12,9.67e-14,11,21.1781,3.06317
229128_s_at,ANP32E,acidic nuclear phosphoprotein 32 family member E,81611,5.71e-12,1.03e-13,11,21.1163,4.79766
205425_at,HIP1,huntingtin interacting protein 1,3092,5.81e-12,1.05e-13,11,21.0915,3.16297
