Entrez ID,Gene Symbol,Oncogene Score,LogFC,p-value,Adj p-value,Pathway Matrix Organization,Pathway Degradation Matrix,Pathway Collagen Formation
2483,FRG1,0.0809194,-0.766398,8.50302e-05,0.000261546,0,0,0
10635,RAD51AP1,0.0249044,1.35789,2.7333e-05,9.32969e-05,0,0,0
7027,TFDP1,0.0278328,1.87857,3.30739e-13,1.7429e-11,0,0,0
7784,POMZP3,0,-1.15319,0.0139596,0.0254854,0,0,0
2948,GSTM4,0.0313322,1.4189,0.000534949,0.00135283,0,0,0
23166,STAB1,0.0671805,-0.640493,0.0424284,0.0688105,0,0,0
4242,MFNG,0.0798188,-1.37843,1.14782e-05,4.2851e-05,0,0,0
1036,CDO1,0.105623,-2.85629,1.235e-05,4.57337e-05,0,0,0
10312,TCIRG1,0.0811326,-0.286294,0.416459,0.496233,0,0,0
1031,CDKN2C,0.408338,-2.53776,8.92753e-08,5.86372e-07,0,0,0
22875,ENPP4,0,1.1764,0.00526587,0.010635,0,0,0
10403,NDC80,0.0640457,0.91882,0.00789814,0.0153076,0,0,0
11117,EMILIN1,0.0705817,1.13259,0.00502742,0.0101997,1,0,0
6494,SIPA1,0.1134,0.225528,0.204018,0.273228,0,0,0
8936,WASF1,0.0300973,-0.255099,0.406126,0.486143,0,0,0
22904,SBNO2,0.0170007,0.524777,5.32911e-05,0.000170676,0,0,0
686,BTD,0.0463812,0.441048,0.14711,0.205653,0,0,0
4258,MGST2,0.00221748,0.195666,0.301366,0.38017,0,0,0
3614,IMPDH1,0.0420913,-0.657191,3.75451e-05,0.000124537,0,0,0
1164,CKS2,0.0996817,3.2655,2.43509e-11,5.60307e-10,0,0,0
6198,RPS6KB1,0.113199,0.677372,0.000115665,0.000344669,0,0,0
1371,CPOX,0.0416248,0.138145,0.284701,0.362148,0,0,0
140465,MYL6B,0.0133665,-0.850937,0.000108628,0.000325677,0,0,0
241,ALOX5AP,0.010344,3.98051,7.95451e-12,2.24431e-10,0,0,0
51042,ZNF593,0.0825446,-0.793755,0.000468281,0.00119938,0,0,0
27252,KLHL20,0.00425017,0.874554,6.30467e-05,0.000199139,0,0,0
4151,MB,0.087282,1.04958,0.0189074,0.0334407,0,0,0
23099,ZBTB43,0,0.77637,9.95516e-05,0.000301774,0,0,0
157,ADRBK2,0,-0.758963,6.26644e-05,0.000198188,0,0,0
5481,PPID,0.0166976,0.114898,0.342275,0.422642,0,0,0
2766,GMPR,0,-0.059318,0.580085,0.651461,0,0,0
5916,RARG,0.336417,0.253548,0.161779,0.223089,0,0,0
951,CD37,0.0106661,1.01417,0.00572014,0.0114629,0,0,0
1120,CHKB,0.112613,-1.09462,2.74409e-09,2.93611e-08,0,0,0
571,BACH1,0.110625,1.60354,4.66211e-07,2.48763e-06,0,0,0
5316,PKNOX1,0.0563225,0.351432,0.00596303,0.0119076,0,0,0
864,RUNX3,0.116074,-0.632615,0.049428,0.0788763,0,0,0
5155,PDGFB,0.428653,-0.0319076,0.838903,0.872783,1,0,0
5783,PTPN13,0.55698,0.601033,0.0739586,0.112782,0,0,0
23288,IQCE,0,1.41355,5.39598e-09,5.17752e-08,0,0,0
1054,CEBPG,0.066687,1.29475,0.000518581,0.00131612,0,0,0
1318,SLC31A2,0.00831555,0.989472,0.00343563,0.00728196,0,0,0
60489,APOBEC3G,0.0138311,-0.719247,0.0373693,0.0615178,0,0,0
4335,MNT,0.00724098,-0.527791,0.000189644,0.000534008,0,0,0
8732,RNGTT,0.00342333,0.00986545,0.958151,0.968091,0,0,0
5130,PCYT1A,0.0264796,0.012921,0.92583,0.943006,0,0,0
5610,EIF2AK2,0.0982957,-0.259087,0.122394,0.174942,0,0,0
10005,ACOT8,0.103777,0.299419,0.0857667,0.128312,0,0,0
10981,RAB32,0.00480454,0.224417,0.219688,0.291197,0,0,0
79161,TMEM243,0.00338364,0.948342,4.67006e-06,1.91268e-05,0,0,0
79882,ZC3H14,0.00965014,0.937607,3.47778e-09,3.60715e-08,0,0,0
6253,RTN2,0.00201216,0.460542,0.222095,0.293977,0,0,0
25906,ANAPC15,0,-0.833698,2.26882e-06,1.00319e-05,0,0,0
5700,PSMC1,0.0396654,-0.296549,0.000313221,0.000837062,0,0,0
9535,GMFG,0.102915,-0.683125,0.00654343,0.0129431,0,0,0
11010,GLIPR1,0.0186119,1.26984,4.20632e-05,0.000137566,0,0,0
5549,PRELP,0.00689833,-1.44309,0.00695666,0.0136605,0,0,0
2643,GCH1,0.0738607,2.39084,5.5584e-07,2.9134e-06,0,0,0
9759,HDAC4,0.36592,-0.0239096,0.93313,0.94915,0,0,0
27067,STAU2,0.032523,2.1581,3.23659e-12,1.04601e-10,0,0,0
7084,TK2,0.00332622,-1.04867,4.97126e-06,2.02091e-05,0,0,0
10465,PPIH,0.0576143,0.356414,0.0324971,0.054321,0,0,0
2166,FAAH,0.114454,0.608631,0.00353382,0.0074656,0,0,0
1119,CHKA,0.114908,1.47635,8.52885e-05,0.000262171,0,0,0
7748,ZNF195,0.00295664,1.85719,1.71915e-08,1.40739e-07,0,0,0
51454,GULP1,0.0240691,-0.821009,0.0405066,0.0660781,0,0,0
2313,FLI1,0.539339,-0.213239,0.387274,0.467768,0,0,0
10591,DNPH1,0.0197021,1.40904,3.85106e-06,1.6097e-05,0,0,0
10592,SMC2,0.397336,1.74573,7.90017e-07,3.96822e-06,0,0,0
8310,ACOX3,0.00480454,0.475696,0.197941,0.266268,0,0,0
6018,RLF,0.00147832,-0.0121755,0.942822,0.956749,0,0,0
10926,DBF4,0.0297904,1.24775,2.34825e-05,8.14244e-05,0,0,0
11102,RPP14,0.0719554,1.96561,2.46984e-08,1.91814e-07,0,0,0
11258,DCTN3,0.0178092,-0.0312019,0.79586,0.83843,0,0,0
1020,CDK5,0.122903,2.0514,8.81477e-09,7.91825e-08,0,0,0
2767,GNA11,0.404666,0.998991,3.65414e-06,1.53461e-05,0,0,0
4005,LMO2,0.494218,-0.631591,0.00134531,0.00310607,0,0,0
1017,CDK2,0.129002,1.38456,2.96341e-07,1.66101e-06,0,0,0
7421,VDR,0.419295,0.473876,0.0130882,0.0240364,0,0,0
79071,ELOVL6,0.0261927,-0.624548,0.128917,0.182918,0,0,0
3995,FADS3,0.00995894,-1.50395,1.22036e-11,3.19586e-10,0,0,0
1105,CHD1,0.355259,2.2833,3.38532e-11,7.32019e-10,0,0,0
4316,MMP7,0.293254,-2.09883,0.00159403,0.00361748,1,1,1
5664,PSEN2,0.12099,0.198681,0.102202,0.149395,0,0,0
1376,CPT2,0.0548734,1.15173,9.89824e-06,3.74642e-05,0,0,0
63940,GPSM3,0.029942,-0.15542,0.473969,0.552356,0,0,0
9088,PKMYT1,0.11435,0.298573,0.213786,0.284567,0,0,0
6273,S100A2,0.0799919,-0.854398,0.158185,0.218898,0,0,0
11040,PIM2,0.106332,-0.19965,0.232127,0.305041,0,0,0
6497,SKI,0.27759,0.0421299,0.787738,0.831969,0,0,0
1910,EDNRB,0.102193,-3.33611,8.25412e-11,1.54846e-09,0,0,0
9166,EBAG9,0.039729,0.0871182,0.539045,0.613267,0,0,0
6650,CAPN15,0,1.67263,1.40614e-09,1.66906e-08,1,1,0
5698,PSMB9,0.0494295,0.701924,0.152062,0.211413,0,0,0
10636,RGS14,0,0.522703,0.0165972,0.0297883,0,0,0
7004,TEAD4,0.0938936,-0.0575197,0.685996,0.74493,0,0,0
10667,FARS2,0.0073916,-0.705017,8.25617e-06,3.17476e-05,0,0,0
5507,PPP1R3C,0.0104158,2.27128,0.000194202,0.0005463,0,0,0
5366,PMAIP1,0.108128,3.37425,7.15057e-08,4.84657e-07,0,0,0
9145,SYNGR1,0.00422964,-0.930551,2.07305e-05,7.26973e-05,0,0,0
4329,ALDH6A1,0.00825599,2.05656,7.24303e-06,2.82956e-05,0,0,0
9849,ZNF518A,0,0.0187109,0.934552,0.950188,0,0,0
6448,SGSH,0,-0.409359,0.0762774,0.115883,0,0,0
275,AMT,0.00258706,-1.83004,5.40658e-10,7.50335e-09,0,0,0
6834,SURF1,0.00406538,-0.471111,0.00167163,0.00377671,0,0,0
5289,PIK3C3,0.0914181,0.070096,0.472995,0.551356,0,0,0
4015,LOX,0.114184,1.87471,0.000133314,0.000391112,1,0,1
10772,SRSF10,0.01218,0.924188,3.51543e-06,1.48292e-05,0,0,0
5188,PET112,0,-0.351388,0.103954,0.151582,0,0,0
9920,KBTBD11,0.0355134,-0.568224,0.000852164,0.0020577,0,0,0
9811,CTIF,0.0137339,-0.327929,0.0189236,0.0334611,0,0,0
8842,PROM1,0.121234,-4.19754,1.79829e-05,6.40734e-05,0,0,0
4285,MIPEP,0.0251314,1.2271,1.03464e-06,5.01794e-06,0,0,0
977,CD151,0.120142,-0.145769,0.379855,0.460883,1,0,1
9895,TECPR2,0,-1.00726,2.52376e-10,3.9452e-09,0,0,0
4882,NPR2,0.0349907,-0.909986,0.00135228,0.00311964,0,0,0
1385,CREB1,0.527064,3.30767,1.86854e-11,4.57327e-10,0,0,0
51512,GTSE1,0.0928812,-0.0259402,0.879325,0.906284,0,0,0
6001,RGS10,0.0799006,1.28186,1.84669e-06,8.35241e-06,0,0,0
1301,COL11A1,0.121424,7.3189,7.04602e-15,6.90995e-13,1,1,1
4756,NEO1,0.0841106,0.525799,0.00170428,0.00383976,0,0,0
4763,LOC101930150,0,-0.0315752,0.648337,0.711534,0,0,0
27333,GOLIM4,0.030265,0.205587,0.539497,0.613683,0,0,0
4501,MT1X,0.0615022,-2.0469,4.18452e-09,4.21118e-08,0,0,0
7753,ZNF202,0.00221748,0.467175,0.0836198,0.125483,0,0,0
11322,TMC6,0.0073916,-0.200618,0.421815,0.501523,0,0,0
6183,MRPS12,0.0135394,2.26527,3.81234e-08,2.79582e-07,0,0,0
175,AGA,0.0179102,0.891609,1.00605e-05,3.80177e-05,0,0,0
55702,CCDC94,0,-0.319395,0.0216501,0.0376962,0,0,0
10287,RGS19,0.0749559,1.10392,4.15967e-09,4.19093e-08,0,0,0
5999,RGS4,0.0253342,2.95536,3.26627e-05,0.00010975,0,0,0
8269,TMEM187,0,0.212376,0.210845,0.281101,0,0,0
10626,TRIM16,0.0370449,0.220493,0.506645,0.583879,0,0,0
