Entrez ID,Gene Symbol,Matrix Differential,LogFC,p-value
977,CD151,M,-0.131568,0.434365
1385,CREB1,H,3.57886,3.09182e-06
1301,COL11A1,M,8.16516,0.00167056
1307,COL16A1,M,0.105097,0.607017
3783,KCNN4,H,-3.20738,4.73784e-09
2247,FGF2,B,-2.48609,1.1141e-11
2348,FOLR1,H,-4.30905,2.80418e-09
8425,LTBP4,M,-1.94603,1.47826e-09
667,DST,B,-2.44339,1.97886e-05
5810,RAD1,H,2.82484,4.53691e-10
5803,PTPRZ1,H,-2.43462,1.01912e-05
4312,MMP1,M,2.14824,0.160867
5091,PC,H,-2.39463,1.3983e-07
7122,CLDN5,H,-2.87716,2.09128e-09
1346,COX7A1,H,-2.67273,5.23233e-09
4327,MMP19,M,-0.712247,2.75003e-06
4321,MMP12,M,0.819847,0.384096
1462,VCAN,B,3.88419,1.47707e-06
4881,NPR1,H,-2.30425,5.42916e-08
3169,FOXA1,H,3.65337,4.51943e-09
4053,LTBP2,M,-0.273487,0.15464
3384,ICAM2,M,-1.62431,6.04435e-06
8910,SGCE,M,0.504568,0.320694
11197,WIF1,H,-5.02279,2.25578e-05
10351,ABCA8,H,-2.38962,5.60566e-09
1299,COL9A3,M,-0.846192,0.010957
3866,KRT15,H,-3.1896,4.09954e-10
1641,DCX,H,-4.24707,8.32889e-05
761,CA3,H,-2.93991,0.000828317
9767,JADE3,H,2.40826,9.54248e-05
8639,AOC3,H,-4.10976,2.63536e-06
3385,ICAM3,M,-0.222413,0.315238
8082,SSPN,M,-0.405499,0.0398213
2244,FGB,M,-0.342909,0.000828002
3691,ITGB4,M,0.911551,0.136117
3673,ITGA2,M,0.697874,0.0127354
2568,GABRP,H,-3.92982,1.29778e-09
3815,KIT,H,-2.37202,1.74713e-05
3682,ITGAE,M,-0.00448853,0.98081
1396,CRIP1,H,2.68201,0.000317081
50649,ARHGEF4,H,-2.40448,2.20007e-07
6348,CCL3,H,3.32836,0.000657038
3908,LAMA2,M,0.712139,0.129109
6443,SGCB,M,0.10299,0.629312
1463,NCAN,M,-0.0531878,0.0981645
4921,DDR2,M,-0.492425,0.286794
101,ADAM8,M,0.707521,0.119496
7123,CLEC3B,H,-4.32091,2.59784e-06
4828,NMB,H,-2.71579,6.89689e-06
10840,ALDH1L1,H,-2.47996,1.85121e-08
8843,HCAR3,H,-3.81086,0.000810563
6649,SOD3,H,-4.08761,3.08748e-07
9980,DOPEY2,H,2.85897,8.25968e-05
5087,PBX1,H,2.54013,0.000241084
4306,NR3C2,H,-2.62923,1.33856e-10
650,BMP2,M,-1.12636,0.00878195
6645,SNTB2,M,-0.732852,0.000292509
1968,EIF2S3,H,2.84394,0.000885734
1381,CRABP1,H,-3.76696,9.39241e-05
8424,BBOX1,H,-3.74127,6.47164e-07
1675,CFD,H,-4.58686,2.23929e-09
5348,FXYD1,H,-3.79206,5.42724e-08
6358,CCL14,H,-2.70299,2.34374e-06
5645,PRSS2,M,3.54371,0.4562
1605,DAG1,M,-0.0615587,0.674322
3092,HIP1,H,2.66367,2.99047e-08
5154,PDGFA,B,-2.53683,2.35184e-08
5502,PPP1R1A,H,-5.37288,4.26963e-05
2690,GHR,H,-3.17354,5.4011e-05
22899,ARHGEF15,H,-2.51843,4.68036e-10
1404,HAPLN1,M,0.284788,0.379325
5152,PDE9A,H,-3.3843,5.95691e-08
284,ANGPT1,H,-2.50038,9.99917e-05
4222,MEOX1,H,-2.66817,9.32306e-06
1359,CPA3,H,4.91643,0.00064937
1511,CTSG,M,-2.22044,0.0164235
176,ACAN,M,-0.0372846,0.668231
4319,MMP10,M,2.81878,0.227788
7177,TPSAB1,M,4.67355,0.0196615
1311,COMP,B,7.35126,7.1323e-05
3695,ITGB7,M,-0.329352,0.0682259
1837,DTNA,M,0.183098,0.542652
6868,ADAM17,M,-0.191607,0.0413191
5650,KLK7,M,-1.10915,0.021841
3684,ITGAM,M,0.956184,0.0261564
3316,HSPB2,H,-3.70014,1.28522e-08
4314,MMP3,M,4.11824,0.0203179
9687,GREB1,H,3.40926,0.000381012
5463,POU6F1,H,-2.33586,5.83812e-13
7704,ZBTB16,H,-2.66379,3.32937e-05
3676,ITGA4,M,0.325843,0.137048
9221,NOLC1,H,3.29379,8.10943e-10
5649,RELN,H,-4.17925,4.59548e-06
1300,COL10A1,B,9.12398,2.25321e-05
4322,MMP13,M,3.80419,0.0254839
7474,WNT5A,H,2.58392,0.000622824
5396,PRRX1,H,2.97984,0.000118672
3680,ITGA9,M,-0.0808862,0.202141
5966,REL,H,3.06692,0.000135405
23405,DICER1,H,3.78199,2.75759e-05
4148,MATN3,M,3.01439,0.00558874
7146,TNXA,H,-5.00397,1.22823e-07
5868,RAB5A,H,4.10422,1.36076e-07
5806,PTX3,H,-3.20745,3.63591e-06
154,ADRB2,H,-2.59617,0.000567752
762,CA4,H,-3.49648,0.000145015
8483,CILP,H,3.40107,0.000326762
3981,LIG4,H,2.39743,9.20347e-07
4277,MICB,H,2.3521,0.000327858
1950,EGF,H,-2.33586,0.000369892
126,ADH1C,H,-3.4223,1.40052e-10
4983,OPHN1,H,-2.78845,1.07391e-13
79867,TCTN2,H,-3.07323,8.13027e-08
57447,NDRG2,H,-2.89132,6.12096e-12
7090,TLE3,H,2.61412,8.32883e-07
948,CD36,H,-4.46152,2.79086e-05
8775,NAPA,H,2.36053,4.27663e-08
8190,MIA,H,-3.63155,1.10518e-09
634,CEACAM1,M,1.03695,0.131107
30008,EFEMP2,M,-1.11665,7.23906e-06
7594,ZNF43,H,2.49513,7.18936e-07
2277,FIGF,H,-4.77322,5.1426e-08
8515,ITGA10,M,-0.020551,0.981524
23443,SLC35A3,H,2.65125,2.27187e-06
5021,OXTR,H,-5.02032,1.86237e-12
10633,RASL10A,H,-4.26996,9.68021e-05
364,AQP7,H,-3.269,0.000162727
4325,MMP16,M,1.72585,0.121633
8854,ALDH1A2,H,-2.62974,6.39052e-07
3952,LEP,H,-8.42084,0.000115748
6291,SAA2-SAA4,H,-3.32712,0.000291306
25836,NIPBL,H,2.64468,3.38244e-13
1009,CDH11,H,5.75769,2.75086e-06
9370,ADIPOQ,H,-5.39523,8.6899e-07
64386,MMP25,M,-0.529309,4.38076e-07
6445,SGCG,M,-2.93554,0.0122643
55568,GALNT10,H,2.68396,1.61964e-06
3381,IBSP,M,-0.144109,0.251384
831,CAST,M,0.648635,0.00010499
5033,P4HA1,M,2.11663,1.54409e-06
11170,FAM107A,H,-2.8402,0.000188192
4179,CD46,H,4.76882,8.46895e-05
8573,CASK,M,1.57228,0.00116342
29760,BLNK,H,2.62946,0.00021062
953,ENTPD1,H,3.02345,6.06527e-05
871,SERPINH1,B,2.41812,4.28192e-06
5861,RAB1A,H,3.09255,6.71891e-12
4582,MUC1,H,3.98886,3.03496e-05
10753,CAPN9,M,0.0434435,0.500117
3694,ITGB6,M,2.32504,0.0678912
81578,COL21A1,M,-1.8574,2.2866e-10
81542,TMX1,H,3.40885,3.55781e-05
2196,FAT2,H,-2.48262,8.20015e-09
3991,LIPE,H,-4.22501,1.1766e-05
1908,EDN3,H,-3.41841,8.38033e-05
720,C4A,H,3.27096,0.000321145
7511,XPNPEP1,H,2.34565,1.11239e-07
1305,COL13A1,M,-0.354242,0.00973042
6288,SAA1,H,-6.50302,6.244e-05
7430,EZR,H,4.52366,0.000324342
?,ACTN1,M,-0.422777,0.00250414
682,BSG,M,1.99542,4.73172e-07
10916,MAGED2,H,2.39727,4.16567e-06
824,CAPN2,M,0.387959,0.0665495
23385,NCSTN,M,0.680302,0.00072183
7070,THY1,H,3.14508,1.14389e-05
3936,LCP1,H,2.38755,0.00031114
3122,HLA-DRA,H,2.44215,4.34357e-06
23185,LARP4B,H,3.55031,2.91432e-07
1397,CRIP2,H,2.4388,0.000306273
57035,LOC101928189,H,2.99202,2.07479e-10
10006,ABI1,H,2.51913,1.05296e-10
988,CDC5L,H,2.66778,1.11914e-07
80781,COL18A1,M,0.224429,0.307429
1490,CTGF,H,2.60455,3.56426e-05
10362,HMG20B,H,2.3617,7.54908e-09
1292,COL6A2,M,1.57835,6.78036e-05
8644,AKR1C3,H,-3.83872,0.000448765
2824,GPM6B,H,-2.96772,3.28151e-06
10551,AGR2,H,2.92524,0.000787947
11196,SEC23IP,H,2.30062,8.825e-12
9526,MPDU1,H,2.34376,1.24026e-06
3914,LAMB3,B,-3.30832,7.2759e-10
1410,CRYAB,H,-4.33966,8.35129e-07
3400,ID4,H,-2.3257,1.83327e-11
6478,SIAH2,H,4.00111,8.45068e-05
3861,KRT14,H,-3.26415,3.46618e-11
9412,LOC101928625,H,2.60548,3.02481e-10
5168,ENPP2,H,-2.42102,2.61418e-07
9532,BAG2,H,2.92758,7.09228e-05
1847,DUSP5,H,3.87743,5.52937e-05
5764,PTN,H,-3.25638,7.32255e-05
8788,DLK1,H,-5.02871,0.000242395
27065,NSG1,H,-3.15511,3.60261e-07
2770,GNAI1,H,-3.00681,4.52937e-05
655,BMP7,M,-0.438315,0.00195402
2625,GATA3,H,3.00074,4.44417e-05
6509,SLC1A4,H,2.56232,0.000966822
125,ADH1B,H,-3.77926,2.2314e-05
1066,CES1,H,-4.403,8.1768e-05
3679,ITGA7,B,-3.14948,0.000742234
6285,S100B,H,-6.56328,0.000129409
2203,FBP1,H,2.60566,1.71177e-05
1646,AKR1C2,H,-5.45587,3.50859e-06
7043,TGFB3,M,1.90694,2.71282e-05
8076,MFAP5,M,0.908519,0.0931914
91851,CHRDL1,H,-4.15541,9.24159e-07
8728,ADAM19,M,2.1363,0.00117961
11240,PADI2,H,-3.38032,1.86623e-09
6663,SOX10,H,-4.82754,1.40489e-09
23284,LPHN3,H,-2.58869,2.45858e-05
6016,RIT1,H,2.95935,6.59288e-09
7042,TGFB2,M,2.2423,0.0479214
2191,FAP,H,5.00771,1.44512e-06
10411,RAPGEF3,H,-3.64013,4.28774e-09
5603,MAPK13,H,2.34603,1.04362e-05
1515,CTSV,M,-0.264939,0.369873
8416,ANXA9,H,4.40681,1.71796e-05
3911,LAMA5,M,0.202165,0.282162
3687,ITGAX,M,0.328787,0.266864
23118,TAB2,H,3.1305,3.17801e-07
7531,YWHAE,H,3.37689,1.47072e-06
6444,SGCD,M,-0.315328,0.0703578
1672,DEFB1,H,-3.00507,8.90932e-08
6328,SCN3A,H,-3.84988,1.35293e-06
3624,INHBA,H,6.39935,1.87143e-05
4240,MFGE8,H,-2.74159,7.50628e-12
22996,TTC39A,H,2.96699,1.20434e-07
5329,PLAUR,H,4.11479,6.17252e-06
825,CAPN3,B,-2.43438,1.24819e-16
8908,GYG2,H,-5.44369,0.000201749
961,CD47,M,1.43704,7.54739e-05
367,AR,H,3.4592,2.00369e-07
8706,B3GALNT1,H,2.39364,0.000304539
652,BMP4,M,0.735166,0.118726
6457,SH3GL3,H,-6.90362,5.61171e-06
4337,MOCS1,H,-2.88333,1.60479e-10
83988,NCALD,H,-3.12573,1.1387e-10
2327,FMO2,H,-3.14636,1.02011e-08
10955,SERINC3,H,2.36113,1.96127e-05
1284,COL4A2,M,-0.830411,0.00148337
1282,COL4A1,M,-0.0818556,0.800399
10963,STIP1,H,4.50668,2.03312e-05
7837,PXDN,M,0.932314,0.00693764
1291,COL6A1,B,2.3019,8.79744e-05
57509,MTUS1,H,3.20219,3.46447e-05
6383,SDC2,M,1.59834,0.00256702
375790,AGRN,M,0.210362,0.30077
23253,ANKRD12,H,2.52935,1.1918e-07
8879,SGPL1,H,2.48457,1.06965e-06
23213,SULF1,H,6.11335,0.000118157
253782,CERS6,H,2.41881,8.10385e-09
9645,MICAL2,H,4.4667,2.34429e-06
23030,KDM4B,H,2.57609,5.44401e-08
2006,ELN,M,2.22401,0.0105565
4239,MFAP4,M,0.600883,0.251432
23336,SYNM,H,-4.47407,2.49272e-11
27246,RNF115,H,2.38537,7.30238e-10
10562,OLFM4,H,-4.37889,0.000341934
83700,JAM3,M,-0.844033,2.15566e-05
7373,COL14A1,M,0.404401,0.404293
23158,TBC1D9,H,2.72712,7.40944e-09
7402,UTRN,M,2.13064,0.0627375
5578,PRKCA,M,-0.854073,0.0327094
1287,COL4A5,M,1.96487,0.00373273
25903,OLFML2B,H,2.7895,1.35642e-05
10865,ARID5A,H,-2.36252,1.89472e-09
23235,SIK2,H,-2.4276,2.12094e-06
9644,SH3PXD2A,M,0.673386,0.0655196
91966,CXorf40A,H,2.35755,1.63885e-08
53405,CLIC5,H,-3.0875,0.000114285
23114,NFASC,H,-2.99828,1.98427e-05
25928,SOSTDC1,H,-2.41196,1.20134e-06
53844,COPG2IT1,H,-5.00983,2.38336e-05
1280,COL2A1,M,4.89592,0.336516
50486,G0S2,H,-4.31229,6.68603e-06
1298,COL9A2,M,0.204167,0.85694
25891,PAMR1,H,-3.00685,1.19639e-08
256949,KANK3,H,-2.84164,1.27934e-12
9413,FAM189A2,H,-3.24189,1.29476e-11
131578,LRRC15,H,5.66485,3.11523e-05
2774,GNAL,H,-2.97109,3.03931e-09
1288,COL4A6,M,0.0703113,0.945558
1838,DTNB,M,-1.17933,1.54948e-09
