#node1,node2,node1_string_id,node2_string_id,source,combined_score
ADCY8,ADCY9,9606.ENSP00000286355,9606.ENSP00000294016,estrogen-signaling-pathway-string,0.675
ADCY8,CREB1,9606.ENSP00000286355,9606.ENSP00000387699,estrogen-signaling-pathway-string,0.706
ADCY8,AKT3,9606.ENSP00000286355,9606.ENSP00000500582,estrogen-signaling-pathway-string,0.72
ADCY8,AKT1,9606.ENSP00000286355,9606.ENSP00000451828,estrogen-signaling-pathway-string,0.723
ADCY8,GNAI2,9606.ENSP00000286355,9606.ENSP00000312999,estrogen-signaling-pathway-string,0.772
ADCY8,GNAI1,9606.ENSP00000286355,9606.ENSP00000497260,estrogen-signaling-pathway-string,0.791
ADCY8,GNAI3,9606.ENSP00000286355,9606.ENSP00000358867,estrogen-signaling-pathway-string,0.877
ADCY8,PRKCD,9606.ENSP00000286355,9606.ENSP00000331602,estrogen-signaling-pathway-string,0.906
ADCY8,GNAS,9606.ENSP00000286355,9606.ENSP00000360141,estrogen-signaling-pathway-string,0.949
ADCY8,PRKACB,9606.ENSP00000286355,9606.ENSP00000359719,estrogen-signaling-pathway-string,0.955
ADCY8,PRKACA,9606.ENSP00000286355,9606.ENSP00000309591,estrogen-signaling-pathway-string,0.971
ADCY8,PRKACG,9606.ENSP00000286355,9606.ENSP00000366488,estrogen-signaling-pathway-string,0.982
ADCY8,CALML6,9606.ENSP00000286355,9606.ENSP00000304643,estrogen-signaling-pathway-string,0.992
ADCY8,CALML3,9606.ENSP00000286355,9606.ENSP00000315299,estrogen-signaling-pathway-string,0.993
ADCY8,CALML5,9606.ENSP00000286355,9606.ENSP00000369689,estrogen-signaling-pathway-string,0.993
ADCY8,CALML4,9606.ENSP00000286355,9606.ENSP00000419081,estrogen-signaling-pathway-string,0.993
ADCY8,CALM3,9606.ENSP00000286355,9606.ENSP00000291295,estrogen-signaling-pathway-string,0.995
ADCY9,MAPK1,9606.ENSP00000294016,9606.ENSP00000215832,estrogen-signaling-pathway-string,0.471
ADCY9,CALM3,9606.ENSP00000294016,9606.ENSP00000291295,estrogen-signaling-pathway-string,0.788
ADCY9,AKT2,9606.ENSP00000294016,9606.ENSP00000375892,estrogen-signaling-pathway-string,0.682
ADCY9,AKT3,9606.ENSP00000294016,9606.ENSP00000500582,estrogen-signaling-pathway-string,0.684
ADCY9,AKT1,9606.ENSP00000294016,9606.ENSP00000451828,estrogen-signaling-pathway-string,0.706
ADCY9,GNAI1,9606.ENSP00000294016,9606.ENSP00000497260,estrogen-signaling-pathway-string,0.744
ADCY9,GNAI3,9606.ENSP00000294016,9606.ENSP00000358867,estrogen-signaling-pathway-string,0.751
ADCY9,CALML6,9606.ENSP00000294016,9606.ENSP00000304643,estrogen-signaling-pathway-string,0.776
ADCY9,CALML4,9606.ENSP00000294016,9606.ENSP00000419081,estrogen-signaling-pathway-string,0.776
ADCY9,CALML5,9606.ENSP00000294016,9606.ENSP00000369689,estrogen-signaling-pathway-string,0.785
ADCY9,CALML3,9606.ENSP00000294016,9606.ENSP00000315299,estrogen-signaling-pathway-string,0.785
ADCY9,GNAI2,9606.ENSP00000294016,9606.ENSP00000312999,estrogen-signaling-pathway-string,0.875
ADCY9,PRKCD,9606.ENSP00000294016,9606.ENSP00000331602,estrogen-signaling-pathway-string,0.912
ADCY9,PRKACG,9606.ENSP00000294016,9606.ENSP00000366488,estrogen-signaling-pathway-string,0.95
ADCY9,PRKACA,9606.ENSP00000294016,9606.ENSP00000309591,estrogen-signaling-pathway-string,0.95
ADCY9,PRKACB,9606.ENSP00000294016,9606.ENSP00000359719,estrogen-signaling-pathway-string,0.952
ADCY9,GNAS,9606.ENSP00000294016,9606.ENSP00000360141,estrogen-signaling-pathway-string,0.986
AKT1,FKBP4,9606.ENSP00000451828,9606.ENSP00000001008,estrogen-signaling-pathway-string,0.914
AKT1,CREB3L3,9606.ENSP00000451828,9606.ENSP00000078445,estrogen-signaling-pathway-string,0.72
AKT1,KRT14,9606.ENSP00000451828,9606.ENSP00000167586,estrogen-signaling-pathway-string,0.441
AKT1,MAPK1,9606.ENSP00000451828,9606.ENSP00000215832,estrogen-signaling-pathway-string,0.988
AKT1,SOS2,9606.ENSP00000451828,9606.ENSP00000216373,estrogen-signaling-pathway-string,0.601
AKT1,PIK3R2,9606.ENSP00000451828,9606.ENSP00000222254,estrogen-signaling-pathway-string,0.971
AKT1,CTSD,9606.ENSP00000451828,9606.ENSP00000236671,estrogen-signaling-pathway-string,0.482
AKT1,RARA,9606.ENSP00000451828,9606.ENSP00000254066,estrogen-signaling-pathway-string,0.765
AKT1,KRAS,9606.ENSP00000451828,9606.ENSP00000256078,estrogen-signaling-pathway-string,0.904
AKT1,PIK3R3,9606.ENSP00000451828,9606.ENSP00000262741,estrogen-signaling-pathway-string,0.962
AKT1,MAP2K2,9606.ENSP00000451828,9606.ENSP00000262948,estrogen-signaling-pathway-string,0.593
AKT1,MAPK3,9606.ENSP00000451828,9606.ENSP00000263025,estrogen-signaling-pathway-string,0.957
AKT1,PIK3CA,9606.ENSP00000451828,9606.ENSP00000263967,estrogen-signaling-pathway-string,0.998
AKT1,ATF2,9606.ENSP00000451828,9606.ENSP00000264110,estrogen-signaling-pathway-string,0.799
AKT1,KRT10,9606.ENSP00000451828,9606.ENSP00000269576,estrogen-signaling-pathway-string,0.692
AKT1,CREB3L4,9606.ENSP00000451828,9606.ENSP00000271889,estrogen-signaling-pathway-string,0.733
AKT1,EGFR,9606.ENSP00000451828,9606.ENSP00000275493,estrogen-signaling-pathway-string,0.792
AKT1,GRM1,9606.ENSP00000451828,9606.ENSP00000282753,estrogen-signaling-pathway-string,0.421
AKT1,CALM3,9606.ENSP00000451828,9606.ENSP00000291295,estrogen-signaling-pathway-string,0.802
AKT1,NOS3,9606.ENSP00000451828,9606.ENSP00000297494,estrogen-signaling-pathway-string,0.997
AKT1,HSP90B1,9606.ENSP00000451828,9606.ENSP00000299767,estrogen-signaling-pathway-string,0.981
AKT1,MAP2K1,9606.ENSP00000451828,9606.ENSP00000302486,estrogen-signaling-pathway-string,0.49
AKT1,CALML6,9606.ENSP00000451828,9606.ENSP00000304643,estrogen-signaling-pathway-string,0.713
AKT1,FOS,9606.ENSP00000451828,9606.ENSP00000306245,estrogen-signaling-pathway-string,0.746
AKT1,ITPR1,9606.ENSP00000451828,9606.ENSP00000306253,estrogen-signaling-pathway-string,0.981
AKT1,CALML3,9606.ENSP00000451828,9606.ENSP00000315299,estrogen-signaling-pathway-string,0.719
AKT1,PGR,9606.ENSP00000451828,9606.ENSP00000325120,estrogen-signaling-pathway-string,0.683
AKT1,CREB3L2,9606.ENSP00000451828,9606.ENSP00000329140,estrogen-signaling-pathway-string,0.7
AKT1,SP1,9606.ENSP00000451828,9606.ENSP00000329357,estrogen-signaling-pathway-string,0.682
AKT1,HSP90AA1,9606.ENSP00000451828,9606.ENSP00000335153,estrogen-signaling-pathway-string,0.999
AKT1,ATF4,9606.ENSP00000451828,9606.ENSP00000336790,estrogen-signaling-pathway-string,0.826
AKT1,CREB3,9606.ENSP00000451828,9606.ENSP00000342136,estrogen-signaling-pathway-string,0.742
AKT1,ESR2,9606.ENSP00000451828,9606.ENSP00000343925,estrogen-signaling-pathway-string,0.684
AKT1,CREB5,9606.ENSP00000451828,9606.ENSP00000350359,estrogen-signaling-pathway-string,0.727
AKT1,KRT19,9606.ENSP00000451828,9606.ENSP00000355124,estrogen-signaling-pathway-string,0.483
AKT1,NRAS,9606.ENSP00000451828,9606.ENSP00000358548,estrogen-signaling-pathway-string,0.815
AKT1,GNAS,9606.ENSP00000451828,9606.ENSP00000360141,estrogen-signaling-pathway-string,0.524
AKT1,JUN,9606.ENSP00000451828,9606.ENSP00000360266,estrogen-signaling-pathway-string,0.991
AKT1,HSP90AB1,9606.ENSP00000451828,9606.ENSP00000360609,estrogen-signaling-pathway-string,0.999
AKT1,SRC,9606.ENSP00000451828,9606.ENSP00000362680,estrogen-signaling-pathway-string,0.995
AKT1,ITPR3,9606.ENSP00000451828,9606.ENSP00000363435,estrogen-signaling-pathway-string,0.967
AKT1,ATF6B,9606.ENSP00000451828,9606.ENSP00000364349,estrogen-signaling-pathway-string,0.714
AKT1,HSPA1B,9606.ENSP00000451828,9606.ENSP00000364801,estrogen-signaling-pathway-string,0.557
AKT1,PIK3CD,9606.ENSP00000451828,9606.ENSP00000366563,estrogen-signaling-pathway-string,0.976
AKT1,CALML5,9606.ENSP00000451828,9606.ENSP00000369689,estrogen-signaling-pathway-string,0.719
AKT1,KRT18,9606.ENSP00000451828,9606.ENSP00000373489,estrogen-signaling-pathway-string,0.471
AKT1,AKT2,9606.ENSP00000451828,9606.ENSP00000375892,estrogen-signaling-pathway-string,0.991
AKT1,GRB2,9606.ENSP00000451828,9606.ENSP00000376345,estrogen-signaling-pathway-string,0.907
AKT1,BCL2,9606.ENSP00000451828,9606.ENSP00000381185,estrogen-signaling-pathway-string,0.993
AKT1,SOS1,9606.ENSP00000451828,9606.ENSP00000384675,estrogen-signaling-pathway-string,0.765
AKT1,CREB1,9606.ENSP00000451828,9606.ENSP00000387699,estrogen-signaling-pathway-string,0.965
AKT1,SHC1,9606.ENSP00000451828,9606.ENSP00000401303,estrogen-signaling-pathway-string,0.771
AKT1,RAF1,9606.ENSP00000451828,9606.ENSP00000401888,estrogen-signaling-pathway-string,0.992
AKT1,ESR1,9606.ENSP00000451828,9606.ENSP00000405330,estrogen-signaling-pathway-string,0.913
AKT1,HRAS,9606.ENSP00000451828,9606.ENSP00000407586,estrogen-signaling-pathway-string,0.896
AKT1,CALML4,9606.ENSP00000451828,9606.ENSP00000419081,estrogen-signaling-pathway-string,0.713
AKT1,PIK3R1,9606.ENSP00000451828,9606.ENSP00000428056,estrogen-signaling-pathway-string,0.995
AKT1,HSPA8,9606.ENSP00000451828,9606.ENSP00000437125,estrogen-signaling-pathway-string,0.85
AKT1,FKBP5,9606.ENSP00000451828,9606.ENSP00000444810,estrogen-signaling-pathway-string,0.964
AKT1,CREB3L1,9606.ENSP00000451828,9606.ENSP00000481956,estrogen-signaling-pathway-string,0.706
AKT1,AKT3,9606.ENSP00000451828,9606.ENSP00000500582,estrogen-signaling-pathway-string,0.958
AKT1,PIK3CB,9606.ENSP00000451828,9606.ENSP00000501150,estrogen-signaling-pathway-string,0.992
AKT2,FKBP4,9606.ENSP00000375892,9606.ENSP00000001008,estrogen-signaling-pathway-string,0.563
AKT2,CREB3L3,9606.ENSP00000375892,9606.ENSP00000078445,estrogen-signaling-pathway-string,0.683
AKT2,MAPK1,9606.ENSP00000375892,9606.ENSP00000215832,estrogen-signaling-pathway-string,0.929
AKT2,PIK3R2,9606.ENSP00000375892,9606.ENSP00000222254,estrogen-signaling-pathway-string,0.963
AKT2,KRAS,9606.ENSP00000375892,9606.ENSP00000256078,estrogen-signaling-pathway-string,0.646
AKT2,PIK3R3,9606.ENSP00000375892,9606.ENSP00000262741,estrogen-signaling-pathway-string,0.953
