#node1,node2,node1_string_id,node2_string_id,combined_score
ADCY6,PRKACA,9606.ENSP00000311405,9606.ENSP00000309591,0.861
ADCY6,AKT2,9606.ENSP00000311405,9606.ENSP00000375892,0.678
ADCY6,AKT3,9606.ENSP00000311405,9606.ENSP00000500582,0.685
ADCY6,ITPR2,9606.ENSP00000311405,9606.ENSP00000370744,0.74
ADCY6,ADCY7,9606.ENSP00000311405,9606.ENSP00000501053,0.747
ADCY6,AKT1,9606.ENSP00000311405,9606.ENSP00000451828,0.748
ADCY6,CALML3,9606.ENSP00000311405,9606.ENSP00000315299,0.825
ADCY6,CALML5,9606.ENSP00000311405,9606.ENSP00000369689,0.825
ADCY6,CALML4,9606.ENSP00000311405,9606.ENSP00000419081,0.827
ADCY6,PRKACG,9606.ENSP00000311405,9606.ENSP00000366488,0.861
ADCY6,PRKACB,9606.ENSP00000311405,9606.ENSP00000359719,0.861
ADCY6,PRKCD,9606.ENSP00000311405,9606.ENSP00000331602,0.904
ADCY6,GNAI3,9606.ENSP00000311405,9606.ENSP00000358867,0.929
ADCY6,GNAI2,9606.ENSP00000311405,9606.ENSP00000312999,0.931
ADCY6,GNAI1,9606.ENSP00000311405,9606.ENSP00000497260,0.936
ADCY6,GNAS,9606.ENSP00000311405,9606.ENSP00000360141,0.97
ADCY7,ADCY8,9606.ENSP00000501053,9606.ENSP00000286355,0.584
ADCY7,CALM3,9606.ENSP00000501053,9606.ENSP00000291295,0.767
ADCY7,ADCY9,9606.ENSP00000501053,9606.ENSP00000294016,0.749
ADCY7,CALML6,9606.ENSP00000501053,9606.ENSP00000304643,0.756
ADCY7,PRKACA,9606.ENSP00000501053,9606.ENSP00000309591,0.798
ADCY7,GNAI2,9606.ENSP00000501053,9606.ENSP00000312999,0.757
ADCY7,CALML3,9606.ENSP00000501053,9606.ENSP00000315299,0.765
ADCY7,PRKCD,9606.ENSP00000501053,9606.ENSP00000331602,0.918
ADCY7,GNAI3,9606.ENSP00000501053,9606.ENSP00000358867,0.739
ADCY7,PRKACB,9606.ENSP00000501053,9606.ENSP00000359719,0.8
ADCY7,GNAS,9606.ENSP00000501053,9606.ENSP00000360141,0.951
ADCY7,PRKACG,9606.ENSP00000501053,9606.ENSP00000366488,0.796
ADCY7,CALML5,9606.ENSP00000501053,9606.ENSP00000369689,0.83
ADCY7,AKT2,9606.ENSP00000501053,9606.ENSP00000375892,0.681
ADCY7,CALML4,9606.ENSP00000501053,9606.ENSP00000419081,0.781
ADCY7,AKT1,9606.ENSP00000501053,9606.ENSP00000451828,0.712
