Node ID,Node Description,Node Type
4869,NPM1,gene
4893,NRAS,gene
64324,NSD1,gene
54888,NSUN2,gene
4926,NUMA1,gene
8021,NUP214,gene
79728,PALB2,gene
5156,PDGFRA,gene
5159,PDGFRB,gene
8301,PICALM,gene
9487,PIGL,gene
5290,PIK3CA,gene
5295,PIK3R1,gene
5781,PTPN11,gene
5894,RAF1,gene
5914,RARA,gene
5925,RB1,gene
9401,RECQL4,gene
10535,RNASEH2A,gene
79621,RNASEH2B,gene
84153,RNASEH2C,gene
6135,RPL11,gene
6165,RPL35A,gene
6204,RPS10,gene
6208,RPS14,gene
6218,RPS17,gene
6223,RPS19,gene
6229,RPS24,gene
6231,RPS26,gene
6201,RPS7,gene
861,RUNX1,gene
54809,SAMD9,gene
219285,SAMD9L,gene
25939,SAMHD1,gene
51119,SBDS,gene
6335,SCN9A,gene
26040,SETBP1,gene
23451,SF3B1,gene
10019,SH2B3,gene
6455,SH3GL1,gene
6609,SMPD1,gene
6654,SOS1,gene
161742,SPRED1,gene
6729,SRP54,gene
412,STS,gene
6886,TAL1,gene
6887,TAL2,gene
6929,TCF3,gene
10312,TCIRG1,gene
7012,TERC,gene
7015,TERT,gene
54790,TET2,gene
7066,THPO,gene
7157,TP53,gene
11277,TREX1,gene
7305,TYROBP,gene
7454,WAS,gene
7456,WIPF1,gene
