Node ID,Node Description,Node Type
Akathisia__Drug-Induced,"Akathisia, Drug-Induced",symptom
Tremor,Tremor,symptom
Gait_Disorders__Neurologic,"Gait Disorders, Neurologic",symptom
Gait_Apraxia,Gait Apraxia,symptom
Meningism,Meningism,symptom
Neurobehavioral_Manifestations,Neurobehavioral Manifestations,symptom
Apraxias,Apraxias,symptom
Catatonia,Catatonia,symptom
Language_Disorders,Language Disorders,symptom
Agraphia,Agraphia,symptom
Anomia,Anomia,symptom
Dyslexia,Dyslexia,symptom
Dyslexia__Acquired,"Dyslexia, Acquired",symptom
Alexia__Pure,"Alexia, Pure",symptom
Language_Development_Disorders,Language Development Disorders,symptom
Speech_Disorders,Speech Disorders,symptom
Aphasia,Aphasia,symptom
Aphasia__Broca,"Aphasia, Broca",symptom
Aphasia__Wernicke,"Aphasia, Wernicke",symptom
Articulation_Disorders,Articulation Disorders,symptom
Dysarthria,Dysarthria,symptom
Echolalia,Echolalia,symptom
Mutism,Mutism,symptom
Stuttering,Stuttering,symptom
Learning_Disorders,Learning Disorders,symptom
Confusion,Confusion,symptom
Delirium,Delirium,symptom
Consciousness_Disorders,Consciousness Disorders,symptom
Unconsciousness,Unconsciousness,symptom
Coma,Coma,symptom
Persistent_Vegetative_State,Persistent Vegetative State,symptom
Stupor,Stupor,symptom
Syncope,Syncope,symptom
Syncope__Vasovagal,"Syncope, Vasovagal",symptom
Lethargy,Lethargy,symptom
Memory_Disorders,Memory Disorders,symptom
Amnesia,Amnesia,symptom
Amnesia__Anterograde,"Amnesia, Anterograde",symptom
Amnesia__Retrograde,"Amnesia, Retrograde",symptom
Amnesia__Transient_Global,"Amnesia, Transient Global",symptom
Korsakoff_Syndrome,Korsakoff Syndrome,symptom
Mental_Retardation,Mental Retardation,symptom
Perceptual_Disorders,Perceptual Disorders,symptom
Agnosia,Agnosia,symptom
Gerstmann_Syndrome,Gerstmann Syndrome,symptom
Auditory_Perceptual_Disorders,Auditory Perceptual Disorders,symptom
Hallucinations,Hallucinations,symptom
Illusions,Illusions,symptom
Phantom_Limb,Phantom Limb,symptom
Psychomotor_Disorders,Psychomotor Disorders,symptom
Apraxia__Ideomotor,"Apraxia, Ideomotor",symptom
Fasciculation,Fasciculation,symptom
Muscle_Cramp,Muscle Cramp,symptom
Muscle_Hypertonia,Muscle Hypertonia,symptom
Muscle_Rigidity,Muscle Rigidity,symptom
Muscle_Spasticity,Muscle Spasticity,symptom
Muscle_Hypotonia,Muscle Hypotonia,symptom
Muscle_Weakness,Muscle Weakness,symptom
Muscular_Atrophy,Muscular Atrophy,symptom
Sarcopenia,Sarcopenia,symptom
Myokymia,Myokymia,symptom
Myotonia,Myotonia,symptom
Spasm,Spasm,symptom
Hemifacial_Spasm,Hemifacial Spasm,symptom
Trismus,Trismus,symptom
Tetany,Tetany,symptom
Pain,Pain,symptom
Back_Pain,Back Pain,symptom
Low_Back_Pain,Low Back Pain,symptom
Facial_Pain,Facial Pain,symptom
Headache,Headache,symptom
Neck_Pain,Neck Pain,symptom
Neuralgia,Neuralgia,symptom
Neuralgia__Postherpetic,"Neuralgia, Postherpetic",symptom
Sciatica,Sciatica,symptom
Pain__Intractable,"Pain, Intractable",symptom
Pain__Referred,"Pain, Referred",symptom
Paralysis,Paralysis,symptom
Facial_Paralysis,Facial Paralysis,symptom
Gastroparesis,Gastroparesis,symptom
Hemiplegia,Hemiplegia,symptom
Ophthalmoplegia,Ophthalmoplegia,symptom
Supranuclear_Palsy__Progressive,"Supranuclear Palsy, Progressive",symptom
Paraplegia,Paraplegia,symptom
Brown-Sequard_Syndrome,Brown-Sequard Syndrome,symptom
Quadriplegia,Quadriplegia,symptom
Respiratory_Paralysis,Respiratory Paralysis,symptom
Vocal_Cord_Paralysis,Vocal Cord Paralysis,symptom
Paresis,Paresis,symptom
Paraparesis,Paraparesis,symptom
Paraparesis__Spastic,"Paraparesis, Spastic",symptom
Psychophysiologic_Disorders,Psychophysiologic Disorders,symptom
Pupil_Disorders,Pupil Disorders,symptom
Miosis,Miosis,symptom
Horner_Syndrome,Horner Syndrome,symptom
Tonic_Pupil,Tonic Pupil,symptom
Reflex__Abnormal,"Reflex, Abnormal",symptom
Reflex__Babinski,"Reflex, Babinski",symptom
Seizures,Seizures,symptom
Sensation_Disorders,Sensation Disorders,symptom
Dizziness,Dizziness,symptom
Hearing_Disorders,Hearing Disorders,symptom
Hearing_Loss,Hearing Loss,symptom
Deafness,Deafness,symptom
Hearing_Loss__Bilateral,"Hearing Loss, Bilateral",symptom
Hearing_Loss__Conductive,"Hearing Loss, Conductive",symptom
Hearing_Loss__Functional,"Hearing Loss, Functional",symptom
Hearing_Loss__High-Frequency,"Hearing Loss, High-Frequency",symptom
Hearing_Loss__Sensorineural,"Hearing Loss, Sensorineural",symptom
Hearing_Loss__Central,"Hearing Loss, Central",symptom
Hearing_Loss__Sudden,"Hearing Loss, Sudden",symptom
Hearing_Loss__Unilateral,"Hearing Loss, Unilateral",symptom
Tinnitus,Tinnitus,symptom
Olfaction_Disorders,Olfaction Disorders,symptom
Somatosensory_Disorders,Somatosensory Disorders,symptom
Hyperalgesia,Hyperalgesia,symptom
Hyperesthesia,Hyperesthesia,symptom
Hypesthesia,Hypesthesia,symptom
Paresthesia,Paresthesia,symptom
Taste_Disorders,Taste Disorders,symptom
Ageusia,Ageusia,symptom
Dysgeusia,Dysgeusia,symptom
Vision_Disorders,Vision Disorders,symptom
Amblyopia,Amblyopia,symptom
Blindness,Blindness,symptom
Amaurosis_Fugax,Amaurosis Fugax,symptom
Blindness__Cortical,"Blindness, Cortical",symptom
Color_Vision_Defects,Color Vision Defects,symptom
