Gene.ID,Gene.symbol,logFC
54551,MAGEL2,0.282282
167227,DCP2,0.181035
10964,IFI44L,0.403333
149837,LOC149837,0.522787
65010,SLC26A6,0.22752
27044,SND1,0.278866
10297,APC2,0.227729
56256,SERTAD4,0.251553
85476,GFM1,0.356121
780,DDR1,0.316887
28778,IGLV6-57,0.200429
286161,LOC286161,0.539521
1740,DLG2,0.408865
13,AADAC,0.390944
26127,FGFR1OP2,0.180207
139716,GAB3,0.251656
10390,CEPT1,0.39685
22989,MYH15,0.474375
9573,GDF3,0.372604
9672,SDC3,0.512804
11281,POU6F2,0.236745
7637,ZNF84,0.396703
23546,SYNGR4,0.408411
388799,C20orf107,0.227923
11036,GTF2A1L,0.588099
10002,NR2E3,0.503078
51194,IPO11,0.404666
728064,LOC728064,0.208993
1129,CHRM2,0.558899
80351,TNKS2,0.280131
144453,BEST3,0.188462
55780,C6orf70,0.190938
55176,SEC61A2,0.382925
84859,LRCH3,0.443192
6953,TCP10,0.400077
2078,ERG,0.231433
7074,TIAM1,0.302958
8521,GCM1,0.443683
27146,KIAA1276,0.355437
3845,KRAS,0.384712
716,C1S,0.197547
79745,CLIP4,0.387283
220108,FAM124A,0.231374
22890,ZBTB1,0.193744
22882,ZHX2,0.234192
3976,LIF,0.181139
26959,HBP1,0.376738
138241,C9orf85,0.19937
135,ADORA2A,0.242277
22795,NID2,0.41334
157562,LOC157562,0.183294
54627,KIAA1383,0.411156
148641,SLC35F3,0.654873
3111,HLA-DOA,0.214613
164153,UBL4B,0.480601
7373,COL14A1,0.370727
57168,ASPHD2,0.319964
5460,POU5F1,0.198026
23533,PIK3R5,0.185246
55704,CCDC88A,0.210368
125058,TBC1D16,0.384074
23615,PYY2,0.246137
53919,SLCO1C1,0.500183
5276,SERPINI2,0.483859
28981,IFT81,0.292317
7448,VTN,0.272829
2796,GNRH1,0.2194
10407,SPAG11B,0.71582
144165,PRICKLE1,0.233088
3233,HOXD4,0.694198
7490,WT1,0.381029
25854,FAM149A,0.392756
23596,OPN3,0.232037
421,ARVCF,0.216416
10551,AGR2,0.365638
25966,C2CD2,0.345583
89876,C3orf15,0.652165
3702,ITK,0.370003
9352,TXNL1,0.188992
10891,PPARGC1A,0.511683
29995,LMCD1,0.365735
83648,FAM167A,0.315582
3458,IFNG,0.476529
55303,GIMAP4,0.401586
1462,VCAN,0.418094
22902,RUFY3,0.448584
199675,C19orf59,0.273282
9421,HAND1,0.418262
3399,ID3,0.362688
113402,SFT2D1,0.219122
29842,TFCP2L1,0.393576
51032,RP11-265F14.2,0.518788
286191,LOC286191,0.363557
931,MS4A1,0.484366
135927,C7orf34,0.186447
148189,LOC148189,0.185173
10039,PARP3,0.203489
56893,UBQLN4,0.198048
26298,EHF,0.198804
2941,GSTA4,0.405376
925,CD8A,0.412963
25939,SAMHD1,0.232771
79740,ZBBX,0.257462
636,BICD1,0.308149
6274,S100A3,0.48976
11320,MGAT4A,0.207942
10324,KBTBD10,0.503761
8313,AXIN2,0.597976
54566,EPB41L4B,0.405182
10840,ALDH1L1,0.270118
462,SERPINC1,0.747166
8291,DYSF,0.256384
58473,PLEKHB1,0.223109
317662,FAM149B1,0.189768
79789,CLMN,0.352981
10699,CORIN,0.447495
83998,REG4,0.404785
50856,CLEC4A,0.2823
8875,VNN2,0.257339
26509,FER1L3,0.293955
55970,GNG12,0.301449
3598,IL13RA2,0.493938
85004,RERG,0.434852
55636,CHD7,0.303378
25837,RAB26,0.185877
79668,PARP8,0.246412
29789,OLA1,0.197334
136242,LOC136242,0.411988
9256,BZRAP1,0.192298
2123,EVI2A,0.192978
221814,LOC221814,0.396126
2897,GRIK1,0.366205
9436,NCR2,0.445227
3134,HLA-F,0.268994
219736,STOX1,0.388018
4146,MATN1,0.441252
120071,GYLTL1B,0.255509
157503,LOC157503,0.589467
26030,PLEKHG3,0.24156
90187,EMILIN3,0.316953
3209,HOXA13,0.427887
1538,CYLC1,0.536541
283576,ZDHHC22,0.263894
55917,CTTNBP2NL,0.268359
4585,MUC4,0.41575
252995,FNDC5,0.42833
53942,CNTN5,0.285468
158038,LINGO2,0.582368
80208,SPG11,0.202864
26048,ZNF500,0.382761
55024,BANK1,0.241725
3269,HRH1,0.337585
7533,YWHAH,0.234558
2977,GUCY1A2,0.547946
56901,NDUFA4L2,0.392948
79136,LY6G6E,0.196471
80217,C10orf79,0.305195
8808,IL1RL2,0.283363
162494,RHBDL3,0.439442
79628,SH3TC2,0.195587
54602,NDFIP2,0.376954
59277,NTN4,0.702849
26609,VCX,0.310766
6672,SP100,0.188607
6997,TDGF1,0.453062
920,CD4,0.459962
57585,CRAMP1L,0.19058
60494,CCDC81,0.248385
3117,HLA-DQA1,0.312064
7472,WNT2,0.506612
79669,C3orf52,0.582431
3957,LGALS2,0.29573
27445,PCLO,0.370113
3381,IBSP,0.456894
249,ALPL,0.224557
147495,APCDD1,0.377961
26031,OSBPL3,0.228319
9242,MSC,0.508181
2065,ERBB3,0.439213
114614,MIRN155,0.286171
4311,MME,0.52413
5287,PIK3C2B,0.317079
79870,BAALC,0.325555
10815,CPLX1,0.258835
26659,OR7A5,0.224696
8647,ABCB11,0.260213
1044,CDX1,0.436629
64067,NPAS3,0.381823
79625,C4orf31,0.222857
1496,CTNNA2,0.523582
2982,GUCY1A3,0.217123
5144,PDE4D,0.189495
261734,NPHP4,0.269995
9760,TOX,0.2885
10009,ZBTB33,0.187248
51533,PHF7,0.195634
8728,ADAM19,0.210354
4062,LY6H,0.308403
10566,AKAP3,0.467923
85021,REPS1,0.381473
8491,MAP4K3,0.203012
7101,NR2E1,0.420797
143425,SYT9,0.187435
79576,NKAP,0.296785
1215,CMA1,0.425095
6324,SCN1B,0.228173
768211,RELL1,0.187798
6097,RORC,0.182466
3977,LIFR,0.396205
22982,DIP2C,0.370831
22981,RP4-691N24.1,0.260421
256691,MAMDC2,0.377187
1512,CTSH,0.221219
152503,SH3D19,0.367829
8756,ADAM7,0.464413
412,STS,0.181931
10161,P2RY5,0.402612
6926,TBX3,0.290871
374899,ZNF829,0.255513
22949,PTGR1,0.225383
10873,ME3,0.289529
25790,CCDC19,0.18657
5459,POU4F3,0.415895
9635,CLCA2,0.509145
26585,GREM1,0.60613
4884,NPTX1,0.314414
81623,DEFB126,0.546673
145942,TMCO5A,0.239662
11043,MID2,0.213114
148753,FAM163A,0.517031
10875,FGL2,0.258188
27295,PDLIM3,0.319144
25827,FBXL2,0.430656
283629,TSSK4,0.222215
339416,ANKRD45,0.355691
92126,DSEL,0.382631
115111,SLC26A7,0.340028
2719,GPC3,0.439759
57824,HMHB1,0.278237
26137,ZBTB20,0.184697
84553,C6orf168,0.403345
57105,CYSLTR2,0.203287
1741,DLG3,0.296808
4705,NDUFA10,0.245219
285016,FAM150B,0.2712
144348,ZNF664,0.200687
29940,DSE,0.327467
257019,FRMD3,0.288171
3641,INSL4,0.478079
84692,CCDC54,0.385139
7252,TSHB,0.265923
4684,NCAM1,0.214671
4660,PPP1R12B,0.22135
81533,ITFG1,0.206623
54212,SNTG1,0.339273
9223,MAGI1,0.537918
124930,ANKRD13B,0.215381
90427,BMF,0.223368
1230,CCR1,0.25017
1636,ACE,0.283158
8787,RGS9,0.257165
84867,PTPN5,0.269199
6913,TBX15,0.420688
84277,DNAJC30,0.461407
9861,PSMD6,0.365664
3572,IL6ST,0.446449
10062,NR1H3,0.226518
127124,ATP6V1G3,0.405414
152519,NPAL1,0.485919
586,BCAT1,0.257132
11255,HRH3,0.340381
350,APOH,0.453684
10970,CKAP4,0.190532
84249,PSD2,0.454929
60439,TTTY2,0.223101
7693,ZNF134,0.222755
222070,LOC222070,0.181372
6863,TAC1,0.304968
10110,SGK2,0.379733
971,CD72,0.314432
2043,EPHA4,0.213477
8936,WASF1,0.184221
725,C4BPB,0.272761
55805,LRP2BP,0.250085
5322,PLA2G5,0.290685
3321,IGSF3,0.42632
2066,ERBB4,0.489997
23090,ZNF423,0.365824
26289,AK5,0.325187
1842,ECM2,0.247981
122525,C14orf28,0.482542
6346,CCL1,0.198374
114798,SLITRK1,0.380192
339479,FAM5C,0.532932
374378,GALNTL4,0.500128
7113,TMPRSS2,0.510448
92340,C17orf72,0.28923
83935,TMEM133,0.248846
22926,ATF6,0.341625
10563,CXCL13,0.406986
4983,OPHN1,0.388591
1519,CTSO,0.19067
64577,ALDH8A1,0.328924
57379,AICDA,0.396197
284546,C1orf185,0.35778
9437,NCR1,0.24045
729562,LOC729562,0.414914
719,C3AR1,0.196034
53344,CHIC1,0.191431
51426,POLK,0.272498
26108,PYGO1,0.414077
9590,AKAP12,0.457162
5563,PRKAA2,0.405297
11279,KLF8,0.313024
6000,RGS7,0.384397
8608,RDH16,0.29981
642273,FAM110C,0.500264
3950,LECT2,0.321714
285281,LOC285281,0.365896
9745,ZNF536,0.188408
113835,ZNF257,0.386355
2247,FGF2,0.437948
3597,IL13RA1,0.241256
5655,KLK10,0.275435
51422,PRKAG2,0.242802
124540,MSI2,0.201109
23024,PDZRN3,0.411724
7039,TGFA,0.297088
7441,VPREB1,0.323761
80714,PBX4,0.487974
284340,CXCL17,0.556444
11069,RAPGEF4,0.277366
57491,AHRR,0.343239
56667,MUC13,0.26106
63901,FAM111A,0.468189
57823,SLAMF7,0.197913
11250,GPR45,0.287924
80127,C14orf45,0.322987
57795,FAM5B,0.325134
23439,ATP1B4,0.399616
170392,OIT3,0.269521
361,AQP4,0.22234
27299,ADAMDEC1,0.310424
54456,MOV10L1,0.318138
27019,DNAI1,0.396737
1833,EPYC,0.26702
79098,C1orf116,0.211007
653361,NCF1,0.181656
2549,GAB1,0.24653
388649,C1orf146,0.328311
53342,IL17D,0.329808
4486,MST1R,0.291653
10537,UBD,0.507589
339778,LOC339778,0.294102
926,CD8B,0.195943
9860,LRIG2,0.312487
9705,ST18,0.463874
1073,CFL2,0.227124
4313,MMP2,0.329119
11187,PKP3,0.363647
64100,ELSPBP1,0.412618
4142,MAS1,0.256108
8796,SCEL,0.502721
23555,TSPAN15,0.209292
3558,IL2,0.309562
51540,SCLY,0.405332
5784,PTPN14,0.427262
8789,FBP2,0.446073
4606,MYBPC2,0.277497
142686,ASB14,0.466371
1029,CDKN2A,0.450542
1993,ELAVL2,0.274896
6920,TCEA3,0.514314
22848,AAK1,0.200218
9623,TCL1B,0.291875
130132,RFTN2,0.362613
140731,ANKRD60,0.395271
23743,BHMT2,0.489187
26059,ERC2,0.388313
79742,CXorf36,0.298683
8581,LY6D,0.473995
151354,FAM84A,0.396723
10022,INSL5,0.55359
55532,SLC30A10,0.419061
1749,DLX5,0.283151
6692,SPINT1,0.467004
23768,FLRT2,0.421881
57539,WDR35,0.3133
84952,CGNL1,0.197612
414,ARSD,0.473141
219928,MRGPRF,0.434181
245711,SPDYA,0.48282
7018,TF,0.47949
54676,GTPBP2,0.209111
56126,PCDHB10,0.310397
2342,FNTB,0.28263
6453,ITSN1,0.42444
122616,C14orf79,0.241887
4800,NFYA,0.208727
4063,LY9,0.411905
27130,INVS,0.204291
1130,LYST,0.187635
5468,PPARG,0.441383
7166,TPH1,0.392808
2998,GYS2,0.511751
638,BIK,0.283668
22843,PPM1E,0.270763
25770,C22orf31,0.42831
12,SERPINA3,0.261926
9457,FHL5,0.29456
1134,CHRNA1,0.199903
116150,NUS1,0.286513
5789,PTPRD,0.328461
100130979,LOC100130979,0.234272
55323,LARP6,0.473926
6361,CCL17,0.27806
57713,SFMBT2,0.321718
4994,OR3A1,0.267221
80315,CPEB4,0.183684
5783,PTPN13,0.335318
186,AGTR2,0.21955
54832,VPS13C,0.483044
643714,LOC643714,0.358808
4322,MMP13,0.33979
650794,LOC650794,0.328215
729977,LOC729977,0.341597
150160,CCT8L2,0.211696
6474,SHOX2,0.293939
8499,PPFIA2,0.390322
51151,SLC45A2,0.364671
151963,C3orf59,0.275375
266655,FLJ35348,0.210115
22925,PLA2R1,0.196126
9518,GDF15,0.216719
10630,PDPN,0.444778
3375,IAPP,0.443338
22944,KIN,0.233667
387758,FIBIN,0.337058
8807,IL18RAP,0.209448
729658,LOC729658,0.415732
735,C9,0.295589
29121,CLEC2D,0.227545
200634,KRTCAP3,0.251279
342574,KRT27,0.184065
53630,BCMO1,0.294075
9154,SLC28A1,0.224792
54972,TMEM132A,0.209724
3357,HTR2B,0.341599
84255,SLC37A3,0.203629
10060,ABCC9,0.444945
10142,AKAP9,0.21692
2862,MLNR,0.332539
84539,MCHR2,0.464895
4301,MLLT4,0.379576
1644,DDC,0.282922
11009,IL24,0.286334
10100,TSPAN2,0.266992
199223,TTC21A,0.236813
1917,EEF1A2,0.265824
170680,PSORS1C2,0.190282
2124,EVI2B,0.182615
4093,SMAD9,0.42442
6444,SGCD,0.497899
54769,DIRAS2,0.343512
2196,FAT2,0.238021
9536,PTGES,0.280748
1805,DPT,0.356551
2740,GLP1R,0.373292
100129198,LOC100129198,0.41894
100128545,LOC100128545,0.289511
7051,TGM1,0.180384
2695,GIP,0.426175
375612,LHFPL3,0.31924
2272,FHIT,0.346156
9495,AKAP5,0.251339
3592,IL12A,0.214961
525,ATP6V1B1,0.346292
8437,RASAL1,0.259429
10825,NEU3,0.220747
2674,GFRA1,0.264889
5745,PTHR1,0.419067
201501,ZBTB7C,0.340154
6925,TCF4,0.333407
3316,HSPB2,0.21209
55964,SEPT3,0.379368
255967,PAN3,0.335103
1300,COL10A1,0.348252
8725,C19orf2,0.218589
158301,LOC158301,0.232024
51302,CYP39A1,0.430273
729582,DIRC3,0.198015
55613,MTMR8,0.339642
25813,SAMM50,0.221815
389432,SAMD5,0.236281
1135,CHRNA2,0.201275
1641,DCX,0.431854
57477,SHROOM4,0.304089
23382,AHCYL2,0.193301
162540,IMP5,0.394269
1527,TEX28,0.291122
7224,TRPC5,0.458676
1045,CDX2,0.416681
27303,RBMS3,0.356916
83417,FCRL4,0.270748
91523,FAM113B,0.24098
4435,CITED1,0.258073
4162,MCAM,0.337115
344558,SH3RF3,0.250467
2357,FPR1,0.210465
54943,DNAJC28,0.203771
7429,VIL1,0.22871
220979,C10orf25,0.284834
2903,GRIN2A,0.240603
2042,EPHA3,0.430081
1728,NQO1,0.31591
2899,GRIK3,0.218635
2900,GRIK4,0.366384
254887,ZDHHC23,0.283843
9569,GTF2IRD1,0.209137
56955,MEPE,0.26975
5798,PTPRN,0.340855
83478,ARHGAP24,0.204132
27319,BHLHB5,0.377486
130733,TMEM178,0.360042
55321,C20orf46,0.197756
1824,DSC2,0.241778
5865,RAB3B,0.202409
147463,ANKRD29,0.202053
22852,ANKRD26,0.186678
6473,SHOX,0.447986
8975,USP13,0.205423
137492,VPS37A,0.294592
202374,STK32A,0.261849
4068,SH2D1A,0.216899
58498,MYL7,0.270732
29851,ICOS,0.267901
53353,LRP1B,0.282095
55814,BDP1,0.304599
2329,FMO4,0.31371
150992,DKFZp434G179,0.212629
5288,PIK3C2G,0.396153
2786,GNG4,0.351324
5992,RFX4,0.407918
127602,DNAH14,0.183248
2018,EMX2,0.191161
28962,OSTM1,0.26909
817,CAMK2D,0.338894
2620,GAS2,0.2659
1536,CYBB,0.223516
6326,SCN2A,0.384214
51299,NRN1,0.228395
79887,FLJ22662,0.199664
3617,IMPG1,0.340371
8515,ITGA10,0.30212
8471,IRS4,0.291584
222553,SLC35F1,0.368251
79822,ARHGAP28,0.261842
115265,DDIT4L,0.259014
54893,MTMR10,0.276168
54898,ELOVL2,0.386716
78989,COLEC11,0.396854
5924,RASGRF2,0.241465
4919,ROR1,0.484788
100132891,LOC100132891,0.34165
120376,LOC120376,0.239725
417,ART1,0.236239
124961,ZFP3,0.421868
55028,C17orf80,0.196032
23460,ABCA6,0.193992
84056,KATNAL1,0.228669
1038,CDR1,0.201895
59,ACTA2,0.227974
1638,DCT,0.23601
79725,THAP9,0.210581
2251,FGF6,0.315649
3131,HLF,0.204898
388414,LOC388414,0.389325
2915,GRM5,0.345324
6649,SOD3,0.195991
51633,OTUD6B,0.271179
7547,ZIC3,0.282946
4982,TNFRSF11B,0.269659
7799,PRDM2,0.19151
51742,ARID4B,0.240389
4040,LRP6,0.299816
84632,AFAP1L2,0.373689
79582,SPAG16,0.243174
80705,TSGA10,0.3363
10716,TBR1,0.411126
56144,PCDHA4,0.388273
56243,KIAA1217,0.374714
57573,ZNF471,0.227586
81793,TLR10,0.237333
491,ATP2B2,0.231288
89910,UBE3B,0.275297
1123,CHN1,0.217298
79864,C11orf63,0.342489
23467,NPTXR,0.300458
84141,TMEM166,0.27335
6677,SPAM1,0.321725
2712,GK2,0.333408
58499,ZNF462,0.201181
7138,TNNT1,0.280165
2633,GBP1,0.211745
4135,MAP6,0.273002
1803,DPP4,0.365543
91409,CCDC74B,0.25534
1522,CTSZ,0.222536
27105,HSU79275,0.31534
92,ACVR2A,0.252245
57463,AMIGO1,0.38223
26010,LOC26010,0.214787
3364,HUS1,0.214871
8858,PROZ,0.353985
60676,PAPPA2,0.353611
54332,GDAP1,0.225266
5909,RAP1GAP,0.182949
9607,CARTPT,0.184216
283,ANG,0.373481
8551,INE2,0.364379
1144,CHRND,0.384019
125704,C18orf51,0.467186
347902,AMIGO2,0.267319
4105,MAGEA6,0.25329
4017,LOXL2,0.295904
219743,TYSND1,0.198517
27123,DKK2,0.422196
11346,SYNPO,0.314609
339760,LOC339760,0.229711
727961,hCG_1776047,0.335
54806,AHI1,0.225574
339327,ZNF546,0.263155
8111,GPR68,0.204813
7363,UGT2B4,0.420924
8538,BARX2,0.207678
9426,CDY2A,0.42545
84419,C15orf48,0.33796
3822,KLRC2,0.282215
56142,PCDHA6,0.413341
1675,CFD,0.264161
785,CACNB4,0.197068
27004,TCL6,0.234692
347252,IGFBPL1,0.343805
55075,UACA,0.275435
9372,ZFYVE9,0.341266
152573,SHISA3,0.240397
57154,SMURF1,0.227937
55584,CHRNA9,0.191819
8927,BSN,0.397968
83539,CHST9,0.390954
3110,MNX1,0.276925
9450,LY86,0.227149
79799,UGT2A3,0.274723
10943,MSL3L1,0.191331
26103,LRIT1,0.28161
5105,PCK1,0.37574
479,ATP12A,0.437637
196541,LOC196541,0.231729
121643,FOXN4,0.345412
1755,DMBT1,0.210373
6542,SLC7A2,0.254634
152815,THAP6,0.280509
5816,PVALB,0.205984
3291,HSD11B2,0.305845
221400,TDRD6,0.346392
54581,SCAND2,0.191164
5450,POU2AF1,0.362165
54847,SIDT1,0.223403
9945,GFPT2,0.491686
94031,HTRA3,0.222998
29991,OBP2A,0.207032
344905,ATP13A5,0.355687
9836,LCMT2,0.408182
4773,NFATC2,0.251236
4886,NPY1R,0.285938
2215,FCGR3B,0.188226
10777,ARPP-21,0.260277
90050,C14orf152,0.318234
90520,LOC90520,0.315729
26280,IL1RAPL2,0.374002
9353,SLIT2,0.338354
1281,COL3A1,0.258035
283316,CD163L1,0.382371
9934,P2RY14,0.226683
92196,DAPL1,0.198881
8325,FZD8,0.182239
152189,CMTM8,0.208821
4308,TRPM1,0.245727
10633,RASL10A,0.196593
55273,TMEM100,0.352973
154313,C6orf165,0.439404
3714,JAG2,0.22964
2324,FLT4,0.369248
8898,MTMR2,0.207259
26002,MOXD1,0.320955
8715,NOL4,0.257465
5981,RFC1,0.234768
399967,C11orf38,0.206812
55812,SPATA7,0.22265
114786,XKR4,0.21906
10505,SEMA4F,0.305424
3229,HOXC13,0.318058
54768,HYDIN,0.438546
7827,NPHS2,0.230084
9118,INA,0.196644
50604,IL20,0.209003
8435,SOAT2,0.199979
64747,MFSD1,0.232732
79424,CYP3A5P2,0.193128
6295,SAG,0.324204
3373,HYAL1,0.271345
27178,IL1F7,0.277116
7122,CLDN5,0.191028
132612,ADAD1,0.199398
2255,FGF10,0.36056
9832,JAKMIP2,0.284111
84915,C12orf34,0.200284
26025,PCDHGA12,0.195981
7991,TUSC3,0.348706
4618,MYF6,0.195684
2869,GRK5,0.187555
26064,RAI14,0.198418
2731,GLDC,0.284089
154150,HDGFL1,0.265445
161291,TMEM30B,0.365946
149775,NESPAS,0.196441
57144,PAK7,0.434863
5332,PLCB4,0.25188
161725,OTUD7A,0.374421
5406,PNLIP,0.324893
619279,ZNF704,0.31971
64240,ABCG5,0.215812
53832,IL20RA,0.262906
552,AVPR1A,0.21066
91624,NEXN,0.208574
57484,RNF150,0.210304
9213,XPR1,0.280129
10345,TRDN,0.335509
7092,TLL1,0.202619
11272,PRR4,0.207125
153579,BTNL9,0.180891
5077,PAX3,0.180819
51176,LEF1,0.22318
7325,UBE2E2,0.192749
28968,SLC6A16,0.246682
152137,CCDC50,0.184287
5618,PRLR,0.188655
9180,OSMR,0.426223
123887,ZG16,0.284656
6758,SSX5,0.237013
3081,HGD,0.219616
63970,P53AIP1,0.265959
7093,TLL2,0.271502
5774,PTPN3,0.276647
151827,LRRC34,0.21285
143279,HECTD2,0.187108
9037,SEMA5A,0.254834
10876,FAM12A,0.206023
375337,FLJ36157,0.389087
8038,ADAM12,0.21185
57662,KIAA1543,0.253032
26069,DKFZP586B0319,0.315394
5414,SEPT4,0.272734
55511,SAGE1,0.344184
2261,FGFR3,0.218399
2891,GRIA2,0.291006
3669,ISG20,0.180584
50717,WDR42A,0.271442
5317,PKP1,0.356785
23266,LPHN2,0.31968
3273,HRG,0.225664
6278,S100A7,0.267802
11127,KIF3A,0.183256
51213,LUZP4,0.360613
2494,NR5A2,0.336825
115584,SLC5A11,0.20346
3595,IL12RB2,0.306017
389421,LIN28B,0.319395
57605,PITPNM2,0.305481
213,ALB,0.258998
285733,LOC285733,0.196247
57529,RGAG1,0.190547
64232,MS4A5,0.316855
9628,RGS6,0.288557
5095,PCCA,0.212524
8115,TCL1A,0.265799
54554,WDR5B,0.236239
4071,TM4SF1,0.231342
3593,IL12B,0.255305
83445,GSG1,0.199159
93273,LEMD1,0.289492
1160,CKMT2,0.276758
56146,PCDHA2,0.291065
55567,DNAH3,0.18526
8997,KALRN,0.302581
444,ASPH,0.257222
10214,SSX3,0.234566
79661,NEIL1,0.192839
8839,WISP2,0.294196
90477,C9orf33,0.199743
54813,KLHL28,0.217298
51101,FAM164A,0.190975
1287,COL4A5,0.192865
83604,TMEM47,0.229101
254272,TBC1D28,0.21519
9388,LIPG,0.256152
153,ADRB1,0.261919
3467,IFNW1,0.274442
875,CBS,0.402076
558,AXL,0.273384
2195,FAT,0.33519
8633,UNC5C,0.236672
10149,GPR64,0.248996
4148,MATN3,0.186216
646658,TMEM90A,0.20916
10141,C4orf6,0.193324
23352,UBR4,0.214882
3952,LEP,0.244397
1735,DIO3,0.331936
5143,PDE4C,0.188872
25833,POU2F3,0.335624
79741,C10orf68,0.34325
9871,SEC24D,0.257655
4224,MEP1A,0.203694
284542,LOC284542,0.238854
26011,ODZ4,0.307381
27330,RPS6KA6,0.342466
220164,DOK6,0.18711
6557,SLC12A1,0.355707
100128844,LOC100128844,0.447065
285877,DKFZp564N2472,0.257005
54207,KCNK10,0.263673
55997,CFC1,0.30862
8302,KLRC4,0.25385
10656,KHDRBS3,0.256292
1356,CP,0.278813
1006,CDH8,0.283648
728215,FAM155A,0.41147
94234,FOXQ1,0.337645
51168,MYO15A,0.230702
375057,C1orf95,0.194508
57628,DPP10,0.281992
57634,EP400,0.228722
5446,PON3,0.337912
400960,LOC400960,0.1858
2895,GRID2,0.185128
2346,FOLH1,0.192114
5251,PHEX,0.391614
10164,CHST4,0.182643
80309,SPHKAP,0.204948
6591,SNAI2,0.208949
1587,ADAM3A,0.188036
151295,SLC23A3,0.263593
3487,IGFBP4,0.180556
7031,TFF1,0.319749
2327,FMO2,0.288283
2646,GCKR,0.213572
1539,CYLC2,0.397782
5076,PAX2,0.204807
10734,STAG3,0.189243
10544,PROCR,0.189211
127435,PODN,0.285055
7080,NKX2-1,0.259167
3350,HTR1A,0.235205
10223,GPA33,0.212645
5138,PDE2A,0.185746
221044,C10orf49,0.265561
6424,SFRP4,0.317792
3211,HOXB1,0.184872
2845,GPR22,0.198101
4319,MMP10,0.188781
8577,TMEFF1,0.202675
114884,OSBPL10,0.244313
283208,P4HA3,0.262142
27,ABL2,0.309729
441052,LOC441052,0.295071
83733,SLC25A18,0.184497
11254,SLC6A14,0.190178
203447,NRK,0.215933
5507,PPP1R3C,0.302239
55740,ENAH,0.253893
225,ABCD2,0.217245
1997,ELF1,0.35343
153328,LOC153328,0.257603
4155,MBP,0.344296
1837,DTNA,0.204487
2001,ELF5,0.188597
26082,DKFZP434L187,0.211003
153657,FLJ25439,0.335037
185,AGTR1,0.320389
7179,TPTE,0.261043
25878,MXRA5,0.223019
84803,AGPAT9,0.182031
653479,LOC653479,0.187709
55521,TRIM36,0.21154
107,ADCY1,0.259119
6358,CCL14,0.261302
64901,RANBP17,0.254067
54361,WNT4,0.213563
651,BMP3,0.282077
160857,CCDC122,0.238719
6092,ROBO2,0.276698
100129656,LOC100129656,0.208548
3651,PDX1,0.191862
90317,ZNF616,0.226081
57093,TRIM49,0.243613
5408,PNLIPRP2,0.217198
6376,CX3CL1,0.307853
2668,GDNF,0.227566
1404,HAPLN1,0.280287
5455,POU3F3,0.337943
1080,CFTR,0.243087
9899,SV2B,0.234119
118924,C10orf4,0.252534
51267,CLEC1A,0.20322
10579,TACC2,0.232192
7367,UGT2B17,0.213909
388815,C21orf34,0.240336
6514,SLC2A2,0.289868
23493,HEY2,0.186198
4036,LRP2,0.193652
635,BHMT,0.221391
8988,HSPB3,0.218276
646934,LOC646934,0.221274
5826,ABCD4,0.247259
200726,hCG_1657980,0.29309
1990,ELA1,0.251574
55894,DEFB103A,0.189843
56131,PCDHB4,0.231915
246126,CYorf15A,0.188692
1002,CDH4,0.214972
2488,FSHB,0.227768
133584,EGFLAM,0.273118
643365,FLJ44054,0.195056
285033,LOC285033,0.198703
100128139,LOC100128139,0.249427
157869,RPESP,0.244426
26032,SUSD5,0.246373
6906,SERPINA7,0.215296
1000,CDH2,0.204991
11062,DUS4L,0.193338
63827,BCAN,0.228808
114569,MAL2,0.224297
1821,DRP2,0.204347
2562,GABRB3,0.241986
57214,KIAA1199,0.234814
3567,IL5,0.192849
2359,FPR3,0.184534
400084,LOC400084,0.219609
146279,TEKT5,0.24676
57829,ZP4,0.269493
4821,NKX2-2,0.187037
155465,AGR3,0.250136
10763,NES,0.210023
1823,DSC1,0.252326
55231,CCDC87,0.229797
167359,MGC42105,0.180282
732,C8B,0.223435
50507,NOX4,0.274995
57338,JPH3,0.312382
2328,FMO3,0.195673
7350,UCP1,0.232192
6344,SCTR,0.331623
2689,GH2,0.189504
1690,COCH,0.216504
163404,PAP2D,0.214501
158158,RASEF,0.180538
4811,NID1,0.207559
6898,TAT,0.185949
56121,PCDHB15,0.21794
9290,GPR55,0.182184
5793,PTPRG,0.182001
1446,CSN1S1,0.201408
4225,MEP1B,0.192822
6354,CCL7,0.251754
53405,CLIC5,0.217023
22885,ABLIM3,0.193094
3790,KCNS3,0.194538
1380,CR2,0.233698
56154,TEX15,0.236321
64518,TEKT3,0.190797
84054,PCDHB19P,0.221394
4622,MYH4,0.239064
4741,NEFM,0.234662
283859,LOC283859,0.182635
221981,THSD7A,0.194908
316,AOX1,0.228292
1301,COL11A1,0.212918
152877,FAM53A,0.196047
9829,DNAJC6,0.200898
3484,IGFBP1,0.181908
27098,CLUL1,0.195761
6928,HNF1B,0.194835
57101,TMEM16B,0.181114
7049,TGFBR3,0.182201
285370,LOC285370,0.191381
359787,DPPA3,0.227308
676,BRDT,0.216999
26507,CNNM1,0.203897
9229,DLGAP1,0.185268
55897,MESP1,0.20201
100130268,LOC100130268,0.211549
23626,SPO11,0.190211
