Gene.ID,Gene.symbol,logFC
84958,SYTL1,0.190754
23350,SR140,0.510207
51669,TMEM66,0.190887
1,A1BG,0.219005
8682,PEA15,0.299081
3563,IL3RA,0.438939
387,RHOA,0.274713
64779,MTHFSD,0.302792
10620,ARID3B,0.236123
7127,TNFAIP2,0.516034
29007,PRO1621,0.341126
55959,SULF2,0.576459
94015,TTYH2,0.406652
22839,DLGAP4,0.202489
1466,CSRP2,0.707203
3127,HLA-DRB5,0.367507
8522,GAS7,0.426204
402573,LOC402573,0.354044
970,CD70,0.576512
10371,SEMA3A,0.803782
140460,ASB7,0.19016
132241,RPL32P3,0.307392
57142,RTN4,0.201032
10346,TRIM22,0.288532
8764,TNFRSF14,0.303824
8620,NPFF,0.246149
6643,SNX2,0.251128
55054,ATG16L1,0.415657
915,CD3D,0.669606
2771,GNAI2,0.206293
3820,KLRB1,0.641799
1192,CLIC1,0.202264
10627,MRCL3,0.201663
25943,C20orf194,0.340569
2736,GLI2,0.895277
81704,DOCK8,0.284122
6158,RPL28,0.205076
9736,USP34,0.318009
25831,HECTD1,0.333877
4430,MYO1B,0.704456
55599,RNPC3,0.363459
64121,RRAGC,0.194649
100128751,LOC100128751,0.644703
284129,SLC26A11,0.527288
79090,TRAPPC6A,0.222732
2886,GRB7,0.691319
81698,C15orf5,0.317518
8519,IFITM1,0.54944
5777,PTPN6,0.248021
8303,SNN,0.320526
23479,ISCU,0.183813
7462,LAT2,0.34586
64236,PDLIM2,0.263698
116829,CG012,0.443351
26051,PPP1R16B,0.514215
168544,ZNF467,0.232866
10451,VAV3,0.25453
55105,GPATCH2,0.311856
126823,KLHDC9,0.355965
401577,LOC401577,0.295487
100129286,LOC100129286,0.5711
23005,MAPKBP1,0.291058
388403,YPEL2,0.443103
55092,TMEM51,0.500858
283104,LOC283104,0.488974
403,ARL3,0.291031
23081,JMJD2C,0.43754
5698,PSMB9,0.357485
64397,ZFP106,0.200571
25,ABL1,0.187357
9368,SLC9A3R1,0.229356
9473,C1orf38,0.32047
4267,CD99,0.256827
445,ASS1,0.2955
84186,ZCCHC7,0.498739
3423,IDS,0.183164
834,CASP1,0.307245
961,CD47,0.290053
55187,VPS13D,0.388844
5148,PDE6G,0.21182
81493,SYNC1,0.228339
92017,SNX29,0.262632
257106,ARHGAP30,0.223667
4350,MPG,0.22087
10749,KIF1C,0.589921
83888,FGFBP2,0.623607
283149,BCL9L,0.249416
2059,EPS8,0.676577
54436,SH3TC1,0.38199
23405,DICER1,0.230595
64761,PARP12,0.236906
120,ADD3,0.321069
11215,AKAP11,0.389419
4207,MEF2B,0.207727
9586,CREB5,0.432536
9910,RABGAP1L,0.347382
2012,EMP1,0.372172
57719,TMEM16H,0.211223
9320,TRIP12,0.293897
118672,PSTK,0.278957
144132,DNHD1,0.385725
84961,FBXL20,0.285255
1399,CRKL,0.471223
283508,LOC283508,0.397701
23532,PRAME,0.641254
4205,MEF2A,0.260247
26996,GPR160,0.332167
5204,PFDN5,0.207098
9636,ISG15,0.34541
25861,DFNB31,0.268463
1520,CTSS,0.264039
25879,WDSOF1,0.206432
5930,RBBP6,0.318295
56911,C21orf7,0.315612
8428,STK24,0.186249
26053,AUTS2,0.307181
10059,DNM1L,0.262938
474170,LRRC37A2,0.326817
10758,TRAF3IP2,0.336155
5033,P4HA1,0.334481
91151,TIGD7,0.21525
84270,C9orf89,0.241001
2634,GBP2,0.355018
401504,LOC401504,0.245748
5699,PSMB10,0.222608
11252,PACSIN2,0.19994
201799,TMEM154,0.35775
54758,KLHDC4,0.346171
79991,OBFC1,0.258701
3831,KLC1,0.293324
51351,ZNF117,0.307611
3587,IL10RA,0.426883
6988,TCTA,0.207561
25956,SEC31B,0.210364
89796,NAV1,0.641336
79026,AHNAK,0.338564
154075,SAMD3,0.477435
5090,PBX3,0.28175
54522,ANKRD16,0.369627
285590,SH3PXD2B,0.448908
2971,GTF3A,0.225266
10044,SH2D3C,0.257637
3122,HLA-DRA,0.374253
9337,CNOT8,0.185036
3109,HLA-DMB,0.359901
81605,URM1,0.256169
8829,NRP1,0.793658
22931,RAB18,0.345602
51063,FAM26B,0.205304
7266,DNAJC7,0.336582
1388,CREBL1,0.271618
240,ALOX5,0.453987
57348,TTYH1,0.420529
8202,NCOA3,0.243279
8844,KSR1,0.181083
10288,LILRB2,0.503289
199870,FAM76A,0.242598
23143,LRCH1,0.277027
30009,TBX21,0.519408
6932,TCF7,0.585482
170712,COX7B2,0.816351
255812,SDHALP1,0.374418
1879,EBF1,0.790896
7011,TEP1,0.273032
11146,GLMN,0.186822
7940,LST1,0.29982
51105,PHF20L1,0.429271
9014,TAF1B,0.192797
51673,TPPP3,0.549611
10241,CALCOCO2,0.218792
57238,KIAA0492,0.334574
4327,MMP19,0.353683
338620,LOC338620,0.385055
9448,MAP4K4,0.240732
9403,SEP15,0.19953
55339,WDR33,0.26716
8847,DLEU2,0.372499
8575,PRKRA,0.319638
2350,FOLR2,0.277869
9550,ATP6V1G1,0.183705
79016,DDA1,0.181576
3575,IL7R,0.559269
10578,GNLY,0.231624
23524,SRRM2,0.200946
11178,LZTS1,0.602745
896,CCND3,0.250661
1852,DUSP9,0.65366
8826,IQGAP1,0.225673
9094,UNC119,0.19388
55676,SLC30A6,0.435697
11052,CPSF6,0.587802
10048,RANBP9,0.203922
6272,SORT1,0.414631
10628,TXNIP,0.251659
5303,PIN4,0.248604
7071,KLF10,0.197287
4854,NOTCH3,0.464546
7514,XPO1,0.380816
6373,CXCL11,0.769776
27143,KIAA1274,0.396995
64417,C5orf28,0.26158
10299,MARCH6,0.194171
100131564,LOC100131564,0.204588
968,CD68,0.310273
118788,PIK3AP1,0.301761
8528,DDO,0.185527
10681,GNB5,0.263865
153222,C5orf41,0.300551
100132726,LOC100132726,0.248434
115362,GBP5,0.333919
1617,DAZ1,0.316155
221188,GPR114,0.403393
3695,ITGB7,0.302266
11182,SLC2A6,0.317705
25824,PRDX5,0.182724
202025,DKFZp667E0512,0.31574
11119,BTN3A1,0.250619
26070,DKFZP434K028,0.227085
8867,SYNJ1,0.337364
2250,FGF5,0.18074
399717,FLJ45983,0.384147
89932,PAPLN,0.237433
375743,PTAR1,0.20631
1947,EFNB1,0.66566
222663,SCUBE3,0.90642
2034,EPAS1,0.631602
55884,WSB2,0.274269
81873,ARPC5L,0.276438
9404,LPXN,0.289209
29068,ZBTB44,0.783772
285512,FAM13A1OS,0.216526
414918,FAM116B,0.230156
3956,LGALS1,0.457061
3275,PRMT2,0.259816
10019,SH2B3,0.181194
1744,DLSTP,0.197085
153277,LOC153277,0.479477
54455,FBXO42,0.185308
51466,EVL,0.275838
9644,SH3PXD2A,0.253313
23475,QPRT,0.238354
3087,HHEX,0.203437
57565,KLHL14,0.626586
4194,MDM4,0.235324
1401,CRP,0.393721
11120,BTN2A1,0.185357
55294,FBXW7,0.334255
8662,EIF3B,0.21552
23108,GARNL4,0.219062
9467,SH3BP5,0.475355
404734,ANKHD1-EIF4EBP3,0.46912
3115,HLA-DPB1,0.42847
5533,PPP3CC,0.251189
333926,PPM1J,0.229283
8760,CDS2,0.192819
6477,SIAH1,0.207217
3001,GZMA,0.481202
7690,ZNF131,0.402517
80726,KIAA1683,0.241472
8464,SUPT3H,0.267392
387119,C6orf204,0.298801
4599,MX1,0.398506
7048,TGFBR2,0.276007
6284,S100A13,0.405578
25798,BRI3,0.224282
10605,PAIP1,0.207518
150365,MEI1,0.245925
1102,RCBTB2,0.32975
6549,SLC9A2,0.569616
3430,IFI35,0.226817
23336,DMN,0.504261
26220,DGCR5,0.410428
10094,ARPC3,0.189228
54463,FAM134B,0.317945
441168,FAM26F,0.309966
3108,HLA-DMA,0.258689
5729,PTGDR,0.551928
55284,UBE2W,0.203629
55022,PID1,0.578686
5687,PSMA6,0.217763
1207,CLNS1A,0.688292
5887,RAD23B,0.300046
10801,SEPT9,0.364487
4261,CIITA,0.303626
974,CD79B,0.346212
9047,SH2D2A,0.25218
5562,PRKAA1,0.466892
54941,RNF125,0.218285
2889,RAPGEF1,0.271922
22987,SV2C,0.521549
5696,PSMB8,0.207839
80176,SPSB1,0.591841
10915,TCERG1,0.204647
56934,CA10,0.868802
4603,MYBL1,0.380125
10125,RASGRP1,0.321819
10312,TCIRG1,0.200151
6193,RPS5,0.181873
11092,C9orf9,0.557202
3125,HLA-DRB3,0.3157
6095,RORA,0.433377
91404,SESTD1,0.19991
801,CALM1,0.20047
23112,TNRC6B,0.215345
146050,ZSCAN29,0.185361
8635,RNASET2,0.205314
1601,DAB2,0.327958
2298,FOXD4,0.238149
23102,TBC1D2B,0.222734
84516,DCTN5,0.30953
359845,FAM101B,0.241904
79703,C11orf80,0.374631
8611,PPAP2A,0.270734
8549,LGR5,0.89141
9679,FAM53B,0.211899
3556,IL1RAP,0.420029
9173,IL1RL1,0.223992
200845,KCTD6,0.239648
4199,ME1,0.567965
10892,MALT1,0.22604
154881,KCTD7,0.189989
4330,MN1,0.429582
3932,LCK,0.376528
1039,CDR2,0.192735
51513,ETV7,0.354271
56624,ASAH2,0.830956
4360,MRC1,0.671587
54948,MRPL16,0.251813
10075,HUWE1,0.228574
8490,RGS5,0.657131
439921,MXRA7,0.474349
9369,NRXN3,0.702632
53637,S1PR5,0.48247
9028,RHBDL1,0.211986
23616,SH3BP1,0.244245
30832,ZNF354C,0.845157
80204,FBXO11,0.196613
55582,KIF27,0.287789
2308,FOXO1,0.485461
10198,MPHOSPH9,0.47735
9056,SLC7A7,0.353286
26273,FBXO3,0.523712
171024,SYNPO2,0.435131
9695,EDEM1,0.297042
30812,SOX8,0.338313
57558,USP35,0.190066
404093,CUEDC1,0.447003
828,CAPS,0.193324
4094,MAF,0.435086
