MeSH Symptom Term	MeSH Disease Term	PubMed occurrence	TFIDF score
Asthenia	Cecal Neoplasms	2	4,12643850210707
Asthenia	Colorectal Neoplasms	3	6,18965775316061
Asthenia	Colonic Neoplasms	1	2,06321925105354
Asthenia	Rectal Neoplasms	2	4,12643850210707
Asthenia	Stomach Neoplasms	9	18,5689732594818
Asthenia	Liver Neoplasms	5	10,3160962552677
Asthenia	Pancreatic Neoplasms	2	4,12643850210707
Asthenia	Ovarian Neoplasms	3	6,18965775316061
Asthenia	Parathyroid Neoplasms	2	4,12643850210707
Asthenia	Pituitary Neoplasms	3	6,18965775316061
Asthenia	Head and Neck Neoplasms	4	8,25287700421415
Asthenia	Facial Neoplasms	1	2,06321925105354
Asthenia	Mouth Neoplasms	2	4,12643850210707
Asthenia	Laryngeal Neoplasms	1	2,06321925105354
Asthenia	Oropharyngeal Neoplasms	1	2,06321925105354
Asthenia	Hematologic Neoplasms	1	2,06321925105354
Asthenia	Brain Neoplasms	4	8,25287700421415
Asthenia	Cerebral Ventricle Neoplasms	1	2,06321925105354
Asthenia	Meningeal Neoplasms	1	2,06321925105354
Asthenia	Spinal Cord Neoplasms	1	2,06321925105354
Asthenia	Skin Neoplasms	3	6,18965775316061
Asthenia	Muscle Neoplasms	1	2,06321925105354
Asthenia	Heart Neoplasms	2	4,12643850210707
Asthenia	Mediastinal Neoplasms	1	2,06321925105354
Asthenia	Lung Neoplasms	16	33,0115080168566
Asthenia	Carcinoma, Non-Small-Cell Lung	11	22,6954117615889
Asthenia	Thymus Neoplasms	1	2,06321925105354
Asthenia	Uterine Neoplasms	2	4,12643850210707
Asthenia	Prostatic Neoplasms	1	2,06321925105354
Asthenia	Urologic Neoplasms	1	2,06321925105354
Asthenia	Kidney Neoplasms	8	16,5057540084283
Asthenia	Neoplasms, Experimental	1	2,06321925105354
Asthenia	Neoplasms, Multiple Primary	1	2,06321925105354
Asthenia	Neoplasm Recurrence, Local	2	4,12643850210707
Asthenia	Paraneoplastic Syndromes	2	4,12643850210707
Asthenia	Acrocephalosyndactylia	1	2,06321925105354
Asthenia	Marfan Syndrome	1	2,06321925105354
Asthenia	Acromegaly	1	2,06321925105354
Asthenia	Osteoporosis	5	10,3160962552677
Asthenia	Osteoporosis, Postmenopausal	1	2,06321925105354
Asthenia	Osteochondritis	1	2,06321925105354
Asthenia	Spinal Diseases	1	2,06321925105354
Asthenia	Kyphosis	1	2,06321925105354
Asthenia	Spondylitis, Ankylosing	1	2,06321925105354
Asthenia	Fasciitis	1	2,06321925105354
Asthenia	Temporomandibular Joint Dysfunction Syndrome	1	2,06321925105354
Asthenia	Joint Diseases	1	2,06321925105354
Asthenia	Arthritis	3	6,18965775316061
Asthenia	Arthritis, Rheumatoid	2	4,12643850210707
Asthenia	Still's Disease, Adult-Onset	1	2,06321925105354
Asthenia	Osteoarthritis	1	2,06321925105354
Asthenia	Contracture	1	2,06321925105354
Asthenia	Muscular Diseases	40	82,5287700421415
Asthenia	Mitochondrial Myopathies	1	2,06321925105354
Asthenia	MELAS Syndrome	1	2,06321925105354
Asthenia	Muscle Cramp	3	6,18965775316061
