Source1,Source2,Shared_Targets_Count
ITGA2,CADM2,1
ITGA2,ZDHHC20,1
ITGA2,RAB3IP,1
ITGA2,CYB561D1,1
ITGA2,PRNP,1
ITGA2,ABHD15,1
ITGA2,QRFPR,1
ITGA2,CCDC137,1
ITGA2,DSTYK,1
ITGA2,RTN3,1
ITGA2,ZBTB37,1
ITGA2,A1CF,1
ITGA2,FHDC1,1
ITGA2,MAP3K2,1
ITGA2,RBM12B,1
ITGA2,XIAP,1
ITGA2,HIP1,1
ITGA2,SLC7A11,1
ITGA2,TMOD3,1
ITGA2,PLEKHM1,1
ITGA2,ZNF652,1
ITGA2,ZFYVE26,1
ITGA2,TTC9,1
ITGA2,MTMR9,1
ITGA2,WSB1,1
ITGA2,RLIM,1
ITGA2,IRAK4,1
ITGA2,ARID4B,1
ITGA2,KLF3,1
ITGA2,TLR7,1
ITGA2,OCIAD1,1
ITGA2,FKBP14,1
ITGA2,RAB42,1
ITGA2,C18orf32,1
ITGA2,BCL2L2,1
ITGA2,CDKN1A,1
ITGA2,PRKACB,1
ITGA2,SPIB,1
ITGA2,RAB5B,1
ITGA2,RND3,1
ITGA2,ARHGAP12,1
ITGA2,GTF2H3,1
ITGA2,YOD1,1
ITGA2,HIPK3,1
ITGA2,POLM,1
ITGA2,PKNOX1,1
ITGA2,ZNF385A,1
ITGA2,ENPP5,1
ITGA2,NRIP3,1
ITGA2,NUFIP2,1
ITGA2,WNK3,1
ITGA2,ZNFX1,1
ITGA2,LY6G5B,1
ITGA2,CFL2,1
ITGA2,SERF1A,1
ITGA2,EGLN3,1
ITGA2,ABCG8,1
ITGA2,ZMAT3,1
ITGA2,GPR157,1
ITGA2,SLC35F5,1
ITGA2,TNKS2,1
ITGA2,ZNF805,1
ITGA2,KCNB1,1
ITGA2,MECP2,1
ITGA2,CCDC6,1
ITGA2,MTF1,1
ITGA2,DYRK2,1
ITGA2,NUDT3,1
ITGA2,MAPRE3,1
ITGA2,SF3B3,1
ITGA2,OSTM1,1
ITGA2,SPCS1,1
ITGA2,EIF2B2,1
ITGA2,DLST,1
ITGA2,MYH9,1
ITGA2,NPAT,1
ITGA2,RORA,1
ITGA2,SP2,1
ITGA2,TXK,1
ITGA2,BNIP2,1
ITGA2,DUSP2,1
ITGA2,QKI,1
ITGA2,MFN1,1
ITGA2,TRAPPC2,1
ITGA2,ZNF578,1
ITGA2,VPS53,1
ITGA2,ATXN1,1
ITGA2,TP53INP1,1
ITGA2,MFSD2A,1
ITGA2,LLPH,1
ITGA2,DCTN5,1
ITGA2,PPP1R15B,1
ITGA2,PURB,1
ITGA2,DCBLD2,1
ITGA2,MAPKAPK5,1
ITGA2,STAT3,1
ITGA2,CXorf38,1
ITGA2,SGMS1,1
ITGA2,SON,1
ITGA2,RRN3,1
ITGA2,HMGB3,1
ITGA2,ZYG11A,1
ITGA2,HMGB1,1
ITGA2,RUNX3,1
ITGA2,SOD2,1
ITGA2,SNAP47,1
ITGA2,CYP19A1,1
ITGA2,NR3C1,1
ITGA2,TGFB1,1
ITGA2,KATNAL1,1
ITGA2,TNRC6B,1
ITGA2,COX19,1
F2RL3,WIPF2,1
F2RL3,MAPK9,1
F2RL3,CNKSR3,1
F2RL3,APP,1
F2RL3,EIF3M,1
F2RL3,DNAJC10,1
F2RL3,ZNF7,1
F2RL3,WDR53,1
F2RL3,KIF6,1
F2RL3,CUL4A,1
F2RL3,MFSD8,1
F2RL3,RGMB,1
F2RL3,PRKAR1A,1
F2RL3,ZC3H12C,1
F2RL3,SOCS7,1
F2RL3,PDPK1,1
F2RL3,WAC,1
F2RL3,WEE1,1
F2RL3,ZNF665,1
F2RL3,TBL1XR1,1
F2RL3,GPRIN3,1
F2RL3,MTMR3,1
F2RL3,CADM2,1
F2RL3,ZDHHC20,1
F2RL3,RAB3IP,1
F2RL3,CYB561D1,1
F2RL3,PRNP,1
F2RL3,ABHD15,1
F2RL3,QRFPR,1
F2RL3,CCDC137,1
F2RL3,DSTYK,1
F2RL3,RTN3,1
F2RL3,ZBTB37,1
F2RL3,A1CF,1
F2RL3,FHDC1,1
F2RL3,MAP3K2,1
F2RL3,RBM12B,1
F2RL3,XIAP,1
F2RL3,HIP1,1
F2RL3,SLC7A11,1
F2RL3,TMOD3,1
F2RL3,PLEKHM1,1
F2RL3,ZNF652,1
F2RL3,ZFYVE26,1
F2RL3,TTC9,1
F2RL3,MTMR9,1
F2RL3,WSB1,1
F2RL3,RLIM,1
F2RL3,IRAK4,1
F2RL3,ARID4B,1
F2RL3,KLF3,1
F2RL3,TLR7,1
F2RL3,OCIAD1,1
F2RL3,FKBP14,1
F2RL3,RAB42,1
F2RL3,C18orf32,1
F2RL3,BCL2L2,1
F2RL3,CDKN1A,1
F2RL3,PRKACB,1
F2RL3,SPIB,1
F2RL3,RAB5B,1
F2RL3,RND3,1
F2RL3,ARHGAP12,1
F2RL3,GTF2H3,1
F2RL3,YOD1,1
F2RL3,HIPK3,1
F2RL3,POLM,1
F2RL3,PKNOX1,1
F2RL3,ZNF385A,1
F2RL3,ENPP5,1
F2RL3,NRIP3,1
F2RL3,NUFIP2,1
F2RL3,WNK3,1
F2RL3,ZNFX1,1
F2RL3,LY6G5B,1
F2RL3,CFL2,1
F2RL3,SERF1A,1
F2RL3,EGLN3,1
F2RL3,ABCG8,1
F2RL3,ZMAT3,1
F2RL3,GPR157,1
F2RL3,SLC35F5,1
F2RL3,TNKS2,1
F2RL3,ZNF805,1
F2RL3,KCNB1,1
F2RL3,MECP2,1
F2RL3,CCDC6,1
F2RL3,MTF1,1
F2RL3,DYRK2,1
F2RL3,NUDT3,1
F2RL3,MAPRE3,1
F2RL3,SF3B3,1
F2RL3,OSTM1,1
F2RL3,SPCS1,1
F2RL3,EIF2B2,1
F2RL3,DLST,1
F2RL3,MYH9,1
F2RL3,NPAT,1
F2RL3,RORA,1
F2RL3,SP2,1
F2RL3,TXK,1
F2RL3,BNIP2,1
F2RL3,DUSP2,1
F2RL3,QKI,1
F2RL3,MFN1,1
F2RL3,TRAPPC2,1
F2RL3,ZNF578,1
F2RL3,VPS53,1
F2RL3,ATXN1,1
F2RL3,TP53INP1,1
F2RL3,MFSD2A,1
F2RL3,LLPH,1
F2RL3,DCTN5,1
F2RL3,PPP1R15B,1
F2RL3,PURB,1
F2RL3,DCBLD2,1
F2RL3,MAPKAPK5,1
F2RL3,STAT3,1
F2RL3,CXorf38,1
F2RL3,SGMS1,1
F2RL3,SON,1
F2RL3,RRN3,1
F2RL3,HMGB3,1
F2RL3,ZYG11A,1
F2RL3,HMGB1,1
F2RL3,RUNX3,1
F2RL3,SOD2,1
F2RL3,SNAP47,1
F2RL3,CYP19A1,1
F2RL3,NR3C1,1
F2RL3,TGFB1,1
F2RL3,KATNAL1,1
F2RL3,TNRC6B,1
F2RL3,COX19,1
WIPF2,MAPK9,1
WIPF2,CNKSR3,1
WIPF2,APP,1
WIPF2,EIF3M,1
WIPF2,DNAJC10,1
WIPF2,ZNF7,1
WIPF2,WDR53,1
WIPF2,KIF6,1
WIPF2,CUL4A,1
WIPF2,MFSD8,1
WIPF2,RGMB,1
WIPF2,PRKAR1A,1
WIPF2,ZC3H12C,1
WIPF2,SOCS7,1
WIPF2,PDPK1,1
WIPF2,WAC,1
WIPF2,WEE1,1
WIPF2,ZNF665,1
WIPF2,TBL1XR1,1
