ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
1558170_at	1.01e-16	9.46e-20	-1.67e+01	34.849438	-3.9260157			
201688_s_at	1.07e-16	1.04e-19	1.66e+01	34.756034	6.281576	TPD52	tumor protein D52	7163
220725_x_at	1.08e-16	1.09e-19	-1.66e+01	34.714413	-2.9132229	DNAH3	dynein axonemal heavy chain 3	55567
209686_at	1.53e-16	1.59e-19	-1.64e+01	34.339787	-5.5601559	S100B	S100 calcium binding protein B	6285
1568954_s_at	1.86e-16	2.03e-19	1.63e+01	34.103887	3.3554011	C16orf72	chromosome 16 open reading frame 72	29035
204667_at	1.86e-16	2.07e-19	1.63e+01	34.080963	3.8222454	FOXA1	forkhead box A1	3169
211673_s_at	1.86e-16	2.12e-19	-1.63e+01	34.060495	-2.7779066	MOCS1	molybdenum cofactor synthesis 1	4337
227006_at	2.17e-16	2.54e-19	-1.62e+01	33.883338	-4.7570429	PPP1R14A	protein phosphatase 1 regulatory inhibitor subunit 14A	94274
204421_s_at	2.32e-16	2.80e-19	-1.62e+01	33.786774	-2.3412441	FGF2	fibroblast growth factor 2	2247
216153_x_at	2.36e-16	2.93e-19	-1.61e+01	33.743668	-2.4718031	RECK	reversion inducing cysteine rich protein with kazal motifs	8434
220027_s_at	2.36e-16	3.00e-19	-1.61e+01	33.720409	-2.9985476	RASIP1	Ras interacting protein 1	54922
1556006_s_at	2.69e-16	3.52e-19	1.61e+01	33.562937	4.3833997	CSNK1A1	casein kinase 1 alpha 1	1452
238964_at	3.24e-16	4.43e-19	-1.60e+01	33.337647	-3.4280537	FIGN	fidgetin, microtubule severing factor	55137
213183_s_at	3.24e-16	4.45e-19	-1.60e+01	33.333273	-3.5919442			
206323_x_at	3.84e-16	5.40e-19	-1.59e+01	33.141921	-2.7426132	OPHN1	oligophrenin 1	4983
206879_s_at	4.39e-16	6.32e-19	-1.58e+01	32.988226	-1.9048585	NRG2	neuregulin 2	9542
201351_s_at	4.74e-16	6.98e-19	1.57e+01	32.890124	1.8340266	YME1L1	YME1 like 1 ATPase	10730
219550_at	4.98e-16	7.51e-19	-1.57e+01	32.819095	-2.6758156	ROBO3	roundabout guidance receptor 3	64221
232538_at	5.38e-16	8.28e-19	-1.57e+01	32.722938	-5.0251513			
207265_s_at	5.41e-16	8.69e-19	1.56e+01	32.675319	3.9891908	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3	11015
231969_at	5.41e-16	8.70e-19	-1.56e+01	32.674647	-3.6835247	STOX2	storkhead box 2	56977
210735_s_at	5.57e-16	9.13e-19	1.56e+01	32.626955	6.1394626	CA12	carbonic anhydrase 12	771
226822_at	5.58e-16	9.50e-19	-1.56e+01	32.587604	-1.9995292	STOX2	storkhead box 2	56977
201523_x_at	5.58e-16	9.53e-19	1.56e+01	32.584658	4.2791826	UBE2N	ubiquitin conjugating enzyme E2 N	7334
210495_x_at	6.37e-16	1.11e-18	1.55e+01	32.436746	3.6245485	FN1	fibronectin 1	2335
220150_s_at	6.63e-16	1.18e-18	-1.55e+01	32.378565	-2.0141645	FAM184A	family with sequence similarity 184 member A	79632
234675_x_at	6.66e-16	1.20e-18	-1.55e+01	32.355728	-2.4189438			
224159_x_at	8.51e-16	1.57e-18	-1.54e+01	32.09627	-3.2817098	TRIM4	tripartite motif containing 4	89122
201504_s_at	8.69e-16	1.63e-18	1.54e+01	32.057415	3.637244	TSN	translin	7247
1554003_at	1.11e-15	2.18e-18	-1.52e+01	31.769668	-2.3973803	ARHGEF28	Rho guanine nucleotide exchange factor 28	64283
227952_at	1.11e-15	2.21e-18	-1.52e+01	31.758455	-5.4334479	ZNF595	zinc finger protein 595	152687
