Entrez ID,Gene Symbol,LogFC,p-value,Oncogene Score
11197,WIF1,-5.02279,2.25578e-05,0.548144
10351,ABCA8,-2.38962,5.60566e-09,0.0342073
3866,KRT15,-3.1896,4.09954e-10,0.0906381
1641,DCX,-4.24707,8.32889e-05,0.0943761
761,CA3,-2.93991,0.000828317,0.0253097
9767,JADE3,2.40826,9.54248e-05,0.004895
8639,AOC3,-4.10976,2.63536e-06,0.0624679
2568,GABRP,-3.92982,1.29778e-09,0.107556
3815,KIT,-2.37202,1.74713e-05,0.542049
1396,CRIP1,2.68201,0.000317081,0.0795889
50649,ARHGEF4,-2.40448,2.20007e-07,0.00860926
6348,CCL3,3.32836,0.000657038,0.101372
7123,CLEC3B,-4.32091,2.59784e-06,0.0919082
4828,NMB,-2.71579,6.89689e-06,0.010177
10840,ALDH1L1,-2.47996,1.85121e-08,0.0641911
8843,HCAR3,-3.81086,0.000810563,0.0716443
6649,SOD3,-4.08761,3.08748e-07,0.0743965
9980,DOPEY2,2.85897,8.25968e-05,
5087,PBX1,2.54013,0.000241084,0.539118
4306,NR3C2,-2.62923,1.33856e-10,0.103801
1968,EIF2S3,2.84394,0.000885734,0.0238832
1381,CRABP1,-3.76696,9.39241e-05,0.081973
8424,BBOX1,-3.74127,6.47164e-07,0.04958
1675,CFD,-4.58686,2.23929e-09,0.0869816
5348,FXYD1,-3.79206,5.42724e-08,0.0106837
6358,CCL14,-2.70299,2.34374e-06,0.0229086
3092,HIP1,2.66367,2.99047e-08,0.554744
5154,PDGFA,-2.53683,2.35184e-08,0.0867458
5502,PPP1R1A,-5.37288,4.26963e-05,0.0215286
2690,GHR,-3.17354,5.4011e-05,0.105723
22899,ARHGEF15,-2.51843,4.68036e-10,0.0164163
5152,PDE9A,-3.3843,5.95691e-08,0.103153
284,ANGPT1,-2.50038,9.99917e-05,0.132044
4222,MEOX1,-2.66817,9.32306e-06,0.0458817
1359,CPA3,4.91643,0.00064937,0.00706489
1311,COMP,7.35126,7.1323e-05,0.112388
3316,HSPB2,-3.70014,1.28522e-08,0.102566
9687,GREB1,3.40926,0.000381012,0.357546
5463,POU6F1,-2.33586,5.83812e-13,0.00335659
7704,ZBTB16,-2.66379,3.32937e-05,0.533218
9221,NOLC1,3.29379,8.10943e-10,0.0989993
5649,RELN,-4.17925,4.59548e-06,0.0875796
1300,COL10A1,9.12398,2.25321e-05,0.124576
7474,WNT5A,2.58392,0.000622824,0.117109
5396,PRRX1,2.97984,0.000118672,0.302186
5966,REL,3.06692,0.000135405,0.428053
23405,DICER1,3.78199,2.75759e-05,0.449453
7146,TNXA,-5.00397,1.22823e-07,0.00258706
5868,RAB5A,4.10422,1.36076e-07,0.104324
5806,PTX3,-3.20745,3.63591e-06,0.124977
154,ADRB2,-2.59617,0.000567752,0.143652
762,CA4,-3.49648,0.000145015,0.0509165
8483,CILP,3.40107,0.000326762,0.0795008
3981,LIG4,2.39743,9.20347e-07,0.0472656
1950,EGF,-2.33586,0.000369892,0.11063
126,ADH1C,-3.4223,1.40052e-10,0.0394968
4983,OPHN1,-2.78845,1.07391e-13,
79867,TCTN2,-3.07323,8.13027e-08,
57447,NDRG2,-2.89132,6.12096e-12,0.129763
7090,TLE3,2.61412,8.32883e-07,0.0876322
948,CD36,-4.46152,2.79086e-05,0.120903
8775,NAPA,2.36053,4.27663e-08,
8190,MIA,-3.63155,1.10518e-09,0.00969353
7594,ZNF43,2.49513,7.18936e-07,
2277,FIGF,-4.77322,5.1426e-08,
23443,SLC35A3,2.65125,2.27187e-06,0.00432203
5021,OXTR,-5.02032,1.86237e-12,0.1061
