genes,Entrez ID,Gene Symbol,GSM1116180,GSM1116181,GSM1116184,GSM1116187,GSM1116190,GSM1116191,GSM1116194,GSM1116195,GSM1116199,GSM1116200,GSM1116203,GSM1116204,GSM1116205,GSM1116208,GSM1116209,GSM1116213,GSM1116216,GSM1116217,GSM1116220,GSM1116221,GSM1116222,GSM1116223,GSM1116224,GSM1116225,GSM1116228,GSM1116231,GSM1116232,GSM1116234,GSM1116235
228625_at,163732,CITED4,5.83807,6.23344,6.03554,6.3037,6.63766,7.53433,6.90319,6.75169,6.41314,7.68354,7.29219,6.82562,5.54767,6.35483,6.07451,3.19791,6.31451,8.46908,6.5711,8.71724,5.04563,8.03107,6.83342,3.03297,7.14043,5.28266,10.5455,7.72184,4.03295
228627_at,11011,TLK2,2.87522,2.81555,2.76265,2.8772,2.67102,2.71389,2.64421,2.57928,3.34888,2.77932,3.03325,2.76792,2.85245,2.71905,2.71422,2.83263,2.93355,2.93568,2.94613,2.89985,2.90156,3.00806,3.00994,3.01817,2.72558,2.70768,2.71702,2.80363,3.68367
228628_at,653464,SRGAP2C,8.05171,8.35346,8.25421,8.23923,8.69118,7.52736,8.92518,8.01049,7.65864,7.35779,7.70742,7.18834,7.43928,8.72793,8.54676,8.79172,7.53689,7.432,7.13348,7.13334,7.86244,6.82247,8.68209,8.32223,8.60939,8.11757,8.56971,7.17229,8.3544
228630_at,7637,ZNF84,8.52852,7.57317,7.82379,7.83497,8.14037,8.26615,7.91273,8.07485,8.35477,7.4854,8.50371,8.22516,7.3177,8.67699,7.76725,7.64486,8.08464,8.10076,8.32725,8.65232,6.74359,8.78105,7.68941,8.21996,8.03598,7.52678,7.18313,5.76161,6.64808
228633_s_at,116840,CNTROB,5.17048,5.22535,5.45914,5.52294,5.16508,4.974,5.71006,5.36146,5.63794,5.02094,6.48825,5.39938,5.31364,5.68543,5.25269,5.04375,5.48471,5.7251,5.48485,6.3411,5.35597,5.64564,5.77357,5.70339,5.39949,5.36126,4.92286,4.95029,5.41913
228636_at,27319,BHLHE22,3.9226,4.94683,5.08313,3.81326,7.67248,3.88895,3.75512,6.55998,3.08772,4.26694,3.44389,4.51545,4.2496,3.64897,4.56116,4.37469,3.17365,3.28548,5.23887,3.48465,3.67999,6.23632,4.75516,2.30295,3.41848,3.73133,3.85564,2.92033,4.66105
228638_at,,,9.21075,8.75711,9.57367,9.11136,8.98851,8.9556,9.10774,9.44953,9.30752,8.86167,7.58464,8.19244,9.21305,8.96575,8.73536,8.34343,9.62444,9.12172,7.14739,8.35456,9.58133,7.59684,7.48348,8.81548,9.88175,9.10259,8.53163,8.01644,9.11686
228639_at,,,2.96894,2.23284,2.92612,2.91336,3.51257,2.38162,2.63455,2.62741,4.13952,2.79272,3.94961,2.2677,2.88325,2.47631,2.52509,3.54465,2.64483,2.68706,2.62834,2.85809,2.47849,4.19867,3.00008,3.19921,2.4576,2.70706,2.18579,2.75932,3.54992
228640_at,5099,PCDH7,10.2852,9.1336,10.2624,10.1555,10.6982,9.40888,10.5935,10.1079,8.64526,8.56115,9.09372,10.4502,8.60966,10.7802,10.3389,10.1614,10.1779,8.8255,10.6605,8.55011,8.23473,10.3717,9.5425,6.9986,11.19,10.7624,9.13421,9.58532,9.58058
228641_at,22900,CARD8,5.66539,5.55428,5.61466,5.46016,5.73235,5.49178,5.67046,5.6606,5.05695,5.35433,5.65214,5.41201,5.25662,5.16819,5.44634,5.07293,5.41143,5.3663,5.49644,5.49319,6.2169,5.40272,5.48614,5.48384,5.83948,5.73025,5.42941,5.11464,5.53974
228642_at,100506311,HOTAIRM1,5.21034,5.02855,6.01329,5.18385,6.89802,4.57719,6.37061,6.44969,4.95137,5.22299,4.72325,5.79108,4.7256,5.15702,6.05423,4.73582,7.33423,5.06254,5.3647,4.55556,6.10043,6.26432,5.64872,4.62495,7.35906,4.74968,4.37981,4.51016,4.64651
228643_at,100506233,RAB30-AS1,4.18032,4.57773,5.38074,4.06714,5.34229,3.92836,5.32691,6.34348,3.62344,6.14585,4.3123,4.40612,4.48267,5.05674,4.40725,5.4091,4.49712,5.83841,4.10977,7.06371,4.50904,4.16116,5.42718,5.71845,5.23059,5.82406,7.62664,6.9756,3.65106
228645_at,677844,SNHG9,3.49326,1.95978,2.01676,2.70361,1.78068,4.96029,2.66908,1.98433,2.09861,2.17763,1.84263,1.64668,1.6386,1.8396,1.78356,2.12928,2.3633,1.90288,2.88724,2.95605,2.06527,2.19037,2.20325,2.59673,1.98152,3.49411,2.69064,2.61343,2.42499
228647_at,100049716,LOC100049716,5.64117,6.60867,7.50304,5.90271,6.79812,6.24369,7.21719,7.20477,6.44376,7.77183,8.30076,6.75875,6.80815,5.81173,5.97823,6.48395,7.63301,7.48004,5.98501,7.13018,6.50905,5.94833,6.78423,8.08656,6.35798,7.36402,6.94975,9.14273,5.9011
228648_at,116844,LRG1,8.1846,6.58489,4.84593,5.76775,6.70907,2.92935,7.25519,5.14439,6.08878,8.28128,7.93432,7.35039,6.17971,3.88444,2.7029,2.47806,7.48809,7.30179,4.95351,6.58061,4.8628,5.54457,6.30296,9.24843,2.28993,7.39622,4.33547,6.07942,6.17563
228649_at,147111,NOTUM,5.00002,4.99843,4.92583,5.02749,4.68897,5.06805,4.97068,5.02828,5.04155,5.09071,4.86375,4.99103,4.87784,4.93364,4.77516,4.92977,4.98385,4.9557,4.58602,5.04056,5.03955,5.04732,5.02818,5.03218,4.85633,5.05594,4.99804,4.979,4.96147
228650_at,,RP5-935K16.1,7.7938,7.68379,7.60143,8.17218,7.64219,7.78955,7.74972,7.60686,8.06082,7.98274,8.60571,7.90732,7.78418,8.02596,7.23541,7.99214,7.95734,7.83373,8.01452,7.948,7.49983,8.17347,8.25446,8.41355,7.56955,7.76738,6.9916,7.64437,6.9597
228652_at,284309,ZNF776,9.09284,8.0186,8.31345,9.04014,8.53542,8.18182,8.10537,8.33561,8.94334,8.63664,9.09313,8.45867,9.16787,8.40637,8.09132,9.11369,8.1561,8.05336,8.35281,8.28726,8.15768,8.87327,8.36818,9.62729,9.16449,8.82447,8.20053,8.98711,8.61616
228653_at,389432,SAMD5,2.40358,2.42998,2.79239,2.53519,3.90431,2.38757,3.34454,3.80673,3.24172,2.92381,2.22817,5.5135,4.2576,2.39799,2.71811,2.13207,2.45115,3.18573,3.61983,2.84369,2.81583,4.90147,2.67118,2.61854,2.84362,3.03611,3.03352,2.81479,2.81054
228654_at,139886,SPIN4,8.9943,8.58089,9.10916,8.88637,8.61669,8.24347,8.48995,8.2483,7.74992,7.89514,8.93613,9.44009,8.89058,8.68949,8.34361,9.01222,7.16303,7.39368,8.97079,8.39368,7.21226,9.15958,8.53602,8.49368,7.47638,8.44349,7.5198,8.21064,8.35198
228655_at,,,5.06444,5.15228,5.4722,5.19082,5.50954,6.74331,5.16047,4.97371,5.01762,5.14261,5.34688,5.35775,5.35497,5.94309,5.92855,6.11655,5.40883,5.56603,5.19832,6.54623,5.33206,5.24128,5.35078,5.68623,5.33878,5.24061,5.4636,5.37057,5.65872
228656_at,5629,PROX1,3.16321,3.16222,3.0561,3.1499,2.94572,2.99512,2.89249,2.87818,2.94567,2.99768,2.89456,2.90592,2.90296,2.8277,2.803,2.90151,2.78575,2.78929,2.80258,2.7211,2.72359,2.80765,2.81867,2.82172,2.85952,2.8513,2.84525,2.91732,2.90861
228658_at,440823,MIAT,5.99147,7.05782,8.45688,8.94636,6.98094,7.46698,8.62991,6.83589,3.77276,6.19417,8.58197,7.38976,3.91708,6.27657,6.68984,5.33957,7.53259,3.44018,7.41795,6.51251,7.77613,5.35448,6.81668,2.75185,8.27078,8.78803,7.26369,6.71283,8.31989
228660_x_at,10505,SEMA4F,3.94324,4.33393,3.99892,3.90717,4.16551,4.26887,4.26674,3.90004,4.85654,4.23615,4.36933,4.60868,4.37518,4.36414,3.99034,4.09095,4.7604,4.27632,3.92975,4.53016,4.27233,4.16679,4.18287,5.11658,3.90602,3.76175,4.06338,4.15762,4.02213
228661_s_at,102606465,LOC102606465,6.16919,5.93403,6.34019,6.56461,6.68609,6.00566,6.01823,5.81249,5.71507,4.78051,5.9632,6.50382,4.21816,5.83086,6.04794,4.44817,6.07477,7.59753,5.90954,6.94683,5.50026,7.05305,5.09117,6.01207,6.1255,5.40402,5.01375,3.691,4.76253
228662_at,30837,SOCS7,6.96401,7.86871,8.55286,8.60254,7.49825,7.30055,8.52214,7.93205,8.11224,8.46002,8.938,8.75173,9.0758,8.51941,7.56787,9.07129,8.66459,8.91245,8.98125,9.29588,7.58664,9.24018,9.07632,9.10467,8.01995,6.9812,7.756,8.49026,6.75386
228665_at,116159,CYYR1,6.60363,6.78948,7.91745,7.27079,9.09719,6.44248,8.46123,8.3103,8.32376,8.25055,7.67838,9.13659,8.3123,6.84249,7.96379,7.95639,7.46594,8.45371,9.06915,8.12296,7.31904,9.44886,7.30727,8.79677,6.56393,7.2143,6.56495,6.43489,6.75712
