Gene Symbol Origin,Gene Symbol Target,Correlation,p-value,FDR
RIOK3,TPD52,0.703,2.11545e-05,0.00260462
G0S2,RBP4,0.703,2.11545e-05,0.00260462
ADIPOQ,GPX3,0.703,2.11545e-05,0.00260462
ENPP2,IGFBP6,0.703,2.11545e-05,0.00260462
ABCA8,SFRP1,0.703,2.11545e-05,0.00260462
FBN1,FN1,0.703,2.11545e-05,0.00260462
ADAMTS9-AS2,CDC42EP5,0.702,2.1562e-05,0.00263994
ADAMTS9-AS2,MEOX1,0.702,2.1562e-05,0.00263994
ADAMTS9-AS2,MID1,0.702,2.1562e-05,0.00263994
LRRN4CL,PID1,0.702,2.1562e-05,0.00263994
FAT2,PIGR,0.702,2.1562e-05,0.00263994
ARF4,NREP,0.702,2.1562e-05,0.00263994
CLIC4,MIER3,0.702,2.1562e-05,0.00263994
ADAMTS9,FXYD1,0.702,2.1562e-05,0.00263994
COL5A2,CTGF,0.702,2.1562e-05,0.00263994
RUNX2,VCAN,0.702,2.1562e-05,0.00263994
ADRB2,DSG2,-0.702,2.19765e-05,0.00267572
DDX42,RAB5A,0.702,2.19765e-05,0.00267572
ADAMTS9-AS2,KRT5,0.702,2.19765e-05,0.00267572
BTNL9,FABP4,0.702,2.19765e-05,0.00267572
ARFIP1,CD46,0.702,2.19765e-05,0.00267572
COMMD10,EZR,0.702,2.19765e-05,0.00267572
EZR,SCARB2,0.702,2.19765e-05,0.00267572
CCT2,RHOA,0.702,2.19765e-05,0.00267572
FAM189A2,PRMT6,0.702,2.19765e-05,0.00267572
KLHL29,PID1,0.702,2.19765e-05,0.00267572
DPY19L2P2,FKBP14,-0.701,2.23982e-05,0.00270001
ANKRD29,MIR143HG,0.701,2.23982e-05,0.00270001
SYPL1,TSPAN31,0.701,2.23982e-05,0.00270001
SCN4B,SEMA3G,0.701,2.23982e-05,0.00270001
GPM6B,HSPB2,0.701,2.23982e-05,0.00270001
TTPAL,UEVLD,0.701,2.23982e-05,0.00270001
LOC101928189,UBE4B,0.701,2.23982e-05,0.00270001
FNDC1,TRIM59,0.701,2.23982e-05,0.00270001
JAK1,LOXL1,0.701,2.23982e-05,0.00270001
CYB5R3,PRRX1,0.701,2.23982e-05,0.00270001
C16orf72,GDI2,0.701,2.23982e-05,0.00270001
ARPC5,CDC5L,0.701,2.23982e-05,0.00270001
ARPC5,RAD1,0.701,2.23982e-05,0.00270001
SAE1,TMEM230,0.701,2.23982e-05,0.00270001
CD46,FUS,0.701,2.23982e-05,0.00270001
GREM1,PPAPDC1A,0.701,2.23982e-05,0.00270001
FAP,SFRP2,0.701,2.23982e-05,0.00270001
CTHRC1,FN1,0.701,2.23982e-05,0.00270001
PDE9A,PIGR,0.701,2.28271e-05,0.00273964
AKR1C2,AKR1C3,0.701,2.28271e-05,0.00273964
BZW1,MAPRE1,0.701,2.28271e-05,0.00273964
ID4,MIR143HG,0.701,2.28271e-05,0.00273964
ADAMTS9-AS2,TRIM29,0.701,2.28271e-05,0.00273964
DDA1,RAB1A,0.701,2.28271e-05,0.00273964
ASCC1,RAB1A,0.701,2.28271e-05,0.00273964
LAPTM4B,SEPT2,0.701,2.28271e-05,0.00273964
GPR146,NOLC1,-0.7,2.32633e-05,0.00277071
ADH1B,CCL14,0.7,2.32633e-05,0.00277071
CHRDL1,RASIP1,0.7,2.32633e-05,0.00277071
DDX42,TTPAL,0.7,2.32633e-05,0.00277071
CD46,MIA3,0.7,2.32633e-05,0.00277071
SFRP1,TRIM29,0.7,2.32633e-05,0.00277071
CDC5L,TMEM50B,0.7,2.32633e-05,0.00277071
DDA1,UEVLD,0.7,2.32633e-05,0.00277071
BRCC3,CREB1,0.7,2.32633e-05,0.00277071
RAB5A,RIOK3,0.7,2.32633e-05,0.00277071
MAPRE1,TMEM230,0.7,2.32633e-05,0.00277071
CFL1,SEPT2,0.7,2.32633e-05,0.00277071
EDNRB,ENPP2,0.7,2.32633e-05,0.00277071
FAP,FKBP14,0.7,2.32633e-05,0.00277071
MAMDC2,RGMA,0.7,2.3707e-05,0.00281284
LAMB3,PROM1,0.7,2.3707e-05,0.00281284
C1S,CFL1,0.7,2.3707e-05,0.00281284
CCT2,LAMP1,0.7,2.3707e-05,0.00281284
RHOB,YWHAE,0.7,2.3707e-05,0.00281284
HNRNPF,PIK3C2A,0.7,2.3707e-05,0.00281284
ADAMTS9,SOD3,0.7,2.3707e-05,0.00281284
CAPN3,CSNK1A1,-0.7,2.41582e-05,0.00284631
DDX42,SRSF3,0.7,2.41582e-05,0.00284631
LRRN4CL,ZBTB16,0.7,2.41582e-05,0.00284631
NES,RASIP1,0.7,2.41582e-05,0.00284631
HSPB2,PAMR1,0.7,2.41582e-05,0.00284631
ARPC5,SAE1,0.7,2.41582e-05,0.00284631
RAPGEF3,RASIP1,0.7,2.41582e-05,0.00284631
ADAMTS9,PEAR1,0.7,2.41582e-05,0.00284631
ADAMTS9,CDC42EP5,0.7,2.41582e-05,0.00284631
AGPAT9,TMEM100,0.7,2.41582e-05,0.00284631
LMOD1,PALMD,0.7,2.41582e-05,0.00284631
EDEM3,LOC100190986,0.7,2.41582e-05,0.00284631
GREM1,SPOCK1,0.7,2.41582e-05,0.00284631
FOLR1,SOX10,0.699,2.43066e-05,0.00286225
BGN,FBP1,-0.699,2.46171e-05,0.00287714
CAPN3,DSG2,-0.699,2.46171e-05,0.00287714
DDX42,DNAJB1,0.699,2.46171e-05,0.00287714
ATP6V1A,CD46,0.699,2.46171e-05,0.00287714
ADAMTS9-AS2,LOC100506558,0.699,2.46171e-05,0.00287714
APPL2,MIR143HG,0.699,2.46171e-05,0.00287714
RNF150,SPHKAP,0.699,2.46171e-05,0.00287714
C1S,ENTPD1,0.699,2.46171e-05,0.00287714
COL3A1,PRRX1,0.699,2.46171e-05,0.00287714
BRCC3,TSN,0.699,2.46171e-05,0.00287714
CDC5L,SYPL1,0.699,2.46171e-05,0.00287714
CHRDL1,IGSF10,0.699,2.46171e-05,0.00287714
ASPN,RUNX2,0.699,2.46171e-05,0.00287714
COL10A1,RUNX2,0.699,2.46171e-05,0.00287714
ITGA7,NPR1,0.699,2.50838e-05,0.00291766
GABRP,TRIM29,0.699,2.50838e-05,0.00291766
SLC30A5,TAB2,0.699,2.50838e-05,0.00291766
COMMD10,RAB5A,0.699,2.50838e-05,0.00291766
DCTN4,RRM1,0.699,2.50838e-05,0.00291766
RAB5A,RRM1,0.699,2.50838e-05,0.00291766
CAPRIN1,MRPL42,0.699,2.50838e-05,0.00291766
CREB1,PPP1R11,0.699,2.50838e-05,0.00291766
FAR1,ZFP36L2,0.699,2.50838e-05,0.00291766
EDNRB,ITGA7,0.698,2.55584e-05,0.00296027
ADAMTS9-AS2,APPL2,0.698,2.55584e-05,0.00296027
RNF115,TMEM9,0.698,2.55584e-05,0.00296027
AGPAT9,RRAGD,0.698,2.55584e-05,0.00296027
SEPT2,TMX1,0.698,2.55584e-05,0.00296027
B3GNT2,YWHAH,0.698,2.55584e-05,0.00296027
BRCC3,CDC5L,0.698,2.55584e-05,0.00296027
ASPN,BGN,0.698,2.55584e-05,0.00296027
COL3A1,RP1-193H18.2,0.698,2.60411e-05,0.00299398
INMT,SCN4B,0.698,2.60411e-05,0.00299398
MAMDC2,PPP1R14A,0.698,2.60411e-05,0.00299398
HSPB2,PID1,0.698,2.60411e-05,0.00299398
GOLGA7,LAPTM4B,0.698,2.60411e-05,0.00299398
FKBP14,PRRX1,0.698,2.60411e-05,0.00299398
C1S,JAK1,0.698,2.60411e-05,0.00299398
UEVLD,YWHAE,0.698,2.60411e-05,0.00299398
DICER1,LARP4B,0.698,2.60411e-05,0.00299398
CD9,SLC35A3,0.698,2.60411e-05,0.00299398
PPP1R14A,SYNPO2,0.698,2.60411e-05,0.00299398
CILP,EBF1,0.698,2.60411e-05,0.00299398
FRYL,KDM5B,0.698,2.60411e-05,0.00299398
COMP,PPAPDC1A,0.698,2.60411e-05,0.00299398
NCALD,NUDT7,0.697,2.65318e-05,0.00303605
ANKRD29,PTX3,0.697,2.65318e-05,0.00303605
CPA3,LRRN4CL,0.697,2.65318e-05,0.00303605
CES1,CRYAB,0.697,2.65318e-05,0.00303605
GDE1,RHOA,0.697,2.65318e-05,0.00303605
C1S,FBN1,0.697,2.65318e-05,0.00303605
CFL1,TSN,0.697,2.65318e-05,0.00303605
FAR1,LYPLA1,0.697,2.65318e-05,0.00303605
IGF1R,TTPAL,0.697,2.65318e-05,0.00303605
C12orf75,GPR160,-0.697,2.70309e-05,0.00306431
DDA1,TMX1,0.697,2.70309e-05,0.00306431
LYPLA1,YWHAZ,0.697,2.70309e-05,0.00306431
FXYD1,SCN4B,0.697,2.70309e-05,0.00306431
ATP6V1A,TPD52,0.697,2.70309e-05,0.00306431
LINC00086,PTCHD1,0.697,2.70309e-05,0.00306431
EDNRB,ROBO4,0.697,2.70309e-05,0.00306431
C16orf72,MATR3,0.697,2.70309e-05,0.00306431
EDEM3,FNIP1,0.697,2.70309e-05,0.00306431
FAR1,RHOB,0.697,2.70309e-05,0.00306431
GXYLT2,NREP,0.697,2.70309e-05,0.00306431
RAB5A,RHOB,0.697,2.70309e-05,0.00306431
GDE1,LAPTM4B,0.697,2.70309e-05,0.00306431
EDNRB,LOC100506558,0.697,2.70309e-05,0.00306431
FNDC1,VCAN,0.697,2.70309e-05,0.00306431
COL3A1,FKBP14,0.697,2.70309e-05,0.00306431
BGN,FN1,0.697,2.70309e-05,0.00306431
MFAP2,POSTN,0.697,2.70309e-05,0.00306431
MIA3,MS4A7,-0.696,2.75383e-05,0.00309935
ENC1,KLF15,-0.696,2.75383e-05,0.00309935
FZD4,ROBO4,0.696,2.75383e-05,0.00309935
CLDN5,ROBO4,0.696,2.75383e-05,0.00309935
FXYD1,ITIH5,0.696,2.75383e-05,0.00309935
DDA1,GFPT1,0.696,2.75383e-05,0.00309935
KIT,TRIM29,0.696,2.75383e-05,0.00309935
ARPC5,EZR,0.696,2.75383e-05,0.00309935
CDC5L,RAB5A,0.696,2.75383e-05,0.00309935
SYPL1,YWHAE,0.696,2.75383e-05,0.00309935
IRX1,MFGE8,0.696,2.75383e-05,0.00309935
CDC42EP5,CILP,0.696,2.75383e-05,0.00309935
LMOD1,PLAC9,0.696,2.75383e-05,0.00309935
COL5A1,DNM3OS,0.696,2.75383e-05,0.00309935
ADAMTS9-AS2,NDRG2,0.696,2.80543e-05,0.00313324
MIR143HG,PALMD,0.696,2.80543e-05,0.00313324
ABCA8,ADAMTS9-AS2,0.696,2.80543e-05,0.00313324
ROBO4,SEMA3G,0.696,2.80543e-05,0.00313324
DDA1,TMEM230,0.696,2.80543e-05,0.00313324
PGRMC1,RAB1A,0.696,2.80543e-05,0.00313324
PSMD10,SAE1,0.696,2.80543e-05,0.00313324
UBE4B,ZNF146,0.696,2.80543e-05,0.00313324
CCT2,GOLGA7,0.696,2.80543e-05,0.00313324
IGFBP6,SFRP1,0.696,2.80543e-05,0.00313324
COL8A2,FKBP14,0.696,2.80543e-05,0.00313324
COL5A2,THY1,0.696,2.80543e-05,0.00313324
BGN,COL6A1,0.696,2.80543e-05,0.00313324
CALU,OLFML2B,0.696,2.80543e-05,0.00313324
FKBP14,FN1,0.696,2.80543e-05,0.00313324
ALDH1A2,KLHL13,0.695,2.8487e-05,0.00316757
NAPA,PSENEN,0.695,2.85788e-05,0.00316757
ADAMTS9,GPM6B,0.695,2.85788e-05,0.00316757
C16orf13,UBE2M,0.695,2.85788e-05,0.00316757
DMD,KRT5,0.695,2.85788e-05,0.00316757
CLIC4,GOLGA7,0.695,2.85788e-05,0.00316757
LYPLA1,PSMD10,0.695,2.85788e-05,0.00316757
CAPRIN1,M6PR,0.695,2.85788e-05,0.00316757
CTHRC1,INHBA,0.695,2.85788e-05,0.00316757
NIPBL,SCARB2,0.695,2.85788e-05,0.00316757
CTB-50L17.7,RHOA,0.695,2.85788e-05,0.00316757
HSP90AB1,PSMD10,0.695,2.85788e-05,0.00316757
SRSF3,ZNF146,0.695,2.85788e-05,0.00316757
CD9,M6PR,0.695,2.85788e-05,0.00316757
FN1,SERPINH1,0.695,2.85788e-05,0.00316757
PTP4A1,SAR1B,0.695,2.91122e-05,0.00321528
ADAMTS9-AS2,PPP1R14A,0.695,2.91122e-05,0.00321528
ADAMTS9,ADAMTS9-AS2,0.695,2.91122e-05,0.00321528
RGMA,SOD3,0.695,2.91122e-05,0.00321528
DMD,ENPP2,0.695,2.91122e-05,0.00321528
OCIAD1,RAB5A,0.695,2.91122e-05,0.00321528
FOXA1,TMEM50B,0.695,2.91122e-05,0.00321528
FBP1,WNT5A,-0.694,2.96544e-05,0.00325218
DICER1,NIPBL,0.694,2.96544e-05,0.00325218
GFPT1,UBE2N,0.694,2.96544e-05,0.00325218
MAMDC2,PLAC9,0.694,2.96544e-05,0.00325218
ETNK1,TTPAL,0.694,2.96544e-05,0.00325218
CFL1,STIP1,0.694,2.96544e-05,0.00325218
DSG2,RAB5A,0.694,2.96544e-05,0.00325218
CDH11,NREP,0.694,2.96544e-05,0.00325218
ARF4,TMEM230,0.694,2.96544e-05,0.00325218
CCT2,ZNF146,0.694,2.96544e-05,0.00325218
HSPB2,MFGE8,0.694,2.96544e-05,0.00325218
GABRP,HSPB2,0.694,2.96544e-05,0.00325218
PLIN4,RBP4,0.694,2.96544e-05,0.00325218
FBN1,SFRP2,0.694,2.96544e-05,0.00325218
CSNK1A1,MATR3,0.694,3.02056e-05,0.00330436
STIP1,TMEM230,0.694,3.02056e-05,0.00330436
EZR,MIER3,0.694,3.02056e-05,0.00330436
LRRC15,RUNX1-IT1,0.694,3.02056e-05,0.00330436
COL3A1,DNM3OS,0.694,3.02056e-05,0.00330436
HCAR3,PTPRZ1,0.693,3.0766e-05,0.00335058
ALYREF,BZW1,0.693,3.0766e-05,0.00335058
C2orf40,EBF1,0.693,3.0766e-05,0.00335058
ADAMTS9-AS2,C2orf40,0.693,3.0766e-05,0.00335058
HSP90AB1,LAPTM4B,0.693,3.0766e-05,0.00335058
LRRC15,TRIM59,0.693,3.0766e-05,0.00335058
OXTR,SYNM,0.693,3.0766e-05,0.00335058
GLUL,RNF115,0.693,3.0766e-05,0.00335058
COL3A1,COL6A1,0.693,3.0766e-05,0.00335058
CD9,TNXA,-0.693,3.13356e-05,0.00338733
CD36,TNXA,0.693,3.13356e-05,0.00338733
CSNK1A1,RIOK3,0.693,3.13356e-05,0.00338733
MATR3,SLC33A1,0.693,3.13356e-05,0.00338733
EDNRB,PAMR1,0.693,3.13356e-05,0.00338733
HLA-DRA,YWHAH,0.693,3.13356e-05,0.00338733
MATR3,MIER3,0.693,3.13356e-05,0.00338733
PIK3C2A,TTPAL,0.693,3.13356e-05,0.00338733
SCARB2,ZFP36L2,0.693,3.13356e-05,0.00338733
LAPTM4B,UEVLD,0.693,3.13356e-05,0.00338733
PLAUR,TIMP3,0.693,3.13356e-05,0.00338733
PPP1R14A,SIK2,0.693,3.13356e-05,0.00338733
MEOX1,PEAR1,0.693,3.13356e-05,0.00338733
ADAMTS5,IGFBP6,0.693,3.13356e-05,0.00338733
DNM3OS,VCAN,0.693,3.13356e-05,0.00338733
DICER1,PIK3C2A,0.692,3.19147e-05,0.00343297
DDX42,LYPLA1,0.692,3.19147e-05,0.00343297
BZW1,RAB14,0.692,3.19147e-05,0.00343297
DDX42,SLC30A5,0.692,3.19147e-05,0.00343297
EDNRB,SAMD5,0.692,3.19147e-05,0.00343297
RIOK3,STIP1,0.692,3.19147e-05,0.00343297
KIT,KRT14,0.692,3.19147e-05,0.00343297
LAMB3,SYNM,0.692,3.19147e-05,0.00343297
CALU,GREM1,0.692,3.19147e-05,0.00343297
BGN,POSTN,0.692,3.19147e-05,0.00343297
OCIAD1,TSPAN31,0.692,3.25034e-05,0.00347748
CLDN5,RGMA,0.692,3.25034e-05,0.00347748
ANKRD35,LMOD1,0.692,3.25034e-05,0.00347748
SCN4B,SYNM,0.692,3.25034e-05,0.00347748
CFD,PLAC9,0.692,3.25034e-05,0.00347748
OSTC,STK38,0.692,3.25034e-05,0.00347748
ARF4,PGRMC1,0.692,3.25034e-05,0.00347748
FIGF,LYVE1,0.692,3.25034e-05,0.00347748
GJB2,THY1,0.692,3.25034e-05,0.00347748
BGN,RP3-428L16.2,0.692,3.25034e-05,0.00347748
COL10A1,POSTN,0.692,3.25034e-05,0.00347748
INMT,VWF,0.691,3.31017e-05,0.00352083
ALOX5AP,ENTPD1,0.691,3.31017e-05,0.00352083
MATR3,SLC30A5,0.691,3.31017e-05,0.00352083
FAR1,MIER3,0.691,3.31017e-05,0.00352083
UBE2N,WAPAL,0.691,3.31017e-05,0.00352083
GJB2,INHBA,0.691,3.31017e-05,0.00352083
FUS,LOC441259,0.691,3.31017e-05,0.00352083
PLAUR,TRIM59,0.691,3.31017e-05,0.00352083
CFL1,MRPL42,0.691,3.31017e-05,0.00352083
RHOA,SEPT2,0.691,3.31017e-05,0.00352083
LRRC15,OLFML2B,0.691,3.31017e-05,0.00352083
CTGF,KDELR3,0.691,3.31017e-05,0.00352083
GNAL,MFGE8,0.691,3.37098e-05,0.00355441
KCTD5,SLC33A1,0.691,3.37098e-05,0.00355441
CDC42EP5,MIR143HG,0.691,3.37098e-05,0.00355441
FAM189A2,NCALD,0.691,3.37098e-05,0.00355441
MIA,PAMR1,0.691,3.37098e-05,0.00355441
LRRN4CL,MEOX1,0.691,3.37098e-05,0.00355441
DMD,SFRP1,0.691,3.37098e-05,0.00355441
RRM1,TMEM50B,0.691,3.37098e-05,0.00355441
ARPC5,CYB5R3,0.691,3.37098e-05,0.00355441
CDC5L,MRPL42,0.691,3.37098e-05,0.00355441
PRPF31,TMEM230,0.691,3.37098e-05,0.00355441
GDI2,TSN,0.691,3.37098e-05,0.00355441
HSP90AB1,TMEM230,0.691,3.37098e-05,0.00355441
ARF4,CFL1,0.691,3.37098e-05,0.00355441
CDC5L,PSMD10,0.691,3.37098e-05,0.00355441
ENTPD1,LCP1,0.691,3.37098e-05,0.00355441
CDC42EP5,EBF1,0.691,3.37098e-05,0.00355441
FKBP14,SPOCK1,0.691,3.37098e-05,0.00355441
PIK3C2A,SLIT3,-0.69,3.4328e-05,0.00359189
AQP7,CD300LG,0.69,3.4328e-05,0.00359189
ADAM12,LARP6,0.69,3.4328e-05,0.00359189
KLHL29,LEPREL1,0.69,3.4328e-05,0.00359189
ADAMTS9-AS2,SFRP1,0.69,3.4328e-05,0.00359189
CD9,SELT,0.69,3.4328e-05,0.00359189
CCDC3,DMD,0.69,3.4328e-05,0.00359189
ITIH5,PEAR1,0.69,3.4328e-05,0.00359189
GNAI3,OSTC,0.69,3.4328e-05,0.00359189
CDC5L,COMMD10,0.69,3.4328e-05,0.00359189
CREB1,OCIAD1,0.69,3.4328e-05,0.00359189
EIF4E,RHOA,0.69,3.4328e-05,0.00359189
ARFIP1,PSMD10,0.69,3.4328e-05,0.00359189
SP1,UEVLD,0.69,3.4328e-05,0.00359189
C1QTNF3,FKBP14,0.69,3.4328e-05,0.00359189
ASPN,PPAPDC1A,0.69,3.4328e-05,0.00359189
ATP6V1A,TMX1,0.69,3.49562e-05,0.0036489
TMEM245,TPD52,0.69,3.49562e-05,0.0036489
C1QTNF3,COMP,0.69,3.49562e-05,0.0036489
BAG2,CPA3,0.69,3.49562e-05,0.0036489
C1QTNF6,POSTN,0.69,3.49562e-05,0.0036489
CRIP2,ZBTB16,-0.689,3.55947e-05,0.00369265
COL12A1,RAB31,0.689,3.55947e-05,0.00369265
SFRP2,XPNPEP1,0.689,3.55947e-05,0.00369265
CSNK1A1,MIER3,0.689,3.55947e-05,0.00369265
ASAP1,STK38,0.689,3.55947e-05,0.00369265
LINC00086,PTX3,0.689,3.55947e-05,0.00369265
CNN1,LMOD1,0.689,3.55947e-05,0.00369265
DCTD,STIP1,0.689,3.55947e-05,0.00369265
LAPTM4B,UBE2N,0.689,3.55947e-05,0.00369265
RAB5A,ZNF146,0.689,3.55947e-05,0.00369265
ENPP2,PID1,0.689,3.55947e-05,0.00369265
LMOD1,SFRP1,0.689,3.55947e-05,0.00369265
CALU,KDELR3,0.689,3.55947e-05,0.00369265
ANGPT1,CNTNAP3,-0.689,3.62436e-05,0.00373517
CAPN3,RGMA,0.689,3.62436e-05,0.00373517
ATP6V1A,NAPA,0.689,3.62436e-05,0.00373517
MATR3,UEVLD,0.689,3.62436e-05,0.00373517
ANKH,LRRC15,0.689,3.62436e-05,0.00373517
DCTN4,EIF4E,0.689,3.62436e-05,0.00373517
RHOA,SRSF3,0.689,3.62436e-05,0.00373517
GDI2,SEPT2,0.689,3.62436e-05,0.00373517
ARPC5,ZNF146,0.689,3.62436e-05,0.00373517
GPIHBP1,GPR146,0.689,3.62436e-05,0.00373517
HSPB2,MAMDC2,0.689,3.62436e-05,0.00373517
PTPRZ1,SAA2-SAA4,0.689,3.62436e-05,0.00373517
COL12A1,TNFRSF19,0.689,3.62436e-05,0.00373517
ASPN,SERPINH1,0.689,3.62436e-05,0.00373517
LOC100190986,VWF,-0.688,3.6903e-05,0.00377645
CDC42EP5,GHR,0.688,3.6903e-05,0.00377645
CKAP5,OAZ2,0.688,3.6903e-05,0.00377645
ALYREF,C16orf13,0.688,3.6903e-05,0.00377645
CRYAB,PID1,0.688,3.6903e-05,0.00377645
HSPB2,PPP1R14A,0.688,3.6903e-05,0.00377645
EIF4A2,UBE2N,0.688,3.6903e-05,0.00377645
FRYL,UBE4B,0.688,3.6903e-05,0.00377645
NDRG2,TRIM29,0.688,3.6903e-05,0.00377645
CTNNA1,M6PR,0.688,3.6903e-05,0.00377645
COL10A1,FAP,0.688,3.6903e-05,0.00377645
COL12A1,MFAP2,0.688,3.6903e-05,0.00377645
ADAM12,ASPN,0.688,3.6903e-05,0.00377645
BGN,TNFRSF19,0.688,3.6903e-05,0.00377645
FN1,OLFML2B,0.688,3.6903e-05,0.00377645
ADAMTS9-AS2,ALDH1A2,0.688,3.74572e-05,0.00382535
C1QTNF6,LARP6,0.688,3.75732e-05,0.00382535
DDX42,OCIAD1,0.688,3.75732e-05,0.00382535
CTNNA1,GFPT1,0.688,3.75732e-05,0.00382535
ARFGEF1,LIG4,0.688,3.75732e-05,0.00382535
CRYAB,NDRG2,0.688,3.75732e-05,0.00382535
SAR1B,SLC30A5,0.688,3.75732e-05,0.00382535
CREB1,MRPL42,0.688,3.75732e-05,0.00382535
CREB1,PIK3C2A,0.688,3.75732e-05,0.00382535
CRYAB,LAMB3,0.688,3.75732e-05,0.00382535
C12orf75,COL5A2,0.688,3.75732e-05,0.00382535
ADH1C,ALDH1A2,0.687,3.81364e-05,0.00387665
ALDH1L1,C1orf213,0.687,3.82542e-05,0.00387665
FAT2,PPP1R14A,0.687,3.82542e-05,0.00387665
PALMD,TNXA,0.687,3.82542e-05,0.00387665
CHRDL1,SAMD5,0.687,3.82542e-05,0.00387665
ARFIP1,CD9,0.687,3.82542e-05,0.00387665
M6PR,PRPF31,0.687,3.82542e-05,0.00387665
CREB1,SCARB2,0.687,3.82542e-05,0.00387665
HSP90AB1,SRSF3,0.687,3.82542e-05,0.00387665
C2orf40,PAMR1,0.687,3.82542e-05,0.00387665
MEOX1,SCN4B,0.687,3.89462e-05,0.0039322
F2RL2,MEOX1,0.687,3.89462e-05,0.0039322
BRCC3,EDEM3,0.687,3.89462e-05,0.0039322
C2orf40,PIGR,0.687,3.89462e-05,0.0039322
ARF4,GDE1,0.687,3.89462e-05,0.0039322
MRPL42,RAB1A,0.687,3.89462e-05,0.0039322
OCIAD1,PPP1R11,0.687,3.89462e-05,0.0039322
GLUL,SERINC3,0.687,3.89462e-05,0.0039322
C12orf75,LRIF1,-0.686,3.96494e-05,0.00397386
COL6A6,FAM162B,0.686,3.96494e-05,0.00397386
MUC1,PBX1,0.686,3.96494e-05,0.00397386
FOXC1,RGMA,0.686,3.96494e-05,0.00397386
CNN1,SFRP1,0.686,3.96494e-05,0.00397386
CFD,PEAR1,0.686,3.96494e-05,0.00397386
GNAI3,LAPTM5,0.686,3.96494e-05,0.00397386
KLHL13,OXTR,0.686,3.96494e-05,0.00397386
COMMD10,TMX1,0.686,3.96494e-05,0.00397386
ADAM12,TIMP3,0.686,3.96494e-05,0.00397386
BRCC3,MAPRE1,0.686,3.96494e-05,0.00397386
C16orf72,CREB1,0.686,3.96494e-05,0.00397386
GFPT1,SELT,0.686,3.96494e-05,0.00397386
ENTPD1,LAPTM5,0.686,3.96494e-05,0.00397386
FNDC1,NID2,0.686,3.96494e-05,0.00397386
COL5A1,MICAL2,0.686,3.96494e-05,0.00397386
CD9,SOD3,-0.686,4.03639e-05,0.00400511
FAR1,SGPL1,-0.686,4.03639e-05,0.00400511
GNAI1,SCN4B,0.686,4.03639e-05,0.00400511
ANKRD29,MEOX1,0.686,4.03639e-05,0.00400511
CCDC3,RGMA,0.686,4.03639e-05,0.00400511
ENPP2,SCN4B,0.686,4.03639e-05,0.00400511
GNB1,RIOK3,0.686,4.03639e-05,0.00400511
CCDC3,FOXC1,0.686,4.03639e-05,0.00400511
DMD,PID1,0.686,4.03639e-05,0.00400511
PIGR,TRIM29,0.686,4.03639e-05,0.00400511
MAPRE1,SAR1B,0.686,4.03639e-05,0.00400511
NREP,TIMP3,0.686,4.03639e-05,0.00400511
DCTN4,SCARB2,0.686,4.03639e-05,0.00400511
BRCC3,UBE2N,0.686,4.03639e-05,0.00400511
CTNNA1,MAPRE1,0.686,4.03639e-05,0.00400511
DCTN4,RHOA,0.686,4.03639e-05,0.00400511
RAB1A,SAE1,0.686,4.03639e-05,0.00400511
TAB2,WAPAL,0.686,4.03639e-05,0.00400511
SERINC3,TTPAL,0.686,4.03639e-05,0.00400511
HIP1,TBC1D9,0.686,4.03639e-05,0.00400511
KDELR3,SERPINH1,0.686,4.03639e-05,0.00400511
LOXL1,VCAN,0.686,4.03639e-05,0.00400511
ADRB2,CSNK1A1,-0.685,4.10899e-05,0.00404777
BZW1,CD9,0.685,4.10899e-05,0.00404777
GDE1,TNFRSF12A,0.685,4.10899e-05,0.00404777
SCN4B,SFRP1,0.685,4.10899e-05,0.00404777
CD46,POGK,0.685,4.10899e-05,0.00404777
C16orf13,SELT,0.685,4.10899e-05,0.00404777
CD46,ETNK1,0.685,4.10899e-05,0.00404777
ARFGEF1,DCTN4,0.685,4.10899e-05,0.00404777
RHOA,YWHAZ,0.685,4.10899e-05,0.00404777
ARPC5,TMEM230,0.685,4.10899e-05,0.00404777
GOLGA7,HSP90AB1,0.685,4.10899e-05,0.00404777
HSP90AB1,PIK3C2A,0.685,4.10899e-05,0.00404777
ANKRD35,RGMA,0.685,4.10899e-05,0.00404777
CHRDL1,PLAC9,0.685,4.10899e-05,0.00404777
SPIN1,ZNF43,0.685,4.10899e-05,0.00404777
FKBP14,LRRC15,0.685,4.10899e-05,0.00404777
EZH2,GLUL,-0.685,4.18275e-05,0.00409829
PPP1R14A,TRIM29,0.685,4.18275e-05,0.00409829
CRYAB,ID4,0.685,4.18275e-05,0.00409829
CCT2,GNB1,0.685,4.18275e-05,0.00409829
CPD,PTPLAD1,0.685,4.18275e-05,0.00409829
CREB1,DCTD,0.685,4.18275e-05,0.00409829
CTNNA1,TSN,0.685,4.18275e-05,0.00409829
EIF4E,ZNF146,0.685,4.18275e-05,0.00409829
C16orf72,PIK3C2A,0.685,4.18275e-05,0.00409829
ARHGEF4,RARA,0.685,4.18275e-05,0.00409829
KLHL29,SFRP1,0.685,4.18275e-05,0.00409829
RNF115,SPIN1,0.685,4.18275e-05,0.00409829
CAPN3,VPS8,-0.684,4.25769e-05,0.0041402
C16orf72,ROBO4,-0.684,4.25769e-05,0.0041402
BZW1,YWHAE,0.684,4.25769e-05,0.0041402
