source,target,correlation,uncorrected p,FDR
6083,6208,0.69,3.4328e-05,0.00289857
1072,5861,0.69,3.4328e-05,0.00289857
1291,54829,0.69,3.4328e-05,0.00289857
26986,6156,0.69,3.49562e-05,0.00294923
11031,1303,0.689,3.55947e-05,0.00298377
522,93621,0.689,3.55947e-05,0.00298377
6202,6217,0.689,3.55947e-05,0.00298377
6130,6201,0.689,3.55947e-05,0.00298377
1009,3688,0.689,3.55947e-05,0.00298377
1291,1513,0.689,3.55947e-05,0.00298377
1293,1490,0.689,3.55947e-05,0.00298377
2200,6281,0.689,3.58062e-05,0.00299668
3939,6281,0.689,3.58062e-05,0.00299668
51386,6128,0.689,3.62436e-05,0.00302599
1937,6218,0.689,3.62436e-05,0.00302599
6188,6228,0.689,3.64586e-05,0.00304151
11315,6633,0.688,3.6903e-05,0.00305899
10399,6187,0.688,3.6903e-05,0.00305899
27075,563,0.688,3.6903e-05,0.00305899
4666,5204,0.688,3.6903e-05,0.00305899
27250,5872,0.688,3.6903e-05,0.00305899
6208,6227,0.688,3.6903e-05,0.00305899
1300,25878,0.688,3.6903e-05,0.00305899
1291,1634,0.688,3.6903e-05,0.00305899
1933,6136,0.688,3.71217e-05,0.00307222
6194,6228,0.688,3.71217e-05,0.00307222
10632,3312,0.688,3.75732e-05,0.00309729
6193,6202,0.688,3.75732e-05,0.00309729
3646,6142,0.688,3.75732e-05,0.00309729
6130,6141,0.688,3.75732e-05,0.00309729
1278,1634,0.688,3.75732e-05,0.00309729
3646,6173,0.687,3.82542e-05,0.00314348
6142,9045,0.687,3.82542e-05,0.00314348
4673,6135,0.687,3.82542e-05,0.00314348
2665,6205,0.687,3.88266e-05,0.00318528
3151,54918,0.687,3.89462e-05,0.00318528
26986,9045,0.687,3.89462e-05,0.00318528
4673,6227,0.687,3.89462e-05,0.00318528
1303,4060,0.687,3.89462e-05,0.00318528
3512,3537,0.686,3.96494e-05,0.00323011
11034,928,0.686,3.96494e-05,0.00323011
1303,23022,0.686,3.96494e-05,0.00323011
25873,9045,0.686,3.98829e-05,0.00324659
4582,5692,0.686,4.02406e-05,0.00327296
3020,4179,0.686,4.03639e-05,0.00327296
6135,6142,0.686,4.03639e-05,0.00327296
6188,6217,0.686,4.03639e-05,0.00327296
6203,6228,0.685,4.09647e-05,0.00330355
25873,6135,0.685,4.09647e-05,0.00330355
1009,11031,0.685,4.10899e-05,0.00330355
4869,6201,0.685,4.10899e-05,0.00330355
6164,6208,0.685,4.10899e-05,0.00330355
5042,6129,0.685,4.10899e-05,0.00330355
6159,6161,0.685,4.10899e-05,0.00330355
25878,6925,0.685,4.10899e-05,0.00330355
1634,2335,0.685,4.10899e-05,0.00330355
165,6423,0.685,4.10899e-05,0.00330355
6232,9804,0.685,4.18275e-05,0.00335251
2197,3492,0.685,4.18275e-05,0.00335251
1915,6188,0.685,4.18275e-05,0.00335251
1490,7077,0.685,4.18275e-05,0.00335251
293,6223,0.684,4.25769e-05,0.00340211
11224,6142,0.684,4.25769e-05,0.00340211
4736,6122,0.684,4.25769e-05,0.00340211
2197,6201,0.684,4.25769e-05,0.00340211
6083,6228,0.684,4.28261e-05,0.00341939
6132,6159,0.684,4.33383e-05,0.00344183
51386,6175,0.684,4.33383e-05,0.00344183
1933,6159,0.684,4.33383e-05,0.00344183
10399,6202,0.684,4.33383e-05,0.00344183
1933,4673,0.684,4.33383e-05,0.00344183
2200,8483,0.684,4.33383e-05,0.00344183
1937,25873,0.683,4.39789e-05,0.0034794
3020,375,0.683,4.41119e-05,0.0034794
10109,387,0.683,4.41119e-05,0.0034794
51386,6188,0.683,4.41119e-05,0.0034794
6083,6133,0.683,4.41119e-05,0.0034794
6124,6135,0.683,4.41119e-05,0.0034794
1937,6227,0.683,4.41119e-05,0.0034794
6134,6204,0.683,4.41119e-05,0.0034794
6925,8404,0.683,4.41119e-05,0.0034794
6156,6201,0.683,4.48977e-05,0.00352271
6203,6206,0.683,4.48977e-05,0.00352271
10399,23521,0.683,4.48977e-05,0.00352271
6157,6217,0.683,4.48977e-05,0.00352271
6139,6223,0.683,4.48977e-05,0.00352271
3688,6876,0.683,4.48977e-05,0.00352271
1293,7431,0.683,4.48977e-05,0.00352271
6083,6207,0.682,4.5559e-05,0.00356121
6130,6193,0.682,4.5696e-05,0.00356121
1933,6155,0.682,4.5696e-05,0.00356121
6160,6208,0.682,4.5696e-05,0.00356121
25878,7431,0.682,4.5696e-05,0.00356121
1490,6678,0.682,4.5696e-05,0.00356121
1937,6137,0.682,4.6507e-05,0.0036163
1933,6160,0.682,4.6507e-05,0.0036163
3956,54829,0.682,4.6507e-05,0.0036163
5042,9045,0.681,4.73308e-05,0.00366123
6128,6204,0.681,4.73308e-05,0.00366123
6128,6141,0.681,4.73308e-05,0.00366123
4869,5042,0.681,4.73308e-05,0.00366123
3685,54829,0.681,4.73308e-05,0.00366123
293,6217,0.681,4.81676e-05,0.00370944
6155,6204,0.681,4.81676e-05,0.00370944
1937,6124,0.681,4.81676e-05,0.00370944
6194,6217,0.681,4.81676e-05,0.00370944
4673,6217,0.681,4.81676e-05,0.00370944
10899,517,0.681,4.81676e-05,0.00370944
10899,4582,0.68,4.90175e-05,0.00374995
10632,1915,0.68,4.90175e-05,0.00374995
5204,6155,0.68,4.90175e-05,0.00374995
6083,6202,0.68,4.90175e-05,0.00374995
6139,6201,0.68,4.90175e-05,0.00374995
25878,4060,0.68,4.90175e-05,0.00374995
6128,6142,0.68,4.98809e-05,0.00379648
1933,6206,0.68,4.98809e-05,0.00379648
6142,6633,0.68,4.98809e-05,0.00379648
23471,5230,0.68,4.98809e-05,0.00379648
6134,6135,0.68,4.98809e-05,0.00379648
6146,6187,0.679,5.07577e-05,0.00384078
359948,4179,0.679,5.07577e-05,0.00384078
6161,6227,0.679,5.07577e-05,0.00384078
6201,6227,0.679,5.07577e-05,0.00384078
11167,3688,0.679,5.07577e-05,0.00384078
11167,3685,0.679,5.07577e-05,0.00384078
3685,7058,0.679,5.07577e-05,0.00384078
3685,6678,0.679,5.07577e-05,0.00384078
6205,6217,0.679,5.10503e-05,0.00386011
1634,8724,0.679,5.16483e-05,0.00389121
10632,6166,0.679,5.16483e-05,0.00389121
2200,6423,0.679,5.16483e-05,0.00389121
4060,677,0.679,5.16483e-05,0.00389121
1973,5479,0.678,5.25528e-05,0.00393376
6124,6164,0.678,5.25528e-05,0.00393376
4673,6146,0.678,5.25528e-05,0.00393376
6202,6235,0.678,5.25528e-05,0.00393376
23521,6143,0.678,5.25528e-05,0.00393376
1290,8483,0.678,5.25528e-05,0.00393376
1291,7431,0.678,5.25528e-05,0.00393376
29997,4666,0.678,5.34714e-05,0.00398249
3921,51386,0.678,5.34714e-05,0.00398249
6173,6206,0.678,5.34714e-05,0.00398249
54543,6160,0.678,5.34714e-05,0.00398249
23521,3921,0.678,5.34714e-05,0.00398249
6203,6222,0.678,5.34714e-05,0.00398249
11224,6161,0.678,5.34714e-05,0.00398249
1843,3491,0.677,5.44043e-05,0.00402894
6139,6164,0.677,5.44043e-05,0.00402894
3106,3119,0.677,5.44043e-05,0.00402894
10376,4904,0.677,5.44043e-05,0.00402894
4736,6141,0.677,5.44043e-05,0.00402894
1293,3688,0.677,5.44043e-05,0.00402894
6147,6169,0.677,5.51904e-05,0.00405301
23521,6187,0.677,5.53517e-05,0.00405301
6189,6194,0.677,5.53517e-05,0.00405301
6122,6139,0.677,5.53517e-05,0.00405301
6159,6202,0.677,5.53517e-05,0.00405301
23521,6159,0.677,5.53517e-05,0.00405301
1937,3921,0.677,5.53517e-05,0.00405301
6233,9045,0.677,5.53517e-05,0.00405301
10581,2512,0.677,5.53517e-05,0.00405301
54543,6218,0.677,5.53517e-05,0.00405301
5204,6160,0.677,5.53517e-05,0.00405301
7846,84790,0.677,5.53517e-05,0.00405301
1973,3939,0.677,5.53517e-05,0.00405301
25994,563,0.677,5.53517e-05,0.00405301
6208,6209,0.677,5.53517e-05,0.00405301
6209,6218,0.676,5.63138e-05,0.00409468
6134,6160,0.676,5.63138e-05,0.00409468
3105,3122,0.676,5.63138e-05,0.00409468
3133,8519,0.676,5.63138e-05,0.00409468
4673,6202,0.676,5.63138e-05,0.00409468
6128,6157,0.676,5.63138e-05,0.00409468
26986,4869,0.676,5.63138e-05,0.00409468
3646,4869,0.676,5.63138e-05,0.00409468
1290,677,0.676,5.63138e-05,0.00409468
1278,23022,0.676,5.63138e-05,0.00409468
6161,6228,0.676,5.66355e-05,0.0041152
6175,6202,0.676,5.72908e-05,0.00414835
6167,6202,0.676,5.72908e-05,0.00414835
2665,6146,0.676,5.72908e-05,0.00414835
27075,51313,0.676,5.72908e-05,0.00414835
3921,6181,0.675,5.81143e-05,0.0041824
26986,6122,0.675,5.82829e-05,0.0041824
1937,6129,0.675,5.82829e-05,0.0041824
11224,6129,0.675,5.82829e-05,0.0041824
6122,6175,0.675,5.82829e-05,0.0041824
6164,6229,0.675,5.82829e-05,0.0041824
23521,6139,0.675,5.82829e-05,0.0041824
3500,3537,0.675,5.82829e-05,0.0041824
6209,6227,0.675,5.82829e-05,0.0041824
1300,7077,0.675,5.82829e-05,0.0041824
115908,7078,0.675,5.82829e-05,0.0041824
1843,81671,0.675,5.92902e-05,0.00424008
6133,6203,0.675,5.92902e-05,0.00424008
6133,6152,0.675,5.92902e-05,0.00424008
4736,6204,0.675,5.92902e-05,0.00424008
10399,3646,0.674,6.0313e-05,0.00430437
6144,6189,0.674,6.0313e-05,0.00430437
1291,1303,0.674,6.0313e-05,0.00430437
1937,6132,0.674,6.13516e-05,0.00436354
4736,6193,0.674,6.13516e-05,0.00436354
2665,6203,0.674,6.13516e-05,0.00436354
6423,8483,0.674,6.13516e-05,0.00436354
1281,8404,0.674,6.13516e-05,0.00436354
1634,6281,0.674,6.16994e-05,0.00438529
6175,6193,0.673,6.2406e-05,0.00440248
3921,6122,0.673,6.2406e-05,0.00440248
1933,6208,0.673,6.2406e-05,0.00440248
1937,54543,0.673,6.2406e-05,0.00440248
10399,6218,0.673,6.2406e-05,0.00440248
6204,6218,0.673,6.2406e-05,0.00440248
1933,6175,0.673,6.2406e-05,0.00440248
6152,9045,0.673,6.2406e-05,0.00440248
1462,1513,0.673,6.2406e-05,0.00440248
10631,1634,0.673,6.2406e-05,0.00440248
3646,6128,0.673,6.34766e-05,0.00445388
6142,6146,0.673,6.34766e-05,0.00445388
6167,6222,0.673,6.34766e-05,0.00445388
6218,6223,0.673,6.34766e-05,0.00445388
6156,6224,0.673,6.34766e-05,0.00445388
4666,6173,0.673,6.34766e-05,0.00445388
293,6203,0.672,6.45635e-05,0.00451797
10399,6175,0.672,6.45635e-05,0.00451797
6141,6159,0.672,6.45635e-05,0.00451797
1293,4060,0.672,6.45635e-05,0.00451797
6876,9403,0.672,6.5667e-05,0.00457369
1634,3490,0.672,6.5667e-05,0.00457369
6129,6208,0.672,6.5667e-05,0.00457369
170622,51386,0.672,6.5667e-05,0.00457369
6134,6146,0.672,6.5667e-05,0.00457369
57515,9403,0.672,6.5667e-05,0.00457369
6181,9045,0.672,6.65979e-05,0.00463543
6188,6222,0.671,6.67872e-05,0.00463931
6232,6235,0.671,6.67872e-05,0.00463931
6128,6206,0.671,6.67872e-05,0.00463931
1982,4082,0.671,6.71631e-05,0.0046592
6207,9045,0.671,6.71631e-05,0.0046592
6128,6181,0.671,6.77324e-05,0.00468086
10457,5660,0.671,6.79244e-05,0.00468086
6187,9045,0.671,6.79244e-05,0.00468086
6146,6208,0.671,6.79244e-05,0.00468086
6167,6188,0.671,6.79244e-05,0.00468086
1933,2665,0.671,6.79244e-05,0.00468086
6152,6161,0.671,6.79244e-05,0.00468086
1490,2200,0.671,6.79244e-05,0.00468086
6164,6232,0.67,6.90789e-05,0.00474472
6083,6223,0.67,6.90789e-05,0.00474472
6135,6157,0.67,6.90789e-05,0.00474472
10399,6204,0.67,6.90789e-05,0.00474472
25873,6160,0.67,6.94665e-05,0.0047682
10933,4637,0.67,7.02508e-05,0.00479361
1933,6142,0.67,7.02508e-05,0.00479361
6193,6227,0.67,7.02508e-05,0.00479361
6141,6217,0.67,7.02508e-05,0.00479361
23521,6235,0.67,7.02508e-05,0.00479361
23521,6144,0.67,7.02508e-05,0.00479361
6124,6144,0.67,7.02508e-05,0.00479361
115908,677,0.67,7.02508e-05,0.00479361
25873,6203,0.67,7.124e-05,0.00483363
6136,6141,0.67,7.124e-05,0.00483363
10109,1508,0.67,7.124e-05,0.00483363
6175,6181,0.67,7.124e-05,0.00483363
6083,6129,0.669,7.14403e-05,0.00483363
1937,4869,0.669,7.14403e-05,0.00483363
6122,6167,0.669,7.14403e-05,0.00483363
6083,6139,0.669,7.14403e-05,0.00483363
10399,6160,0.669,7.14403e-05,0.00483363
6133,6160,0.669,7.14403e-05,0.00483363
10399,6083,0.669,7.14403e-05,0.00483363
6201,6234,0.669,7.14403e-05,0.00483363
1290,7078,0.669,7.14403e-05,0.00483363
4513,4536,0.669,7.24446e-05,0.00488362
1915,6130,0.669,7.26478e-05,0.00488362
6161,6164,0.669,7.26478e-05,0.00488362
1937,6217,0.669,7.26478e-05,0.00488362
1936,6156,0.669,7.26478e-05,0.00488362
388677,6738,0.669,7.26478e-05,0.00488362
4582,5872,0.669,7.26478e-05,0.00488362
6161,6204,0.669,7.26478e-05,0.00488362
1490,25878,0.669,7.26478e-05,0.00488362
3688,4267,0.669,7.26478e-05,0.00488362
6136,6161,0.669,7.36673e-05,0.00493102
22872,25878,0.668,7.38734e-05,0.00493102
1915,6229,0.668,7.38734e-05,0.00493102
6122,6124,0.668,7.38734e-05,0.00493102
6191,6229,0.668,7.38734e-05,0.00493102
6202,6208,0.668,7.38734e-05,0.00493102
4736,6229,0.668,7.38734e-05,0.00493102
4673,6128,0.668,7.38734e-05,0.00493102
6129,6156,0.668,7.38734e-05,0.00493102
11167,2335,0.668,7.38734e-05,0.00493102
515,5689,0.668,7.51174e-05,0.00499167
3646,6083,0.668,7.51174e-05,0.00499167
1937,6142,0.668,7.51174e-05,0.00499167
6204,6227,0.668,7.51174e-05,0.00499167
165,7078,0.668,7.51174e-05,0.00499167
25873,6208,0.668,7.55358e-05,0.00501627
6188,6205,0.668,7.6168e-05,0.0050466
6122,6202,0.667,7.638e-05,0.0050466
6122,6144,0.667,7.638e-05,0.0050466
6201,6233,0.667,7.638e-05,0.0050466
6137,6218,0.667,7.638e-05,0.0050466
6204,6222,0.667,7.638e-05,0.0050466
1290,6423,0.667,7.638e-05,0.0050466
23022,3688,0.667,7.638e-05,0.0050466
4736,6207,0.667,7.68048e-05,0.00507146
11031,165,0.667,7.76615e-05,0.0051086
3105,5660,0.667,7.76615e-05,0.0051086
10109,5861,0.667,7.76615e-05,0.0051086
6141,6158,0.667,7.76615e-05,0.0051086
1958,81671,0.667,7.76615e-05,0.0051086
1295,800,0.667,7.76615e-05,0.0051086
6181,6217,0.667,7.80928e-05,0.00513049
1982,3685,0.667,7.8744e-05,0.00513579
6161,6171,0.667,7.8962e-05,0.00513579
3020,3799,0.667,7.8962e-05,0.00513579
4508,4512,0.667,7.8962e-05,0.00513579
514,967,0.667,7.8962e-05,0.00513579
3646,6204,0.667,7.8962e-05,0.00513579
29997,6143,0.667,7.8962e-05,0.00513579
6133,6208,0.667,7.8962e-05,0.00513579
23478,51065,0.667,7.8962e-05,0.00513579
1933,6133,0.667,7.8962e-05,0.00513579
6132,6193,0.667,7.8962e-05,0.00513579
6222,6227,0.667,7.8962e-05,0.00513579
6141,6203,0.667,7.8962e-05,0.00513579
6423,800,0.667,7.8962e-05,0.00513579
1293,7078,0.667,7.8962e-05,0.00513579
25878,3688,0.666,8.0282e-05,0.00521838
2495,6902,0.666,8.07265e-05,0.005244
51386,6160,0.666,8.16215e-05,0.0052791
6144,6173,0.666,8.16215e-05,0.0052791
6217,9045,0.666,8.16215e-05,0.0052791
1937,4666,0.666,8.16215e-05,0.0052791
6204,6234,0.666,8.16215e-05,0.0052791
6122,6228,0.665,8.27534e-05,0.00534899
7555,9782,0.665,8.29809e-05,0.00535042
6159,6193,0.665,8.29809e-05,0.00535042
6144,6155,0.665,8.29809e-05,0.00535042
23215,6635,0.665,8.43603e-05,0.00540259
6130,6139,0.665,8.43603e-05,0.00540259
6124,6227,0.665,8.43603e-05,0.00540259
4673,6201,0.665,8.43603e-05,0.00540259
23521,6167,0.665,8.43603e-05,0.00540259
6141,6161,0.665,8.43603e-05,0.00540259
6158,6203,0.665,8.43603e-05,0.00540259
1278,6423,0.665,8.43603e-05,0.00540259
1278,1300,0.665,8.43603e-05,0.00540259
6876,7078,0.665,8.43603e-05,0.00540259
4267,6925,0.665,8.43603e-05,0.00540259
10899,5692,0.664,8.48255e-05,0.00542904
1915,6205,0.664,8.55263e-05,0.00545535
3312,8724,0.664,8.57602e-05,0.00545535
25800,4072,0.664,8.57602e-05,0.00545535
51386,6206,0.664,8.57602e-05,0.00545535
6164,6206,0.664,8.57602e-05,0.00545535
4673,6204,0.664,8.57602e-05,0.00545535
6135,6206,0.664,8.57602e-05,0.00545535
4736,6222,0.664,8.57602e-05,0.00545535
54829,7077,0.664,8.57602e-05,0.00545535
1490,3685,0.664,8.57602e-05,0.00545535
6141,6142,0.664,8.71806e-05,0.00552883
6152,6188,0.664,8.71806e-05,0.00552883
11224,6146,0.664,8.71806e-05,0.00552883
6203,6234,0.664,8.71806e-05,0.00552883
11224,6228,0.663,8.76599e-05,0.00555247
29997,6228,0.663,8.76599e-05,0.00555247
6235,9045,0.663,8.8622e-05,0.00559301
6160,6206,0.663,8.8622e-05,0.00559301
26986,6224,0.663,8.8622e-05,0.00559301
1278,4060,0.663,8.8622e-05,0.00559301
2200,7431,0.663,8.8622e-05,0.00559301
10631,1295,0.663,8.8622e-05,0.00559301
6136,6203,0.663,8.91085e-05,0.00562031
2335,3939,0.663,9.00845e-05,0.00565108
2509,27075,0.663,9.00845e-05,0.00565108
6128,6235,0.663,9.00845e-05,0.00565108
1937,6134,0.663,9.00845e-05,0.00565108
6138,6161,0.663,9.00845e-05,0.00565108
3685,6925,0.663,9.00845e-05,0.00565108
10933,1982,0.662,9.05784e-05,0.00567864
1655,5230,0.662,9.15685e-05,0.0057098
1213,1655,0.662,9.15685e-05,0.0057098
51386,6224,0.662,9.15685e-05,0.0057098
11224,6144,0.662,9.15685e-05,0.0057098
4673,6230,0.662,9.15685e-05,0.0057098
4666,6222,0.662,9.15685e-05,0.0057098
1300,23022,0.662,9.15685e-05,0.0057098
387,5552,0.662,9.30741e-05,0.00577259
6129,6159,0.662,9.30741e-05,0.00577259
6157,6223,0.662,9.30741e-05,0.00577259
6083,6135,0.662,9.30741e-05,0.00577259
1490,7058,0.662,9.30741e-05,0.00577259
1295,4060,0.662,9.30741e-05,0.00577259
4267,54829,0.662,9.30741e-05,0.00577259
1291,23022,0.662,9.30741e-05,0.00577259
11224,4869,0.661,9.46018e-05,0.00583607
6139,6208,0.661,9.46018e-05,0.00583607
3122,3135,0.661,9.46018e-05,0.00583607
6124,6128,0.661,9.46018e-05,0.00583607
3921,6144,0.661,9.46018e-05,0.00583607
25912,9804,0.661,9.46018e-05,0.00583607
165,54829,0.661,9.46018e-05,0.00583607
1290,4082,0.661,9.46018e-05,0.00583607
10631,1490,0.661,9.46018e-05,0.00583607
3939,7078,0.661,9.61516e-05,0.00591767
6159,6187,0.661,9.61516e-05,0.00591767
6124,6217,0.661,9.61516e-05,0.00591767
1072,387,0.661,9.61516e-05,0.00591767
6201,6228,0.66,9.74629e-05,0.0059932
1938,6188,0.66,9.7724e-05,0.0059932
6133,9045,0.66,9.7724e-05,0.0059932
23022,3685,0.66,9.7724e-05,0.0059932
1937,6181,0.66,9.82559e-05,0.00601874
6205,6876,0.66,9.90546e-05,0.0060641
3490,6876,0.66,9.93193e-05,0.00606604
4736,9349,0.66,9.93193e-05,0.00606604
6170,6227,0.66,9.93193e-05,0.00606604
1290,3491,0.66,9.93193e-05,0.00606604
1513,1982,0.659,9.9859e-05,0.00609544
1462,6281,0.659,0.000100669,0.0061413
6130,6202,0.659,0.000100938,0.00614328
6160,6201,0.659,0.000100938,0.00614328
4637,9168,0.659,0.000100938,0.00614328
1490,3688,0.659,0.000100938,0.00614328
1508,4082,0.659,0.000101485,0.00617301
3921,6130,0.659,0.000102579,0.00621777
6083,6175,0.659,0.000102579,0.00621777
6160,6223,0.659,0.000102579,0.00621777
6128,6160,0.659,0.000102579,0.00621777
1315,51313,0.658,0.000104245,0.00628945
170622,6189,0.658,0.000104245,0.00628945
6143,6161,0.658,0.000104245,0.00628945
23521,6158,0.658,0.000104245,0.00628945
6133,6144,0.658,0.000104245,0.00628945
11224,6170,0.658,0.000104245,0.00628945
1295,3688,0.658,0.000104245,0.00628945
11031,1300,0.658,0.000105934,0.00635824
27075,378938,0.658,0.000105934,0.00635824
6173,6235,0.658,0.000105934,0.00635824
6157,6167,0.658,0.000105934,0.00635824
7503,9295,0.658,0.000105934,0.00635824
7078,800,0.658,0.000105934,0.00635824
6136,6201,0.657,0.000106507,0.00638525
25873,6194,0.657,0.000106507,0.00638525
1915,3312,0.657,0.000107648,0.00644254
6135,6234,0.657,0.000107648,0.00644254
2200,4060,0.657,0.000107648,0.00644254
1933,6222,0.657,0.000109386,0.00653157
4869,6142,0.657,0.000109386,0.00653157
23215,6738,0.657,0.000109386,0.00653157
1937,29997,0.656,0.000111149,0.00659903
6143,6234,0.656,0.000111149,0.00659903
6083,6144,0.656,0.000111149,0.00659903
6158,6223,0.656,0.000111149,0.00659903
6141,6152,0.656,0.000111149,0.00659903
1513,7058,0.656,0.000111149,0.00659903
1281,6925,0.656,0.000111149,0.00659903
4267,8483,0.656,0.000111149,0.00659903
1982,9168,0.656,0.000111747,0.00662699
6083,6136,0.656,0.000111747,0.00662699
25994,54940,0.656,0.000112938,0.00665214
6202,6204,0.656,0.000112938,0.00665214
6139,6204,0.656,0.000112938,0.00665214
23521,6233,0.656,0.000112938,0.00665214
6193,6224,0.656,0.000112938,0.00665214
6193,6633,0.656,0.000112938,0.00665214
29997,6191,0.656,0.000112938,0.00665214
25878,3685,0.656,0.000112938,0.00665214
165,6925,0.656,0.000112938,0.00665214
1508,3122,0.655,0.000113544,0.00668411
2495,2509,0.655,0.000114453,0.00672477
6203,6218,0.655,0.000114751,0.00672477
6130,6206,0.655,0.000114751,0.00672477
6167,6232,0.655,0.000114751,0.00672477
4869,6187,0.655,0.000114751,0.00672477
2335,3685,0.655,0.000114751,0.00672477
6189,6207,0.655,0.000115367,0.00675705
25873,6204,0.655,0.000116288,0.00680717
11224,6189,0.655,0.000116591,0.0068096
26986,6193,0.655,0.000116591,0.0068096
6159,6209,0.655,0.000116591,0.0068096
6128,6205,0.654,0.00011815,0.00688385
23405,3020,0.654,0.000118457,0.00688385
6167,6208,0.654,0.000118457,0.00688385
6146,6157,0.654,0.000118457,0.00688385
1933,6157,0.654,0.000118457,0.00688385
6139,6218,0.654,0.000118457,0.00688385
6144,6202,0.654,0.000118457,0.00688385
4082,5230,0.654,0.000120349,0.00698602
6876,8404,0.654,0.000120349,0.00698602
6167,6228,0.653,0.000121953,0.00707518
6204,9045,0.653,0.000122268,0.0070777
6135,7311,0.653,0.000122268,0.0070777
6164,6191,0.653,0.000122268,0.0070777
1153,9804,0.653,0.000124214,0.00716251
4869,6159,0.653,0.000124214,0.00716251
26986,4736,0.653,0.000124214,0.00716251
1936,6135,0.653,0.000124214,0.00716251
6135,6167,0.653,0.000124214,0.00716251
6160,6193,0.652,0.000126188,0.00725623
6130,6175,0.652,0.000126188,0.00725623
10399,6167,0.652,0.000126188,0.00725623
4666,6138,0.652,0.000126188,0.00725623
3192,375,0.652,0.000126859,0.00729081
6232,6635,0.652,0.00012819,0.00733892
3646,6130,0.652,0.00012819,0.00733892
6137,6159,0.652,0.00012819,0.00733892
11224,6160,0.652,0.00012819,0.00733892
26986,6187,0.652,0.00012819,0.00733892
359948,8204,0.652,0.00012819,0.00733892
11167,7168,0.652,0.00012819,0.00733892
6181,6204,0.651,0.000129887,0.00740628
4082,5552,0.651,0.000130219,0.00740628
3939,3956,0.651,0.000130219,0.00740628
6164,6203,0.651,0.000130219,0.00740628
10399,1933,0.651,0.000130219,0.00740628
170622,6139,0.651,0.000130219,0.00740628
6132,6156,0.651,0.000130219,0.00740628
6152,6209,0.651,0.000130219,0.00740628
1281,8483,0.651,0.000130219,0.00740628
4060,6925,0.651,0.000130219,0.00740628
1281,4082,0.651,0.000130219,0.00740628
23471,7077,0.651,0.000132277,0.00749469
6129,6191,0.651,0.000132277,0.00749469
26986,6160,0.651,0.000132277,0.00749469
6083,6146,0.651,0.000132277,0.00749469
1513,3956,0.651,0.000132277,0.00749469
1634,4267,0.651,0.000132277,0.00749469
6181,6193,0.651,0.000132978,0.00752213
6136,6202,0.651,0.000132978,0.00752213
6136,6167,0.651,0.000132978,0.00752213
6139,6228,0.65,0.000134023,0.00755541
23022,378,0.65,0.000134364,0.00755541
10899,4179,0.65,0.000134364,0.00755541
1915,6208,0.65,0.000134364,0.00755541
6122,6218,0.65,0.000134364,0.00755541
6128,9045,0.65,0.000134364,0.00755541
6141,6223,0.65,0.000134364,0.00755541
10399,6209,0.65,0.000134364,0.00755541
6141,6209,0.65,0.000134364,0.00755541
6136,6227,0.65,0.000136134,0.00764963
6129,6146,0.65,0.00013648,0.00764963
23521,6164,0.65,0.00013648,0.00764963
1278,3688,0.65,0.00013648,0.00764963
6181,6222,0.65,0.000137201,0.0076859
6181,6201,0.649,0.000138275,0.00772417
1508,23471,0.649,0.000138275,0.00772417
6122,6194,0.649,0.000138625,0.00772417
54543,6167,0.649,0.000138625,0.00772417
26986,6132,0.649,0.000138625,0.00772417
6083,6234,0.649,0.000138625,0.00772417
11224,6209,0.649,0.000138625,0.00772417
1634,8404,0.649,0.000138625,0.00772417
3688,6678,0.649,0.000138625,0.00772417
6129,6207,0.649,0.000140446,0.00779536
10109,7077,0.649,0.000140801,0.00779536
6129,6130,0.649,0.000140801,0.00779536
6152,6229,0.649,0.000140801,0.00779536
170622,6217,0.649,0.000140801,0.00779536
6124,6137,0.649,0.000140801,0.00779536
4831,6132,0.649,0.000140801,0.00779536
1937,6152,0.649,0.000140801,0.00779536
1291,3685,0.649,0.000140801,0.00779536
1295,165,0.649,0.000140801,0.00779536
1295,3956,0.649,0.000140801,0.00779536
5552,975,0.648,0.000143006,0.00787979
6122,6135,0.648,0.000143006,0.00787979
29997,6229,0.648,0.000143006,0.00787979
6188,9045,0.648,0.000143006,0.00787979
359948,9584,0.648,0.000143006,0.00787979
1009,4082,0.648,0.000143006,0.00787979
23521,6228,0.648,0.000144878,0.00797871
6193,6206,0.648,0.000145242,0.00798189
6189,6208,0.648,0.000145242,0.00798189
6128,6208,0.648,0.000145242,0.00798189
170622,6188,0.648,0.000145242,0.00798189
4179,6726,0.647,0.000147509,0.00806819
10109,5552,0.647,0.000147509,0.00806819
6128,6189,0.647,0.000147509,0.00806819
6128,6164,0.647,0.000147509,0.00806819
6155,6157,0.647,0.000147509,0.00806819
54543,6173,0.647,0.000147509,0.00806819
6202,6223,0.647,0.000147509,0.00806819
4666,6083,0.647,0.000147509,0.00806819
3956,5376,0.647,0.000149808,0.00815111
1915,6146,0.647,0.000149808,0.00815111
6124,6194,0.647,0.000149808,0.00815111
6141,6202,0.647,0.000149808,0.00815111
6160,6175,0.647,0.000149808,0.00815111
6202,6206,0.647,0.000149808,0.00815111
10521,51386,0.647,0.000149808,0.00815111
6876,7168,0.647,0.000149808,0.00815111
30851,4267,0.647,0.000149808,0.00815111
11031,1295,0.646,0.000152138,0.00823489
3646,6188,0.646,0.000152138,0.00823489
1915,6139,0.646,0.000152138,0.00823489
6124,6233,0.646,0.000152138,0.00823489
