ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
201340_s_at	ENC1	ectodermal-neural cortex 1	3.025	7.755
201367_s_at	ZFP36L2	ZFP36 ring finger protein like 2	3.657	9.295
201376_s_at	HNRNPF	heterogeneous nuclear ribonucleoprotein F	3.078	13.329
201383_s_at	NBR1	NBR1, autophagy cargo receptor	3.062	13.379
201386_s_at	DHX15	DEAH-box helicase 15	3.404	9.313
201397_at	PHGDH	phosphoglycerate dehydrogenase	-3.101	10.791
201399_s_at	TRAM1	translocation associated membrane protein 1	4.157	14.607
201444_s_at	ATP6AP2	ATPase H+ transporting accessory protein 2	3.643	13.137
201445_at	CNN3	calponin 3	4.036	11.281
201461_s_at	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	3.085	12.339
201476_s_at	RRM1	ribonucleotide reductase catalytic subunit M1	3.202	15.042
201490_s_at	PPIF	peptidylprolyl isomerase F	4.144	13.16
201497_x_at	MYH11	myosin heavy chain 11	-3.539	7.706
201504_s_at	TSN	translin	3.637	17.788
201523_x_at	UBE2N	ubiquitin conjugating enzyme E2 N	4.279	18.021
201540_at	FHL1	four and a half LIM domains 1	-3.008	8.508
201551_s_at	LAMP1	lysosomal associated membrane protein 1	4.386	11.821
201617_x_at	CALD1	caldesmon 1	3.52	10.841
201646_at	SCARB2	scavenger receptor class B member 2	3.873	11.478
201663_s_at	SMC4	structural maintenance of chromosomes 4	4.75	19.437
201688_s_at	TPD52	tumor protein D52	6.282	18.983
201689_s_at	TPD52	tumor protein D52	4.499	14.446
201695_s_at	PNP	purine nucleoside phosphorylase	3.633	14.139
201742_x_at	SRSF1	serine and arginine rich splicing factor 1	5.046	15.154
201820_at	KRT5	keratin 5	-4.311	6.865
201830_s_at	NET1	neuroepithelial cell transforming 1	3.524	12.115
201852_x_at	COL3A1	collagen type III alpha 1 chain	3.283	10.762
201858_s_at	SRGN	serglycin	3.652	7.415
201879_at	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1	3.585	15.501
201908_at	DVL3	dishevelled segment polarity protein 3	3.128	9.49
201912_s_at	GSPT1	G1 to S phase transition 1	3.252	16.03
201946_s_at	CCT2	chaperonin containing TCP1 subunit 2	3.995	13.271
201971_s_at	ATP6V1A	ATPase H+ transporting V1 subunit A	4.869	19.582
202022_at	ALDOC	aldolase, fructose-bisphosphate C	-3.141	9.287
202035_s_at	SFRP1	secreted frizzled related protein 1	-5.483	10.927
202036_s_at	SFRP1	secreted frizzled related protein 1	-5.757	9.143
202037_s_at	SFRP1	secreted frizzled related protein 1	-5.109	6.04
202089_s_at	SLC39A6	solute carrier family 39 member 6	4.468	11.055
202129_s_at	RIOK3	RIO kinase 3	3.082	13.548
202137_s_at	ZMYND11	zinc finger MYND-type containing 11	3.12	13.069
202143_s_at	COPS8	COP9 signalosome subunit 8	4.208	15.489
202166_s_at	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2	3.337	13.8
202311_s_at	COL1A1	collagen type I alpha 1 chain	5.453	17.028
202350_s_at	LOC100506558///MATN2	uncharacterized LOC100506558///matrilin 2	-4.281	9.472
202357_s_at	CFB	complement factor B	3.035	7.349
202374_s_at	RAB3GAP2///AURKAPS1	RAB3 GTPase activating non-catalytic protein subunit 2///aurora kinase A pseudogene 1	3.036	11.208
202404_s_at	COL1A2	collagen type I alpha 2 chain	3.307	13.989
202503_s_at	KIAA0101	KIAA0101	4.703	12.108
202504_at	TRIM29	tripartite motif containing 29	-3.626	4.625
202543_s_at	GMFB	glia maturation factor beta	3.925	20.655
202545_at	PRKCD	protein kinase C delta	3.092	8.456
202583_s_at	RANBP9	RAN binding protein 9	4.017	14.573
202593_s_at	GDE1	glycerophosphodiester phosphodiesterase 1	5.062	14.199
202600_s_at	NRIP1	nuclear receptor interacting protein 1	3.413	12.235
202628_s_at	SERPINE1	serpin family E member 1	3.693	7.123
202654_x_at	MARCH7	membrane associated ring-CH-type finger 7	3.355	15.127
202708_s_at	HIST2H2BE	histone cluster 2, H2be	4.037	8.369
202731_at	MIR4680///PDCD4	microRNA 4680///programmed cell death 4 (neoplastic transformation inhibitor)	3.227	10.606
202736_s_at	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated	3.65	12.114
202765_s_at	FBN1	fibrillin 1	4.957	11.348
202829_s_at	VAMP7	vesicle associated membrane protein 7	3.037	8.139
202874_s_at	ATP6V1C1	ATPase H+ transporting V1 subunit C1	3.123	11.865
202902_s_at	CTSS	cathepsin S	3.248	8.714
202912_at	ADM	adrenomedullin	-3.223	8.051
202952_s_at	ADAM12	ADAM metallopeptidase domain 12	3.887	9.451
202955_s_at	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1	3.456	16.94
202965_s_at	CAPN6	calpain 6	-3.102	6.484
202988_s_at	RGS1	regulator of G-protein signaling 1	4.052	8.208
203007_x_at	LYPLA1	lysophospholipase I	3.631	13.303
203021_at	SLPI	secretory leukocyte peptidase inhibitor	-3.729	7.477
203085_s_at	TGFB1	transforming growth factor beta 1	3.194	11.823
203108_at	GPRC5A	G protein-coupled receptor class C group 5 member A	5.175	15.38
203109_at	UBE2M	ubiquitin conjugating enzyme E2 M	3.517	10.454
203242_s_at	PDLIM5	PDZ and LIM domain 5	3.344	12.072
203296_s_at	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	-4.788	11.883
203319_s_at	ZNF148	zinc finger protein 148	3.151	9.796
203354_s_at	PSD3	pleckstrin and Sec7 domain containing 3	4.247	5.729
203357_s_at	CAPN7	calpain 7	3.276	13.116
203400_s_at	TF	transferrin	-4.838	11.596
