ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
227260_at			5.9	15.864
227364_at			4.949	14.179
227419_x_at	PLAC9	placenta specific 9	-3.766	11.214
227443_at	LURAP1L	leucine rich adaptor protein 1 like	3.185	9.052
227450_at	ERP27	endoplasmic reticulum protein 27	3.984	5.489
227473_at			3.797	10.889
227510_x_at	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	5.115	12.065
227646_at	EBF1	early B-cell factor 1	-3.082	11.316
227722_at	RPS23	ribosomal protein S23	3.061	7.339
227742_at	CLIC6	chloride intracellular channel 6	5.922	7.114
227801_at	TRIM59	tripartite motif containing 59	3.456	15.022
227803_at	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)	3.333	6.082
227812_at	TNFRSF19	TNF receptor superfamily member 19	3.407	10.266
227819_at	LGR6	leucine rich repeat containing G protein-coupled receptor 6	-3.271	12.134
227826_s_at	SORBS2	sorbin and SH3 domain containing 2	-3.336	8.246
227875_at	KLHL13	kelch like family member 13	-5.543	14.278
227897_at	RAP2B	RAP2B, member of RAS oncogene family	3.433	11.886
227909_at	SMIM10L2B///SMIM10L2A	small integral membrane protein 10 like 2B///small integral membrane protein 10 like 2A	-3.698	14.976
227952_at	ZNF595	zinc finger protein 595	-5.433	17.656
227984_at	LMF1	lipase maturation factor 1	-3.892	16.266
228030_at	RBM6	RNA binding motif protein 6	4.05	8.713
228051_at	ARFGEF3	ARFGEF family member 3	3.023	9.685
228123_s_at	ABHD12	abhydrolase domain containing 12	3.04	9.221
228186_s_at	RSPO3	R-spondin 3	-4.178	8.518
228241_at	AGR3	anterior gradient 3, protein disulphide isomerase family member	5.064	12.887
228409_at	PLIN4	perilipin 4	-5.652	12.052
228434_at	BTNL9	butyrophilin like 9	-3.848	9.698
228481_at			4.963	11.84
228554_at	PGR	progesterone receptor	3.245	4.26
228582_x_at	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	5.982	13.907
228588_s_at	UBE2B	ubiquitin conjugating enzyme E2 B	3.29	9.238
228618_at	PEAR1	platelet endothelial aggregation receptor 1	-3.139	14.096
228638_at	FAM76A	family with sequence similarity 76 member A	3.352	10.773
228648_at	LRG1	leucine rich alpha-2-glycoprotein 1	3.106	5.897
228653_at	SAMD5	sterile alpha motif domain containing 5	-3.699	13.586
228658_at	MIAT	myocardial infarction associated transcript (non-protein coding)	3.888	9.003
228766_at	CD36	CD36 molecule	-5.682	8.01
228770_at	GPR146	G protein-coupled receptor 146	-3.393	11.51
228818_at			3.129	9.817
228821_at	ST6GAL2	ST6 beta-galactoside alpha-2,6-sialyltransferase 2	3.356	7.002
228834_at	TOB1	transducer of ERBB2, 1	6.183	11.421
228851_s_at	ENSA	endosulfine alpha	3.536	15.189
228854_at			-3.151	4.37
229024_at	RNF150	ring finger protein 150	-3.014	9.207
229067_at			3.814	10.816
229128_s_at	ANP32E	acidic nuclear phosphoprotein 32 family member E	4.798	12.988
229160_at	MUM1L1	MUM1 like 1	3.326	5.917
229310_at	KLHL29	kelch like family member 29	-3.222	7.71
229334_at	RUFY3	RUN and FYVE domain containing 3	3.466	12.577
229357_at	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	-3.252	10.893
229476_s_at	THRSP	thyroid hormone responsive	-4.279	4.533
229479_at			4.517	9.611
229659_s_at			-4.768	9.346
229713_at	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	4.727	13.621
229733_s_at			3.19	8.763
229764_at	TPRG1	tumor protein p63 regulated 1	3.21	3.572
229802_at	WISP1	WNT1 inducible signaling pathway protein 1	6.248	16.136
229803_s_at	RPS10-NUDT3///NUDT3	RPS10-NUDT3 readthrough///nudix hydrolase 3	3.614	10.473
229839_at	SCARA5	scavenger receptor class A member 5	-6.695	16.728
229905_at	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	3.673	13.149
229975_at	BMPR1B	bone morphogenetic protein receptor type 1B	5.897	6.311
229985_at	BTNL9	butyrophilin like 9	-4.913	11.644
230003_at	SLC16A7	solute carrier family 16 member 7	-3.385	10.657
230163_at	GFRA1	GDNF family receptor alpha 1	3.547	5.279
230285_at	SVIP	small VCP interacting protein	3.03	10.492
230333_at			3.942	9.468
230378_at	SCGB3A1	secretoglobin family 3A member 1	-5.594	9.544
230418_s_at	GALNT16	polypeptide N-acetylgalactosaminyltransferase 16	-3.779	4.853
230472_at	IRX1	iroquois homeobox 1	-5.086	9.983
230494_at	SLC20A1	solute carrier family 20 member 1	3.099	12.581
230595_at	PGM5-AS1	PGM5 antisense RNA 1	-3.544	10.062
230748_at	SLC16A6	solute carrier family 16 member 6	3.68	6.823
230791_at			-3.422	6.472
230793_at	CARMIL1	capping protein regulator and myosin 1 linker 1	3.414	10.823
230867_at	COL6A6	collagen type VI alpha 6 chain	-4.755	11.066
230906_at	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10	4.301	16.409
230992_at	BTNL9	butyrophilin like 9	-3.338	11.211
231118_at	ANKRD35	ankyrin repeat domain 35	-3.158	12.878
231240_at	DIO2	deiodinase, iodothyronine, type II	3.903	6.129
231535_x_at	ROPN1	rhophilin associated tail protein 1	-4.135	12.16
231597_x_at			-5.686	20.134
231766_s_at	COL12A1	collagen type XII alpha 1 chain	7.201	19.947
231879_at	COL12A1	collagen type XII alpha 1 chain	6.626	15.735
231956_at	RNF213	ring finger protein 213	3.226	11.113
231969_at	STOX2	storkhead box 2	-3.684	18.061
232078_at	NECTIN2	nectin cell adhesion molecule 2	4.822	17.623
232079_s_at	NECTIN2	nectin cell adhesion molecule 2	4.101	16.518
232164_s_at	EPPK1	epiplakin 1	3.125	4.518
232219_x_at	USP21	ubiquitin specific peptidase 21	3.022	11.071
232231_at	RUNX2	runt related transcription factor 2	3.111	11.759
232277_at	SLC28A3	solute carrier family 28 member 3	-3.379	5.182
232286_at			3.052	6.967
232392_at	SRSF3	serine and arginine rich splicing factor 3	3.417	13.98
232538_at			-5.025	18.082
232541_at			-3.869	8.194
232591_s_at	TMEM30A	transmembrane protein 30A	3.776	9.701
232668_at			3.54	7.338
232682_at	MREG	melanoregulin	3.242	11.967
232800_at			-3.385	13.633
233303_at			3.779	16.455
233388_at			3.095	9.475
233555_s_at	SULF2	sulfatase 2	4.743	14.896
233558_s_at	TRAPPC11	trafficking protein particle complex 11	3.238	14.642
233810_x_at			-3.787	14.409
233878_s_at	XRN2	5'-3' exoribonuclease 2	3.743	17.054
234000_s_at	HACD3	3-hydroxyacyl-CoA dehydratase 3	3.117	11.017
234222_at			3.489	7.081
234351_x_at	TRPS1	transcriptional repressor GATA binding 1	3.23	9.488
234975_at	GSPT1	G1 to S phase transition 1	3.484	12.983
234989_at	MIR612///NEAT1	microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding)	3.565	9.894
235003_at	UHMK1	U2AF homology motif (UHM) kinase 1	3.707	9.216
235004_at	RBM24	RNA binding motif protein 24	3.644	3.472
235060_at	LOC100190986	uncharacterized LOC100190986	4.609	10.606
235103_at	MAN2A1	mannosidase alpha class 2A member 1	3.982	15.34
235165_at	PARD6B	par-6 family cell polarity regulator beta	3.718	10.732
235167_at	LOC100190986	uncharacterized LOC100190986	3.249	5.975
235368_at	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	-3.068	11.603
235371_at	GXYLT2	glucoside xylosyltransferase 2	4.867	9.034
235629_at			4.561	13.927
235733_at	GXYLT2	glucoside xylosyltransferase 2	3.516	7.529
235821_at	WISP1	WNT1 inducible signaling pathway protein 1	3.964	10.593
235849_at	SCARA5	scavenger receptor class A member 5	-5.859	14.805
235978_at	FABP4	fatty acid binding protein 4	-5.228	9.07
236010_at			-3.18	15.237
236038_at	RNF150	ring finger protein 150	-3.935	16.415
236044_at	PLPP4	phospholipid phosphatase 4	4.228	9.109
236131_at			-3.738	14.618
236179_at	CDH11	cadherin 11	3.551	7.677
236224_at	RIT1	Ras like without CAAX 1	3.445	13.343
236293_at	RHOH	ras homolog family member H	3.332	5.529
236359_at	SCN4B	sodium voltage-gated channel beta subunit 4	-4.094	14.253
236656_s_at	LOC100288911	uncharacterized LOC100288911	-3.335	11.209
236856_x_at			-3.222	16.304
237062_at			3.073	9.099
237064_x_at			3.443	12.193
237086_at	FOXA1	forkhead box A1	5.996	15.77
237737_at	LOC101927345///LOC101060632///LOC101059949///ANKRD20A12P	putative ankyrin repeat domain-containing protein 20A12 pseudogene///uncharacterized gene LOC101060632///putative ankyrin repeat domain-containing protein 20A12 pseudogene///ankyrin repeat domain 20 family member A12, pseudogene	-3.499	16.397
238062_at	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	-4.355	15.223
238066_at	RBP7	retinol binding protein 7	-4.199	8.887
238320_at	MIR612///NEAT1	microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding)	5.05	7.87
238455_at	PLXDC2	plexin domain containing 2	3.561	11.34
238577_s_at	TSHZ2	teashirt zinc finger homeobox 2	-3.259	6.882
238617_at	KIF26B	kinesin family member 26B	4.478	12.535
238623_at			3.103	8.233
238706_at	PAPD4	poly(A) RNA polymerase D4, non-canonical	3.05	10.187
238750_at	CCL28	C-C motif chemokine ligand 28	-3.571	6.072
238964_at	FIGN	fidgetin, microtubule severing factor	-3.428	18.354
239262_at			-4.169	9.903
239523_at	TUSC5	tumor suppressor candidate 5	-4.777	13.149
239723_at			4.87	9.854
240242_at			-3.199	6.842
240304_s_at	TMC5	transmembrane channel like 5	3.625	7.041
240723_at			3.661	9.278
241994_at	XDH	xanthine dehydrogenase	-4.065	11.225
242197_x_at	CD36	CD36 molecule	-4.549	11.579
242397_at			3.223	6.975
242579_at	BMPR1B	bone morphogenetic protein receptor type 1B	5.855	5.751
242706_s_at	MED23	mediator complex subunit 23	3.367	14.261
242913_at	CLIC6	chloride intracellular channel 6	3.656	4.811
243241_at			3.855	5.679
243334_at	CACNA1D	calcium voltage-gated channel subunit alpha1 D	3.811	8.729
243338_at	CSNK1A1	casein kinase 1 alpha 1	3.877	17.444
243349_at	KIAA1324	KIAA1324	3.053	7.646
243386_at	CASZ1	castor zinc finger 1	3.259	12.86
243495_s_at	ZNF652	zinc finger protein 652	3.905	7.492
243689_s_at	FRG1BP	FSHD region gene 1 family member B, pseudogene	-6.073	21.209
243857_at	MORF4L2	mortality factor 4 like 2	3.436	10.021
244114_x_at			-3.01	8.269
244276_at	KLB	klotho beta	-3.174	7.185
244375_at			4.208	12.901
244655_at	LOC100507311	uncharacterized LOC100507311	-3.599	17.189
244745_at	RERG	RAS like estrogen regulated growth inhibitor	3.262	8.535
244876_at			-3.994	12.343
32502_at	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	-3.085	16.242
32625_at	NPR1	natriuretic peptide receptor 1	-4.289	16.09
37892_at	COL11A1	collagen type XI alpha 1 chain	7.949	14.354
41660_at	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1	4.064	14.53
43427_at	ACACB	acetyl-CoA carboxylase beta	-4.717	12.87
49452_at	ACACB	acetyl-CoA carboxylase beta	-5.118	12.875
52651_at	COL8A2	collagen type VIII alpha 2 chain	3.221	8.879
58916_at	NDUFC2-KCTD14///KCTD14	NDUFC2-KCTD14 readthrough///potassium channel tetramerization domain containing 14	-3.377	10.908
60794_f_at	ZNF814	zinc finger protein 814	3.226	8.979
823_at	CX3CL1	C-X3-C motif chemokine ligand 1	-4.331	15.349
87100_at	ABHD2	abhydrolase domain containing 2	3.209	7.365
