Gene.ID,Gene.symbol,logFC,adj.P.Val
26960,NBEA,-0.784,0.182595
1407,CRY1,-0.774,0.183337
4256,MGP,-0.794,0.184163
1007,CDH9,-1.78,0.185001
101954267,RNVU1-15,-1.21,0.186732
10216,PRG4,-0.756,0.190378
3280,HES1,-0.728,0.192467
284069,FAM171A2,-0.786,0.192614
1026,CDKN1A,-1.07,0.19286
374,AREG,-2.39,0.194027
64061,TSPYL2,-0.826,0.195703
279,AMY2A,-0.832,0.199478
278,AMY1C,-0.832,0.199478
277,AMY1B,-0.832,0.199478
276,AMY1A,-0.832,0.199478
54941,RNF125,-0.72,0.201812
121551,BTBD11,-0.904,0.204007
284611,FAM102B,-0.754,0.205618
26052,DNM3,-1.04,0.2086
157697,ERICH1,-0.864,0.213158
267010,RNU12,-0.706,0.215824
2625,GATA3,-0.82,0.218093
677772,SCARNA6,-0.86,0.219841
25976,TIPARP,-0.902,0.220329
23086,EXPH5,-0.8,0.221744
306,ANXA3,-0.766,0.227273
1266,CNN3,-0.774,0.231263
8825,LIN7A,-1.16,0.231915
51361,HOOK1,-0.958,0.232378
28234,SLCO1B3,-0.736,0.232565
999,CDH1,-0.738,0.235257
9263,STK17A,-0.742,0.235606
114569,MAL2,-0.77,0.242771
1556,CYP2B7P,-0.718,0.24722
80114,BICC1,-0.782,0.24961
107987020,LOC107987020,-0.76,0.257911
203274,LINC00537,-0.76,0.257911
2952,GSTT1,-0.958,0.258624
677802,SNORA14B,-1.01,0.268197
317649,EIF4E3,-0.824,0.268687
4921,DDR2,-0.778,0.269258
7718,ZNF165,-1.38,0.279123
860,RUNX2,-0.734,0.280225
5523,PPP2R3A,-0.77,0.281992
7932,OR2H2,-0.746,0.290733
26509,MYOF,-0.898,0.296542
677768,SCARNA13,-0.764,0.302524
283596,SNHG10,-0.764,0.302524
55605,KIF21A,-0.742,0.303644
4311,MME,-0.884,0.308907
55422,ZNF331,-1.14,0.31254
8013,NR4A3,-1.44,0.313804
100033821,SNORD116-29,-0.814,0.320254
55612,FERMT1,-0.714,0.321882
6446,SGK1,-0.776,0.334668
57211,ADGRG6,-0.702,0.338616
8436,SDPR,-0.738,0.342864
767564,SNORD113-4,-0.71,0.362203
100033438,SNORD116-26,-0.948,0.372733
6696,SPP1,-1.11,0.375874
100131581,LOC100131581,-0.766,0.3836
402117,VWC2L,-0.728,0.38721
54541,DDIT4,-0.738,0.387791
7078,TIMP3,-0.7,0.395137
767578,SNORD114-2,-1.11,0.395525
100124536,SNORA38B,-0.856,0.409428
28831,IGLJ3,-0.72,0.420128
3507,IGHM,-0.72,0.420128
50802,IGK,-0.72,0.420128
28912,IGKV3-20,-0.72,0.420128
28442,IGHV3-23,-0.72,0.420128
28439,IGHV3-30,-0.72,0.420128
646600,IGF2BP2-AS1,-0.85,0.436073
79730,NSUN7,-0.77,0.443544
330,BIRC3,-0.85,0.448066
5329,PLAUR,-0.812,0.459331
643616,MOP-1,-0.806,0.499737
2355,FOSL2,-0.838,0.506602
55384,MEG3,-0.806,0.516483
5168,ENPP2,-0.792,0.518002
54206,ERRFI1,-0.92,0.520517
100506658,OCLN,-1.21,0.529489
647859,LOC647859,-1.21,0.529489
767579,SNORD114-3,-1.13,0.53143
6515,SLC2A3,-0.752,0.54568
7754,ZNF204P,-0.722,0.546105
100033436,SNORD116-25,-0.806,0.55061
653166,OR1D4,-0.766,0.553642
8386,OR1D5,-0.766,0.553642
4991,OR1D2,-0.766,0.553642
245711,SPDYA,-0.794,0.55589
641517,DEFB109P1B,-0.744,0.556614
245912,DEFB109P1,-0.744,0.556614
780854,SNORD3D,-0.744,0.576602
780853,SNORD3C,-0.744,0.576602
780852,SNORD3B-2,-0.744,0.576602
780851,SNORD3A,-0.744,0.576602
26851,SNORD3B-1,-0.744,0.576602
9960,USP3,-0.74,0.605943
2949,GSTM5,-0.846,0.615762
101954277,RNVU1-19,-0.752,0.622232
3043,HBB,-0.704,0.680212
285313,IGSF10,-0.776,0.683787
