Gene.ID,Gene.symbol,logFC,adj.P.Val
501,ALDH7A1,0.782,0.0633216
85465,EPT1,0.87,0.0638057
51184,GPN3,0.792,0.0638331
9330,GTF3C3,0.76,0.0639242
23788,MTCH2,0.744,0.0639242
56886,UGGT1,0.73,0.0640801
5691,PSMB3,0.866,0.0640942
64216,TFB2M,0.8,0.0642325
158405,KIAA1958,0.812,0.0643832
27258,LSM3,1,0.0644263
51300,TIMMDC1,0.922,0.0644263
1629,DBT,0.734,0.0644263
26275,HIBCH,0.74,0.0644263
57504,MTA3,0.71,0.0646869
8356,HIST1H3J,1,0.0646937
7347,UCHL3,0.8,0.0647781
128153,SPATA17,0.938,0.0652517
8086,AAAS,0.73,0.0652577
134728,IRAK1BP1,0.898,0.065394
57105,CYSLTR2,0.932,0.0654317
202243,CCDC125,0.722,0.065565
23240,KIAA0922,0.718,0.0656338
27430,MAT2B,0.854,0.0659011
11015,KDELR3,0.744,0.0663877
8935,SKAP2,0.768,0.0663877
9443,MED7,0.796,0.0663877
125919,ZNF543,0.77,0.0663877
7905,REEP5,1.12,0.0663877
84941,HSH2D,1.14,0.0663877
8655,DYNLL1,0.976,0.066447
7411,VBP1,0.95,0.0664513
1477,CSTF1,0.79,0.0665794
84661,DPY30,0.7,0.0665794
79810,PTCD2,0.712,0.0665917
79017,GGCT,0.922,0.0665917
51528,JKAMP,0.778,0.0666835
79031,PDCL3,0.712,0.066713
6491,STIL,0.954,0.0668355
27257,LSM1,0.702,0.0668355
55798,METTL2B,0.73,0.0668355
56242,ZNF253,1.05,0.0669035
8671,SLC4A4,1.1,0.0669035
55388,MCM10,1.06,0.0669035
4087,SMAD2,0.772,0.0669646
54069,MIS18A,0.702,0.0669646
2140,EYA3,0.75,0.0669646
84300,UQCC2,0.864,0.0669646
79622,SNRNP25,0.77,0.0673409
2971,GTF3A,0.828,0.067391
100532731,COMMD3-BMI1,0.706,0.067581
23412,COMMD3,0.706,0.067581
64960,MRPS15,0.884,0.0678226
9184,BUB3,1.04,0.0678226
440519,ZNF724,0.948,0.0678226
5832,ALDH18A1,0.822,0.0679869
10111,RAD50,0.718,0.0682135
7372,UMPS,0.818,0.0684289
445347,TARP,1.96,0.0689732
6967,TRGC2,1.96,0.0689732
85439,STON2,1.26,0.0692065
56916,SMARCAD1,0.84,0.0693604
27102,EIF2AK1,0.838,0.069377
10845,CLPX,0.732,0.069471
23344,ESYT1,0.93,0.069471
100532726,NDUFC2-KCTD14,0.75,0.069812
4718,NDUFC2,0.75,0.069812
1793,DOCK1,0.886,0.0700069
55705,IPO9,0.792,0.0700069
55635,DEPDC1,0.764,0.0700069
7398,USP1,0.798,0.0700069
340527,NHSL2,0.942,0.0700069
55364,IMPACT,0.72,0.0700069
55862,ECHDC1,0.74,0.0705532
84318,CCDC77,0.716,0.070661
51629,SLC25A39,0.756,0.0714376
80167,ABHD18,0.96,0.0714763
6944,VPS72,0.8,0.0714787
27166,PRELID1,0.776,0.0714787
3418,IDH2,0.814,0.0714787
80790,CMIP,0.764,0.0715484
5245,PHB,0.812,0.0715484
