node_index,id,logFC,type,logic,pathway,embedding_l2_norm,encoder
33,MIMAT0004607,-1.62838,miR,,,0.0,proteinbert
34,MIMAT0006790,-1.57319,miR,,,0.0,proteinbert
35,CREB5,1.06812,mRNA,,,0.0,proteinbert
36,SETD1B,-0.235105,mRNA,,,0.0,proteinbert
37,RORA,-0.500954,mRNA,,,0.0,proteinbert
38,GRIN2B,-0.0181727,mRNA,,,0.0,proteinbert
39,ATXN1,-0.304866,mRNA,,,0.0,proteinbert
40,TCF20,-0.192239,mRNA,,,0.0,proteinbert
41,EFHD2,1.06069,mRNA,,,0.0,proteinbert
42,TPM3,0.297344,mRNA,,,0.0,proteinbert
43,ERGIC1,0.080709,mRNA,,,0.0,proteinbert
44,ATP6V1A,0.218256,mRNA,,,0.0,proteinbert
45,CSNK2A1,-0.119569,mRNA,,,0.0,proteinbert
46,PEX5L,-0.974857,mRNA,,,0.0,proteinbert
47,SLC46A1,-0.576687,mRNA,,,0.0,proteinbert
48,CYBRD1,-0.984736,mRNA,,,0.0,proteinbert
49,GNA13,-0.374688,mRNA,,,0.0,proteinbert
50,PAG1,-0.132284,mRNA,,,0.0,proteinbert
51,MECP2,-0.152147,mRNA,,,0.0,proteinbert
52,IGFBP4,0.394432,mRNA,,,0.0,proteinbert
53,YY1,0.0730484,mRNA,,,0.0,proteinbert
54,RSBN1,-0.335478,mRNA,,,0.0,proteinbert
55,EIF4EBP1,0.770913,mRNA,,,0.0,proteinbert
56,RHOC,0.681812,mRNA,,,0.0,proteinbert
57,DMKN,0.123481,mRNA,,,0.0,proteinbert
58,DNAJB6,-0.153397,mRNA,,,0.0,proteinbert
59,NFKB1,-0.188556,mRNA,,path:hsa04010,0.0,proteinbert
60,LNPEP,-0.73864,mRNA,,,0.0,proteinbert
61,TERT,-0.13299,mRNA,,,0.0,proteinbert
62,ZMYND11,-0.583717,mRNA,,,0.0,proteinbert
63,EID1,-0.045616,mRNA,,,0.0,proteinbert
64,YAP1,0.18203,mRNA,,,0.0,proteinbert
65,MXD1,-0.634627,mRNA,,,0.0,proteinbert
66,MEAF6,0.700487,mRNA,,,0.0,proteinbert
67,IGF2BP1,-0.481746,mRNA,,,0.0,proteinbert
68,BLCAP,0.067025,mRNA,,,0.0,proteinbert
69,CELF1,-0.320911,mRNA,,,0.0,proteinbert
70,S100A1,1.6721,mRNA,,,0.0,proteinbert
71,FOXC1,-0.0852997,mRNA,,,0.0,proteinbert
72,CDH2,2.70602,mRNA,,,0.0,proteinbert
73,RPA1,-0.0625097,mRNA,,,0.0,proteinbert
74,IGLON5,0.284401,mRNA,,,0.0,proteinbert
75,CCND1,1.7233,mRNA,,,0.0,proteinbert
76,BCL11A,-1.23737,mRNA,,,0.0,proteinbert
77,ZNF426,-0.572881,mRNA,,,0.0,proteinbert
78,PHKG2,0.440011,mRNA,,,0.0,proteinbert
79,FNDC3A,-0.318555,mRNA,,,0.0,proteinbert
80,IRS1,-1.74526,mRNA,,,0.0,proteinbert
81,TEX9,-0.266962,mRNA,,,0.0,proteinbert
82,ADARB2,0.013303,mRNA,,,0.0,proteinbert
83,SMAD4,-0.408949,mRNA,,,0.0,proteinbert
84,SOD2,-0.0743014,mRNA,,,0.0,proteinbert
85,BLMH,0.110622,mRNA,,,0.0,proteinbert
86,REL,-0.678545,mRNA,,,0.0,proteinbert
87,KY,-2.35838,mRNA,,,0.0,proteinbert
88,SLC12A7,0.109422,mRNA,,,0.0,proteinbert
89,KLHDC8B,-0.249076,mRNA,,,0.0,proteinbert
90,POLR3G,-0.250757,mRNA,,,0.0,proteinbert
91,BIVM,-0.347645,mRNA,,,0.0,proteinbert
92,PTGS1,-0.0479085,mRNA,,,0.0,proteinbert
93,OLFML2A,0.00717386,mRNA,,,0.0,proteinbert
94,APOL6,0.129287,mRNA,,,0.0,proteinbert
95,RAB8A,0.0343154,mRNA,,,0.0,proteinbert
96,MAT2A,-0.696761,mRNA,,,0.0,proteinbert
97,LSM4,0.291811,mRNA,,,0.0,proteinbert
98,LIMD1,-0.38818,mRNA,,,0.0,proteinbert
99,ZNF551,-0.465638,mRNA,,,0.0,proteinbert
100,CPEB4,-0.917849,mRNA,,,0.0,proteinbert
101,GANAB,-0.0798684,mRNA,,,0.0,proteinbert
102,GK5,0.100351,mRNA,,,0.0,proteinbert
103,USP48,-0.207679,mRNA,,,0.0,proteinbert
104,LIMD2,0.201151,mRNA,,,0.0,proteinbert
105,TMEM167A,-0.22301,mRNA,,,0.0,proteinbert
106,RUFY2,-0.243331,mRNA,,,0.0,proteinbert
107,ZNRF3,0.0171901,mRNA,,,0.0,proteinbert
108,ARL8A,0.235999,mRNA,,,0.0,proteinbert
109,TMPRSS5,0.450785,mRNA,,,0.0,proteinbert
110,PMAIP1,1.48461,mRNA,,,0.0,proteinbert
111,PPP1R11,-0.10231,mRNA,,,0.0,proteinbert
112,KCTD15,-0.803506,mRNA,,,0.0,proteinbert
113,CCDC6,-0.0969515,mRNA,,,0.0,proteinbert
114,AKAP8,-0.319262,mRNA,,,0.0,proteinbert
115,NOVA1,0.0562911,mRNA,,,0.0,proteinbert
116,TRAF6,-0.910971,mRNA,,path:hsa04010,0.0,proteinbert
117,GXYLT2,0.39023,mRNA,,,0.0,proteinbert
118,ZNF629,0.0890516,mRNA,,,0.0,proteinbert
119,UMPS,-0.121256,mRNA,,,0.0,proteinbert
120,MRO,-4.2408,mRNA,,,0.0,proteinbert
121,NDUFB5,-0.131519,mRNA,,,0.0,proteinbert
122,KIF21A,-0.155501,mRNA,,,0.0,proteinbert
123,SBNO1,-0.757211,mRNA,,,0.0,proteinbert
124,ACVR2A,0.00467504,mRNA,,,0.0,proteinbert
125,GPR27,0.277782,mRNA,,,0.0,proteinbert
126,TCF3,0.149205,mRNA,,,0.0,proteinbert
127,BCL2,-1.84588,mRNA,,,0.0,proteinbert
128,KANK1,-0.146906,mRNA,,,0.0,proteinbert
129,FGF2,0.712201,mRNA,,path:hsa04010,0.0,proteinbert
130,ZNF275,-0.329446,mRNA,,,0.0,proteinbert
131,TMEM135,-0.478136,mRNA,,,0.0,proteinbert
132,GOSR1,-0.185427,mRNA,,,0.0,proteinbert
133,GNB1,0.16672,mRNA,,,0.0,proteinbert
134,PLEKHA1,-0.510106,mRNA,,,0.0,proteinbert
135,AVL9,-0.266915,mRNA,,,0.0,proteinbert
136,HNRNPA2B1,-0.205353,mRNA,,,0.0,proteinbert
137,MTHFR,0.419876,mRNA,,,0.0,proteinbert
138,CHEK1,0.243649,mRNA,,,0.0,proteinbert
139,TBL1XR1,-0.145144,mRNA,,,0.0,proteinbert
140,RASEF,-0.841398,mRNA,,,0.0,proteinbert
141,TAB3,-0.326588,mRNA,,,0.0,proteinbert
142,CPNE1,0.266808,mRNA,,,0.0,proteinbert
143,LRRC57,0.0751429,mRNA,,,0.0,proteinbert
144,LSM11,-0.159387,mRNA,,,0.0,proteinbert
145,RAB3IP,-0.119455,mRNA,,,0.0,proteinbert
146,CBFA2T3,-0.35208,mRNA,,,0.0,proteinbert
147,DICER1,-0.769754,mRNA,,,0.0,proteinbert
148,SMURF1,0.131103,mRNA,,,0.0,proteinbert
149,RASSF5,0.548976,mRNA,,,0.0,proteinbert
150,GNAL,-1.57067,mRNA,,,0.0,proteinbert
151,BSG,0.380331,mRNA,,,0.0,proteinbert
152,UBE2V1,0.0149666,mRNA,,,0.0,proteinbert
153,CCDC80,-0.302732,mRNA,,,0.0,proteinbert
154,CYLD,-0.534478,mRNA,,,0.0,proteinbert
155,ZBTB34,-0.0401275,mRNA,,,0.0,proteinbert
156,SEC61A1,0.178305,mRNA,,,0.0,proteinbert
157,HEYL,0.378444,mRNA,,,0.0,proteinbert
158,TSC22D2,-0.691628,mRNA,,,0.0,proteinbert
159,CPEB3,-0.978149,mRNA,,,0.0,proteinbert
160,WIPI2,0.0483824,mRNA,,,0.0,proteinbert
161,SERBP1,-0.109249,mRNA,,,0.0,proteinbert
162,AKAP11,-0.265871,mRNA,,,0.0,proteinbert
163,CDC37L1,-0.155562,mRNA,,,0.0,proteinbert
164,STX17,-0.287543,mRNA,,,0.0,proteinbert
165,RFK,0.316133,mRNA,,,0.0,proteinbert
166,PDE4D,-0.878996,mRNA,,,0.0,proteinbert
167,BAG4,-0.196305,mRNA,,,0.0,proteinbert
168,BZW1,-0.0568027,mRNA,,,0.0,proteinbert
169,CCNE1,0.335076,mRNA,,,0.0,proteinbert
170,CCNT1,-0.986647,mRNA,,,0.0,proteinbert
171,CCNT2,-0.122915,mRNA,,,0.0,proteinbert
172,TPI1,0.0428666,mRNA,,,0.0,proteinbert
173,SHOC2,-0.269555,mRNA,,,0.0,proteinbert
174,DNAJC10,-0.269983,mRNA,,,0.0,proteinbert
175,ABCB7,0.0285856,mRNA,,,0.0,proteinbert
176,CDV3,-0.460335,mRNA,,,0.0,proteinbert
177,ETNK1,-0.230355,mRNA,,,0.0,proteinbert
178,C21orf62,-0.495075,mRNA,,,0.0,proteinbert
179,MIB1,-0.0209624,mRNA,,,0.0,proteinbert
180,TAOK1,-0.856784,mRNA,,path:hsa04010,0.0,proteinbert
181,RPRD1B,-0.510488,mRNA,,,0.0,proteinbert
182,HAUS3,-0.254557,mRNA,,,0.0,proteinbert
183,DCAF17,-0.972195,mRNA,,,0.0,proteinbert
184,GABARAPL1,-0.470857,mRNA,,,0.0,proteinbert
185,LUZP1,0.174281,mRNA,,,0.0,proteinbert
186,SMAD3,-0.162618,mRNA,,,0.0,proteinbert
187,TKTL1,-0.496051,mRNA,,,0.0,proteinbert
188,VEGFA,-0.610786,mRNA,,path:hsa04010,0.0,proteinbert
189,THRAP3,-0.087324,mRNA,,,0.0,proteinbert
190,CD180,0.171385,mRNA,,,0.0,proteinbert
191,ACTR2,-0.0236828,mRNA,,,0.0,proteinbert
192,ARIH1,-0.128138,mRNA,,,0.0,proteinbert
193,PURA,-0.360597,mRNA,,,0.0,proteinbert
194,MLLT6,-0.0162498,mRNA,,,0.0,proteinbert
195,PSKH1,-0.509574,mRNA,,,0.0,proteinbert
196,YWHAQ,-0.173826,mRNA,,,0.0,proteinbert
197,VPS4A,-0.157617,mRNA,,,0.0,proteinbert
198,RACGAP1,0.0451801,mRNA,,,0.0,proteinbert
199,VCL,0.227135,mRNA,,,0.0,proteinbert
200,SOCS5,-0.157252,mRNA,,,0.0,proteinbert
201,OCRL,-0.349218,mRNA,,,0.0,proteinbert
202,KPNA1,0.170897,mRNA,,,0.0,proteinbert
203,PAFAH1B2,-0.451969,mRNA,,,0.0,proteinbert
204,CCL4,-0.759316,mRNA,,,0.0,proteinbert
205,SNCG,0.688792,mRNA,,,0.0,proteinbert
206,CREG1,-0.376238,mRNA,,,0.0,proteinbert
207,ARHGDIA,0.201071,mRNA,,,0.0,proteinbert
208,MAP4K2,-0.265381,mRNA,,path:hsa04010,0.0,proteinbert
209,RAPH1,-0.606325,mRNA,,,0.0,proteinbert
210,MAFK,0.103718,mRNA,,,0.0,proteinbert
211,ENTPD6,0.0637025,mRNA,,,0.0,proteinbert
212,APP,-0.28577,mRNA,,,0.0,proteinbert
213,SH3BGRL2,0.0513059,mRNA,,,0.0,proteinbert
214,KATNAL1,-0.033525,mRNA,,,0.0,proteinbert
215,GNAT1,0.150711,mRNA,,,0.0,proteinbert
216,ZNF585B,-0.656865,mRNA,,,0.0,proteinbert
217,YTHDC1,-0.400138,mRNA,,,0.0,proteinbert
218,ZNF284,-0.235203,mRNA,,,0.0,proteinbert
219,TSPAN3,0.411049,mRNA,,,0.0,proteinbert
220,LIN54,-0.156043,mRNA,,,0.0,proteinbert
221,CCNL1,-0.508942,mRNA,,,0.0,proteinbert
222,FOXA2,-3.27968,mRNA,,,0.0,proteinbert
223,TFAM,-0.260676,mRNA,,,0.0,proteinbert
224,MET,2.287,mRNA,,path:hsa04010,0.0,proteinbert
225,MAPK9,-0.0238455,mRNA,,path:hsa04010,0.0,proteinbert
226,HGF,-1.41665,mRNA,,path:hsa04010,0.0,proteinbert
227,PAK4,0.0204067,mRNA,,,0.0,proteinbert
228,ZNF394,-0.0302786,mRNA,,,0.0,proteinbert
229,JAG1,0.219686,mRNA,,,0.0,proteinbert
230,CSGALNACT1,-2.26077,mRNA,,,0.0,proteinbert
231,EXTL3,0.0579028,mRNA,,,0.0,proteinbert
232,KIT,-3.29168,mRNA,,path:hsa04010,0.0,proteinbert
233,OXSR1,-0.239233,mRNA,,,0.0,proteinbert
234,HES1,0.35713,mRNA,,,0.0,proteinbert
235,POLA2,0.228019,mRNA,,,0.0,proteinbert
236,PDE11A,-2.57107,mRNA,,,0.0,proteinbert
237,ZNF846,-0.220249,mRNA,,,0.0,proteinbert
238,CHCHD4,0.0123095,mRNA,,,0.0,proteinbert
239,DDI2,-0.682184,mRNA,,,0.0,proteinbert
240,ZNF584,0.130655,mRNA,,,0.0,proteinbert
241,SLC26A2,0.231494,mRNA,,,0.0,proteinbert
242,PODXL,0.284576,mRNA,,,0.0,proteinbert
243,ADAT2,-0.637682,mRNA,,,0.0,proteinbert
244,ANKFY1,0.447459,mRNA,,,0.0,proteinbert
245,CHCHD3,-0.0219723,mRNA,,,0.0,proteinbert
246,CD44,1.18645,mRNA,,,0.0,proteinbert
247,MTA3,-0.110414,mRNA,,,0.0,proteinbert
248,TLK2,-0.208602,mRNA,,,0.0,proteinbert
249,HOXA10,0.549466,mRNA,,,0.0,proteinbert
250,ZBTB20,-0.975649,mRNA,,,0.0,proteinbert
251,CTSC,1.73915,mRNA,,,0.0,proteinbert
252,CLNK,-0.0610276,mRNA,,,0.0,proteinbert
253,NR3C1,-0.533173,mRNA,,,0.0,proteinbert
254,ENAH,0.538445,mRNA,,,0.0,proteinbert
255,LRRC55,0.111397,mRNA,,,0.0,proteinbert
256,CDH11,0.623082,mRNA,,,0.0,proteinbert
257,TCF4,-0.480974,mRNA,,,0.0,proteinbert
258,SRGAP1,-0.105088,mRNA,,,0.0,proteinbert
259,POU2F1,0.0527575,mRNA,,,0.0,proteinbert
260,TRPM3,-2.89314,mRNA,,,0.0,proteinbert
261,SYT6,0.330778,mRNA,,,0.0,proteinbert
262,ATP2B1,-0.424423,mRNA,,,0.0,proteinbert
263,CAMK2G,-0.221165,mRNA,,,0.0,proteinbert
264,PRKAR1A,0.172575,mRNA,,,0.0,proteinbert
265,RUNX2,1.83252,mRNA,,,0.0,proteinbert
266,NTRK2,-0.579938,mRNA,,path:hsa04010,0.0,proteinbert
267,WNK3,-1.20319,mRNA,,,0.0,proteinbert
268,CDH8,0.96619,mRNA,,,0.0,proteinbert
269,POU2F2,-0.400839,mRNA,,,0.0,proteinbert
270,AGAP1,0.19012,mRNA,,,0.0,proteinbert
271,IKZF2,0.769816,mRNA,,,0.0,proteinbert
272,ZNF385D,-0.646403,mRNA,,,0.0,proteinbert
273,ZNF362,0.196429,mRNA,,,0.0,proteinbert
274,PHF13,0.509872,mRNA,,,0.0,proteinbert
275,ALDH1A2,-2.02004,mRNA,,,0.0,proteinbert
276,ST3GAL1,-0.192752,mRNA,,,0.0,proteinbert
277,B4GALNT3,1.31619,mRNA,,,0.0,proteinbert
278,OPN5,0.482101,mRNA,,,0.0,proteinbert
279,ZSCAN22,-0.124949,mRNA,,,0.0,proteinbert
280,BCL9L,0.0382854,mRNA,,,0.0,proteinbert
281,GALNT10,-0.842315,mRNA,,,0.0,proteinbert
282,SFT2D2,-0.162871,mRNA,,,0.0,proteinbert
283,CREB1,-0.225102,mRNA,,,0.0,proteinbert
284,MBNL1,-0.134469,mRNA,,,0.0,proteinbert
285,SEMA4G,0.206579,mRNA,,,0.0,proteinbert
286,PTPRT,-0.651898,mRNA,,,0.0,proteinbert
287,CCR5,-0.307014,mRNA,,,0.0,proteinbert
288,MAPRE2,-0.820698,mRNA,,,0.0,proteinbert
289,SERP1,-0.294284,mRNA,,,0.0,proteinbert
290,USP47,-0.193297,mRNA,,,0.0,proteinbert
291,ZWILCH,0.082853,mRNA,,,0.0,proteinbert
292,PRLR,-0.147816,mRNA,,,0.0,proteinbert
293,ZNF48,0.302794,mRNA,,,0.0,proteinbert
294,AKAP1,-0.386706,mRNA,,,0.0,proteinbert
295,SPIB,-1.04022,mRNA,,,0.0,proteinbert
296,CDX2,-0.114291,mRNA,,,0.0,proteinbert
297,IL11,0.746771,mRNA,,,0.0,proteinbert
298,AKAP13,0.0630915,mRNA,,,0.0,proteinbert
299,DPF3,0.0340874,mRNA,,,0.0,proteinbert
300,ETF1,-0.197354,mRNA,,,0.0,proteinbert
301,AP1S1,0.69945,mRNA,,,0.0,proteinbert
302,GTDC1,-0.0898471,mRNA,,,0.0,proteinbert
303,FARP1,0.344207,mRNA,,,0.0,proteinbert
304,SYNJ2BP,-0.509453,mRNA,,,0.0,proteinbert
305,VN1R1,-0.238477,mRNA,,,0.0,proteinbert
306,BCL7A,0.356086,mRNA,,,0.0,proteinbert
307,BACH2,-0.182436,mRNA,,,0.0,proteinbert
308,MCL1,-0.32434,mRNA,,,0.0,proteinbert
309,LRRC4,1.31303,mRNA,,,0.0,proteinbert
310,WWC2,-0.248997,mRNA,,,0.0,proteinbert
311,SOST,-0.719833,mRNA,,,0.0,proteinbert
312,BDNF,0.0979117,mRNA,,path:hsa04010,0.0,proteinbert
313,USP14,-0.0537714,mRNA,,,0.0,proteinbert
314,MDFI,2.20957,mRNA,,,0.0,proteinbert
315,IPO7,0.0993138,mRNA,,,0.0,proteinbert
316,TXNIP,-0.446299,mRNA,,,0.0,proteinbert
317,ERF,0.0659652,mRNA,,,0.0,proteinbert
318,WDR3,-0.23228,mRNA,,,0.0,proteinbert
319,SERINC3,-0.0256155,mRNA,,,0.0,proteinbert
320,TPPP,-2.52717,mRNA,,,0.0,proteinbert
321,PADI2,0.619941,mRNA,,,0.0,proteinbert
322,ANGPTL2,0.484917,mRNA,,,0.0,proteinbert
323,G3BP2,-0.164374,mRNA,,,0.0,proteinbert
324,ASGR1,-1.27801,mRNA,,,0.0,proteinbert
325,GLP1R,0.4685,mRNA,,,0.0,proteinbert
326,SOX4,1.475,mRNA,,,0.0,proteinbert
327,SP1,-0.0450747,mRNA,,,0.0,proteinbert
328,SPARC,0.889242,mRNA,,,0.0,proteinbert
329,HMGA2,5.83426,mRNA,,,0.0,proteinbert
330,STC2,0.529931,mRNA,,,0.0,proteinbert
331,SGPL1,0.302913,mRNA,,,0.0,proteinbert
332,EFNB2,0.673255,mRNA,,,0.0,proteinbert
333,BMPR1A,-0.736185,mRNA,,,0.0,proteinbert
334,CDH1,-0.209127,mRNA,,,0.0,proteinbert
335,CPT1B,0.62274,mRNA,,,0.0,proteinbert
336,ATF6B,0.0612335,mRNA,,,0.0,proteinbert
337,EFNB1,0.686078,mRNA,,,0.0,proteinbert
338,MUC4,0.885534,mRNA,,,0.0,proteinbert
339,SYNGR1,-1.07067,mRNA,,,0.0,proteinbert
340,CHCHD5,0.117643,mRNA,,,0.0,proteinbert
341,SORCS2,0.381166,mRNA,,,0.0,proteinbert
342,TGFBR1,1.41878,mRNA,,path:hsa04010,0.0,proteinbert
343,SLC39A11,-0.491054,mRNA,,,0.0,proteinbert
344,PLAG1,1.77594,mRNA,,,0.0,proteinbert
345,ELOVL6,0.860822,mRNA,,,0.0,proteinbert
346,CACNG8,0.0348528,mRNA,,path:hsa04010,0.0,proteinbert
347,RAB11FIP4,0.313298,mRNA,,,0.0,proteinbert
348,CDC42,0.0454554,mRNA,,path:hsa04010,0.0,proteinbert
349,MYO18A,-0.339609,mRNA,,,0.0,proteinbert
350,IGFBP2,1.24642,mRNA,,,0.0,proteinbert
351,CYBB,0.508233,mRNA,,,0.0,proteinbert
352,IGFBP5,0.181195,mRNA,,,0.0,proteinbert
353,PPP3R1,0.0243301,mRNA,,path:hsa04010,0.0,proteinbert
354,PLCXD3,-1.28241,mRNA,,,0.0,proteinbert
355,SAMD5,-2.08512,mRNA,,,0.0,proteinbert
356,SMOC1,-1.4201,mRNA,,,0.0,proteinbert
357,WDR89,-0.119986,mRNA,,,0.0,proteinbert
358,ZNF264,-0.120856,mRNA,,,0.0,proteinbert
359,ACBD5,-0.372707,mRNA,,,0.0,proteinbert
360,GPRIN3,-0.550299,mRNA,,,0.0,proteinbert
361,FMNL3,-0.054878,mRNA,,,0.0,proteinbert
362,TRAPPC2,0.183503,mRNA,,,0.0,proteinbert
363,DCAF8,-0.0364313,mRNA,,,0.0,proteinbert
364,SH3GLB1,0.0804068,mRNA,,,0.0,proteinbert
365,GNPTAB,0.292944,mRNA,,,0.0,proteinbert
366,F2RL3,0.355607,mRNA,,,0.0,proteinbert
367,VPS53,0.0285425,mRNA,,,0.0,proteinbert
368,ITGB1,0.399105,mRNA,,,0.0,proteinbert
369,NHLRC3,-0.401846,mRNA,,,0.0,proteinbert
370,SEC16A,-0.00159994,mRNA,,,0.0,proteinbert
371,QSOX1,1.28678,mRNA,,,0.0,proteinbert
372,CNKSR3,-0.692438,mRNA,,,0.0,proteinbert
373,POFUT1,-0.43501,mRNA,,,0.0,proteinbert
374,F2RL1,0.170627,mRNA,,,0.0,proteinbert
375,SERF1A,-0.101309,mRNA,,,0.0,proteinbert
376,IQSEC1,-0.148922,mRNA,,,0.0,proteinbert
377,RABGAP1L,-0.683156,mRNA,,,0.0,proteinbert
378,WDR53,-0.128779,mRNA,,,0.0,proteinbert
379,USP28,0.0182508,mRNA,,,0.0,proteinbert
380,CAMTA1,0.190762,mRNA,,,0.0,proteinbert
381,SAMD12,0.239907,mRNA,,,0.0,proteinbert
382,KLRD1,-0.722374,mRNA,,,0.0,proteinbert
383,KIF6,-1.67824,mRNA,,,0.0,proteinbert
384,PSD3,1.80611,mRNA,,,0.0,proteinbert
385,REST,-0.399399,mRNA,,,0.0,proteinbert
386,MFSD8,-0.224817,mRNA,,,0.0,proteinbert
387,SLC12A6,-0.506494,mRNA,,,0.0,proteinbert
388,RGMB,0.061881,mRNA,,,0.0,proteinbert
389,SOCS7,-0.974509,mRNA,,,0.0,proteinbert
390,OCIAD1,-0.239476,mRNA,,,0.0,proteinbert
391,AGFG2,0.0467424,mRNA,,,0.0,proteinbert
392,TMEM67,-0.604994,mRNA,,,0.0,proteinbert
393,INPP5F,0.42457,mRNA,,,0.0,proteinbert
394,WAC,-0.395874,mRNA,,,0.0,proteinbert
395,WEE1,-0.265821,mRNA,,,0.0,proteinbert
396,PAFAH1B1,-0.313733,mRNA,,,0.0,proteinbert
397,GRK7,-0.206517,mRNA,,,0.0,proteinbert
398,NR2C2,-0.267505,mRNA,,,0.0,proteinbert
399,GAB1,-0.179725,mRNA,,,0.0,proteinbert
400,DUSP18,-0.38147,mRNA,,,0.0,proteinbert
401,ABHD2,-0.39428,mRNA,,,0.0,proteinbert
402,N4BP1,-0.102893,mRNA,,,0.0,proteinbert
403,MTMR3,-0.208377,mRNA,,,0.0,proteinbert
404,ZDHHC20,-0.0142851,mRNA,,,0.0,proteinbert
405,PGM2L1,0.61168,mRNA,,,0.0,proteinbert
406,NCOA3,-0.16472,mRNA,,,0.0,proteinbert
407,UBXN2A,-0.0654842,mRNA,,,0.0,proteinbert
408,PRNP,0.19242,mRNA,,,0.0,proteinbert
409,BTN3A1,0.0855985,mRNA,,,0.0,proteinbert
410,ABHD15,-0.151991,mRNA,,,0.0,proteinbert
411,STAC2,0.866831,mRNA,,,0.0,proteinbert
412,POLQ,0.629307,mRNA,,,0.0,proteinbert
413,DSTYK,-0.0215455,mRNA,,,0.0,proteinbert
414,ZBTB37,-0.916083,mRNA,,,0.0,proteinbert
415,A1CF,-0.0205377,mRNA,,,0.0,proteinbert
416,FHDC1,-1.64205,mRNA,,,0.0,proteinbert
417,AAK1,-1.11739,mRNA,,,0.0,proteinbert
418,MAP3K2,-0.468584,mRNA,,path:hsa04010,0.0,proteinbert
419,RBM12B,-0.557172,mRNA,,,0.0,proteinbert
420,HIP1,0.936419,mRNA,,,0.0,proteinbert
421,CAPRIN2,-0.484828,mRNA,,,0.0,proteinbert
422,ELAVL2,-0.0661757,mRNA,,,0.0,proteinbert
423,DPYSL2,0.0834157,mRNA,,,0.0,proteinbert
424,SLC7A11,-0.100189,mRNA,,,0.0,proteinbert
425,RNF115,0.0346098,mRNA,,,0.0,proteinbert
426,SLK,-0.385101,mRNA,,,0.0,proteinbert
427,PLEKHM1,0.221249,mRNA,,,0.0,proteinbert
428,MLXIP,-0.66439,mRNA,,,0.0,proteinbert
429,FBXO21,0.127299,mRNA,,,0.0,proteinbert
430,TNRC6B,-0.498296,mRNA,,,0.0,proteinbert
431,WSB1,0.324236,mRNA,,,0.0,proteinbert
432,IRAK4,-0.134117,mRNA,,path:hsa04010,0.0,proteinbert
433,GNB5,0.122252,mRNA,,,0.0,proteinbert
434,TLR7,0.351202,mRNA,,,0.0,proteinbert
435,ERGIC2,0.18483,mRNA,,,0.0,proteinbert
436,WDR1,0.130441,mRNA,,,0.0,proteinbert
437,HIF1AN,-0.119762,mRNA,,,0.0,proteinbert
438,FKBP14,-0.205684,mRNA,,,0.0,proteinbert
439,RAB42,-0.354199,mRNA,,,0.0,proteinbert
440,LDLR,0.685661,mRNA,,,0.0,proteinbert
441,BTN3A2,0.12458,mRNA,,,0.0,proteinbert
442,C18orf32,-0.0160366,mRNA,,,0.0,proteinbert
443,DCTN5,-0.208948,mRNA,,,0.0,proteinbert
444,DNAL1,-0.75891,mRNA,,,0.0,proteinbert
445,BCL2L11,-1.09383,mRNA,,,0.0,proteinbert
446,CFL2,-0.563752,mRNA,,,0.0,proteinbert
447,BTF3L4,-0.0181867,mRNA,,,0.0,proteinbert
448,RAB5B,0.0151979,mRNA,,,0.0,proteinbert
