layer,source,target,edge_type,edge_subtype,mean_attention,head_1_attention,head_2_attention,head_3_attention,head_4_attention
1,MIMAT0000265,OPN5,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,ZSCAN22,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,BCL9L,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,GALNT10,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,SFT2D2,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,CREB1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,MBNL1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,SEMA4G,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,PTPRT,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,CCR5,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,MAPRE2,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,SERP1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,USP47,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,ZWILCH,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,PRLR,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,ZNF48,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,CCNT2,mir_to_gene,,0.5,0.5,0.5,0.5,0.5
1,MIMAT0000265,AKAP1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,SPIB,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,CDX2,mir_to_gene,,0.5,0.5,0.5,0.5,0.5
1,MIMAT0000265,IL11,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,AKAP13,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,DPF3,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,ETF1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,AP1S1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,GTDC1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,FARP1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,SYNJ2BP,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,VN1R1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,BCL7A,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
