source,target,type,subtype
MIMAT0000265,HMGA2,mir_to_gene,
MIMAT0000265,STC2,mir_to_gene,
MIMAT0000265,SGPL1,mir_to_gene,
MIMAT0000265,EFNB2,mir_to_gene,
MIMAT0000265,BMPR1A,mir_to_gene,
MIMAT0000265,CDH1,mir_to_gene,
MIMAT0000265,CPT1B,mir_to_gene,
MIMAT0000265,ATF6B,mir_to_gene,
MIMAT0000265,EFNB1,mir_to_gene,
MIMAT0000265,MUC4,mir_to_gene,
MIMAT0000265,SYNGR1,mir_to_gene,
MIMAT0000265,CHCHD5,mir_to_gene,
MIMAT0000265,SORCS2,mir_to_gene,
MIMAT0000265,TGFBR1,mir_to_gene,
MIMAT0000265,SLC39A11,mir_to_gene,
MIMAT0000265,PLAG1,mir_to_gene,
MIMAT0000265,ELOVL6,mir_to_gene,
MIMAT0000265,CACNG8,mir_to_gene,
MIMAT0000265,RAB11FIP4,mir_to_gene,
MIMAT0000265,CDC42,mir_to_gene,
MIMAT0000265,MYO18A,mir_to_gene,
MIMAT0000265,TSC22D2,mir_to_gene,
MIMAT0000265,IGFBP2,mir_to_gene,
MIMAT0000265,CYBB,mir_to_gene,
MIMAT0000265,IGFBP5,mir_to_gene,
MIMAT0000265,PPP3R1,mir_to_gene,
MIMAT0000265,PLCXD3,mir_to_gene,
MIMAT0000265,SAMD5,mir_to_gene,
MIMAT0000265,SMOC1,mir_to_gene,
MIMAT0001413,WDR89,mir_to_gene,
MIMAT0001413,ZNF264,mir_to_gene,
MIMAT0001413,ACBD5,mir_to_gene,
MIMAT0001413,GPRIN3,mir_to_gene,
MIMAT0001413,FMNL3,mir_to_gene,
MIMAT0001413,TRAPPC2,mir_to_gene,
MIMAT0001413,DCAF8,mir_to_gene,
MIMAT0001413,SH3GLB1,mir_to_gene,
MIMAT0001413,GNPTAB,mir_to_gene,
MIMAT0001413,F2RL3,mir_to_gene,
MIMAT0001413,VPS53,mir_to_gene,
MIMAT0001413,ITGB1,mir_to_gene,
MIMAT0001413,NHLRC3,mir_to_gene,
MIMAT0001413,SEC16A,mir_to_gene,
MIMAT0001413,QSOX1,mir_to_gene,
MIMAT0001413,CCND1,mir_to_gene,
MIMAT0001413,CNKSR3,mir_to_gene,
MIMAT0001413,POFUT1,mir_to_gene,
MIMAT0001413,F2RL1,mir_to_gene,
MIMAT0001413,SERF1A,mir_to_gene,
MIMAT0001413,IQSEC1,mir_to_gene,
MIMAT0001413,RABGAP1L,mir_to_gene,
MIMAT0001413,WDR53,mir_to_gene,
MIMAT0001413,USP28,mir_to_gene,
MIMAT0001413,CAMTA1,mir_to_gene,
MIMAT0001413,SAMD12,mir_to_gene,
MIMAT0001413,KLRD1,mir_to_gene,
MIMAT0001413,KIF6,mir_to_gene,
MIMAT0001413,ATXN1,mir_to_gene,
MIMAT0001413,PSD3,mir_to_gene,
MIMAT0001413,REST,mir_to_gene,
MIMAT0001413,MFSD8,mir_to_gene,
MIMAT0001413,SLC12A6,mir_to_gene,
MIMAT0001413,RGMB,mir_to_gene,
MIMAT0001413,ATP2B1,mir_to_gene,
MIMAT0001413,SOCS7,mir_to_gene,
MIMAT0001413,OCIAD1,mir_to_gene,
MIMAT0001413,AGFG2,mir_to_gene,
MIMAT0001413,TMEM67,mir_to_gene,
MIMAT0001413,INPP5F,mir_to_gene,
MIMAT0001413,WAC,mir_to_gene,
MIMAT0001413,WEE1,mir_to_gene,
MIMAT0001413,PAFAH1B1,mir_to_gene,
MIMAT0001413,GRK7,mir_to_gene,
MIMAT0001413,NR2C2,mir_to_gene,
MIMAT0001413,GAB1,mir_to_gene,
MIMAT0001413,DUSP18,mir_to_gene,
MIMAT0001413,ABHD2,mir_to_gene,
MIMAT0001413,N4BP1,mir_to_gene,
MIMAT0001413,MTMR3,mir_to_gene,
MIMAT0001413,ZDHHC20,mir_to_gene,
MIMAT0001413,PGM2L1,mir_to_gene,
MIMAT0001413,TMEM167A,mir_to_gene,
MIMAT0001413,RAB3IP,mir_to_gene,
MIMAT0001413,NCOA3,mir_to_gene,
MIMAT0001413,UBXN2A,mir_to_gene,
MIMAT0001413,PRNP,mir_to_gene,
MIMAT0001413,BTN3A1,mir_to_gene,
MIMAT0001413,ABHD15,mir_to_gene,
MIMAT0001413,STAC2,mir_to_gene,
MIMAT0001413,POLQ,mir_to_gene,
MIMAT0001413,DSTYK,mir_to_gene,
MIMAT0001413,ZBTB37,mir_to_gene,
MIMAT0001413,A1CF,mir_to_gene,
MIMAT0001413,POLR3G,mir_to_gene,
MIMAT0001413,FHDC1,mir_to_gene,
MIMAT0001413,AAK1,mir_to_gene,
MIMAT0001413,MAP3K2,mir_to_gene,
MIMAT0001413,RBM12B,mir_to_gene,
MIMAT0001413,HIP1,mir_to_gene,
MIMAT0001413,CAPRIN2,mir_to_gene,
MIMAT0001413,ELAVL2,mir_to_gene,
MIMAT0001413,DPYSL2,mir_to_gene,
MIMAT0001413,SLC7A11,mir_to_gene,
MIMAT0001413,RNF115,mir_to_gene,
MIMAT0001413,SLK,mir_to_gene,
MIMAT0001413,PLEKHM1,mir_to_gene,
MIMAT0001413,MLXIP,mir_to_gene,
MIMAT0001413,FBXO21,mir_to_gene,
MIMAT0001413,TNRC6B,mir_to_gene,
MIMAT0001413,WSB1,mir_to_gene,
MIMAT0001413,IRAK4,mir_to_gene,
MIMAT0001413,GNB5,mir_to_gene,
MIMAT0001413,TLR7,mir_to_gene,
MIMAT0001413,ERGIC2,mir_to_gene,
MIMAT0001413,WDR1,mir_to_gene,
MIMAT0001413,HIF1AN,mir_to_gene,
MIMAT0001413,FKBP14,mir_to_gene,
MIMAT0001413,RAB42,mir_to_gene,
MIMAT0001413,LDLR,mir_to_gene,
MIMAT0001413,BTN3A2,mir_to_gene,
MIMAT0001413,C18orf32,mir_to_gene,
MIMAT0001413,DCTN5,mir_to_gene,
MIMAT0001413,DNAL1,mir_to_gene,
MIMAT0001413,BCL2L11,mir_to_gene,
MIMAT0001413,TCF4,mir_to_gene,
MIMAT0001413,CFL2,mir_to_gene,
MIMAT0001413,BTF3L4,mir_to_gene,
MIMAT0001413,RAB5B,mir_to_gene,
MIMAT0001413,SLC4A7,mir_to_gene,
MIMAT0001413,CDK6,mir_to_gene,
MIMAT0001413,TTPAL,mir_to_gene,
MIMAT0001413,DNAJC10,mir_to_gene,
MIMAT0001413,GTF2H3,mir_to_gene,
