symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
HOXA11	0.413276694694452	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6395938599872263	No data	No data	No data	No data	No data	No data	No data	0.8042984280766986	No data	No data	No data	0	0	0	0	0	0.8402549999999998	No data	-0.5618312189740762	0	0	No data	-1	0	0.5	0
MYOD1	0.4132413185926068	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6517524759394587	No data	No data	No data	No data	No data	No data	No data	0.5599622890056859	No data	No data	No data	0	0	0	0	0	0.40625	No data	0.8199669056811913	0	0	No data	-1	0	1	0.5
SPDL1	0.4130601308462857	0.6468533765328979	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6519834754458906	No data	No data	No data	0	0	0	0	0	0	No data	0.46993932708218433	No data	-1	No data	No data	0	0.5	-1
NKX2-1	0.41225444482188794	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6696948779523016	No data	No data	No data	No data	No data	No data	No data	0.16864760041990723	No data	No data	No data	0	0	0	0	0	0.5511200000000003	No data	-0.6633204633204632	-0.8759697217345702	0	No data	-1	0	0.75	0.5
DDX5	0.4120483687670189	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6395938599872263	No data	No data	No data	No data	No data	No data	No data	0.7638883704761016	No data	No data	No data	0	0	0	1	0	0.9592849999999998	No data	-0.968119139547711	No data	-1	No data	-1	-0.23452750000000008	-1	-1
TRIM27	0.411851311200889	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6395938599872263	No data	No data	No data	No data	No data	No data	No data	0.7574054758142738	No data	No data	No data	0	0	0	0	0	0.9415199999999999	No data	-0.8587975730832873	-0.7082902372023255	0	No data	No data	0	-1	0
PGR	0.41168589669713657	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6265499763214961	No data	No data	No data	0.9940123385221655	0.042365080444462105	No data	1	0	0	1	1	1	0.008574999999999732	0	-0.6275785990071705	-0.8140812228572131	0	-1	No data	0	0.75	0
SCN9A	0.41167877022004007	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6404024623233163	No data	No data	No data	0.7355570928539809	No data	No data	1	1	0	1	1	0	0.660465	1	-0.1960286817429675	-0.8488375915953811	0	No data	No data	-0.45170999999999994	0.5	0
CTNNA2	0.41149174654283815	No data	No data	0.5592963338026914	No data	No data	No data	No data	No data	No data	0.46378505317192714	No data	No data	No data	No data	No data	No data	No data	0.0733536055184822	No data	No data	No data	1	0	0	0	0	0.742915	No data	-0.7000551571980144	-0.7092208263505081	0	No data	No data	-0.44123750000000006	0.75	0.5
RPL5	0.4114886848778825	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6395938599872263	No data	No data	No data	No data	No data	No data	No data	0.7454756204941895	No data	No data	1	0	0	1	1	0	0.9158250000000002	No data	-0.9956977385548814	-0.8997506340313788	-1	No data	-1	No data	-1	-1
TMEM45B	0.41143474214736847	0.6756971594708644	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	0.016231167596190466	No data	No data	0	0	0	0	0	0	No data	0.6450082735797023	No data	0	No data	No data	0	0.5	0
STAT6	0.41133058014683355	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6395938599872263	No data	No data	No data	No data	No data	No data	No data	0.7271623697027542	0.029501651807050305	No data	No data	0	0	1	1	0	0.27391000000000004	No data	-0.6711527854384998	-0.7234878547810288	0	No data	No data	0	-1	-1
NRAS	0.4111821630184613	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6395938599872263	No data	No data	No data	No data	No data	No data	No data	0.735391516822341	No data	No data	0.5	1	0	1	1	0	0.973545	No data	-0.6311086596800882	-0.7530934129394029	0	No data	-1	-0.6296299999999999	-1	-1
DNMT1	0.41083905786242214	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17403259756729816	No data	No data	0.607930797611621	0.9706260200564261	No data	No data	1	0	0	1	1	1	0	1	-0.980253723110866	-0.885337847160931	-1	No data	No data	0	-1	-1
KCNN4	0.41067731363115184	0.630193473242637	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8829317366515057	0.05368215806041144	No data	1	1	0	1	1	0	0.3442599999999999	1	0.00540540540540535	-0.9389412197428854	0	-1	No data	0	0.5	0
ELK4	0.4102864476873729	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6696948779523016	No data	No data	No data	No data	No data	No data	No data	0.09441492687281337	0.021349252224183386	No data	No data	0	0	0	0	0	0.33874500000000013	No data	-0.19393270821842246	-0.7092396223266636	0	No data	-1	0	-1	-1
CCDC6	0.4098292984915771	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6673307026282566	No data	No data	No data	No data	No data	No data	No data	0.12782679497010171	0.018721531442570022	No data	1	0	0	1	1	0	0.7679349999999999	No data	-0.6185328185328185	-0.5939794994359995	0	No data	-1	No data	-1	-1
SBDS	0.4097813140223132	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6612513946521403	No data	No data	No data	No data	No data	No data	No data	0.2561550189669766	No data	No data	No data	0	0	0	0	0	0.8600000000000001	No data	0.20143408714837285	-0.7241446478827281	-1	No data	No data	No data	-1	-1
SLC14A2	0.4094120730451799	0.6717799625372857	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	1	0	0	0	0	0	No data	0.07027027027027022	-0.7902278166529086	0	No data	No data	0	0.5	0.5
FANCG	0.4092416880331074	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6612513946521403	No data	No data	No data	No data	No data	No data	No data	0.23840214343160837	No data	No data	No data	0	0	0	0	0	0	No data	0.14936569222283502	0	0	No data	No data	No data	-1	0
PTGS2	0.40922313891875745	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6158408719504006	No data	No data	No data	0.986979183703503	0.35780214615889955	No data	1	0	0	1	1	0	0.3377499999999998	0	-0.8618863761720905	-0.9746906083086682	0	-1	No data	-0.019040000000000036	0.5	0
BCL3	0.40909295427781783	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6227068933869035	No data	No data	No data	No data	No data	No data	No data	0.8773009886429539	0.28597064719650656	No data	No data	0	0	1	1	0	0.06387500000000017	No data	-0.43243243243243246	-0.6429476765814076	0	No data	No data	0	0.5	-1
U2AF1	0.4089290700008315	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6612513946521403	No data	No data	No data	No data	No data	No data	No data	0.2281174849308692	No data	No data	No data	0	0	0	0	0	0.9791649999999997	No data	No data	-0.012666087423174044	-1	No data	-1	0	-1	-1
SCN4A	0.40875234578804137	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6651957981160124	No data	No data	No data	0.13070512148649854	0.02859825588859567	No data	1	0	0	1	1	0	0.626905	No data	-0.5344732487589631	-0.8611015622174975	0	No data	No data	-0.2619824999999999	0.75	0.5
