#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EGFR	MET	9606.ENSP00000275493	9606.ENSP00000317272	0	0.457	0	0	0.457
FGF1	FGFR1	9606.ENSP00000480791	9606.ENSP00000393312	0	0.743	0	0	0.743
FGF2	FGFR1	9606.ENSP00000264498	9606.ENSP00000393312	0	0.809	0	0	0.809
FGF20	FGF9	9606.ENSP00000180166	9606.ENSP00000371790	0	0.481	0	0	0.481
FGF23	FGFR1	9606.ENSP00000237837	9606.ENSP00000393312	0	0.953	0	0	0.953
FGF4	FGFR1	9606.ENSP00000168712	9606.ENSP00000393312	0	0.559	0	0	0.559
FGF6	FGFR1	9606.ENSP00000228837	9606.ENSP00000393312	0	0.419	0	0	0.419
FGF8	FGFR1	9606.ENSP00000321797	9606.ENSP00000393312	0	0.684	0	0	0.684
FGF9	FGFR1	9606.ENSP00000371790	9606.ENSP00000393312	0	0.601	0	0	0.601
FGFR1	PIK3R1	9606.ENSP00000393312	9606.ENSP00000428056	0	0.657	0	0	0.657
HGF	MET	9606.ENSP00000222390	9606.ENSP00000317272	0	0.965	0	0	0.965
HRAS	KRAS	9606.ENSP00000407586	9606.ENSP00000256078	0	0.880	0	0	0.880
HRAS	PIK3CA	9606.ENSP00000407586	9606.ENSP00000263967	0	0.457	0	0	0.457
HRAS	PIK3CD	9606.ENSP00000407586	9606.ENSP00000366563	0	0.457	0	0	0.457
HRAS	RAF1	9606.ENSP00000407586	9606.ENSP00000401888	0	0.965	0	0	0.965
HRAS	PIK3R1	9606.ENSP00000407586	9606.ENSP00000428056	0	0.542	0	0	0.542
IGF1	IGF1R	9606.ENSP00000376637	9606.ENSP00000497069	0	0.960	0	0	0.960
IGF1R	MDM2	9606.ENSP00000497069	9606.ENSP00000258149	0	0.542	0	0	0.542
IGF1R	PIK3R3	9606.ENSP00000497069	9606.ENSP00000262741	0	0.554	0	0	0.554
IGF1R	PIK3R1	9606.ENSP00000497069	9606.ENSP00000428056	0	0.547	0	0	0.547
KRAS	MAPK1	9606.ENSP00000256078	9606.ENSP00000215832	0	0.457	0	0	0.457
KRAS	PIK3CA	9606.ENSP00000256078	9606.ENSP00000263967	0	0.421	0	0	0.420
KRAS	MAP2K1	9606.ENSP00000256078	9606.ENSP00000302486	0	0.559	0	0	0.559
KRAS	RAF1	9606.ENSP00000256078	9606.ENSP00000401888	0	0.614	0	0	0.614
MAP2K1	MAPK1	9606.ENSP00000302486	9606.ENSP00000215832	0	0.537	0	0	0.537
MAP2K1	MAP2K2	9606.ENSP00000302486	9606.ENSP00000262948	0	0.661	0	0	0.661
MAP2K1	MAPK3	9606.ENSP00000302486	9606.ENSP00000263025	0	0.537	0	0	0.537
MAP2K1	RAF1	9606.ENSP00000302486	9606.ENSP00000401888	0	0.712	0	0	0.712
MAP2K2	MAPK1	9606.ENSP00000262948	9606.ENSP00000215832	0	0.965	0	0	0.965
MAP2K2	MAPK3	9606.ENSP00000262948	9606.ENSP00000263025	0	0.537	0	0	0.537
MAP2K2	RAF1	9606.ENSP00000262948	9606.ENSP00000401888	0	0.746	0	0	0.746
MAPK1	RAF1	9606.ENSP00000215832	9606.ENSP00000401888	0	0.457	0	0	0.457
MAPK1	TP53	9606.ENSP00000215832	9606.ENSP00000269305	0	0.542	0	0	0.542
MAPK1	MAPK3	9606.ENSP00000215832	9606.ENSP00000263025	0	0.633	0	0	0.633
MAPK3	TP53	9606.ENSP00000263025	9606.ENSP00000269305	0	0.457	0	0	0.457
MAPK3	RAF1	9606.ENSP00000263025	9606.ENSP00000401888	0	0.457	0	0	0.457
MDM2	RB1	9606.ENSP00000258149	9606.ENSP00000267163	0	0.457	0	0	0.457
MDM2	TP53	9606.ENSP00000258149	9606.ENSP00000269305	0	0.964	0	0	0.964
NRAS	RAF1	9606.ENSP00000358548	9606.ENSP00000401888	0	0.564	0	0	0.564
PDGFA	PDGFRA	9606.ENSP00000346508	9606.ENSP00000257290	0	0.547	0	0	0.547
PDGFA	PDGFB	9606.ENSP00000346508	9606.ENSP00000330382	0	0.422	0	0	0.422
PDGFB	PDGFRA	9606.ENSP00000330382	9606.ENSP00000257290	0	0.534	0	0	0.534
PDGFB	PDGFRB	9606.ENSP00000330382	9606.ENSP00000261799	0	0.960	0	0	0.960
PDGFC	PDGFRA	9606.ENSP00000422464	9606.ENSP00000257290	0	0.576	0	0	0.576
PDGFRA	PIK3R1	9606.ENSP00000257290	9606.ENSP00000428056	0	0.657	0	0	0.657
PDGFRA	PDGFRB	9606.ENSP00000257290	9606.ENSP00000261799	0	0.457	0	0	0.457
PDGFRB	PIK3R3	9606.ENSP00000261799	9606.ENSP00000262741	0	0.403	0	0	0.402
PDGFRB	RAF1	9606.ENSP00000261799	9606.ENSP00000401888	0	0.612	0	0	0.612
PDGFRB	PTEN	9606.ENSP00000261799	9606.ENSP00000361021	0	0.545	0	0	0.545
PDGFRB	PIK3R1	9606.ENSP00000261799	9606.ENSP00000428056	0	0.579	0	0	0.579
PIK3CA	PIK3R2	9606.ENSP00000263967	9606.ENSP00000222254	0	0.611	0	0	0.611
PIK3CA	PIK3R3	9606.ENSP00000263967	9606.ENSP00000262741	0	0.635	0	0	0.635
PIK3CA	PIK3R1	9606.ENSP00000263967	9606.ENSP00000428056	0	0.963	0	0	0.963
PIK3CB	PIK3R2	9606.ENSP00000501150	9606.ENSP00000222254	0	0.766	0	0	0.766
PIK3CB	PIK3R3	9606.ENSP00000501150	9606.ENSP00000262741	0	0.659	0	0	0.659
PIK3CB	PIK3R1	9606.ENSP00000501150	9606.ENSP00000428056	0	0.678	0	0	0.678
PIK3CD	PIK3R2	9606.ENSP00000366563	9606.ENSP00000222254	0	0.417	0	0	0.417
PIK3CD	PIK3R3	9606.ENSP00000366563	9606.ENSP00000262741	0	0.443	0	0	0.443
PIK3CD	PIK3R1	9606.ENSP00000366563	9606.ENSP00000428056	0	0.947	0	0	0.947
PIK3R1	PIK3R2	9606.ENSP00000428056	9606.ENSP00000222254	0	0.669	0	0	0.669
PIK3R1	PIK3R3	9606.ENSP00000428056	9606.ENSP00000262741	0	0.661	0	0	0.661
PIK3R1	PTEN	9606.ENSP00000428056	9606.ENSP00000361021	0	0.483	0	0	0.483
PIK3R2	PIK3R3	9606.ENSP00000222254	9606.ENSP00000262741	0	0.654	0	0	0.654
PTEN	TP53	9606.ENSP00000361021	9606.ENSP00000269305	0	0.457	0	0	0.457
RAF1	RB1	9606.ENSP00000401888	9606.ENSP00000267163	0	0.457	0	0	0.457
RB1	TP53	9606.ENSP00000267163	9606.ENSP00000269305	0	0.457	0	0	0.457
