source,target,type,subtype,final_layer_mean_attn,final_layer_max_attn
MIMAT0018118,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0018181,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0019006,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0019007,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0019060,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0019799,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0019972,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0027345,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0027452,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0027458,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0027476,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0027498,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0027516,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0027666,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0027668,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0028109,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0030018,ANGPT4,mir_regulates_mrna,,0.0416666679084301,0.0416666679084301
MIMAT0019069,TRADD,mir_regulates_mrna,,0.5,0.5
MIMAT0022294,TRADD,mir_regulates_mrna,,0.5,0.5
MIMAT0022694,EPHA2,mir_regulates_mrna,,0.0833333358168602,0.0833333358168602
MIMAT0026477,EPHA2,mir_regulates_mrna,,0.0833333358168602,0.0833333358168602
MIMAT0026621,EPHA2,mir_regulates_mrna,,0.0833333358168602,0.0833333358168602
MIMAT0005798,EPHA2,mir_regulates_mrna,,0.0833333358168602,0.0833333358168602
MIMAT0005827,EPHA2,mir_regulates_mrna,,0.0833333358168602,0.0833333358168602
MIMAT0018098,EPHA2,mir_regulates_mrna,,0.0833333358168602,0.0833333358168602
MIMAT0018959,EPHA2,mir_regulates_mrna,,0.0833333358168602,0.0833333358168602
MIMAT0019043,EPHA2,mir_regulates_mrna,,0.0833333358168602,0.0833333358168602
MIMAT0019065,EPHA2,mir_regulates_mrna,,0.0833333358168602,0.0833333358168602
MIMAT0021020,EPHA2,mir_regulates_mrna,,0.0833333358168602,0.0833333358168602
MIMAT0021117,EPHA2,mir_regulates_mrna,,0.0833333358168602,0.0833333358168602
MIMAT0027414,EPHA2,mir_regulates_mrna,,0.0833333358168602,0.0833333358168602
MIMAT0000253,TGFB3,mir_regulates_mrna,,1.0,1.0
MIMAT0000259,MAP3K3,mir_regulates_mrna,,0.25,0.25
MIMAT0000426,MAP3K3,mir_regulates_mrna,,0.25,0.25
MIMAT0000457,MAP3K3,mir_regulates_mrna,,0.25,0.25
MIMAT0027508,MAP3K3,mir_regulates_mrna,,0.25,0.25
MIMAT0000100,MAP2K6,mir_regulates_mrna,,0.0714285746216774,0.0714285746216774
MIMAT0000437,MAP2K6,mir_regulates_mrna,,0.0714285746216774,0.0714285746216774
MIMAT0026623,MAP2K6,mir_regulates_mrna,,0.0714285746216774,0.0714285746216774
MIMAT0004972,MAP2K6,mir_regulates_mrna,,0.0714285746216774,0.0714285746216774
MIMAT0022940,MAP2K6,mir_regulates_mrna,,0.0714285746216774,0.0714285746216774
MIMAT0005576,MAP2K6,mir_regulates_mrna,,0.0714285746216774,0.0714285746216774
MIMAT0005892,MAP2K6,mir_regulates_mrna,,0.0714285746216774,0.0714285746216774
MIMAT0022289,MAP2K6,mir_regulates_mrna,,0.0714285746216774,0.0714285746216774
MIMAT0027508,MAP2K6,mir_regulates_mrna,,0.0714285746216774,0.0714285746216774
MIMAT0027568,MAP2K6,mir_regulates_mrna,,0.0714285746216774,0.0714285746216774
MIMAT0030982,MAP2K6,mir_regulates_mrna,,0.0714285746216774,0.0714285746216774
MIMAT0004808,MAP2K6,mir_regulates_mrna,,0.0714285746216774,0.0714285746216774
MIMAT0015040,MAP2K6,mir_regulates_mrna,,0.0714285746216774,0.0714285746216774
MIMAT0027439,MAP2K6,mir_regulates_mrna,,0.0714285746216774,0.0714285746216774
MIMAT0003879,RPS6KA6,mir_regulates_mrna,,0.5,0.5
MIMAT0009206,RPS6KA6,mir_regulates_mrna,,0.5,0.5
MIMAT0000062,EGFR,mir_regulates_mrna,,0.1666666716337204,0.1666666716337204
MIMAT0000252,EGFR,mir_regulates_mrna,,0.1666666716337204,0.1666666716337204
MIMAT0004553,EGFR,mir_regulates_mrna,,0.1666666716337204,0.1666666716337204
MIMAT0000682,EGFR,mir_regulates_mrna,,0.1666666716337204,0.1666666716337204
MIMAT0000646,EGFR,mir_regulates_mrna,,0.1666666716337204,0.1666666716337204
MIMAT0004501,EGFR,mir_regulates_mrna,,0.1666666716337204,0.1666666716337204
MIMAT0028109,PDGFRA,mir_regulates_mrna,,0.125,0.125
MIMAT0000242,PDGFRA,mir_regulates_mrna,,0.125,0.125
MIMAT0000255,PDGFRA,mir_regulates_mrna,,0.125,0.125
MIMAT0004761,PDGFRA,mir_regulates_mrna,,0.125,0.125
MIMAT0025478,PDGFRA,mir_regulates_mrna,,0.125,0.125
MIMAT0027460,PDGFRA,mir_regulates_mrna,,0.125,0.125
MIMAT0027470,PDGFRA,mir_regulates_mrna,,0.125,0.125
MIMAT0027671,PDGFRA,mir_regulates_mrna,,0.125,0.125
MIMAT0019833,RAPGEF2,mir_regulates_mrna,,0.25,0.25
MIMAT0000764,RAPGEF2,mir_regulates_mrna,,0.25,0.25
