node_index,id,type,logic,pathway,logFC,embedding_l2_norm,encoder
74,ERBB3,gene,,path:hsa04010,1.28531,0.3103383183479309,proteinbert
75,ERBB4,gene,,path:hsa04010,-1.78306,0.08308813720941544,proteinbert
76,FGFR1,gene,,path:hsa04010,-0.338525,0.07200819998979568,proteinbert
77,FGFR3,gene,,path:hsa04010,0.908761,0.29199936985969543,proteinbert
78,FGFR2,gene,,path:hsa04010,-1.32147,0.2909555435180664,proteinbert
79,FGFR4,gene,,path:hsa04010,-0.786209,0.2998114824295044,proteinbert
80,FLT1,gene,,path:hsa04010,0.188106,0.3043788969516754,proteinbert
81,FLT3,gene,,path:hsa04010,-0.71821,0.29234662652015686,proteinbert
82,FLT4,gene,,path:hsa04010,-0.447092,0.29783448576927185,proteinbert
83,IGF1R,gene,,path:hsa04010,-0.00738523,0.3094325363636017,proteinbert
84,INSR,gene,,path:hsa04010,1.01721,0.30704087018966675,proteinbert
85,KDR,gene,,path:hsa04010,-0.0177677,0.298787385225296,proteinbert
86,KIT,gene,,path:hsa04010,-3.29168,0.06993644684553146,proteinbert
87,MET,gene,,path:hsa04010,2.287,0.06165306642651558,proteinbert
88,NGFR,gene,,path:hsa04010,1.01727,0.3112495243549347,proteinbert
89,NTRK1,gene,,path:hsa04010,0.185892,0.30578744411468506,proteinbert
90,NTRK2,gene,,path:hsa04010,-0.579938,0.07878514379262924,proteinbert
91,PDGFRA,gene,,path:hsa04010,-2.09843,0.07683337479829788,proteinbert
92,PDGFRB,gene,,path:hsa04010,0.282091,0.2979883551597595,proteinbert
93,RET,gene,,path:hsa04010,-0.0855128,0.29673126339912415,proteinbert
94,TEK,gene,,path:hsa04010,-0.132501,0.2931237518787384,proteinbert
95,CACNG3,gene,,path:hsa04010,-0.0176603,0.3053572177886963,proteinbert
96,CACNG2,gene,,path:hsa04010,-0.0906269,0.310819536447525,proteinbert
97,CACNG5,gene,,path:hsa04010,-0.0917909,0.07907386869192123,proteinbert
98,CACNG4,gene,,path:hsa04010,3.27838,0.3116658329963684,proteinbert
99,CACNA2D3,gene,,path:hsa04010,-1.45905,0.2882517874240875,proteinbert
100,CACNG8,gene,,path:hsa04010,0.0348528,0.08253388106822968,proteinbert
101,CACNG7,gene,,path:hsa04010,-0.0198379,0.3089336156845093,proteinbert
102,CACNG6,gene,,path:hsa04010,0.0323895,0.3336726427078247,proteinbert
103,CACNA1A,gene,,path:hsa04010,-0.0324239,0.2979247272014618,proteinbert
104,CACNA1B,gene,,path:hsa04010,-1.89609,0.2982093095779419,proteinbert
105,CACNA1C,gene,,path:hsa04010,0.820805,0.2924555242061615,proteinbert
106,CACNA1D,gene,,path:hsa04010,-1.26307,0.2943762540817261,proteinbert
107,CACNA1E,gene,,path:hsa04010,-0.354463,0.298017293214798,proteinbert
108,CACNA1F,gene,,path:hsa04010,-0.191297,0.29788097739219666,proteinbert
109,CACNA1S,gene,,path:hsa04010,-0.0845072,0.30276963114738464,proteinbert
110,CACNA2D1,gene,,path:hsa04010,-1.65271,0.2965685725212097,proteinbert
111,CACNB1,gene,,path:hsa04010,1.31261,0.2865608036518097,proteinbert
112,CACNB2,gene,,path:hsa04010,-0.029286,0.28349098563194275,proteinbert
113,CACNB3,gene,,path:hsa04010,0.572901,0.2807632088661194,proteinbert
114,CACNB4,gene,,path:hsa04010,-1.29079,0.29177775979042053,proteinbert
115,CACNG1,gene,,path:hsa04010,0.132954,0.3048240840435028,proteinbert
116,CACNA1I,gene,,path:hsa04010,-1.12258,0.29391852021217346,proteinbert
117,CACNA1H,gene,,path:hsa04010,-1.15556,0.3030026853084564,proteinbert
118,CACNA1G,gene,,path:hsa04010,-0.503088,0.30330345034599304,proteinbert
119,CACNA2D2,gene,,path:hsa04010,0.00925111,0.2903851866722107,proteinbert
120,CACNA2D4,gene,,path:hsa04010,-0.651172,0.2941253185272217,proteinbert
121,NR4A1,gene,,path:hsa04010,-1.77694,0.2964608371257782,proteinbert
122,MAPK7,gene,,path:hsa04010,0.247969,0.27198514342308044,proteinbert
123,MAP2K5,gene,,path:hsa04010,-0.18463,0.29971468448638916,proteinbert
124,NLK,gene,,path:hsa04010,-0.219755,0.27963992953300476,proteinbert
125,CDC25B,gene,,path:hsa04010,0.531958,0.27955248951911926,proteinbert
126,RPS6KA4,gene,,path:hsa04010,0.530737,0.28650835156440735,proteinbert
127,RPS6KA5,gene,,path:hsa04010,-2.03313,0.07342438399791718,proteinbert
128,MAPKAPK3,gene,,path:hsa04010,0.766329,0.2993485927581787,proteinbert
129,MAPKAPK2,gene,,path:hsa04010,0.276761,0.2895083427429199,proteinbert
130,ATF4,gene,,path:hsa04010,-0.304745,0.28764206171035767,proteinbert
131,MEF2C,gene,,path:hsa04010,-0.466186,0.07352254539728165,proteinbert
132,MAX,gene,,path:hsa04010,0.163815,0.3018294870853424,proteinbert
133,DDIT3,gene,,path:hsa04010,0.0352708,0.3068203628063202,proteinbert
134,ELK4,gene,,path:hsa04010,-0.581819,0.3049928545951843,proteinbert
135,TP53,gene,,path:hsa04010,0.385569,0.2886101007461548,proteinbert
136,ELK1,gene,,path:hsa04010,0.472703,0.29655545949935913,proteinbert
137,ATF2,gene,,path:hsa04010,-0.813082,0.07433371990919113,proteinbert
138,MAPK14,gene,,path:hsa04010,0.133947,0.07273447513580322,proteinbert
139,MAPK11,gene,,path:hsa04010,0.515832,0.2923966348171234,proteinbert
140,MAPK13,gene,,path:hsa04010,0.868533,0.2915824353694916,proteinbert
141,MAPK12,gene,,path:hsa04010,0.755565,0.29270628094673157,proteinbert
142,PPP5C,gene,,path:hsa04010,0.521548,0.2889178693294525,proteinbert
143,MAP2K6,gene,,path:hsa04010,-0.940688,0.2888467013835907,proteinbert
144,MAP2K3,gene,,path:hsa04010,0.266134,0.2878487706184387,proteinbert
145,PPM1A,gene,,path:hsa04010,-0.197792,0.2949254512786865,proteinbert
146,AKT3,gene,,path:hsa04010,-0.0729472,0.06826121360063553,proteinbert
147,AKT1,gene,,path:hsa04010,0.292482,0.07513167709112167,proteinbert
148,AKT2,gene,,path:hsa04010,-0.367895,0.2860269546508789,proteinbert
149,TAOK3,gene,,path:hsa04010,-0.232057,0.2803345322608948,proteinbert
150,TAOK1,gene,,path:hsa04010,-0.856784,0.06402233242988586,proteinbert
151,TAOK2,gene,,path:hsa04010,0.230473,0.2757546603679657,proteinbert
152,MAP3K4,gene,,path:hsa04010,-0.520806,0.27970078587532043,proteinbert
153,HSPB1,gene,,path:hsa04010,0.229732,0.3047231435775757,proteinbert
154,MAP3K7,gene,,path:hsa04010,-0.148902,0.2871532738208771,proteinbert
155,MAP3K5,gene,,path:hsa04010,0.557399,0.2910349369049072,proteinbert
156,MAP3K6,gene,,path:hsa04010,1.39075,0.2992267608642578,proteinbert
157,MAP3K20,gene,,path:hsa04010,,0.06365569680929184,proteinbert
158,MAP3K12,gene,,path:hsa04010,0.382182,0.2868424654006958,proteinbert
159,MAP3K13,gene,,path:hsa04010,-0.112696,0.28625330328941345,proteinbert
160,MAP3K9,gene,,path:hsa04010,-0.566213,0.2813660204410553,proteinbert
161,MAP3K10,gene,,path:hsa04010,-0.302835,0.2811613976955414,proteinbert
162,MAP3K21,gene,,path:hsa04010,,0.06365569680929184,proteinbert
163,MAP4K2,gene,,path:hsa04010,-0.265381,0.07426322996616364,proteinbert
164,STK3,gene,,path:hsa04010,0.137627,0.2846842408180237,proteinbert
165,STK4,gene,,path:hsa04010,-0.2025,0.08046069741249084,proteinbert
166,ECSIT,gene,,path:hsa04010,-0.516125,0.2928098440170288,proteinbert
167,TAB2,gene,,path:hsa04010,-0.169146,0.31248995661735535,proteinbert
168,TAB1,gene,,path:hsa04010,-0.111506,0.29776790738105774,proteinbert
169,GADD45G,gene,,path:hsa04010,-1.02643,0.313851535320282,proteinbert
170,GADD45A,gene,,path:hsa04010,-0.300954,0.3044159412384033,proteinbert
171,GADD45B,gene,,path:hsa04010,-0.944914,0.32074010372161865,proteinbert
172,TRAF6,gene,,path:hsa04010,-0.910971,0.0829467698931694,proteinbert
173,DAXX,gene,,path:hsa04010,-0.0613811,0.2741955816745758,proteinbert
174,TRAF2,gene,,path:hsa04010,-0.172496,0.28025126457214355,proteinbert
175,CASP3,gene,,path:hsa04010,0.318576,0.29471832513809204,proteinbert
176,CD14,gene,,path:hsa04010,0.605686,0.3135843575000763,proteinbert
177,TGFBR1,gene,,path:hsa04010,1.41878,0.0792626440525055,proteinbert
178,TGFBR2,gene,,path:hsa04010,-0.327293,0.07715867459774017,proteinbert
179,FAS,gene,,path:hsa04010,0.935702,0.3034466505050659,proteinbert
180,IL1R1,gene,,path:hsa04010,-0.311045,0.29044026136398315,proteinbert
181,IL1RAP,gene,,path:hsa04010,2.08347,0.29562345147132874,proteinbert
182,TNFRSF1A,gene,,path:hsa04010,0.770027,0.3067159950733185,proteinbert
183,TGFB1,gene,,path:hsa04010,1.66259,0.30002889037132263,proteinbert
184,TGFB2,gene,,path:hsa04010,0.861801,0.2924692928791046,proteinbert
185,TGFB3,gene,,path:hsa04010,-0.173384,0.29904553294181824,proteinbert
186,IL1A,gene,,path:hsa04010,-0.621843,0.2997436821460724,proteinbert
187,IL1B,gene,,path:hsa04010,-0.226117,0.2902314364910126,proteinbert
188,TNF,gene,,path:hsa04010,-0.884273,0.0774078220129013,proteinbert
189,MAPKAPK5,gene,,path:hsa04010,0.0194002,0.28135210275650024,proteinbert
190,RAC1,gene,,path:hsa04010,0.248718,0.30322349071502686,proteinbert
191,RAC2,gene,,path:hsa04010,0.670751,0.30542081594467163,proteinbert
192,RAC3,gene,,path:hsa04010,-1.02623,0.3047517240047455,proteinbert
193,CDC42,gene,,path:hsa04010,0.0454554,0.07619675993919373,proteinbert
194,PAK1,gene,,path:hsa04010,-0.131883,0.07746276259422302,proteinbert
195,PAK2,gene,,path:hsa04010,0.215621,0.2829072177410126,proteinbert
196,MAP3K2,gene,,path:hsa04010,-0.468584,0.06591171026229858,proteinbert
197,MAP3K3,gene,,path:hsa04010,0.0199845,0.2943093180656433,proteinbert
198,MAPK8IP2,gene,,path:hsa04010,-1.30439,0.2816389203071594,proteinbert
199,MAPK8IP1,gene,,path:hsa04010,-0.778765,0.28136491775512695,proteinbert
200,MAP3K11,gene,,path:hsa04010,0.592456,0.28736886382102966,proteinbert
201,MAP2K7,gene,,path:hsa04010,0.272615,0.29527661204338074,proteinbert
202,MAPK8,gene,,path:hsa04010,-0.471185,0.07138850539922714,proteinbert
203,MAPK9,gene,,path:hsa04010,-0.0238455,0.061288077384233475,proteinbert
204,MAPK10,gene,,path:hsa04010,-0.480979,0.07589452713727951,proteinbert
205,MAP2K4,gene,,path:hsa04010,0.0298802,0.2957206964492798,proteinbert
206,CRK,gene,,path:hsa04010,-0.224276,0.3033601641654968,proteinbert
207,CRKL,gene,,path:hsa04010,-0.145116,0.3007557988166809,proteinbert
208,ARRB1,gene,,path:hsa04010,0.140166,0.2911941707134247,proteinbert
209,ARRB2,gene,,path:hsa04010,0.280482,0.29288479685783386,proteinbert
210,MECOM,gene,,path:hsa04010,0.952231,0.2784145176410675,proteinbert
211,HSPA1A,gene,,path:hsa04010,-0.750044,0.29750022292137146,proteinbert
212,HSPA1B,gene,,path:hsa04010,-0.539757,0.29809167981147766,proteinbert
213,HSPA1L,gene,,path:hsa04010,-0.625452,0.29866281151771545,proteinbert
214,HSPA6,gene,,path:hsa04010,0.308362,0.2970598638057709,proteinbert
215,HSPA8,gene,,path:hsa04010,-0.346272,0.2977130115032196,proteinbert
216,JUND,gene,,path:hsa04010,-0.761136,0.30827364325523376,proteinbert
217,FOS,gene,,path:hsa04010,-1.85505,0.29175466299057007,proteinbert
218,JUN,gene,,path:hsa04010,-1.77314,0.31058910489082336,proteinbert
219,NFATC3,gene,,path:hsa04010,-0.589972,0.28753745555877686,proteinbert
220,NFATC1,gene,,path:hsa04010,-1.15636,0.293510764837265,proteinbert
221,PPP3CA,gene,,path:hsa04010,0.183504,0.291314035654068,proteinbert
222,PPP3CB,gene,,path:hsa04010,0.187404,0.2831781208515167,proteinbert
223,PPP3CC,gene,,path:hsa04010,-0.133756,0.2907169759273529,proteinbert
224,PPP3R1,gene,,path:hsa04010,0.0243301,0.07840254157781601,proteinbert
225,PPP3R2,gene,,path:hsa04010,-0.173382,0.2841786742210388,proteinbert
226,MAPK8IP3,gene,,path:hsa04010,0.162292,0.28561002016067505,proteinbert
227,FLNA,gene,,path:hsa04010,0.786555,0.2870063781738281,proteinbert
228,MAP3K1,gene,,path:hsa04010,0.746672,0.2770196199417114,proteinbert
229,MAP3K8,gene,,path:hsa04010,-1.16864,0.2917432188987732,proteinbert
230,MAP4K1,gene,,path:hsa04010,0.149178,0.2871570289134979,proteinbert
231,MAP4K3,gene,,path:hsa04010,-0.402097,0.28382450342178345,proteinbert
232,SRF,gene,,path:hsa04010,-1.14039,0.3150971531867981,proteinbert
233,MYC,gene,,path:hsa04010,-0.680166,0.2849389910697937,proteinbert
234,RPS6KA6,gene,,path:hsa04010,-2.27032,0.280983030796051,proteinbert
235,RPS6KA1,gene,,path:hsa04010,-0.0145563,0.2852957248687744,proteinbert
236,RPS6KA2,gene,,path:hsa04010,0.579583,0.2834199070930481,proteinbert
237,RPS6KA3,gene,,path:hsa04010,0.451063,0.2855808734893799,proteinbert
238,MKNK2,gene,,path:hsa04010,0.0741991,0.2809799611568451,proteinbert
239,MKNK1,gene,,path:hsa04010,0.210818,0.29014360904693604,proteinbert
240,EFNA4-EFNA3,gene,,path:hsa04010,,0.06365569680929184,proteinbert
241,CSF1,gene,,path:hsa04010,0.055175,0.28862062096595764,proteinbert
242,EFNA1,gene,,path:hsa04010,-0.0835823,0.29257628321647644,proteinbert
243,EFNA2,gene,,path:hsa04010,0.140312,0.31403541564941406,proteinbert
244,EFNA3,gene,,path:hsa04010,1.01428,0.32649990916252136,proteinbert
245,EFNA4,gene,,path:hsa04010,0.515339,0.3251984119415283,proteinbert
246,EFNA5,gene,,path:hsa04010,-1.40675,0.29895123839378357,proteinbert
247,EGF,gene,,path:hsa04010,-1.51079,0.3009865880012512,proteinbert
248,EREG,gene,,path:hsa04010,2.1937,0.3238275349140167,proteinbert
249,FGF1,gene,,path:hsa04010,1.4326,0.3238198459148407,proteinbert
250,FGF2,gene,,path:hsa04010,0.712201,0.061240054666996,proteinbert
251,FGF3,gene,,path:hsa04010,0.0648398,0.33808499574661255,proteinbert
252,FGF4,gene,,path:hsa04010,0.0445503,0.32356032729148865,proteinbert
253,FGF5,gene,,path:hsa04010,0.0728579,0.3167584240436554,proteinbert
254,FGF6,gene,,path:hsa04010,-0.0177677,0.3360337018966675,proteinbert
255,FGF7,gene,,path:hsa04010,-1.62033,0.305862694978714,proteinbert
256,FGF8,gene,,path:hsa04010,0.0147234,0.33223801851272583,proteinbert
257,FGF9,gene,,path:hsa04010,-0.258844,0.3152744174003601,proteinbert
258,FGF10,gene,,path:hsa04010,-1.92348,0.308879554271698,proteinbert
259,VEGFD,gene,,path:hsa04010,,0.06365569680929184,proteinbert
260,FLT3LG,gene,,path:hsa04010,-0.0542521,0.33492153882980347,proteinbert
261,FGF20,gene,,path:hsa04010,0.89448,0.3246760368347168,proteinbert
262,FGF21,gene,,path:hsa04010,-0.00271036,0.3164147734642029,proteinbert
263,GDNF,gene,,path:hsa04010,0.211255,0.30370664596557617,proteinbert
264,FGF22,gene,,path:hsa04010,-0.0118982,0.3527977466583252,proteinbert
265,ANGPT1,gene,,path:hsa04010,-0.435111,0.31000640988349915,proteinbert
266,ANGPT2,gene,,path:hsa04010,0.546182,0.30868610739707947,proteinbert
267,HGF,gene,,path:hsa04010,-1.41665,0.07395821809768677,proteinbert
268,IGF1,gene,,path:hsa04010,-1.55866,0.3180570900440216,proteinbert
269,IGF2,gene,,path:hsa04010,-1.00932,0.30967071652412415,proteinbert
270,INS,gene,,path:hsa04010,-0.0397988,0.3321417570114136,proteinbert
271,AREG,gene,,path:hsa04010,1.02876,0.2973688840866089,proteinbert
272,KITLG,gene,,path:hsa04010,-0.363473,0.29029160737991333,proteinbert
273,NGF,gene,,path:hsa04010,0.135368,0.31661349534988403,proteinbert
274,NRTN,gene,,path:hsa04010,0.788385,0.3357490003108978,proteinbert
275,NTF3,gene,,path:hsa04010,-0.233913,0.3037639856338501,proteinbert
276,NTF4,gene,,path:hsa04010,0.136894,0.33008554577827454,proteinbert
277,ANGPT4,gene,,path:hsa04010,-1.19173,0.31149038672447205,proteinbert
278,PDGFA,gene,,path:hsa04010,1.27297,0.29120734333992004,proteinbert
279,PDGFB,gene,,path:hsa04010,0.850601,0.30494198203086853,proteinbert
280,PGF,gene,,path:hsa04010,-1.38452,0.3103650212287903,proteinbert
281,PDGFC,gene,,path:hsa04010,0.672015,0.30477699637413025,proteinbert
282,PSPN,gene,,path:hsa04010,-0.269315,0.362495094537735,proteinbert
283,BDNF,gene,,path:hsa04010,0.0979117,0.07850870490074158,proteinbert
284,TGFA,gene,,path:hsa04010,2.3034,0.3161446452140808,proteinbert
285,VEGFA,gene,,path:hsa04010,-0.610786,0.06408843398094177,proteinbert
286,VEGFB,gene,,path:hsa04010,-0.212938,0.31952211260795593,proteinbert
287,VEGFC,gene,,path:hsa04010,-0.187872,0.295272558927536,proteinbert
288,PDGFD,gene,,path:hsa04010,-0.0104381,0.2963528037071228,proteinbert
289,FGF23,gene,,path:hsa04010,-0.290166,0.3195660710334778,proteinbert
290,FGF18,gene,,path:hsa04010,-0.0143111,0.3080950379371643,proteinbert
291,FGF17,gene,,path:hsa04010,-0.836944,0.32339173555374146,proteinbert
292,FGF16,gene,,path:hsa04010,-0.143424,0.31141626834869385,proteinbert
293,ARTN,gene,,path:hsa04010,0.56589,0.354367196559906,proteinbert
294,FGF19,gene,,path:hsa04010,0.400257,0.31025323271751404,proteinbert
295,TRADD,gene,,path:hsa04010,0.122426,0.3126618266105652,proteinbert
296,MYD88,gene,,path:hsa04010,0.48038,0.29631394147872925,proteinbert
297,IRAK1,gene,,path:hsa04010,-0.567205,0.28859516978263855,proteinbert
298,IRAK4,gene,,path:hsa04010,-0.134117,0.0718751847743988,proteinbert
299,ARAF,gene,,path:hsa04010,-0.110567,0.2929365634918213,proteinbert
300,MIMAT0000430,miR,,,-1.74416,0.06923843175172806,proteinbert
301,MIMAT0002809,miR,,,4.77846,0.07373963296413422,proteinbert
302,MIMAT0000461,miR,,,-1.41384,0.062058042734861374,proteinbert
303,MIMAT0000232,miR,,,-1.43493,0.060166530311107635,proteinbert
304,MIMAT0004563,miR,,,-1.43438,0.060166530311107635,proteinbert
305,MIMAT0000263,miR,,,-2.52597,0.07093719393014908,proteinbert
306,MIMAT0000265,miR,,,-2.92486,0.06787265092134476,proteinbert
307,MIMAT0001413,miR,,,-1.42071,0.06363502144813538,proteinbert
308,MIMAT0000076,miR,,,1.4834,0.06853257119655609,proteinbert
309,MIMAT0000271,miR,,,-1.42539,0.06140097975730896,proteinbert
310,MIMAT0000278,miR,,,2.87209,0.06776617467403412,proteinbert
311,MIMAT0000279,miR,,,2.66827,0.06656065583229065,proteinbert
312,MIMAT0004501,miR,,,-1.40305,0.07179790735244751,proteinbert
313,MIMAT0000089,miR,,,1.49095,0.06869281083345413,proteinbert
314,MIMAT0000255,miR,,,1.91218,0.06439097970724106,proteinbert
315,MIMAT0003322,miR,,,-1.42782,0.06948280334472656,proteinbert
316,MIMAT0000252,miR,,,-2.56718,0.06965997815132141,proteinbert
317,MIMAT0000441,miR,,,-2.30199,0.06459920853376389,proteinbert
318,RASGRF_f,functional_unit,OR,path:hsa04010,,0.276211142539978,proteinbert
319,DUSPs_f,functional_unit,OR,path:hsa04010,,0.2772163152694702,proteinbert
320,MAPKReg_f,functional_unit,OR,path:hsa04010,,0.2864384651184082,proteinbert
321,PPM1B_f,functional_unit,SINGLE,path:hsa04010,,0.26370522379875183,proteinbert
322,FASLG_f,functional_unit,SINGLE,path:hsa04010,,0.27862367033958435,proteinbert
323,MAP4K4_f,functional_unit,SINGLE,path:hsa04010,,0.25153374671936035,proteinbert
324,PLA2G4_f,functional_unit,OR,path:hsa04010,,0.2415400743484497,proteinbert
325,STMN1_f,functional_unit,SINGLE,path:hsa04010,,0.13521531224250793,proteinbert
326,MAPT_f,functional_unit,SINGLE,path:hsa04010,,0.208805650472641,proteinbert
327,NFKB_f,functional_unit,OR,path:hsa04010,,0.20588310062885284,proteinbert
328,IKK_f,functional_unit,OR,path:hsa04010,,0.21177640557289124,proteinbert
329,MAP3K14_f,functional_unit,SINGLE,path:hsa04010,,0.2253882735967636,proteinbert
330,MAPK1_3_f,functional_unit,OR,path:hsa04010,,0.22481371462345123,proteinbert
331,LAMTOR3_f,functional_unit,SINGLE,path:hsa04010,,0.09730322659015656,proteinbert
332,MAP2K2_f,functional_unit,SINGLE,path:hsa04010,,0.1707819551229477,proteinbert
333,MAP2K1_f,functional_unit,SINGLE,path:hsa04010,,0.17045623064041138,proteinbert
334,RAF1_f,functional_unit,SINGLE,path:hsa04010,,0.23542754352092743,proteinbert
335,BRAF_f,functional_unit,SINGLE,path:hsa04010,,0.2242226004600525,proteinbert
336,RASA1_f,functional_unit,SINGLE,path:hsa04010,,0.10887102037668228,proteinbert
337,NF1_f,functional_unit,SINGLE,path:hsa04010,,0.2592582404613495,proteinbert
338,PKC_f,functional_unit,OR,path:hsa04010,,0.2848518192768097,proteinbert
339,RAP1_f,functional_unit,OR,path:hsa04010,,0.28429722785949707,proteinbert
340,PKA_f,functional_unit,OR,path:hsa04010,,0.28660354018211365,proteinbert
341,RAPGEF2_f,functional_unit,SINGLE,path:hsa04010,,0.25459033250808716,proteinbert
