#node	identifier	node_degree
CCL5	9606.ENSP00000474412	4
CCT5	9606.ENSP00000280326	4
CD33	9606.ENSP00000262262	1
CD36	9606.ENSP00000415743	5
CD93	9606.ENSP00000246006	0
CDC45	9606.ENSP00000405726	18
CDC6	9606.ENSP00000209728	10
CDC7	9606.ENSP00000393139	10
CDCA7	9606.ENSP00000306968	0
CDH2	9606.ENSP00000269141	5
CDH9	9606.ENSP00000231021	1
CDKN1A	9606.ENSP00000384849	11
CDKN1B	9606.ENSP00000228872	6
CEBPB	9606.ENSP00000305422	1
CEMIP2	9606.ENSP00000366243	0
CENPJ	9606.ENSP00000371308	3
CENPK	9606.ENSP00000379911	2
CENPU	9606.ENSP00000281453	4
CFH	9606.ENSP00000356399	3
CHEK1	9606.ENSP00000391090	6
CHMP1B	9606.ENSP00000432279	1
CHRDL1	9606.ENSP00000361112	0
CLU	9606.ENSP00000315130	3
CNTN1	9606.ENSP00000447006	1
COPG1	9606.ENSP00000325002	0
CORO1A	9606.ENSP00000219150	0
COX7B	9606.ENSP00000497474	1
CPA3	9606.ENSP00000296046	0
CPSF2	9606.ENSP00000298875	0
CR1	9606.ENSP00000356016	0
CRHBP	9606.ENSP00000274368	0
CRIM1	9606.ENSP00000280527	0
CSRNP1	9606.ENSP00000273153	0
CTSC	9606.ENSP00000227266	1
CXCL2	9606.ENSP00000427279	3
CXCR4	9606.ENSP00000386884	6
CXorf21	9606.ENSP00000368245	0
CXorf40A	9606.ENSP00000423099	0
CYBRD1	9606.ENSP00000319141	0
CYP2R1	9606.ENSP00000334592	0
CYTH4	9606.ENSP00000248901	0
DCAF12	9606.ENSP00000355114	3
DCLRE1C	9606.ENSP00000367527	2
DCSTAMP	9606.ENSP00000297581	0
DCUN1D5	9606.ENSP00000260247	1
DEPP1	9606.ENSP00000298295	0
DHCR24	9606.ENSP00000360316	2
DHCR7	9606.ENSP00000347717	1
DHFR	9606.ENSP00000396308	1
DLAT	9606.ENSP00000280346	1
DLK1	9606.ENSP00000340292	1
DNA2	9606.ENSP00000351185	13
DNAJC12	9606.ENSP00000225171	0
DNM3	9606.ENSP00000347457	1
DPP10	9606.ENSP00000376855	0
DPP4	9606.ENSP00000353731	4
DPYSL3	9606.ENSP00000343690	2
DSEL	9606.ENSP00000310565	0
DSN1	9606.ENSP00000389810	2
DTL	9606.ENSP00000355958	8
DUSP6	9606.ENSP00000279488	0
ECE1	9606.ENSP00000364028	0
EFCAB2	9606.ENSP00000355480	0
EFNB2	9606.ENSP00000493716	0
EGR3	9606.ENSP00000318057	1
EIPR1	9606.ENSP00000381652	1
ELL2	9606.ENSP00000237853	0
ELOVL1	9606.ENSP00000477602	0
ELOVL6	9606.ENSP00000378105	2
EMCN	9606.ENSP00000296420	0
EMP1	9606.ENSP00000256951	2
EPB41L3	9606.ENSP00000343158	2
ERAL1	9606.ENSP00000254928	1
ERI1	9606.ENSP00000250263	0
ESCO2	9606.ENSP00000306999	2
ETV3	9606.ENSP00000357175	0
FADS1	9606.ENSP00000322229	1
FADS2	9606.ENSP00000278840	0
FAM111B	9606.ENSP00000341565	0
FAM118B	9606.ENSP00000433343	0
FAM83A	9606.ENSP00000428876	0
FANCI	9606.ENSP00000310842	5
FAT4	9606.ENSP00000377862	0
FBXO5	9606.ENSP00000229758	0
FCER1G	9606.ENSP00000289902	2
FCGR2A	9606.ENSP00000271450	1
FGF9	9606.ENSP00000371790	2
FIGN	9606.ENSP00000333836	0
FKBP4	9606.ENSP00000001008	1
FLT3	9606.ENSP00000241453	1
FOSL1	9606.ENSP00000310170	1
FRY	9606.ENSP00000445043	0
FZD3	9606.ENSP00000240093	0
GABARAPL1	9606.ENSP00000411256	2
GAS2	9606.ENSP00000401145	0
GASK1B	9606.ENSP00000377396	0
GCNT1	9606.ENSP00000415454	0
GINS1	9606.ENSP00000262460	10
GINS2	9606.ENSP00000253462	10
GLI2	9606.ENSP00000390436	1
GLIPR2	9606.ENSP00000367196	0
GMNN	9606.ENSP00000230056	3
GMPR	9606.ENSP00000259727	0
GNPTAB	9606.ENSP00000299314	0
GP1BA	9606.ENSP00000329380	3
GPR132	9606.ENSP00000328818	0
