source,target,type,subtype,final_layer_mean_attn,final_layer_max_attn
MAP3K20,fu:8ce177b4,gene_to_fu,,1.0,1.0
MAP3K12,fu:1ee1c600,gene_to_fu,,0.5,0.5
MAP3K13,fu:1ee1c600,gene_to_fu,,0.5,0.5
MAP3K9,fu:e7b77b07,gene_to_fu,,0.3333333432674408,0.3333333432674408
MAP3K10,fu:e7b77b07,gene_to_fu,,0.3333333432674408,0.3333333432674408
MAP3K21,fu:e7b77b07,gene_to_fu,,0.3333333432674408,0.3333333432674408
MAP4K2,fu:b8f9f795,gene_to_fu,,0.500026285648346,0.5007786154747009
STK3,fu:b9db94ef,gene_to_fu,,0.3332982659339905,0.33361202478408813
STK4,fu:b9db94ef,gene_to_fu,,0.3332982659339905,0.33361202478408813
ECSIT,fu:3285e573,gene_to_fu,,1.0,1.0
TAB2,fu:545ebf7d,gene_to_fu,,1.0,1.0
TAB1,fu:d7d24a4c,gene_to_fu,,0.2500304579734802,0.2506229877471924
GADD45G,fu:41822415,gene_to_fu,,0.3333333432674408,0.3333333432674408
GADD45A,fu:41822415,gene_to_fu,,0.3333333432674408,0.3333333432674408
GADD45B,fu:41822415,gene_to_fu,,0.3333333432674408,0.3333333432674408
TRAF6,fu:4d346bcc,gene_to_fu,,0.2502683997154236,0.25066128373146057
DAXX,fu:02465256,gene_to_fu,,0.33349525928497314,0.33469927310943604
TRAF2,fu:af1b2d2f,gene_to_fu,,0.500324547290802,0.5007429718971252
CASP3,fu:eda4acea,gene_to_fu,,0.500324547290802,0.5007429718971252
CD14,fu:cec976f1,gene_to_fu,,1.0,1.0
TGFBR1,fu:e1dd59a5,gene_to_fu,,0.3334834575653076,0.33380526304244995
TGFBR2,fu:e1dd59a5,gene_to_fu,,0.3334834575653076,0.33380526304244995
FAS,fu:12950895,gene_to_fu,,0.5002920031547546,0.500878632068634
IL1R1,fu:9274968e,gene_to_fu,,0.33341020345687866,0.3335740566253662
IL1RAP,fu:9274968e,gene_to_fu,,0.33341020345687866,0.3335740566253662
TNFRSF1A,fu:cb1c88d1,gene_to_fu,,0.5002415776252747,0.5008813142776489
TGFB1,fu:619d8916,gene_to_fu,,0.3333333432674408,0.3333333432674408
TGFB2,fu:619d8916,gene_to_fu,,0.3333333432674408,0.3333333432674408
TGFB3,fu:619d8916,gene_to_fu,,0.3333333432674408,0.3333333432674408
IL1A,fu:5b3ce1d9,gene_to_fu,,0.5,0.5
IL1B,fu:5b3ce1d9,gene_to_fu,,0.5,0.5
TNF,fu:93677f06,gene_to_fu,,1.0,1.0
MAPKAPK5,fu:9ac97dd2,gene_to_fu,,0.5001903772354126,0.5009303092956543
RAC1,fu:e2794b69,gene_to_fu,,0.25,0.25
RAC2,fu:e2794b69,gene_to_fu,,0.25,0.25
RAC3,fu:e2794b69,gene_to_fu,,0.25,0.25
CDC42,fu:e2794b69,gene_to_fu,,0.25,0.25
PAK1,fu:9a263ecd,gene_to_fu,,0.25005394220352173,0.25020259618759155
PAK2,fu:9a263ecd,gene_to_fu,,0.25005394220352173,0.25020259618759155
MAP3K2,fu:6dc0c7f6,gene_to_fu,,0.3334774672985077,0.3338300287723541
MAP3K3,fu:6dc0c7f6,gene_to_fu,,0.3334774672985077,0.3338300287723541
MAPK8IP2,fu:92589075,gene_to_fu,,0.5,0.5
MAPK8IP1,fu:92589075,gene_to_fu,,0.5,0.5
MAP3K11,fu:28d07664,gene_to_fu,,0.33375078439712524,0.33417725563049316
MAP2K7,fu:66672553,gene_to_fu,,0.1430303454399109,0.14321692287921906
MAPK8,fu:fefb3eac,gene_to_fu,,0.10007885843515396,0.10018488764762878
MAPK9,fu:fefb3eac,gene_to_fu,,0.10007885843515396,0.10018488764762878
MAPK10,fu:fefb3eac,gene_to_fu,,0.10007885843515396,0.10018488764762878
MAP2K4,fu:d7921de4,gene_to_fu,,0.25033414363861084,0.2507118880748749
CRK,fu:5d3f8d6d,gene_to_fu,,0.25009363889694214,0.25049328804016113
CRKL,fu:5d3f8d6d,gene_to_fu,,0.25009363889694214,0.25049328804016113
ARRB1,fu:05519816,gene_to_fu,,0.33338379859924316,0.33375653624534607
ARRB2,fu:05519816,gene_to_fu,,0.33338379859924316,0.33375653624534607
MECOM,fu:6a22a160,gene_to_fu,,1.0,1.0
HSPA1A,fu:5fff24cf,gene_to_fu,,0.20000000298023224,0.20000000298023224
HSPA1B,fu:5fff24cf,gene_to_fu,,0.20000000298023224,0.20000000298023224
HSPA1L,fu:5fff24cf,gene_to_fu,,0.20000000298023224,0.20000000298023224
HSPA6,fu:5fff24cf,gene_to_fu,,0.20000000298023224,0.20000000298023224
HSPA8,fu:5fff24cf,gene_to_fu,,0.20000000298023224,0.20000000298023224
JUND,fu:f5686479,gene_to_fu,,0.5002174377441406,0.5009821653366089
FOS,fu:1b813b45,gene_to_fu,,0.33340418338775635,0.33375880122184753
JUN,fu:1b813b45,gene_to_fu,,0.33340418338775635,0.33375880122184753
NFATC3,fu:55bfa81d,gene_to_fu,,0.33363571763038635,0.3341060280799866
NFATC1,fu:73b76124,gene_to_fu,,0.33363571763038635,0.3341059982776642
PPP3CA,fu:ff2e7a0f,gene_to_fu,,0.20000000298023224,0.20000000298023224
PPP3CB,fu:ff2e7a0f,gene_to_fu,,0.20000000298023224,0.20000000298023224
PPP3CC,fu:ff2e7a0f,gene_to_fu,,0.20000000298023224,0.20000000298023224
PPP3R1,fu:ff2e7a0f,gene_to_fu,,0.20000000298023224,0.20000000298023224
PPP3R2,fu:ff2e7a0f,gene_to_fu,,0.20000000298023224,0.20000000298023224
MAPK8IP3,fu:be5424aa,gene_to_fu,,0.20020169019699097,0.2007259726524353
FLNA,fu:d00c086a,gene_to_fu,,0.5001439452171326,0.5008763670921326
MAP3K1,fu:210acb65,gene_to_fu,,0.1251004934310913,0.12527398765087128
MAP3K8,fu:eadbb23d,gene_to_fu,,1.0,1.0
MAP4K1,fu:c7fdd986,gene_to_fu,,0.5001729726791382,0.5005418062210083
MAP4K3,fu:d0d79cd1,gene_to_fu,,1.0,1.0
FOS,fu:5926e68e,gene_to_fu,,0.5003443956375122,0.5010882019996643
SRF,fu:dc542d4d,gene_to_fu,,1.0,1.0
MYC,fu:fc6a389a,gene_to_fu,,1.0,1.0
ELK4,fu:f449b983,gene_to_fu,,0.33361923694610596,0.3341189920902252
ELK1,fu:7b593a5c,gene_to_fu,,0.33361923694610596,0.3341189920902252
ATF4,fu:f64183b7,gene_to_fu,,0.3336402475833893,0.3339207172393799
RPS6KA6,fu:99084968,gene_to_fu,,0.20000731945037842,0.20011146366596222
RPS6KA1,fu:99084968,gene_to_fu,,0.20000731945037842,0.20011146366596222
RPS6KA2,fu:99084968,gene_to_fu,,0.20000731945037842,0.20011146366596222
RPS6KA3,fu:99084968,gene_to_fu,,0.20000731945037842,0.20011146366596222
MKNK2,fu:642e62d6,gene_to_fu,,0.33335304260253906,0.3335929214954376
MKNK1,fu:642e62d6,gene_to_fu,,0.33335304260253906,0.3335929214954376
EFNA4-EFNA3,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
CSF1,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
EFNA1,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
EFNA2,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
EFNA3,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
EFNA4,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
EFNA5,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
EGF,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
EREG,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF1,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF2,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF3,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF4,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF5,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF6,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF7,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF8,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF9,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF10,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
VEGFD,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FLT3LG,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF20,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF21,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
GDNF,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF22,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
ANGPT1,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
ANGPT2,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
HGF,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
IGF1,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
IGF2,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
INS,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
AREG,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
KITLG,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
NGF,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
NRTN,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
NTF3,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
NTF4,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
ANGPT4,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
PDGFA,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
PDGFB,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
PGF,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
PDGFC,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
PSPN,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
BDNF,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
TGFA,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
VEGFA,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
VEGFB,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
VEGFC,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
PDGFD,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF23,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF18,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF17,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF16,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
ARTN,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
FGF19,fu:0d329cca,gene_to_fu,,0.0181818176060915,0.0181818176060915
TRADD,fu:fd78464d,gene_to_fu,,0.49993112683296204,0.5010048747062683
MYD88,fu:c2e0c4ae,gene_to_fu,,0.5004938244819641,0.5013952255249023
IRAK1,fu:622bda7f,gene_to_fu,,0.3334581255912781,0.3337306082248688
IRAK4,fu:622bda7f,gene_to_fu,,0.3334581255912781,0.3337306082248688
ARAF,fu:d0ad993a,gene_to_fu,,0.500198483467102,0.501005232334137
MAX,fu:0b389115,gene_to_fu,,1.0,1.0
MYC,fu:8f8c2fbf,gene_to_fu,,0.33335497975349426,0.3336445093154907
MAX,fu:8f8c2fbf,gene_to_fu,,0.33335497975349426,0.3336445093154907
SRF,fu:839c82c3,gene_to_fu,,0.3333333432674408,0.3333333432674408
