Ensembl.ID,Gene_name,log2FoldChange,padj
ENSG00000020577,SAMD4A,-0.791836481,0.000534911
ENSG00000168056,LTBP3,-0.793322012,0.001822674
ENSG00000134294,SLC38A2,-0.794000688,0.001055792
ENSG00000139651,ZNF740,-0.796094675,0.012224287
ENSG00000023572,GLRX2,-0.798698746,0.000302885
ENSG00000157193,LRP8,-0.802929437,0.025715858
ENSG00000163794,UCN,-0.804889451,0.001797989
ENSG00000099999,RNF215,-0.807822628,0.03961389
ENSG00000145555,MYO10,-0.813238679,0.002093778
ENSG00000051108,HERPUD1,-0.814454891,0.00031269
ENSG00000089048,ESF1,-0.81493946,0.004551833
ENSG00000156603,MED19,-0.815269596,0.003058524
ENSG00000164920,OSR2,-0.818694988,0.015222436
ENSG00000129484,PARP2,-0.82017004,0.020296181
ENSG00000106080,FKBP14,-0.822610439,0.015027707
ENSG00000188735,TMEM120B,-0.823763433,0.032359795
ENSG00000130649,CYP2E1,-0.826407946,0.036473979
ENSG00000096093,EFHC1,-0.829685992,0.030736677
ENSG00000126457,PRMT1,-0.830255262,0.001167151
ENSG00000125733,TRIP10,-0.835623785,0.015441183
ENSG00000078699,CBFA2T2,-0.835672269,0.0207735
ENSG00000176142,TMEM39A,-0.845003195,0.000386604
ENSG00000049247,UTS2,-0.845334334,0.011983063
ENSG00000166471,TMEM41B,-0.851059936,0.015503905
ENSG00000156042,CFAP70,-0.851610456,0.024737338
ENSG00000160789,LMNA,-0.854104957,0.008646327
ENSG00000166886,NAB2,-0.854635197,4.18E-06
ENSG00000094916,CBX5,-0.856366643,0.017781262
ENSG00000170396,ZNF804A,-0.859428339,0.015597816
ENSG00000106089,STX1A,-0.860404392,0.028721636
ENSG00000170049,KCNAB3,-0.860911594,0.000124937
ENSG00000074266,EED,-0.861157888,0.012211293
ENSG00000173926,MARCHF3,-0.861938399,0.017461395
ENSG00000180340,FZD2,-0.864425906,0.015878703
ENSG00000126947,ARMCX1,-0.86600381,0.028675201
ENSG00000213190,MLLT11,-0.866182029,0.049035869
ENSG00000081026,MAGI3,-0.868129185,0.035294769
ENSG00000144026,ZNF514,-0.868558602,0.012665263
ENSG00000164284,GRPEL2,-0.869402364,0.021912212
ENSG00000165819,METTL3,-0.870778834,0.027664234
ENSG00000163584,RPL22L1,-0.872162415,3.11E-06
ENSG00000108828,VAT1,-0.873230087,3.14E-06
ENSG00000274211,SOCS7,-0.875761316,0.001412689
ENSG00000166321,NUDT13,-0.876457355,0.042341269
ENSG00000136068,FLNB,-0.876917404,0.025743256
ENSG00000100804,PSMB5,-0.886369487,0.002235783
ENSG00000126351,THRA,-0.887510559,0.000351935
ENSG00000105926,PALS2,-0.889706717,0.000185551
ENSG00000131773,KHDRBS3,-0.890212117,0.020314298
ENSG00000085662,AKR1B1,-0.891002423,0.000312618
ENSG00000139974,SLC38A6,-0.892866859,3.12E-06
ENSG00000122729,ACO1,-0.893277891,0.000985296
ENSG00000124789,NUP153,-0.894622008,0.000198654
ENSG00000106993,CDC37L1,-0.898730853,0.018009202
ENSG00000169607,CKAP2L,-0.898877642,0.000178043
ENSG00000119927,GPAM,-0.900572871,0.009558672
ENSG00000254536,ENSG00000254536,-0.900885431,0.004167439
ENSG00000154153,RETREG1,-0.901055129,0.005403222
ENSG00000116133,DHCR24,-0.903113891,0.009024902
ENSG00000149428,HYOU1,-0.903138423,0.000841291
ENSG00000163938,GNL3,-0.906074102,0.000319947
ENSG00000173511,VEGFB,-0.909449662,0.015585641
ENSG00000178878,APOLD1,-0.909762837,0.037492027
ENSG00000180447,GAS1,-0.909968487,0.001593469
ENSG00000036530,CYP46A1,-0.911472372,0.002067752
ENSG00000141458,NPC1,-0.91347448,0.007374799
ENSG00000198855,FICD,-0.915051118,0.001138731
ENSG00000165804,ZNF219,-0.916501859,0.001279922
ENSG00000117569,PTBP2,-0.919094674,0.000248011
ENSG00000198832,SELENOM,-0.92102857,0.00893632
ENSG00000076043,REXO2,-0.924913963,0.004942726
ENSG00000079691,CARMIL1,-0.928473829,0.007116964
ENSG00000177034,MTX3,-0.929966291,0.007068242
ENSG00000140939,NOL3,-0.936803953,0.034455318
ENSG00000162433,AK4,-0.939044125,0.003078838
ENSG00000135631,RAB11FIP5,-0.941734093,0.033836713
ENSG00000154640,BTG3,-0.941949834,5.84E-05
ENSG00000156011,PSD3,-0.949672226,0.004058132
ENSG00000198792,TMEM184B,-0.951655788,7.58E-05
ENSG00000125657,TNFSF9,-0.952154957,0.024167548
ENSG00000165209,STRBP,-0.956194181,0.001279922
ENSG00000134369,NAV1,-0.958072692,0.000913738
ENSG00000122642,FKBP9,-0.959557607,0.002069671
ENSG00000161714,PLCD3,-0.959804886,0.011068814
ENSG00000099250,NRP1,-0.961214186,0.027258727
ENSG00000221926,TRIM16,-0.962445356,0.028456427
ENSG00000276023,DUSP14,-0.962877218,0.002105794
ENSG00000144283,PKP4,-0.963027304,0.001515827
ENSG00000179218,CALR,-0.963514417,1.37E-06
ENSG00000160781,PAQR6,-0.963941712,0.003098088
ENSG00000109775,UFSP2,-0.965999721,0.001202793
ENSG00000119787,ATL2,-0.966230899,8.00E-05
ENSG00000165948,IFI27L1,-0.968252797,0.002294028
ENSG00000278619,MRM1,-0.971486339,0.040068855
ENSG00000115170,ACVR1,-0.972725872,0.001091293
ENSG00000119650,IFT43,-0.976195754,0.000976383
ENSG00000132781,MUTYH,-0.978603141,0.020193031
ENSG00000138942,RNF185,-0.98328363,0.001398018
ENSG00000184371,CSF1,-0.989244262,4.72E-08
ENSG00000150281,CTF1,-0.990212188,0.002800355
ENSG00000137941,TTLL7,-0.991261342,0.018674416
ENSG00000170509,HSD17B13,-0.995731356,0.017952748
ENSG00000116212,LRRC42,-0.996696308,0.000789686
ENSG00000064652,SNX24,-0.997533107,0.001512621
ENSG00000134668,SPOCD1,-0.998902291,0.045020558
ENSG00000166598,HSP90B1,-0.99956459,6.83E-06
ENSG00000135749,PCNX2,-0.999619394,0.01463414
ENSG00000177732,SOX12,-1.001210077,0.000788738
ENSG00000130208,APOC1,-1.002793735,0.03419925
ENSG00000139793,MBNL2,-1.00542045,3.66E-05
ENSG00000169902,TPST1,-1.007031741,0.022245008
ENSG00000067191,CACNB1,-1.00721368,0.011269215
ENSG00000110171,TRIM3,-1.009324941,0.031631062
ENSG00000166016,ABTB2,-1.010545939,0.033900028
ENSG00000147650,LRP12,-1.013893859,0.000100304
ENSG00000134531,EMP1,-1.014009378,1.08E-05
ENSG00000196465,MYL6B,-1.014666517,0.000207921
ENSG00000004975,DVL2,-1.016817336,0.001160985
ENSG00000182389,CACNB4,-1.020121913,0.005839349
ENSG00000138442,WDR12,-1.020947323,0.002693538
ENSG00000100526,CDKN3,-1.021541211,0.015216624
ENSG00000181458,TMEM45A,-1.023911989,0.047057158
ENSG00000101400,SNTA1,-1.024129892,0.006747786
ENSG00000160062,ZBTB8A,-1.027716222,0.040948666
ENSG00000108924,HLF,-1.029591002,0.043464337
ENSG00000145390,USP53,-1.031978969,0.00589501
ENSG00000124787,RPP40,-1.031991731,0.024930778
ENSG00000179532,DNHD1,-1.034110953,0.000331786
ENSG00000049759,NEDD4L,-1.035199394,1.05E-05
ENSG00000146733,PSPH,-1.03679663,0.013284312
ENSG00000151914,DST,-1.036918116,9.63E-05
ENSG00000107821,KAZALD1,-1.037600027,0.004443868
ENSG00000134278,SPIRE1,-1.037754449,0.002629689
ENSG00000159335,PTMS,-1.040212158,0.000555321
ENSG00000198380,GFPT1,-1.041836091,0.000669684
ENSG00000100350,FOXRED2,-1.042462967,0.007842003
ENSG00000213139,CRYGS,-1.048268575,0.022493288
ENSG00000197879,MYO1C,-1.048400808,0.000801823
ENSG00000232593,KANTR,-1.049352929,0.001509961
ENSG00000176890,TYMS,-1.049397153,0.014981536
ENSG00000176834,VSIG10,-1.049497983,0.006942247
ENSG00000188706,ZDHHC9,-1.053688639,1.25E-05
ENSG00000132680,KHDC4,-1.054133039,0.003638674
ENSG00000197063,MAFG,-1.05642524,8.31E-06
ENSG00000106366,SERPINE1,-1.058202564,0.01271751
ENSG00000154917,RAB6B,-1.060550002,0.046035567
ENSG00000246922,UBAP1L,-1.061876184,0.021986912
ENSG00000104290,FZD3,-1.061889303,0.010889228
ENSG00000161800,RACGAP1,-1.062438133,0.023110944
ENSG00000163435,ELF3,-1.062633129,0.003971574
ENSG00000152556,PFKM,-1.063981148,0.014177961
ENSG00000155970,MICU3,-1.064282749,0.007552871
ENSG00000105576,TNPO2,-1.070172756,0.002941832
ENSG00000169231,THBS3,-1.072113158,0.00073047
ENSG00000213923,CSNK1E,-1.074480168,8.33E-05
ENSG00000156026,MCU,-1.077119523,0.000450098
ENSG00000132640,BTBD3,-1.078751617,0.000159939
