Ensembl.ID,Gene_name,log2FoldChange,padj
ENSG00000137819,PAQR5,-4.123414885,0.014733336
ENSG00000137273,FOXF2,-4.127578709,0.043447933
ENSG00000133083,DCLK1,-4.127583173,0.014112044
ENSG00000109610,SOD3,-4.158930931,0.000324472
ENSG00000182963,GJC1,-4.164044389,0.005427314
ENSG00000039560,RAI14,-4.170683667,9.23E-07
ENSG00000147614,ATP6V0D2,-4.176666058,2.62E-05
ENSG00000168938,PPIC,-4.183049767,0.014807795
ENSG00000156103,MMP16,-4.275807369,0.001076821
ENSG00000198768,APCDD1L,-4.28388907,0.047462163
ENSG00000099194,SCD,-4.306054567,2.51E-22
ENSG00000074410,CA12,-4.315976641,0.01261309
ENSG00000175745,NR2F1,-4.388066757,0.014177961
ENSG00000105894,PTN,-4.40301916,0.018179956
ENSG00000182916,TCEAL7,-4.429603588,0.011730493
ENSG00000166250,CLMP,-4.444448323,1.91E-06
ENSG00000091656,ZFHX4,-4.452751635,0.025441601
ENSG00000166923,GREM1,-4.491037873,0.007621923
ENSG00000204334,ERICH2,-4.583683179,0.033658511
ENSG00000172380,GNG12,-4.595887123,0.002330457
ENSG00000141756,FKBP10,-4.642970246,0.000370242
ENSG00000152661,GJA1,-4.656734434,0.013196249
ENSG00000131711,MAP1B,-4.66965478,4.56E-12
ENSG00000005884,ITGA3,-4.777414823,2.82E-14
ENSG00000057019,DCBLD2,-4.807456617,1.34E-18
ENSG00000159167,STC1,-4.844642866,0.020498165
ENSG00000184347,SLIT3,-4.84750044,0.027859945
ENSG00000134138,MEIS2,-4.862966439,2.52E-05
ENSG00000164647,STEAP1,-4.934089028,0.00038259
ENSG00000007372,PAX6,-5.008302407,0.015915305
ENSG00000177363,LRRN4CL,-5.038108399,0.002331405
ENSG00000075643,MOCOS,-5.074095172,4.17E-10
ENSG00000104067,TJP1,-5.089836091,0.000296014
ENSG00000104611,SH2D4A,-5.100720643,2.14E-05
ENSG00000205364,MT1M,-5.333797008,0.003583146
ENSG00000171017,LRRC8E,-5.550147146,0.000436152
ENSG00000162733,DDR2,-5.67503358,1.23E-10
ENSG00000118946,PCDH17,-5.705463681,5.02E-08
ENSG00000146648,EGFR,-5.708585338,0.04667811
ENSG00000174938,SEZ6L2,-5.734227973,5.65E-06
ENSG00000128591,FLNC,-5.793721398,0.01842773
ENSG00000100344,PNPLA3,-5.926278553,6.32E-05
ENSG00000118785,SPP1,-5.961625152,9.69E-07
ENSG00000224982,TMEM233,-5.978604494,2.77E-07
ENSG00000087245,MMP2,-6.006542911,2.72E-08
ENSG00000115648,MLPH,-6.042773953,0.007381155
ENSG00000113594,LIFR,-6.146505448,0.00820629
ENSG00000164294,GPX8,-6.386664105,0.010407427
ENSG00000144366,GULP1,-6.394289309,0.008471231
ENSG00000092607,TBX15,-6.772615521,0.003320683
ENSG00000188643,S100A16,-6.791933315,0.000473354
ENSG00000140945,CDH13,-6.820331248,0.001250676
ENSG00000154277,UCHL1,-6.883432885,3.68E-13
ENSG00000214575,CPEB1,-6.917750381,0.000222235
ENSG00000115963,RND3,-7.101401654,7.85E-05
ENSG00000182752,PAPPA,-7.108594199,1.49E-05
ENSG00000185567,AHNAK2,-7.266606438,1.69E-05
ENSG00000169213,RAB3B,-7.360638056,1.79E-05
ENSG00000116132,PRRX1,-8.452208961,0.000409074
ENSG00000166173,LARP6,-8.603596104,1.32E-05
ENSG00000204442,NALF1,-9.108436528,0.027096121
