source,target,source_label,target_label,type,subtype
hsa:5871,fu:b9cd5da1,MAP4K2,fu:b9cd5da1,gene_to_fu,
hsa:6788,fu:6ad9125c,STK3,fu:6ad9125c,gene_to_fu,
hsa:6789,fu:6ad9125c,STK4,fu:6ad9125c,gene_to_fu,
hsa:51295,fu:abef13f0,ECSIT,fu:abef13f0,gene_to_fu,
hsa:23118,fu:50e477cd,TAB2,fu:50e477cd,gene_to_fu,
hsa:10454,fu:6b042d75,TAB1,fu:6b042d75,gene_to_fu,
hsa:10912,fu:18257a1a,GADD45G,fu:18257a1a,gene_to_fu,
hsa:1647,fu:18257a1a,GADD45A,fu:18257a1a,gene_to_fu,
hsa:4616,fu:18257a1a,GADD45B,fu:18257a1a,gene_to_fu,
hsa:7189,fu:380a8c9c,TRAF6,fu:380a8c9c,gene_to_fu,
hsa:1616,fu:c52cf97a,DAXX,fu:c52cf97a,gene_to_fu,
hsa:7186,fu:efd88231,TRAF2,fu:efd88231,gene_to_fu,
hsa:836,fu:aea2f6ea,CASP3,fu:aea2f6ea,gene_to_fu,
hsa:929,fu:925491b4,CD14,fu:925491b4,gene_to_fu,
hsa:7046,fu:b35242a6,TGFBR1,fu:b35242a6,gene_to_fu,
hsa:7048,fu:b35242a6,TGFBR2,fu:b35242a6,gene_to_fu,
hsa:355,fu:1520c439,FAS,fu:1520c439,gene_to_fu,
hsa:3554,fu:6d9f19be,IL1R1,fu:6d9f19be,gene_to_fu,
hsa:3556,fu:6d9f19be,IL1RAP,fu:6d9f19be,gene_to_fu,
hsa:7132,fu:7c5dbbe7,TNFRSF1A,fu:7c5dbbe7,gene_to_fu,
hsa:7040,fu:868fd6f8,TGFB1,fu:868fd6f8,gene_to_fu,
hsa:7042,fu:868fd6f8,TGFB2,fu:868fd6f8,gene_to_fu,
hsa:7043,fu:868fd6f8,TGFB3,fu:868fd6f8,gene_to_fu,
hsa:3552,fu:89eef994,IL1A,fu:89eef994,gene_to_fu,
hsa:3553,fu:89eef994,IL1B,fu:89eef994,gene_to_fu,
hsa:7124,fu:38d52bc5,TNF,fu:38d52bc5,gene_to_fu,
hsa:8550,fu:bcd1d489,MAPKAPK5,fu:bcd1d489,gene_to_fu,
hsa:5879,fu:7580441c,RAC1,fu:7580441c,gene_to_fu,
hsa:5880,fu:7580441c,RAC2,fu:7580441c,gene_to_fu,
hsa:5881,fu:7580441c,RAC3,fu:7580441c,gene_to_fu,
hsa:998,fu:7580441c,CDC42,fu:7580441c,gene_to_fu,
hsa:5058,fu:5e377e3f,PAK1,fu:5e377e3f,gene_to_fu,
hsa:5062,fu:5e377e3f,PAK2,fu:5e377e3f,gene_to_fu,
hsa:10746,fu:b9a4e385,MAP3K2,fu:b9a4e385,gene_to_fu,
hsa:4215,fu:b9a4e385,MAP3K3,fu:b9a4e385,gene_to_fu,
hsa:23542,fu:6fe4014e,MAPK8IP2,fu:6fe4014e,gene_to_fu,
hsa:9479,fu:6fe4014e,MAPK8IP1,fu:6fe4014e,gene_to_fu,
hsa:4296,fu:85decfaf,MAP3K11,fu:85decfaf,gene_to_fu,
hsa:5609,fu:dd256444,MAP2K7,fu:dd256444,gene_to_fu,
hsa:5599,fu:53b10c28,MAPK8,fu:53b10c28,gene_to_fu,
hsa:5601,fu:53b10c28,MAPK9,fu:53b10c28,gene_to_fu,
hsa:5602,fu:53b10c28,MAPK10,fu:53b10c28,gene_to_fu,
hsa:6416,fu:41179064,MAP2K4,fu:41179064,gene_to_fu,
hsa:1398,fu:42c68f20,CRK,fu:42c68f20,gene_to_fu,
hsa:1399,fu:42c68f20,CRKL,fu:42c68f20,gene_to_fu,
hsa:408,fu:d07d8b68,ARRB1,fu:d07d8b68,gene_to_fu,
hsa:409,fu:d07d8b68,ARRB2,fu:d07d8b68,gene_to_fu,
hsa:2122,fu:29014263,MECOM,fu:29014263,gene_to_fu,
hsa:3303,fu:6a00b55c,HSPA1A,fu:6a00b55c,gene_to_fu,
hsa:3304,fu:6a00b55c,HSPA1B,fu:6a00b55c,gene_to_fu,
hsa:3305,fu:6a00b55c,HSPA1L,fu:6a00b55c,gene_to_fu,
hsa:3310,fu:6a00b55c,HSPA6,fu:6a00b55c,gene_to_fu,
hsa:3312,fu:6a00b55c,HSPA8,fu:6a00b55c,gene_to_fu,
hsa:3727,fu:84a61edc,JUND,fu:84a61edc,gene_to_fu,
hsa:2353,fu:45d37654,FOS,fu:45d37654,gene_to_fu,
hsa:3725,fu:45d37654,JUN,fu:45d37654,gene_to_fu,
hsa:4775,fu:d66dccc5,NFATC3,fu:d66dccc5,gene_to_fu,
hsa:4772,fu:a8faa1a3,NFATC1,fu:a8faa1a3,gene_to_fu,
hsa:5530,fu:c9fb2f87,PPP3CA,fu:c9fb2f87,gene_to_fu,
hsa:5532,fu:c9fb2f87,PPP3CB,fu:c9fb2f87,gene_to_fu,
hsa:5533,fu:c9fb2f87,PPP3CC,fu:c9fb2f87,gene_to_fu,
hsa:5534,fu:c9fb2f87,PPP3R1,fu:c9fb2f87,gene_to_fu,
hsa:5535,fu:c9fb2f87,PPP3R2,fu:c9fb2f87,gene_to_fu,
hsa:23162,fu:d619f7e8,MAPK8IP3,fu:d619f7e8,gene_to_fu,
hsa:2316,fu:5f5fbdbd,FLNA,fu:5f5fbdbd,gene_to_fu,
hsa:4214,fu:634dd023,MAP3K1,fu:634dd023,gene_to_fu,
hsa:1326,fu:a89b6f8d,MAP3K8,fu:a89b6f8d,gene_to_fu,
hsa:11184,fu:0d4bb414,MAP4K1,fu:0d4bb414,gene_to_fu,
hsa:8491,fu:b1667507,MAP4K3,fu:b1667507,gene_to_fu,
hsa:2353,fu:7da5a68c,FOS,fu:7da5a68c,gene_to_fu,
hsa:6722,fu:dde490f0,SRF,fu:dde490f0,gene_to_fu,
hsa:4609,fu:6f8defad,MYC,fu:6f8defad,gene_to_fu,
hsa:2005,fu:99d52518,ELK4,fu:99d52518,gene_to_fu,
hsa:2002,fu:a6b72414,ELK1,fu:a6b72414,gene_to_fu,
hsa:468,fu:af3eedc3,ATF4,fu:af3eedc3,gene_to_fu,
hsa:27330,fu:746aa4e9,RPS6KA6,fu:746aa4e9,gene_to_fu,
hsa:6195,fu:746aa4e9,RPS6KA1,fu:746aa4e9,gene_to_fu,
hsa:6196,fu:746aa4e9,RPS6KA2,fu:746aa4e9,gene_to_fu,
hsa:6197,fu:746aa4e9,RPS6KA3,fu:746aa4e9,gene_to_fu,
hsa:2872,fu:21beb0bd,MKNK2,fu:21beb0bd,gene_to_fu,
hsa:8569,fu:21beb0bd,MKNK1,fu:21beb0bd,gene_to_fu,
hsa:125467750,fu:bc721fb9,EFNA4-EFNA3,fu:bc721fb9,gene_to_fu,
hsa:1435,fu:bc721fb9,CSF1,fu:bc721fb9,gene_to_fu,
hsa:1942,fu:bc721fb9,EFNA1,fu:bc721fb9,gene_to_fu,
hsa:1943,fu:bc721fb9,EFNA2,fu:bc721fb9,gene_to_fu,
hsa:1944,fu:bc721fb9,EFNA3,fu:bc721fb9,gene_to_fu,
hsa:1945,fu:bc721fb9,EFNA4,fu:bc721fb9,gene_to_fu,
hsa:1946,fu:bc721fb9,EFNA5,fu:bc721fb9,gene_to_fu,
hsa:1950,fu:bc721fb9,EGF,fu:bc721fb9,gene_to_fu,
hsa:2069,fu:bc721fb9,EREG,fu:bc721fb9,gene_to_fu,
hsa:2246,fu:bc721fb9,FGF1,fu:bc721fb9,gene_to_fu,
hsa:2247,fu:bc721fb9,FGF2,fu:bc721fb9,gene_to_fu,
hsa:2248,fu:bc721fb9,FGF3,fu:bc721fb9,gene_to_fu,
hsa:2249,fu:bc721fb9,FGF4,fu:bc721fb9,gene_to_fu,
hsa:2250,fu:bc721fb9,FGF5,fu:bc721fb9,gene_to_fu,
hsa:2251,fu:bc721fb9,FGF6,fu:bc721fb9,gene_to_fu,
hsa:2252,fu:bc721fb9,FGF7,fu:bc721fb9,gene_to_fu,
hsa:2253,fu:bc721fb9,FGF8,fu:bc721fb9,gene_to_fu,
hsa:2254,fu:bc721fb9,FGF9,fu:bc721fb9,gene_to_fu,
hsa:2255,fu:bc721fb9,FGF10,fu:bc721fb9,gene_to_fu,
hsa:2277,fu:bc721fb9,VEGFD,fu:bc721fb9,gene_to_fu,
hsa:2323,fu:bc721fb9,FLT3LG,fu:bc721fb9,gene_to_fu,
hsa:26281,fu:bc721fb9,FGF20,fu:bc721fb9,gene_to_fu,
hsa:26291,fu:bc721fb9,FGF21,fu:bc721fb9,gene_to_fu,
hsa:2668,fu:bc721fb9,GDNF,fu:bc721fb9,gene_to_fu,
hsa:27006,fu:bc721fb9,FGF22,fu:bc721fb9,gene_to_fu,
hsa:284,fu:bc721fb9,ANGPT1,fu:bc721fb9,gene_to_fu,
hsa:285,fu:bc721fb9,ANGPT2,fu:bc721fb9,gene_to_fu,
hsa:3082,fu:bc721fb9,HGF,fu:bc721fb9,gene_to_fu,
hsa:3479,fu:bc721fb9,IGF1,fu:bc721fb9,gene_to_fu,
hsa:3481,fu:bc721fb9,IGF2,fu:bc721fb9,gene_to_fu,
hsa:3630,fu:bc721fb9,INS,fu:bc721fb9,gene_to_fu,
hsa:374,fu:bc721fb9,AREG,fu:bc721fb9,gene_to_fu,
hsa:4254,fu:bc721fb9,KITLG,fu:bc721fb9,gene_to_fu,
hsa:4803,fu:bc721fb9,NGF,fu:bc721fb9,gene_to_fu,
hsa:4902,fu:bc721fb9,NRTN,fu:bc721fb9,gene_to_fu,
hsa:4908,fu:bc721fb9,NTF3,fu:bc721fb9,gene_to_fu,
hsa:4909,fu:bc721fb9,NTF4,fu:bc721fb9,gene_to_fu,
hsa:51378,fu:bc721fb9,ANGPT4,fu:bc721fb9,gene_to_fu,
hsa:5154,fu:bc721fb9,PDGFA,fu:bc721fb9,gene_to_fu,
hsa:5155,fu:bc721fb9,PDGFB,fu:bc721fb9,gene_to_fu,
hsa:5228,fu:bc721fb9,PGF,fu:bc721fb9,gene_to_fu,
hsa:56034,fu:bc721fb9,PDGFC,fu:bc721fb9,gene_to_fu,
hsa:5623,fu:bc721fb9,PSPN,fu:bc721fb9,gene_to_fu,
hsa:627,fu:bc721fb9,BDNF,fu:bc721fb9,gene_to_fu,
hsa:7039,fu:bc721fb9,TGFA,fu:bc721fb9,gene_to_fu,
hsa:7422,fu:bc721fb9,VEGFA,fu:bc721fb9,gene_to_fu,
