id,label,full_label,type,logic,pathway
fu:13c25744,fu:13c25744,,functional_unit,SINGLE,path:hsa04010
hsa:4217,MAP3K5,"MAP3K5, ASK1, MAPKKK5, MEKK5; mitogen-activated protein kinase kinase kinase 5 isoform 2",gene,,path:hsa04010
fu:9430ca46,fu:9430ca46,,functional_unit,SINGLE,path:hsa04010
hsa:9064,MAP3K6,"MAP3K6, ASK2, MAPKKK6, MEKK6; mitogen-activated protein kinase kinase kinase 6 isoform 1",gene,,path:hsa04010
fu:7b59f2f9,fu:7b59f2f9,,functional_unit,SINGLE,path:hsa04010
hsa:51776,MAP3K20,"MAP3K20, AZK, CNM6, MLK7, MLT, MLTK, MLTKalpha, MLTKbeta, MRK, SFMMP, ZAK, mlklak, pk; mitogen-activated protein kinase kinase kinase 20 isoform 1",gene,,path:hsa04010
fu:765239d2,fu:765239d2,,functional_unit,SINGLE,path:hsa04010
hsa:7786,MAP3K12,"MAP3K12, DLK, HP09298, MEKK12, MUK, ZPK, ZPKP1; mitogen-activated protein kinase kinase kinase 12 isoform 2",gene,,path:hsa04010
hsa:9175,MAP3K13,"MAP3K13, LZK, MEKK13, MLK; mitogen-activated protein kinase kinase kinase 13 isoform 1",gene,,path:hsa04010
fu:bdf742c5,fu:bdf742c5,,functional_unit,OR,path:hsa04010
hsa:4293,MAP3K9,"MAP3K9, MEKK9, MLK1, PRKE1; mitogen-activated protein kinase kinase kinase 9 isoform 2",gene,,path:hsa04010
hsa:4294,MAP3K10,"MAP3K10, MEKK10, MLK2, MST; mitogen-activated protein kinase kinase kinase 10",gene,,path:hsa04010
hsa:84451,MAP3K21,"MAP3K21, MLK4, dJ862P8.3; mitogen-activated protein kinase kinase kinase 21",gene,,path:hsa04010
fu:e7c23063,fu:e7c23063,,functional_unit,OR,path:hsa04010
hsa:5871,MAP4K2,"MAP4K2, BL44, GCK, RAB8IP; mitogen-activated protein kinase kinase kinase kinase 2 isoform 1",gene,,path:hsa04010
fu:b9cd5da1,fu:b9cd5da1,,functional_unit,SINGLE,path:hsa04010
hsa:6788,STK3,"STK3, KRS1, MST2; serine/threonine-protein kinase 3 isoform 1",gene,,path:hsa04010
hsa:6789,STK4,"STK4, KRS2, MST1, YSK3; serine/threonine-protein kinase 4 isoform 1",gene,,path:hsa04010
fu:6ad9125c,fu:6ad9125c,,functional_unit,OR,path:hsa04010
hsa:51295,ECSIT,"ECSIT, SITPEC; evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial isoform 1 precursor",gene,,path:hsa04010
fu:abef13f0,fu:abef13f0,,functional_unit,SINGLE,path:hsa04010
hsa:23118,TAB2,"TAB2, CHTD2, MAP3K7IP2, TAB-2; TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 isoform a",gene,,path:hsa04010
fu:50e477cd,fu:50e477cd,,functional_unit,SINGLE,path:hsa04010
hsa:10454,TAB1,"TAB1, 3'-Tab1, MAP3K7IP1; TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 isoform alpha",gene,,path:hsa04010
fu:6b042d75,fu:6b042d75,,functional_unit,SINGLE,path:hsa04010
hsa:10912,GADD45G,"GADD45G, CR6, DDIT2, GADD45gamma, GRP17; growth arrest and DNA damage-inducible protein GADD45 gamma",gene,,path:hsa04010
hsa:1647,GADD45A,"GADD45A, DDIT1, GADD45; growth arrest and DNA damage-inducible protein GADD45 alpha isoform 1",gene,,path:hsa04010
hsa:4616,GADD45B,"GADD45B, GADD45BETA, MYD118; growth arrest and DNA damage-inducible protein GADD45 beta",gene,,path:hsa04010
fu:18257a1a,fu:18257a1a,,functional_unit,OR,path:hsa04010
hsa:7189,TRAF6,"TRAF6, MGC:3310, RNF85; TNF receptor-associated factor 6",gene,,path:hsa04010
fu:380a8c9c,fu:380a8c9c,,functional_unit,SINGLE,path:hsa04010
hsa:1616,DAXX,"DAXX, BING2, DAP6, EAP1, SMIM40; death domain-associated protein 6 isoform a",gene,,path:hsa04010
fu:c52cf97a,fu:c52cf97a,,functional_unit,SINGLE,path:hsa04010
hsa:7186,TRAF2,"TRAF2, MGC:45012, RNF117, TRAP, TRAP3; TNF receptor-associated factor 2",gene,,path:hsa04010
fu:efd88231,fu:efd88231,,functional_unit,SINGLE,path:hsa04010
hsa:836,CASP3,"CASP3, CPP32, CPP32B, SCA-1; caspase-3 isoform a preproprotein",gene,,path:hsa04010
fu:aea2f6ea,fu:aea2f6ea,,functional_unit,SINGLE,path:hsa04010
hsa:929,CD14,CD14; monocyte differentiation antigen CD14 precursor,gene,,path:hsa04010
fu:925491b4,fu:925491b4,,functional_unit,SINGLE,path:hsa04010
hsa:7046,TGFBR1,"TGFBR1, AAT5, ACVRLK4, ALK-5, ALK5, ESS1, LDS1, LDS1A, LDS2A, MSSE, SKR4, TBR-i, TBRI, TGFR-1, tbetaR-I; TGF-beta receptor type-1 isoform 1 precursor",gene,,path:hsa04010
hsa:7048,TGFBR2,"TGFBR2, AAT3, FAA3, LDS1B, LDS2, LDS2B, MFS2, RIIC, TAAD2, TBR-ii, TBRII, TGFR-2, TGFbeta-RII, tbetaR-II; TGF-beta receptor type-2 isoform B precursor",gene,,path:hsa04010
fu:b35242a6,fu:b35242a6,,functional_unit,OR,path:hsa04010
hsa:355,FAS,"FAS, ALPS1A, APO-1, APT1, CD95, FAS1, FASTM, TNFRSF6; tumor necrosis factor receptor superfamily member 6 isoform 1 precursor",gene,,path:hsa04010
fu:1520c439,fu:1520c439,,functional_unit,SINGLE,path:hsa04010
hsa:3554,IL1R1,"IL1R1, CD121A, CRMO3, D2S1473, IL-1R-alpha, IL-1RT1, IL1R, IL1RA, P80; interleukin-1 receptor type 1 isoform 1 precursor",gene,,path:hsa04010
hsa:3556,IL1RAP,"IL1RAP, C3orf13, IL-1RAcP, IL1R3; interleukin-1 receptor accessory protein isoform 1 precursor",gene,,path:hsa04010
fu:6d9f19be,fu:6d9f19be,,functional_unit,OR,path:hsa04010
hsa:7132,TNFRSF1A,"TNFRSF1A, CD120a, FPF, TBP1, TNF-R, TNF-R-I, TNF-R55, TNFAR, TNFR1, TNFR55, TNFR60, p55, p55-R, p60; tumor necrosis factor receptor superfamily member 1A isoform 1 precursor",gene,,path:hsa04010
fu:7c5dbbe7,fu:7c5dbbe7,,functional_unit,SINGLE,path:hsa04010
hsa:7040,TGFB1,"TGFB1, CED, DPD1, IBDIMDE, LAP, TGF-beta1, TGFB, TGFbeta; transforming growth factor beta-1 proprotein preproprotein",gene,,path:hsa04010
hsa:7042,TGFB2,"TGFB2, G-TSF, LDS4, TGF-beta2; transforming growth factor beta-2 proprotein isoform 2 preproprotein",gene,,path:hsa04010
hsa:7043,TGFB3,"TGFB3, ARVD, ARVD1, LDS5, RNHF, TGF-beta3; transforming growth factor beta-3 proprotein isoform 1 preproprotein",gene,,path:hsa04010
fu:868fd6f8,fu:868fd6f8,,functional_unit,OR,path:hsa04010
hsa:3552,IL1A,"IL1A, IL-1 alpha, IL-1A, IL1, IL1-ALPHA, IL1F1; interleukin-1 alpha precursor",gene,,path:hsa04010
hsa:3553,IL1B,"IL1B, IL-1, IL1-BETA, IL1F2, IL1beta; interleukin-1 beta proprotein",gene,,path:hsa04010
fu:89eef994,fu:89eef994,,functional_unit,OR,path:hsa04010
hsa:7124,TNF,"TNF, DIF, IMD127, TNF-alpha, TNFA, TNFSF2, TNLG1F; tumor necrosis factor",gene,,path:hsa04010
fu:38d52bc5,fu:38d52bc5,,functional_unit,SINGLE,path:hsa04010
hsa:8550,MAPKAPK5,"MAPKAPK5, MAPKAP-K5, MK-5, MK5, NCFD, PRAK; MAP kinase-activated protein kinase 5 isoform 2",gene,,path:hsa04010
fu:bcd1d489,fu:bcd1d489,,functional_unit,SINGLE,path:hsa04010
hsa:5879,RAC1,"RAC1, MIG5, MRD48, Rac-1, TC-25, p21-Rac1; ras-related C3 botulinum toxin substrate 1 isoform Rac1",gene,,path:hsa04010
hsa:5880,RAC2,"RAC2, EN-7, Gx, HSPC022, IMD73A, IMD73B, IMD73C, p21-Rac2; ras-related C3 botulinum toxin substrate 2",gene,,path:hsa04010
hsa:5881,RAC3,RAC3; ras-related C3 botulinum toxin substrate 3 isoform 1,gene,,path:hsa04010
hsa:998,CDC42,"CDC42, CDC42Hs, G25K, TKS; cell division control protein 42 homolog isoform 1 precursor",gene,,path:hsa04010
fu:7580441c,fu:7580441c,,functional_unit,OR,path:hsa04010
hsa:5058,PAK1,"PAK1, IDDMSSD, PAKalpha, alpha-PAK, p65-PAK; serine/threonine-protein kinase PAK 1 isoform 2",gene,,path:hsa04010
hsa:5062,PAK2,"PAK2, KNO2, PAK65, PAKgamma; serine/threonine-protein kinase PAK 2",gene,,path:hsa04010
fu:5e377e3f,fu:5e377e3f,,functional_unit,OR,path:hsa04010
hsa:10746,MAP3K2,"MAP3K2, MEKK2, MEKK2B; mitogen-activated protein kinase kinase kinase 2",gene,,path:hsa04010
hsa:4215,MAP3K3,"MAP3K3, CCM5, MAPKKK3, MEKK3; mitogen-activated protein kinase kinase kinase 3 isoform 2",gene,,path:hsa04010
fu:b9a4e385,fu:b9a4e385,,functional_unit,OR,path:hsa04010
hsa:23542,MAPK8IP2,"MAPK8IP2, IB-2, IB2, JIP2, PRKM8IPL; C-Jun-amino-terminal kinase-interacting protein 2",gene,,path:hsa04010
hsa:9479,MAPK8IP1,"MAPK8IP1, IB1, JIP-1, JIP1, PRKM8IP; C-Jun-amino-terminal kinase-interacting protein 1",gene,,path:hsa04010
fu:6fe4014e,fu:6fe4014e,,functional_unit,OR,path:hsa04010
hsa:4296,MAP3K11,"MAP3K11, MEKK11, MLK-3, MLK3, PTK1, SPRK; mitogen-activated protein kinase kinase kinase 11",gene,,path:hsa04010
fu:85decfaf,fu:85decfaf,,functional_unit,SINGLE,path:hsa04010
hsa:5609,MAP2K7,"MAP2K7, JNKK2, MAPKK7, MEK, MEK 7, MKK7, PRKMK7, SAPKK-4, SAPKK4; dual specificity mitogen-activated protein kinase kinase 7 isoform 3",gene,,path:hsa04010
fu:dd256444,fu:dd256444,,functional_unit,SINGLE,path:hsa04010
hsa:5599,MAPK8,"MAPK8, JNK, JNK-46, JNK1, JNK1A2, JNK21B1/2, PRKM8, SAPK1, SAPK1c; mitogen-activated protein kinase 8 isoform alpha2",gene,,path:hsa04010
